,unix,low,high,open,close,volume,vol_fiat,date
0,1651568400,13.18,13.32,13.32,13.21,34252.2869,452472.70994900004,2022-05-03 09:00:00
1,1651564800,13.3,13.4,13.4,13.33,10819.9929,144230.505357,2022-05-03 08:00:00
2,1651561200,13.18,13.56,13.22,13.4,33954.1394,454985.46796000004,2022-05-03 07:00:00
3,1651557600,13.21,13.43,13.32,13.24,22872.1174,302826.834376,2022-05-03 06:00:00
4,1651554000,13.05,13.48,13.16,13.33,36769.0678,490131.67377399997,2022-05-03 05:00:00
5,1651550400,13.08,13.16,13.11,13.15,17531.7789,230542.89253500002,2022-05-03 04:00:00
6,1651546800,13.04,13.15,13.07,13.12,17275.9894,226660.98092799998,2022-05-03 03:00:00
7,1651543200,12.98,13.15,13.13,13.06,18025.9777,235419.268762,2022-05-03 02:00:00
8,1651539600,12.81,13.14,12.83,13.13,15307.8857,200992.53924100002,2022-05-03 01:00:00
9,1651536000,12.77,12.95,12.94,12.82,24820.188,318194.81016,2022-05-03 00:00:00
10,1651532400,12.95,13.11,13.02,12.95,19702.455,255146.79225,2022-05-02 23:00:00
11,1651528800,12.9,13.23,12.9,13.01,58568.8348,761980.5407479999,2022-05-02 22:00:00
12,1651525200,12.67,12.89,12.7,12.89,7765.742,100100.41438,2022-05-02 21:00:00
13,1651521600,12.67,12.86,12.74,12.7,26201.7546,332762.28342,2022-05-02 20:00:00
14,1651518000,12.47,12.75,12.5,12.73,7474.4457,95149.693761,2022-05-02 19:00:00
15,1651514400,12.33,12.54,12.49,12.49,32530.3135,406303.615615,2022-05-02 18:00:00
16,1651510800,12.39,12.69,12.67,12.49,31998.7084,399663.867916,2022-05-02 17:00:00
17,1651507200,12.66,12.85,12.8,12.66,20667.5258,261650.876628,2022-05-02 16:00:00
18,1651503600,12.74,12.92,12.83,12.8,24132.3112,308893.58336,2022-05-02 15:00:00
19,1651500000,12.63,12.89,12.76,12.81,37009.4207,474090.67916700005,2022-05-02 14:00:00
20,1651496400,12.4,12.87,12.58,12.77,61924.9362,790781.4352739999,2022-05-02 13:00:00
21,1651492800,12.44,12.73,12.48,12.59,28508.3662,358920.330458,2022-05-02 12:00:00
22,1651489200,12.45,12.67,12.65,12.49,98875.5488,1234955.604512,2022-05-02 11:00:00
23,1651485600,12.6,12.76,12.71,12.66,7095.8765,89833.79649000001,2022-05-02 10:00:00
24,1651482000,12.7,12.98,12.88,12.7,8900.0846,113031.07441999999,2022-05-02 09:00:00
25,1651478400,12.84,13.07,12.99,12.88,17162.2653,221049.977064,2022-05-02 08:00:00
26,1651474800,12.97,13.13,13.07,13.0,7798.8556,101385.1228,2022-05-02 07:00:00
27,1651471200,13.07,13.21,13.13,13.07,4523.0728,59116.561496,2022-05-02 06:00:00
28,1651467600,13.07,13.19,13.14,13.14,19946.8724,262101.90333600002,2022-05-02 05:00:00
29,1651464000,12.94,13.2,13.01,13.14,7639.4272,100382.07340800001,2022-05-02 04:00:00
30,1651460400,12.96,13.03,12.99,13.0,4922.9165,63997.914500000006,2022-05-02 03:00:00
31,1651456800,12.87,12.99,12.97,12.99,11597.2645,150648.465855,2022-05-02 02:00:00
32,1651453200,12.96,13.22,13.17,12.97,20066.4162,260261.418114,2022-05-02 01:00:00
33,1651449600,13.02,13.23,13.06,13.16,17728.5596,233307.844336,2022-05-02 00:00:00
34,1651446000,12.72,13.14,12.78,13.05,18761.0461,244831.65160500002,2022-05-01 23:00:00
35,1651442400,12.71,12.91,12.73,12.77,18750.434,239443.04218000002,2022-05-01 22:00:00
36,1651438800,12.66,12.94,12.88,12.74,15001.843,191123.47982,2022-05-01 21:00:00
37,1651435200,12.62,12.89,12.68,12.88,11895.4388,153213.251744,2022-05-01 20:00:00
38,1651431600,12.5,12.76,12.68,12.67,25399.4179,321810.624793,2022-05-01 19:00:00
39,1651428000,12.69,13.09,13.07,12.69,14430.7725,183126.50302499998,2022-05-01 18:00:00
40,1651424400,13.04,13.33,13.24,13.06,15077.4458,196911.442148,2022-05-01 17:00:00
41,1651420800,13.19,13.38,13.28,13.23,24848.6665,328747.857795,2022-05-01 16:00:00
42,1651417200,12.64,13.36,12.64,13.27,40912.0019,542902.265213,2022-05-01 15:00:00
43,1651413600,12.63,12.84,12.79,12.64,21078.0499,266426.55073600006,2022-05-01 14:00:00
44,1651410000,12.75,12.87,12.81,12.79,10681.8708,136621.12753199998,2022-05-01 13:00:00
45,1651406400,12.61,12.88,12.83,12.79,44829.6106,573370.719574,2022-05-01 12:00:00
46,1651402800,12.77,12.89,12.86,12.82,81564.5371,1045657.3656220001,2022-05-01 11:00:00
