,unix,low,high,open,close,volume,vol_fiat,date
0,1651572000,1.53,1.563,1.531,1.545,108483.87,167607.57914999998,2022-05-03 10:00:00
1,1651568400,1.529,1.566,1.562,1.531,135142.19,206902.69289,2022-05-03 09:00:00
2,1651564800,1.548,1.565,1.549,1.559,100219.76,156242.60583999997,2022-05-03 08:00:00
3,1651561200,1.533,1.555,1.547,1.55,83519.68,129455.50399999999,2022-05-03 07:00:00
4,1651557600,1.544,1.56,1.556,1.552,30483.38,47310.205760000004,2022-05-03 06:00:00
5,1651554000,1.532,1.561,1.549,1.556,81102.82,126195.98792000001,2022-05-03 05:00:00
6,1651550400,1.538,1.573,1.569,1.548,95607.34,148000.16232,2022-05-03 04:00:00
7,1651546800,1.55,1.585,1.565,1.566,375462.12,587973.67992,2022-05-03 03:00:00
8,1651543200,1.533,1.575,1.558,1.566,234668.35,367490.6361,2022-05-03 02:00:00
9,1651539600,1.52,1.56,1.543,1.559,232817.45,362962.40455,2022-05-03 01:00:00
10,1651536000,1.504,1.56,1.542,1.541,225757.09,347891.67569,2022-05-03 00:00:00
11,1651532400,1.516,1.559,1.519,1.542,150804.77,232540.95534,2022-05-02 23:00:00
12,1651528800,1.516,1.57,1.538,1.517,196041.18,297394.47005999996,2022-05-02 22:00:00
13,1651525200,1.482,1.551,1.485,1.539,126523.6,194719.8204,2022-05-02 21:00:00
14,1651521600,1.479,1.505,1.505,1.483,100433.84,148943.38472,2022-05-02 20:00:00
15,1651518000,1.462,1.513,1.462,1.503,208550.47,313451.35641,2022-05-02 19:00:00
16,1651514400,1.431,1.471,1.44,1.464,271469.41,397431.21624,2022-05-02 18:00:00
17,1651510800,1.43,1.486,1.479,1.441,242124.49,348901.39009,2022-05-02 17:00:00
18,1651507200,1.475,1.505,1.501,1.479,143150.08,211718.96831999999,2022-05-02 16:00:00
19,1651503600,1.49,1.519,1.507,1.505,216395.3,325674.92649999994,2022-05-02 15:00:00
20,1651500000,1.502,1.579,1.564,1.508,313704.46,473066.32568,2022-05-02 14:00:00
21,1651496400,1.488,1.597,1.493,1.565,1009696.34,1580174.7721,2022-05-02 13:00:00
22,1651492800,1.491,1.559,1.519,1.491,270346.94,403087.28754000005,2022-05-02 12:00:00
23,1651489200,1.487,1.52,1.515,1.52,367873.21,559167.2792,2022-05-02 11:00:00
24,1651485600,1.505,1.551,1.518,1.516,181395.87,274996.13892,2022-05-02 10:00:00
25,1651482000,1.515,1.554,1.554,1.518,161812.3,245631.0714,2022-05-02 09:00:00
26,1651478400,1.537,1.589,1.589,1.554,214465.21,333278.93634,2022-05-02 08:00:00
27,1651474800,1.564,1.606,1.565,1.59,352353.25,560241.6675,2022-05-02 07:00:00
28,1651471200,1.555,1.586,1.581,1.563,325069.44,508083.53472,2022-05-02 06:00:00
29,1651467600,1.522,1.592,1.531,1.582,464170.79,734318.18978,2022-05-02 05:00:00
30,1651464000,1.523,1.545,1.527,1.531,150872.12,230985.21571999998,2022-05-02 04:00:00
31,1651460400,1.513,1.532,1.528,1.526,132564.15,202292.8929,2022-05-02 03:00:00
32,1651456800,1.502,1.534,1.513,1.528,303813.38,464226.84464,2022-05-02 02:00:00
33,1651453200,1.511,1.54,1.527,1.516,93728.54,142092.46664,2022-05-02 01:00:00
34,1651449600,1.515,1.563,1.515,1.524,181142.98,276061.90152,2022-05-02 00:00:00
35,1651446000,1.481,1.538,1.491,1.516,352796.08,534838.85728,2022-05-01 23:00:00
36,1651442400,1.478,1.511,1.498,1.489,174287.53,259514.13217000003,2022-05-01 22:00:00
37,1651438800,1.483,1.519,1.505,1.493,121941.15,182058.13695000001,2022-05-01 21:00:00
38,1651435200,1.471,1.509,1.483,1.508,142894.47,215484.86076,2022-05-01 20:00:00
39,1651431600,1.452,1.488,1.483,1.48,346594.95,512960.526,2022-05-01 19:00:00
40,1651428000,1.483,1.533,1.518,1.483,206062.83,305591.17689,2022-05-01 18:00:00
41,1651424400,1.512,1.541,1.53,1.518,169818.56,257784.57408,2022-05-01 17:00:00
42,1651420800,1.497,1.554,1.524,1.532,234278.63,358914.86116000003,2022-05-01 16:00:00
43,1651417200,1.471,1.533,1.471,1.52,300057.32,456087.1264,2022-05-01 15:00:00
44,1651413600,1.439,1.479,1.447,1.469,347647.19,510693.72211000003,2022-05-01 14:00:00
45,1651410000,1.429,1.467,1.435,1.446,217488.37,314488.18302,2022-05-01 13:00:00
46,1651406400,1.402,1.443,1.414,1.434,225383.09,323199.35105999996,2022-05-01 12:00:00
47,1651402800,1.408,1.46,1.458,1.416,231551.15,327876.4284,2022-05-01 11:00:00
48,1651399200,1.449,1.48,1.449,1.459,215818.85,314879.70215,2022-05-01 10:00:00
49,1651395600,1.432,1.505,1.497,1.45,460865.05,668254.3225,2022-05-01 09:00:00
50,1651392000,1.418,1.577,1.42,1.498,835414.91,1251451.5351800001,2022-05-01 08:00:00
51,1651388400,1.399,1.429,1.406,1.421,213205.66,302965.24286,2022-05-01 07:00:00
52,1651384800,1.402,1.427,1.412,1.407,110752.46,155828.71122000003,2022-05-01 06:00:00
53,1651381200,1.368,1.427,1.373,1.412,212337.41,299820.42292,2022-05-01 05:00:00
54,1651377600,1.362,1.392,1.39,1.373,62850.57,86293.83261,2022-05-01 04:00:00
55,1651374000,1.365,1.392,1.365,1.392,100526.4,139932.74879999997,2022-05-01 03:00:00
56,1651370400,1.363,1.399,1.367,1.369,306862.96,420095.39224,2022-05-01 02:00:00
57,1651366800,1.313,1.371,1.342,1.367,292997.96,400528.21132,2022-05-01 01:00:00
58,1651363200,1.333,1.377,1.357,1.342,302664.2,406175.35640000005,2022-05-01 00:00:00
59,1651359600,1.29,1.435,1.427,1.356,859943.31,1166083.1283600002,2022-04-30 23:00:00
60,1651356000,1.419,1.462,1.454,1.425,139278.0,198471.15,2022-04-30 22:00:00
61,1651352400,1.451,1.475,1.474,1.454,61959.94,90089.75276,2022-04-30 21:00:00
62,1651348800,1.471,1.491,1.484,1.473,114328.41,168405.74793,2022-04-30 20:00:00
63,1651345200,1.463,1.493,1.465,1.484,164502.73,244122.05132,2022-04-30 19:00:00
64,1651341600,1.447,1.505,1.496,1.465,254548.38,372913.3767,2022-04-30 18:00:00
65,1651338000,1.485,1.515,1.51,1.504,214182.29,322130.16416,2022-04-30 17:00:00
66,1651334400,1.508,1.528,1.526,1.512,95737.57,144755.20584,2022-04-30 16:00:00
67,1651330800,1.502,1.532,1.51,1.523,181306.81,276130.27163,2022-04-30 15:00:00
68,1651327200,1.502,1.527,1.52,1.509,201742.25,304429.05525,2022-04-30 14:00:00
69,1651323600,1.514,1.548,1.539,1.52,117404.25,178454.46,2022-04-30 13:00:00
70,1651320000,1.532,1.552,1.544,1.542,64998.86,100228.24212000001,2022-04-30 12:00:00
71,1651316400,1.54,1.556,1.54,1.543,87862.54,135571.89922,2022-04-30 11:00:00
72,1651312800,1.541,1.564,1.548,1.541,35680.26,54983.280660000004,2022-04-30 10:00:00
73,1651309200,1.533,1.554,1.539,1.552,46237.08,71759.94816,2022-04-30 09:00:00
74,1651305600,1.524,1.549,1.545,1.539,147648.59,227231.18000999998,2022-04-30 08:00:00
75,1651302000,1.539,1.557,1.556,1.548,211751.12,327790.73376,2022-04-30 07:00:00
76,1651298400,1.547,1.565,1.561,1.558,136285.69,212333.10502000002,2022-04-30 06:00:00
77,1651294800,1.551,1.576,1.576,1.564,78463.18,122716.41351999999,2022-04-30 05:00:00
78,1651291200,1.552,1.578,1.552,1.574,144103.42,226818.78308000002,2022-04-30 04:00:00
79,1651287600,1.536,1.559,1.558,1.551,92186.57,142981.37007,2022-04-30 03:00:00
80,1651284000,1.554,1.593,1.585,1.559,82596.49,128767.92791,2022-04-30 02:00:00
81,1651280400,1.572,1.594,1.579,1.587,158147.5,250980.0825,2022-04-30 01:00:00
82,1651276800,1.55,1.583,1.55,1.581,143865.42,227451.22902000003,2022-04-30 00:00:00
83,1651273200,1.535,1.556,1.545,1.549,70810.95,109686.16154999999,2022-04-29 23:00:00
84,1651269600,1.527,1.547,1.546,1.545,78692.29,121579.58804999999,2022-04-29 22:00:00
85,1651266000,1.539,1.564,1.55,1.546,48202.97,74521.79162,2022-04-29 21:00:00
86,1651262400,1.533,1.551,1.533,1.549,159995.42,247832.90558000002,2022-04-29 20:00:00
87,1651258800,1.522,1.568,1.568,1.533,294835.26,451982.45358,2022-04-29 19:00:00
88,1651255200,1.544,1.584,1.579,1.571,413514.13,649630.69823,2022-04-29 18:00:00
89,1651251600,1.568,1.602,1.598,1.583,159272.35,252128.13005,2022-04-29 17:00:00
90,1651248000,1.566,1.607,1.6,1.597,320234.99,511415.27903,2022-04-29 16:00:00
91,1651244400,1.591,1.612,1.602,1.598,133996.28,214126.05544,2022-04-29 15:00:00
92,1651240800,1.588,1.63,1.626,1.6,161569.49,258511.184,2022-04-29 14:00:00
93,1651237200,1.604,1.631,1.619,1.625,190868.37,310161.10125,2022-04-29 13:00:00
94,1651233600,1.586,1.633,1.597,1.622,298572.86,484285.17892000003,2022-04-29 12:00:00
95,1651230000,1.583,1.615,1.605,1.599,211850.46,338748.88554,2022-04-29 11:00:00
0,1651226400,1.582,1.631,1.629,1.609,278759.78,448524.48602000007,2022-04-29 10:00:00
1,1651222800,1.612,1.655,1.655,1.63,227545.71,370899.50729999994,2022-04-29 09:00:00
2,1651219200,1.655,1.681,1.678,1.655,152924.72,253090.4116,2022-04-29 08:00:00
3,1651215600,1.655,1.68,1.667,1.678,41760.2,70073.61559999999,2022-04-29 07:00:00
4,1651212000,1.65,1.667,1.66,1.664,63478.9,105628.8896,2022-04-29 06:00:00
5,1651208400,1.66,1.687,1.666,1.66,78649.86,130558.76759999999,2022-04-29 05:00:00
6,1651204800,1.643,1.666,1.659,1.665,140291.82,233585.88030000002,2022-04-29 04:00:00
7,1651201200,1.655,1.677,1.666,1.662,159979.42,265885.79604,2022-04-29 03:00:00
8,1651197600,1.648,1.691,1.691,1.665,146723.88,244295.26020000002,2022-04-29 02:00:00
9,1651194000,1.681,1.708,1.698,1.693,108624.05,183900.51665,2022-04-29 01:00:00
10,1651190400,1.676,1.708,1.684,1.696,97839.03,165934.99487999998,2022-04-29 00:00:00
11,1651186800,1.666,1.695,1.679,1.682,38744.75,65168.669499999996,2022-04-28 23:00:00
12,1651183200,1.665,1.693,1.691,1.682,148319.46,249473.33172,2022-04-28 22:00:00
13,1651179600,1.677,1.725,1.718,1.69,70459.38,119076.35220000001,2022-04-28 21:00:00
14,1651176000,1.692,1.735,1.706,1.718,214190.42,367979.14156,2022-04-28 20:00:00
15,1651172400,1.702,1.741,1.727,1.709,72894.19,124576.17071,2022-04-28 19:00:00
16,1651168800,1.725,1.757,1.744,1.726,223031.14,384951.74764,2022-04-28 18:00:00
17,1651165200,1.707,1.743,1.718,1.742,187196.28,326095.91976,2022-04-28 17:00:00
18,1651161600,1.666,1.718,1.677,1.717,249415.23,428245.94991,2022-04-28 16:00:00
19,1651158000,1.67,1.727,1.672,1.681,357486.74,600935.20994,2022-04-28 15:00:00
20,1651154400,1.639,1.681,1.653,1.673,201176.03,336567.49819,2022-04-28 14:00:00
21,1651150800,1.649,1.694,1.689,1.655,324391.86,536868.5283,2022-04-28 13:00:00
22,1651147200,1.688,1.732,1.724,1.691,137318.47,232205.53277000002,2022-04-28 12:00:00
23,1651143600,1.71,1.725,1.714,1.724,55711.32,96046.31568,2022-04-28 11:00:00
24,1651140000,1.71,1.738,1.738,1.715,74996.88,128619.64920000001,2022-04-28 10:00:00
25,1651136400,1.736,1.754,1.743,1.739,101706.44,176867.49916,2022-04-28 09:00:00
26,1651132800,1.699,1.753,1.71,1.741,145289.46,252948.94986,2022-04-28 08:00:00
27,1651129200,1.687,1.719,1.691,1.708,120834.82,206385.87256000002,2022-04-28 07:00:00
28,1651125600,1.677,1.699,1.689,1.694,75819.95,128438.9953,2022-04-28 06:00:00
29,1651122000,1.689,1.719,1.716,1.689,49933.14,84337.07346,2022-04-28 05:00:00
30,1651118400,1.703,1.719,1.704,1.717,52830.13,90709.33321,2022-04-28 04:00:00
31,1651114800,1.696,1.719,1.712,1.704,59851.54,101987.02416,2022-04-28 03:00:00
32,1651111200,1.692,1.725,1.7,1.714,145755.37,249824.70418,2022-04-28 02:00:00
33,1651107600,1.696,1.75,1.736,1.699,215557.0,366231.343,2022-04-28 01:00:00
34,1651104000,1.714,1.752,1.717,1.734,265636.61,460613.88174,2022-04-28 00:00:00
35,1651100400,1.677,1.724,1.677,1.717,142365.28,244441.18576000002,2022-04-27 23:00:00
36,1651096800,1.678,1.703,1.688,1.679,44755.07,75143.76253,2022-04-27 22:00:00
37,1651093200,1.672,1.693,1.677,1.686,26882.85,45324.4851,2022-04-27 21:00:00
38,1651089600,1.654,1.691,1.664,1.678,194036.57,325593.36446,2022-04-27 20:00:00
39,1651086000,1.645,1.67,1.659,1.664,134277.68,223438.05951999998,2022-04-27 19:00:00
