,unix,low,high,open,close,volume,vol_fiat,date
0,1651572000,204.64,206.84,206.32,204.64,13.4702,2756.5417279999997,2022-05-03 10:00:00
1,1651568400,204.2,205.86,205.48,205.27,23.8972,4905.378244,2022-05-03 09:00:00
2,1651564800,200.84,207.67,203.84,205.46,62.0517,12749.142282,2022-05-03 08:00:00
3,1651561200,203.4,207.38,206.69,204.16,128.17,26167.187199999997,2022-05-03 07:00:00
4,1651557600,206.68,224.43,214.71,206.68,240.4957,49705.651276000004,2022-05-03 06:00:00
5,1651554000,208.41,223.92,209.83,214.68,352.4762,75669.590616,2022-05-03 05:00:00
6,1651550400,205.33,211.0,206.25,209.25,144.8298,30305.63565,2022-05-03 04:00:00
7,1651546800,204.5,206.59,205.02,206.59,11.8673,2451.665507,2022-05-03 03:00:00
8,1651543200,204.2,206.57,205.55,205.12,11.2917,2316.1535040000003,2022-05-03 02:00:00
9,1651539600,200.91,207.25,200.91,204.81,135.5242,27756.711402,2022-05-03 01:00:00
10,1651536000,199.67,201.45,200.59,200.58,25.9706,5209.182948000001,2022-05-03 00:00:00
11,1651532400,199.01,203.44,201.27,200.0,224.0103,44802.06,2022-05-02 23:00:00
12,1651528800,198.44,203.56,198.44,201.36,251.2099,50583.625464000004,2022-05-02 22:00:00
13,1651525200,194.73,203.82,201.33,198.44,122.0434,24218.292296,2022-05-02 21:00:00
14,1651521600,200.05,206.2,203.53,201.07,143.4043,28834.302601,2022-05-02 20:00:00
15,1651518000,202.81,215.45,209.31,202.82,154.5824,31352.402368,2022-05-02 19:00:00
16,1651514400,200.47,211.33,207.1,210.16,187.3237,39367.948792,2022-05-02 18:00:00
17,1651510800,197.33,208.1,205.82,206.94,248.5782,51440.772708000004,2022-05-02 17:00:00
18,1651507200,204.94,209.35,206.77,204.94,76.3747,15652.231018,2022-05-02 16:00:00
19,1651503600,205.55,211.39,209.99,206.51,93.3217,19271.864267,2022-05-02 15:00:00
20,1651500000,206.29,210.79,208.94,209.99,101.7421,21364.823579,2022-05-02 14:00:00
21,1651496400,204.57,211.22,209.25,208.49,101.3448,21129.377352000003,2022-05-02 13:00:00
22,1651492800,208.69,211.7,209.0,208.93,32.7345,6839.219085,2022-05-02 12:00:00
23,1651489200,209.0,212.25,212.09,209.0,24.0141,5018.9469,2022-05-02 11:00:00
24,1651485600,207.27,211.88,207.55,211.88,24.0621,5098.277748,2022-05-02 10:00:00
25,1651482000,206.13,211.01,210.49,206.84,47.3041,9784.380044,2022-05-02 09:00:00
26,1651478400,210.31,212.22,211.46,210.99,11.1169,2345.554731,2022-05-02 08:00:00
27,1651474800,210.05,213.99,213.95,212.03,35.0038,7421.855713999999,2022-05-02 07:00:00
28,1651471200,210.4,214.0,210.47,213.26,22.0318,4698.501668,2022-05-02 06:00:00
29,1651467600,204.41,214.92,205.27,210.46,133.101,28012.43646,2022-05-02 05:00:00
30,1651464000,204.02,210.17,208.05,206.13,240.2788,49528.669043999995,2022-05-02 04:00:00
31,1651460400,206.07,209.6,207.65,207.18,62.5364,12956.291352,2022-05-02 03:00:00
32,1651456800,203.82,214.74,204.23,208.9,473.1924,98849.89236000001,2022-05-02 02:00:00
33,1651453200,203.0,214.97,213.99,204.27,240.3155,49089.247185,2022-05-02 01:00:00
34,1651449600,207.81,228.2,207.81,214.0,585.8124,125363.8536,2022-05-02 00:00:00
35,1651446000,206.2,208.94,206.74,207.76,38.5401,8007.091176,2022-05-01 23:00:00
36,1651442400,202.31,209.35,206.09,208.64,144.2928,30105.249792,2022-05-01 22:00:00
37,1651438800,204.39,209.6,205.51,206.01,122.8412,25306.515612,2022-05-01 21:00:00
38,1651435200,202.69,207.84,203.37,206.47,172.0495,35523.060265,2022-05-01 20:00:00
39,1651431600,201.37,204.37,204.37,203.01,47.3611,9614.776910999999,2022-05-01 19:00:00
40,1651428000,202.85,208.95,204.95,204.37,141.8531,28990.518047,2022-05-01 18:00:00
