,unix,low,high,open,close,volume,vol_fiat,date
0,1651572000,0.01792,0.01818,0.01812,0.01792,19499568,349432.25856,2022-05-03 10:00:00
1,1651568400,0.01804,0.01838,0.01833,0.01813,19281804,349579.10652000003,2022-05-03 09:00:00
2,1651564800,0.01829,0.01851,0.01843,0.01832,23835931,436674.25591999997,2022-05-03 08:00:00
3,1651561200,0.01812,0.0185,0.01816,0.01843,23438675,431974.78024999995,2022-05-03 07:00:00
4,1651557600,0.01798,0.01824,0.01824,0.01817,22218675,403713.32474999997,2022-05-03 06:00:00
5,1651554000,0.01814,0.01841,0.01838,0.01823,22064198,402230.32954,2022-05-03 05:00:00
6,1651550400,0.01799,0.01853,0.01818,0.01837,53373572,980472.5176400001,2022-05-03 04:00:00
7,1651546800,0.01798,0.01819,0.01803,0.01818,19154009,348219.88362000004,2022-05-03 03:00:00
8,1651543200,0.0179,0.01812,0.01806,0.01803,23418670,422238.6201,2022-05-03 02:00:00
9,1651539600,0.01782,0.0181,0.01784,0.01806,15125744,273170.93663999997,2022-05-03 01:00:00
10,1651536000,0.01778,0.01812,0.01803,0.01783,27860534,496753.32122,2022-05-03 00:00:00
11,1651532400,0.01799,0.01832,0.01805,0.01804,23379107,421759.09028,2022-05-02 23:00:00
12,1651528800,0.018,0.01829,0.01816,0.01804,22972805,414429.4022,2022-05-02 22:00:00
13,1651525200,0.01764,0.01819,0.0177,0.01814,23258623,421911.42122,2022-05-02 21:00:00
14,1651521600,0.0177,0.01808,0.01804,0.0177,26022893,460605.2061,2022-05-02 20:00:00
15,1651518000,0.01776,0.01813,0.01785,0.01802,58853298,1060536.42996,2022-05-02 19:00:00
16,1651514400,0.01734,0.0179,0.01748,0.01785,74058161,1321938.1738500001,2022-05-02 18:00:00
17,1651510800,0.01728,0.018,0.01795,0.01747,93238896,1628883.51312,2022-05-02 17:00:00
18,1651507200,0.01789,0.01811,0.01796,0.01799,49585222,892038.1437799999,2022-05-02 16:00:00
19,1651503600,0.01791,0.01828,0.01815,0.01797,50556994,908509.18218,2022-05-02 15:00:00
20,1651500000,0.0179,0.01832,0.01812,0.01816,75510918,1371278.27088,2022-05-02 14:00:00
21,1651496400,0.01777,0.01824,0.01792,0.01815,79402498,1441155.3387,2022-05-02 13:00:00
22,1651492800,0.0178,0.01813,0.01785,0.0179,66968610,1198738.119,2022-05-02 12:00:00
23,1651489200,0.0178,0.01799,0.01787,0.01786,55228141,986374.59826,2022-05-02 11:00:00
24,1651485600,0.01776,0.01819,0.01814,0.01787,66940048,1196218.65776,2022-05-02 10:00:00
25,1651482000,0.01812,0.01855,0.01846,0.01815,78672050,1427897.7075,2022-05-02 09:00:00
26,1651478400,0.01836,0.01889,0.01884,0.01846,65633348,1211591.60408,2022-05-02 08:00:00
27,1651474800,0.01879,0.01907,0.01886,0.01884,40847053,769558.47852,2022-05-02 07:00:00
28,1651471200,0.01884,0.01933,0.01928,0.01886,107889390,2034793.8953999998,2022-05-02 06:00:00
29,1651467600,0.0189,0.01929,0.01898,0.01929,70066036,1351573.8344400001,2022-05-02 05:00:00
30,1651464000,0.01868,0.01912,0.01894,0.01898,62186711,1180303.77478,2022-05-02 04:00:00
31,1651460400,0.01876,0.01901,0.01879,0.01894,31170887,590376.5997799999,2022-05-02 03:00:00
32,1651456800,0.01851,0.01883,0.01865,0.01879,56648906,1064432.94374,2022-05-02 02:00:00
33,1651453200,0.0186,0.01909,0.01903,0.01863,81360489,1515745.91007,2022-05-02 01:00:00
34,1651449600,0.01878,0.01922,0.01888,0.01903,141155518,2686189.5075399997,2022-05-02 00:00:00
35,1651446000,0.01845,0.019,0.01853,0.01888,103589438,1955768.58944,2022-05-01 23:00:00
36,1651442400,0.01836,0.01876,0.01849,0.01852,77224473,1430197.23996,2022-05-01 22:00:00
37,1651438800,0.01838,0.01868,0.01855,0.01849,60523335,1119076.46415,2022-05-01 21:00:00
38,1651435200,0.0182,0.0186,0.01831,0.01855,63464929,1177274.43295,2022-05-01 20:00:00
39,1651431600,0.0182,0.01856,0.0184,0.01831,165086228,3022728.83468,2022-05-01 19:00:00
40,1651428000,0.01835,0.01901,0.01863,0.01842,131634661,2424710.4556199997,2022-05-01 18:00:00
41,1651424400,0.01857,0.01881,0.01859,0.01863,52016141,969060.70683,2022-05-01 17:00:00
42,1651420800,0.01858,0.01918,0.01895,0.01859,247122602,4594009.17118,2022-05-01 16:00:00
43,1651417200,0.0185,0.01918,0.01851,0.01896,180524327,3422741.23992,2022-05-01 15:00:00
44,1651413600,0.01823,0.01864,0.01824,0.0185,99618207,1842936.8295,2022-05-01 14:00:00
45,1651410000,0.0181,0.01846,0.01819,0.01826,101168067,1847328.9034199999,2022-05-01 13:00:00
46,1651406400,0.01793,0.01833,0.01826,0.0182,83070248,1511878.5136000002,2022-05-01 12:00:00
47,1651402800,0.01808,0.01854,0.01844,0.01826,98579624,1800063.9342399999,2022-05-01 11:00:00
48,1651399200,0.01836,0.01888,0.01883,0.01844,108177354,1994790.40776,2022-05-01 10:00:00
49,1651395600,0.01875,0.01897,0.01877,0.01884,61482304,1158326.60736,2022-05-01 09:00:00
50,1651392000,0.01862,0.01906,0.01905,0.01877,102766625,1928929.5512499998,2022-05-01 08:00:00
51,1651388400,0.01887,0.01936,0.01926,0.01906,96180936,1833208.64016,2022-05-01 07:00:00
52,1651384800,0.01869,0.0196,0.01869,0.01928,184741760,3561821.1328,2022-05-01 06:00:00
