,unix,low,high,open,close,volume,vol_fiat,date
0,1651572000,0.4055,0.408,0.4059,0.4055,5185.2,2102.5986000000003,2022-05-03 10:00:00
1,1651568400,0.4055,0.4064,0.4056,0.4059,1454.4,590.34096,2022-05-03 09:00:00
2,1651564800,0.4052,0.4089,0.4052,0.4062,5300.3,2152.9818600000003,2022-05-03 08:00:00
3,1651561200,0.4041,0.4054,0.4054,0.4053,2047.7,829.93281,2022-05-03 07:00:00
4,1651557600,0.4027,0.4058,0.4054,0.4054,2846.2,1153.8494799999999,2022-05-03 06:00:00
5,1651554000,0.402,0.4062,0.4052,0.4062,7709.0,3131.3958000000002,2022-05-03 05:00:00
6,1651550400,0.4024,0.4062,0.4048,0.4054,11809.7,4787.65238,2022-05-03 04:00:00
7,1651546800,0.4044,0.4062,0.4053,0.4052,1998.1,809.6301199999999,2022-05-03 03:00:00
8,1651543200,0.4028,0.4064,0.4049,0.4053,10083.3,4086.76149,2022-05-03 02:00:00
9,1651539600,0.4,0.4068,0.403,0.4059,25917.8,10520.03502,2022-05-03 01:00:00
10,1651536000,0.4033,0.408,0.4078,0.4033,15868.7,6399.84671,2022-05-03 00:00:00
11,1651532400,0.4069,0.4088,0.4082,0.4084,2062.3,842.24332,2022-05-02 23:00:00
12,1651528800,0.4056,0.4093,0.4064,0.4072,6590.5,2683.6516,2022-05-02 22:00:00
13,1651525200,0.4055,0.4086,0.4055,0.4078,12431.0,5069.3618,2022-05-02 21:00:00
14,1651521600,0.4055,0.4075,0.4069,0.4055,935.0,379.14250000000004,2022-05-02 20:00:00
15,1651518000,0.4013,0.4069,0.4021,0.4069,4357.5,1773.06675,2022-05-02 19:00:00
16,1651514400,0.4007,0.4038,0.4026,0.4013,8523.8,3420.60094,2022-05-02 18:00:00
17,1651510800,0.4024,0.4097,0.4083,0.4035,15259.7,6157.288950000001,2022-05-02 17:00:00
18,1651507200,0.4083,0.4129,0.41,0.4083,8207.5,3351.12225,2022-05-02 16:00:00
19,1651503600,0.4093,0.4126,0.4122,0.4093,6870.2,2811.97286,2022-05-02 15:00:00
20,1651500000,0.4082,0.414,0.4095,0.4122,25785.4,10628.741880000001,2022-05-02 14:00:00
21,1651496400,0.4071,0.4159,0.4084,0.4091,103483.2,42334.97712,2022-05-02 13:00:00
22,1651492800,0.4011,0.4085,0.4033,0.4077,39615.8,16151.361660000002,2022-05-02 12:00:00
23,1651489200,0.4019,0.4098,0.4098,0.4026,26001.5,10468.2039,2022-05-02 11:00:00
24,1651485600,0.4092,0.4199,0.4108,0.4096,59006.3,24168.980480000002,2022-05-02 10:00:00
25,1651482000,0.4113,0.4176,0.4164,0.4117,18923.6,7790.846119999999,2022-05-02 09:00:00
26,1651478400,0.4158,0.4171,0.4169,0.4161,2326.4,968.0150400000001,2022-05-02 08:00:00
27,1651474800,0.4162,0.4176,0.4174,0.4171,3255.7,1357.95247,2022-05-02 07:00:00
28,1651471200,0.4172,0.4188,0.4184,0.4177,997.6,416.69752,2022-05-02 06:00:00
29,1651467600,0.4161,0.418,0.4161,0.418,3261.8,1363.4324,2022-05-02 05:00:00
30,1651464000,0.4151,0.4172,0.4161,0.417,16725.2,6974.4084,2022-05-02 04:00:00
31,1651460400,0.4163,0.4171,0.4163,0.4163,145.9,60.738170000000004,2022-05-02 03:00:00
32,1651456800,0.4159,0.4175,0.4164,0.4175,5941.3,2480.49275,2022-05-02 02:00:00
33,1651453200,0.4153,0.4184,0.4177,0.4166,13002.8,5416.96648,2022-05-02 01:00:00
34,1651449600,0.4142,0.4177,0.4177,0.4177,16410.9,6854.8329300000005,2022-05-02 00:00:00
35,1651446000,0.4116,0.4175,0.4116,0.4166,20021.1,8340.79026,2022-05-01 23:00:00
36,1651442400,0.4102,0.414,0.412,0.4112,38736.4,15928.40768,2022-05-01 22:00:00
37,1651438800,0.4103,0.4119,0.4108,0.4106,1956.3,803.25678,2022-05-01 21:00:00
38,1651435200,0.4102,0.4119,0.4119,0.4108,2374.0,975.2392,2022-05-01 20:00:00
39,1651431600,0.4102,0.4167,0.4162,0.4116,35720.4,14702.516640000002,2022-05-01 19:00:00
40,1651428000,0.416,0.4162,0.416,0.4162,1822.9,758.6909800000001,2022-05-01 18:00:00
41,1651424400,0.416,0.4167,0.4167,0.4164,4889.0,2035.7796,2022-05-01 17:00:00
42,1651420800,0.414,0.4185,0.4151,0.4174,56876.0,23740.0424,2022-05-01 16:00:00
43,1651417200,0.4099,0.4149,0.4105,0.4149,15474.9,6420.53601,2022-05-01 15:00:00
44,1651413600,0.4092,0.4115,0.4098,0.4106,19660.6,8072.64236,2022-05-01 14:00:00
45,1651410000,0.4099,0.4113,0.4104,0.41,8758.2,3590.862,2022-05-01 13:00:00
46,1651406400,0.4098,0.4104,0.4099,0.4104,2706.4,1110.70656,2022-05-01 12:00:00
47,1651402800,0.4098,0.4107,0.4107,0.4101,1808.7,741.74787,2022-05-01 11:00:00
48,1651399200,0.4095,0.4134,0.4095,0.4105,20455.4,8396.9417,2022-05-01 10:00:00
49,1651395600,0.4107,0.4134,0.4134,0.4107,4895.2,2010.45864,2022-05-01 09:00:00
50,1651392000,0.4105,0.4134,0.4105,0.4134,2887.0,1193.4858,2022-05-01 08:00:00
51,1651388400,0.41,0.412,0.4106,0.4105,4455.1,1828.81855,2022-05-01 07:00:00
52,1651384800,0.4094,0.4145,0.4101,0.4112,23499.2,9662.87104,2022-05-01 06:00:00
53,1651381200,0.4046,0.413,0.4047,0.4102,40100.6,16449.26612,2022-05-01 05:00:00
54,1651377600,0.4036,0.4087,0.4051,0.4047,32930.6,13327.01382,2022-05-01 04:00:00
55,1651374000,0.4022,0.406,0.403,0.4053,8452.3,3425.71719,2022-05-01 03:00:00
56,1651370400,0.3989,0.4067,0.403,0.4039,37779.9,15259.30161,2022-05-01 02:00:00
57,1651366800,0.3989,0.408,0.408,0.4024,80825.1,32524.02024,2022-05-01 01:00:00
58,1651363200,0.4072,0.4232,0.4152,0.408,44823.7,18288.0696,2022-05-01 00:00:00
59,1651359600,0.4141,0.4301,0.4301,0.4141,66438.7,27512.26567,2022-04-30 23:00:00
60,1651356000,0.4299,0.4337,0.4337,0.4299,24028.9,10330.02411,2022-04-30 22:00:00
61,1651352400,0.4335,0.4366,0.4366,0.4346,6299.9,2737.9365399999997,2022-04-30 21:00:00
62,1651348800,0.436,0.4388,0.4384,0.436,5670.8,2472.4688,2022-04-30 20:00:00
63,1651345200,0.4344,0.4389,0.4344,0.4387,30296.6,13291.118419999999,2022-04-30 19:00:00
64,1651341600,0.4347,0.4402,0.4402,0.4349,3721.8,1618.61082,2022-04-30 18:00:00
