,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,3.7651,3.9038,3.7791,3.8811,105852.8,410825.30208,2022-05-03 11:00:00
1,1651572000,3.7646,3.8144,3.7888,3.7816,101198.1,382690.73496000003,2022-05-03 10:00:00
2,1651568400,3.7733,3.8519,3.8496,3.7925,65312.0,247695.76,2022-05-03 09:00:00
3,1651564800,3.7708,3.8666,3.8058,3.8476,134720.6,518350.98056,2022-05-03 08:00:00
4,1651561200,3.79,3.895,3.8894,3.8076,112415.0,428031.354,2022-05-03 07:00:00
5,1651557600,3.87,3.9301,3.8719,3.8894,67339.9,261911.80706,2022-05-03 06:00:00
6,1651554000,3.8644,3.9036,3.8966,3.8731,37111.2,143735.38872,2022-05-03 05:00:00
7,1651550400,3.8657,3.9151,3.9028,3.8977,62060.6,241893.60061999998,2022-05-03 04:00:00
8,1651546800,3.8796,3.9336,3.8954,3.9039,86628.2,338187.82998,2022-05-03 03:00:00
9,1651543200,3.8847,3.9792,3.9548,3.8953,65465.3,255006.98309000002,2022-05-03 02:00:00
10,1651539600,3.8543,3.9627,3.9229,3.9553,170217.8,673262.46434,2022-05-03 01:00:00
11,1651536000,3.9232,4.1023,4.0979,3.924,84450.3,331382.9772,2022-05-03 00:00:00
12,1651532400,4.0308,4.102,4.0334,4.0958,108839.2,445783.59536,2022-05-02 23:00:00
13,1651528800,4.0205,4.078,4.0239,4.0313,38155.3,153815.46089000002,2022-05-02 22:00:00
14,1651525200,3.9401,4.0235,3.9401,4.0235,76902.3,309416.40405,2022-05-02 21:00:00
15,1651521600,3.9163,4.036,4.036,3.9389,101887.5,401324.67374999996,2022-05-02 20:00:00
16,1651518000,3.9978,4.0647,4.0225,4.0361,63198.8,255076.67668000003,2022-05-02 19:00:00
17,1651514400,3.9521,4.0548,4.0249,4.0216,93748.7,377019.77192,2022-05-02 18:00:00
18,1651510800,3.9289,4.0525,4.048,4.0267,246085.8,990913.69086,2022-05-02 17:00:00
19,1651507200,4.0455,4.1443,4.1285,4.0469,70310.8,284540.77652,2022-05-02 16:00:00
20,1651503600,4.1105,4.1771,4.1651,4.1273,42362.7,174843.57171,2022-05-02 15:00:00
21,1651500000,4.1062,4.2026,4.1831,4.1682,50047.1,208606.32221999997,2022-05-02 14:00:00
22,1651496400,4.0717,4.2083,4.1055,4.1852,203121.5,850104.1018000001,2022-05-02 13:00:00
23,1651492800,4.0934,4.1669,4.1373,4.1062,45962.8,188732.44936000003,2022-05-02 12:00:00
24,1651489200,4.1065,4.1811,4.1442,4.1498,56162.4,233062.72752000001,2022-05-02 11:00:00
25,1651485600,4.1178,4.2055,4.177,4.1437,134877.1,558890.23927,2022-05-02 10:00:00
26,1651482000,4.1568,4.3377,4.3252,4.1802,198765.1,830877.8710200001,2022-05-02 09:00:00
27,1651478400,4.3153,4.4903,4.4817,4.3172,92946.8,401269.92496,2022-05-02 08:00:00
28,1651474800,4.482,4.5422,4.5222,4.4879,15849.1,71129.17589,2022-05-02 07:00:00
29,1651471200,4.5187,4.579,4.5564,4.5187,15264.7,68976.59989,2022-05-02 06:00:00
30,1651467600,4.5159,4.5602,4.5255,4.5602,48351.0,220490.2302,2022-05-02 05:00:00
31,1651464000,4.465,4.5323,4.4812,4.516,31986.4,144450.5824,2022-05-02 04:00:00
32,1651460400,4.4714,4.5338,4.5073,4.4761,77182.3,345475.69302999997,2022-05-02 03:00:00
33,1651456800,4.4471,4.5306,4.5306,4.5053,86840.1,391240.70253,2022-05-02 02:00:00
34,1651453200,4.5295,4.673,4.6036,4.5338,54457.6,246899.86688000002,2022-05-02 01:00:00
35,1651449600,4.5112,4.6811,4.5166,4.5961,136892.9,629173.45769,2022-05-02 00:00:00
36,1651446000,4.4653,4.5688,4.4798,4.5166,69303.2,313014.83312,2022-05-01 23:00:00
37,1651442400,4.4601,4.5278,4.494,4.4804,51894.1,232506.32564000002,2022-05-01 22:00:00
38,1651438800,4.4581,4.5391,4.5104,4.4987,27074.0,121797.80380000001,2022-05-01 21:00:00
39,1651435200,4.4278,4.5114,4.4495,4.5114,46037.0,207691.3218,2022-05-01 20:00:00
40,1651431600,4.4099,4.481,4.45,4.4474,69426.5,308767.4161,2022-05-01 19:00:00
41,1651428000,4.45,4.6101,4.5826,4.45,36707.7,163349.26499999998,2022-05-01 18:00:00
42,1651424400,4.5748,4.6497,4.621,4.576,51184.2,234218.89919999996,2022-05-01 17:00:00
43,1651420800,4.5831,4.684,4.618,4.6195,104250.9,481587.03255,2022-05-01 16:00:00
44,1651417200,4.439,4.6229,4.439,4.6124,83817.6,386600.29824000003,2022-05-01 15:00:00
45,1651413600,4.4324,4.5113,4.4987,4.4398,48143.9,213749.28722,2022-05-01 14:00:00
46,1651410000,4.4958,4.561,4.508,4.4994,20940.9,94221.48546,2022-05-01 13:00:00
47,1651406400,4.4296,4.5832,4.4884,4.508,54595.9,246118.31720000002,2022-05-01 12:00:00
48,1651402800,4.4673,4.5885,4.5759,4.4872,55915.1,250902.23672,2022-05-01 11:00:00
49,1651399200,4.5659,4.6263,4.5975,4.5806,26987.2,123617.56831999999,2022-05-01 10:00:00
50,1651395600,4.5729,4.6825,4.6711,4.5981,41075.6,188869.71636,2022-05-01 09:00:00
51,1651392000,4.6316,4.6986,4.6316,4.6739,7436.8,34758.85952,2022-05-01 08:00:00
52,1651388400,4.6262,4.6737,4.6728,4.631,34244.6,158586.7426,2022-05-01 07:00:00
53,1651384800,4.6565,4.7613,4.6955,4.6697,26204.8,122368.55455999999,2022-05-01 06:00:00
