,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.7372,0.7461,0.738,0.7372,39655.5,29234.0346,2022-05-03 11:00:00
1,1651572000,0.731,0.7396,0.731,0.7383,9495.9,7010.822969999999,2022-05-03 10:00:00
2,1651568400,0.7271,0.7323,0.7307,0.7283,4636.0,3376.3988,2022-05-03 09:00:00
3,1651564800,0.7288,0.732,0.7292,0.7307,2158.5,1577.21595,2022-05-03 08:00:00
4,1651561200,0.7279,0.7326,0.7303,0.7302,3311.8,2418.27636,2022-05-03 07:00:00
5,1651557600,0.725,0.7317,0.7276,0.7317,14884.8,10891.20816,2022-05-03 06:00:00
6,1651554000,0.7225,0.7368,0.7366,0.7276,49459.9,35987.02324,2022-05-03 05:00:00
7,1651550400,0.7316,0.7459,0.7459,0.7369,67373.3,49647.384770000004,2022-05-03 04:00:00
8,1651546800,0.7414,0.7502,0.7502,0.7463,34916.1,26057.88543,2022-05-03 03:00:00
9,1651543200,0.7492,0.7539,0.7502,0.7508,15378.6,11546.25288,2022-05-03 02:00:00
10,1651539600,0.75,0.7529,0.7529,0.7517,12166.9,9145.85873,2022-05-03 01:00:00
11,1651536000,0.7495,0.7565,0.7513,0.7529,21158.9,15930.535810000001,2022-05-03 00:00:00
12,1651532400,0.7484,0.7554,0.7501,0.7513,20853.2,15667.00916,2022-05-02 23:00:00
13,1651528800,0.7483,0.7579,0.7546,0.7494,23050.3,17273.894819999998,2022-05-02 22:00:00
14,1651525200,0.7528,0.7574,0.7545,0.7539,3627.6,2734.84764,2022-05-02 21:00:00
15,1651521600,0.7516,0.7578,0.7563,0.755,13779.0,10403.145,2022-05-02 20:00:00
16,1651518000,0.7482,0.7587,0.7552,0.7561,42936.4,32464.212040000002,2022-05-02 19:00:00
17,1651514400,0.7511,0.7599,0.7576,0.755,26370.6,19909.803,2022-05-02 18:00:00
18,1651510800,0.7564,0.795,0.7939,0.7571,234108.9,177243.84819,2022-05-02 17:00:00
