,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,11.13,11.51,11.18,11.41,218210.54,2489782.2614,2022-05-03 11:00:00
1,1651572000,11.17,11.26,11.25,11.17,28128.18,314191.7706,2022-05-03 10:00:00
2,1651568400,11.24,11.35,11.35,11.25,13316.75,149813.4375,2022-05-03 09:00:00
3,1651564800,11.32,11.38,11.33,11.35,18626.54,211411.229,2022-05-03 08:00:00
4,1651561200,11.26,11.34,11.3,11.34,64740.81,734160.7853999999,2022-05-03 07:00:00
5,1651557600,11.25,11.34,11.34,11.29,28570.75,322563.76749999996,2022-05-03 06:00:00
6,1651554000,11.22,11.35,11.33,11.35,51342.49,582737.2614999999,2022-05-03 05:00:00
7,1651550400,11.27,11.35,11.3,11.34,35188.92,399042.3528,2022-05-03 04:00:00
8,1651546800,11.2,11.32,11.22,11.29,41764.47,471520.8663,2022-05-03 03:00:00
9,1651543200,11.16,11.28,11.21,11.22,34144.4,383100.16800000006,2022-05-03 02:00:00
10,1651539600,11.05,11.22,11.09,11.21,49943.74,559869.3254,2022-05-03 01:00:00
11,1651536000,11.06,11.18,11.18,11.09,38965.55,432127.94950000005,2022-05-03 00:00:00
12,1651532400,11.14,11.27,11.21,11.17,46889.92,523760.4064,2022-05-02 23:00:00
13,1651528800,11.19,11.39,11.31,11.21,61340.22,687623.8662,2022-05-02 22:00:00
14,1651525200,11.03,11.32,11.06,11.31,58166.16,657859.2696000001,2022-05-02 21:00:00
15,1651521600,11.05,11.15,11.09,11.06,58475.07,646734.2742,2022-05-02 20:00:00
16,1651518000,10.89,11.09,10.91,11.08,178115.39,1973518.5212,2022-05-02 19:00:00
17,1651514400,10.77,11.13,10.86,10.92,298914.14,3264142.4088000003,2022-05-02 18:00:00
18,1651510800,10.8,11.06,11.06,10.86,103213.08,1120894.0488,2022-05-02 17:00:00
19,1651507200,11.04,11.21,11.18,11.05,140529.34,1552849.2070000002,2022-05-02 16:00:00
20,1651503600,11.14,11.26,11.2,11.18,55382.55,619176.909,2022-05-02 15:00:00
21,1651500000,11.04,11.29,11.13,11.2,118675.64,1329167.1679999998,2022-05-02 14:00:00
22,1651496400,10.86,11.19,10.93,11.12,153152.82,1703059.3584,2022-05-02 13:00:00
23,1651492800,10.87,11.01,10.9,10.94,61701.19,675011.0186,2022-05-02 12:00:00
24,1651489200,10.87,11.04,11.03,10.91,47455.01,517734.15910000005,2022-05-02 11:00:00
25,1651485600,11.0,11.08,11.04,11.03,30297.71,334183.7413,2022-05-02 10:00:00
26,1651482000,11.04,11.19,11.19,11.05,24088.52,266178.146,2022-05-02 09:00:00
27,1651478400,11.13,11.29,11.24,11.19,39366.51,440511.2469,2022-05-02 08:00:00
28,1651474800,11.22,11.33,11.26,11.24,80506.52,904893.2848,2022-05-02 07:00:00
29,1651471200,11.25,11.37,11.31,11.25,58156.71,654262.9875,2022-05-02 06:00:00
30,1651467600,11.24,11.32,11.3,11.32,78991.59,894184.7988,2022-05-02 05:00:00
31,1651464000,11.19,11.33,11.22,11.3,62210.87,702982.8310000001,2022-05-02 04:00:00
32,1651460400,11.22,11.28,11.25,11.22,27923.8,313305.036,2022-05-02 03:00:00
33,1651456800,11.2,11.28,11.28,11.25,29934.9,336767.625,2022-05-02 02:00:00
34,1651453200,11.27,11.43,11.39,11.27,37861.34,426697.30179999996,2022-05-02 01:00:00
35,1651449600,11.28,11.45,11.3,11.39,85086.42,969134.3238,2022-05-02 00:00:00
36,1651446000,11.14,11.37,11.18,11.29,68785.22,776585.1338,2022-05-01 23:00:00
37,1651442400,11.13,11.28,11.13,11.18,50877.12,568806.2016,2022-05-01 22:00:00
38,1651438800,11.04,11.2,11.17,11.14,127195.42,1416956.9788000002,2022-05-01 21:00:00
39,1651435200,10.94,11.19,10.97,11.18,47279.82,528588.3876,2022-05-01 20:00:00
40,1651431600,10.91,11.12,11.11,10.99,135911.54,1493667.8246000002,2022-05-01 19:00:00
41,1651428000,11.1,11.37,11.37,11.1,96434.82,1070426.502,2022-05-01 18:00:00
42,1651424400,11.35,11.49,11.37,11.36,37086.55,421303.208,2022-05-01 17:00:00
43,1651420800,11.28,11.44,11.32,11.37,56686.77,644528.5748999999,2022-05-01 16:00:00
44,1651417200,11.0,11.37,11.01,11.32,89196.72,1009706.8704,2022-05-01 15:00:00
45,1651413600,10.98,11.07,11.03,11.01,56962.49,627157.0149,2022-05-01 14:00:00
46,1651410000,11.02,11.13,11.06,11.03,38780.73,427751.4519,2022-05-01 13:00:00
47,1651406400,10.99,11.11,11.09,11.04,57796.63,638074.7951999999,2022-05-01 12:00:00
48,1651402800,11.08,11.17,11.15,11.09,30522.84,338498.2956,2022-05-01 11:00:00
49,1651399200,11.12,11.19,11.13,11.15,21008.47,234244.44050000003,2022-05-01 10:00:00
50,1651395600,11.08,11.2,11.2,11.12,31413.37,349316.67439999996,2022-05-01 09:00:00
51,1651392000,11.09,11.2,11.11,11.19,28673.83,320860.1577,2022-05-01 08:00:00
52,1651388400,11.07,11.15,11.15,11.1,23842.51,264651.861,2022-05-01 07:00:00
53,1651384800,11.13,11.23,11.17,11.15,27686.07,308699.6805,2022-05-01 06:00:00
54,1651381200,11.01,11.24,11.03,11.18,29747.27,332574.4786,2022-05-01 05:00:00
55,1651377600,11.01,11.15,11.15,11.03,42087.36,464223.5808,2022-05-01 04:00:00
56,1651374000,11.09,11.18,11.09,11.14,44309.47,493607.49580000003,2022-05-01 03:00:00
57,1651370400,11.08,11.24,11.19,11.09,67157.65,744778.3385,2022-05-01 02:00:00
58,1651366800,10.82,11.2,10.97,11.19,111806.14,1251110.7066,2022-05-01 01:00:00
59,1651363200,10.85,11.1,10.96,10.96,159968.83,1753258.3768,2022-05-01 00:00:00
60,1651359600,10.67,11.39,11.32,10.97,521355.37,5719268.4089,2022-04-30 23:00:00
61,1651356000,11.27,11.56,11.56,11.32,170808.86,1933556.2951999998,2022-04-30 22:00:00
62,1651352400,11.55,11.64,11.62,11.55,30609.84,353543.652,2022-04-30 21:00:00
63,1651348800,11.61,11.71,11.68,11.62,37377.13,434322.2505999999,2022-04-30 20:00:00
64,1651345200,11.55,11.71,11.57,11.69,37342.87,436538.15030000004,2022-04-30 19:00:00
