,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.0758,0.0782,0.0759,0.077,291265.9,22427.4743,2022-05-03 11:00:00
1,1651572000,0.0753,0.0762,0.0757,0.0759,134783.3,10230.052469999999,2022-05-03 10:00:00
2,1651568400,0.0755,0.0762,0.0757,0.0755,63145.7,4767.500349999999,2022-05-03 09:00:00
3,1651564800,0.0755,0.0761,0.0758,0.0757,49319.2,3733.46344,2022-05-03 08:00:00
4,1651561200,0.0756,0.076,0.0758,0.0758,76778.2,5819.787560000001,2022-05-03 07:00:00
5,1651557600,0.0754,0.0759,0.0758,0.0758,119672.0,9071.1376,2022-05-03 06:00:00
6,1651554000,0.0752,0.0758,0.0753,0.0758,126160.6,9562.97348,2022-05-03 05:00:00
7,1651550400,0.0748,0.0756,0.0753,0.0756,241442.2,18253.03032,2022-05-03 04:00:00
8,1651546800,0.0748,0.0755,0.075,0.0753,211286.1,15909.843330000002,2022-05-03 03:00:00
9,1651543200,0.0744,0.0751,0.0748,0.075,152767.0,11457.525,2022-05-03 02:00:00
10,1651539600,0.0741,0.0751,0.0743,0.0748,170602.5,12761.067000000001,2022-05-03 01:00:00
11,1651536000,0.074,0.0752,0.0745,0.0745,255200.2,19012.4149,2022-05-03 00:00:00
12,1651532400,0.0745,0.0755,0.075,0.0748,380021.1,28425.57828,2022-05-02 23:00:00
13,1651528800,0.0746,0.0752,0.0749,0.0748,568766.4,42543.726720000006,2022-05-02 22:00:00
14,1651525200,0.0736,0.0748,0.0737,0.0748,237823.2,17789.17536,2022-05-02 21:00:00
15,1651521600,0.0731,0.0737,0.0733,0.0736,214155.5,15761.844799999999,2022-05-02 20:00:00
16,1651518000,0.0724,0.0736,0.0733,0.0732,317736.0,23258.2752,2022-05-02 19:00:00
17,1651514400,0.0721,0.0733,0.0725,0.0733,401847.0,29455.385100000003,2022-05-02 18:00:00
18,1651510800,0.0722,0.0733,0.0733,0.0725,185340.3,13437.171749999998,2022-05-02 17:00:00
19,1651507200,0.0727,0.0734,0.0729,0.0733,49907.5,3658.21975,2022-05-02 16:00:00
20,1651503600,0.073,0.0735,0.0731,0.073,25377.3,1852.5429,2022-05-02 15:00:00
21,1651500000,0.0723,0.0737,0.0732,0.0732,534084.5,39094.9854,2022-05-02 14:00:00
22,1651496400,0.0722,0.0754,0.0729,0.0732,829628.4,60728.79888,2022-05-02 13:00:00
23,1651492800,0.073,0.0749,0.0748,0.073,261868.1,19116.3713,2022-05-02 12:00:00
24,1651489200,0.073,0.0764,0.0731,0.0749,222117.4,16636.593259999998,2022-05-02 11:00:00
25,1651485600,0.0731,0.0742,0.0742,0.0731,98801.5,7222.38965,2022-05-02 10:00:00
26,1651482000,0.0741,0.0754,0.0754,0.0741,24243.2,1796.42112,2022-05-02 09:00:00
27,1651478400,0.0753,0.0758,0.0756,0.0753,19904.1,1498.77873,2022-05-02 08:00:00
28,1651474800,0.0756,0.0762,0.0761,0.0759,61418.1,4661.63379,2022-05-02 07:00:00
29,1651471200,0.0752,0.0762,0.0754,0.0762,86109.3,6561.528660000001,2022-05-02 06:00:00
30,1651467600,0.0753,0.0758,0.0757,0.0754,18460.7,1391.93678,2022-05-02 05:00:00
31,1651464000,0.0752,0.0759,0.0758,0.0755,96643.6,7296.5918,2022-05-02 04:00:00
32,1651460400,0.0754,0.0764,0.0757,0.0757,134304.4,10166.84308,2022-05-02 03:00:00
33,1651456800,0.0749,0.0756,0.0752,0.0756,123590.0,9343.404,2022-05-02 02:00:00
34,1651453200,0.0743,0.076,0.0743,0.0755,147485.4,11135.1477,2022-05-02 01:00:00
35,1651449600,0.0737,0.0746,0.0739,0.0746,122454.3,9135.09078,2022-05-02 00:00:00
36,1651446000,0.0735,0.0741,0.0736,0.074,57774.4,4275.3056,2022-05-01 23:00:00
37,1651442400,0.0729,0.0738,0.0731,0.0736,116077.7,8543.31872,2022-05-01 22:00:00
38,1651438800,0.0728,0.0735,0.0734,0.0731,38167.9,2790.07349,2022-05-01 21:00:00
39,1651435200,0.0727,0.0735,0.0727,0.0735,48754.3,3583.44105,2022-05-01 20:00:00
40,1651431600,0.0727,0.0735,0.0735,0.0728,10637.0,774.3736,2022-05-01 19:00:00
41,1651428000,0.0735,0.0742,0.074,0.0735,195237.9,14349.985649999999,2022-05-01 18:00:00
42,1651424400,0.0739,0.0742,0.0739,0.0741,14684.2,1088.09922,2022-05-01 17:00:00
43,1651420800,0.0738,0.0751,0.074,0.0743,289801.8,21532.27374,2022-05-01 16:00:00
44,1651417200,0.0722,0.0746,0.0724,0.0746,159759.9,11918.088539999999,2022-05-01 15:00:00
45,1651413600,0.0722,0.0727,0.0723,0.0725,47545.3,3447.03425,2022-05-01 14:00:00
46,1651410000,0.0721,0.0726,0.0726,0.0723,27543.8,1991.4167400000001,2022-05-01 13:00:00
47,1651406400,0.0723,0.0726,0.0726,0.0726,20302.2,1473.93972,2022-05-01 12:00:00
