,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,22.69,23.18,23.06,22.81,2922.023,66651.34462999999,2022-05-03 11:00:00
1,1651572000,23.09,24.54,24.53,23.1,5234.518,120917.36580000001,2022-05-03 10:00:00
2,1651568400,24.35,25.16,24.45,24.54,8519.42,209066.5668,2022-05-03 09:00:00
3,1651564800,23.06,24.47,23.06,24.47,6513.774,159392.04978,2022-05-03 08:00:00
4,1651561200,22.87,23.16,23.13,23.03,1107.986,25516.917580000005,2022-05-03 07:00:00
5,1651557600,22.91,23.23,23.04,23.14,1083.654,25075.75356,2022-05-03 06:00:00
6,1651554000,22.64,23.06,22.67,23.06,258.393,5958.542579999999,2022-05-03 05:00:00
7,1651550400,22.46,22.77,22.47,22.73,287.895,6543.853349999999,2022-05-03 04:00:00
8,1651546800,22.32,22.46,22.32,22.46,462.572,10389.36712,2022-05-03 03:00:00
9,1651543200,22.16,22.31,22.25,22.3,778.272,17355.465600000003,2022-05-03 02:00:00
10,1651539600,22.02,22.24,22.08,22.24,1356.454,30167.536959999998,2022-05-03 01:00:00
11,1651536000,21.88,22.08,22.05,22.08,437.098,9651.12384,2022-05-03 00:00:00
12,1651532400,22.0,22.19,22.05,22.02,524.125,11541.2325,2022-05-02 23:00:00
13,1651528800,22.01,22.19,22.05,22.05,438.127,9660.700350000001,2022-05-02 22:00:00
14,1651525200,21.7,22.04,21.75,22.04,240.473,5300.02492,2022-05-02 21:00:00
15,1651521600,21.77,22.01,21.89,21.78,1160.068,25266.28104,2022-05-02 20:00:00
16,1651518000,21.75,21.88,21.77,21.88,753.197,16479.95036,2022-05-02 19:00:00
17,1651514400,21.56,21.79,21.69,21.76,553.345,12040.7872,2022-05-02 18:00:00
18,1651510800,21.57,22.02,22.02,21.67,2636.86,57140.75620000001,2022-05-02 17:00:00
19,1651507200,22.02,22.26,22.23,22.04,467.816,10310.664639999999,2022-05-02 16:00:00
20,1651503600,22.15,22.39,22.26,22.22,270.205,6003.955099999999,2022-05-02 15:00:00
21,1651500000,21.96,22.35,22.1,22.26,689.861,15356.30586,2022-05-02 14:00:00
22,1651496400,21.76,22.28,22.02,22.06,3026.523,66765.09737999999,2022-05-02 13:00:00
23,1651492800,21.93,22.31,22.17,21.95,1277.26,28035.857,2022-05-02 12:00:00
24,1651489200,22.11,22.3,22.28,22.17,1061.176,23526.27192,2022-05-02 11:00:00
25,1651485600,22.21,22.5,22.45,22.25,3901.787,86814.76075,2022-05-02 10:00:00
26,1651482000,22.42,22.7,22.59,22.44,177.172,3975.73968,2022-05-02 09:00:00
27,1651478400,22.56,22.88,22.83,22.61,226.002,5109.90522,2022-05-02 08:00:00
28,1651474800,22.8,22.95,22.84,22.87,223.999,5122.85713,2022-05-02 07:00:00
29,1651471200,22.85,23.17,23.12,22.85,110.025,2514.0712500000004,2022-05-02 06:00:00
30,1651467600,22.86,23.11,23.03,23.11,1638.952,37876.18072,2022-05-02 05:00:00
31,1651464000,22.78,23.06,22.91,23.06,1032.939,23819.57334,2022-05-02 04:00:00
32,1651460400,22.86,23.03,23.01,22.86,354.418,8101.99548,2022-05-02 03:00:00
33,1651456800,22.9,23.15,23.15,22.97,220.073,5055.07681,2022-05-02 02:00:00
34,1651453200,23.12,23.49,23.39,23.15,654.275,15146.466249999998,2022-05-02 01:00:00
35,1651449600,22.94,23.42,23.06,23.37,1431.824,33461.72688,2022-05-02 00:00:00
36,1651446000,22.77,23.2,22.77,23.05,718.442,16560.0881,2022-05-01 23:00:00
37,1651442400,22.78,22.96,22.83,22.81,358.496,8177.293759999999,2022-05-01 22:00:00
38,1651438800,22.67,23.01,22.97,22.82,1022.247,23327.67654,2022-05-01 21:00:00
39,1651435200,22.63,23.03,22.69,23.0,1955.859,44984.757,2022-05-01 20:00:00
40,1651431600,22.57,22.89,22.89,22.72,3213.196,73003.81311999999,2022-05-01 19:00:00
41,1651428000,22.88,23.31,23.31,22.89,1624.237,37178.78493,2022-05-01 18:00:00
42,1651424400,23.29,23.65,23.53,23.35,1047.86,24467.531,2022-05-01 17:00:00
43,1651420800,23.33,23.66,23.51,23.54,3952.289,93036.88306000001,2022-05-01 16:00:00
44,1651417200,22.92,23.55,23.03,23.51,1042.873,24517.94423,2022-05-01 15:00:00
45,1651413600,22.98,23.21,23.13,23.04,1751.039,40343.938559999995,2022-05-01 14:00:00
46,1651410000,23.09,23.31,23.22,23.13,1207.051,27919.08963,2022-05-01 13:00:00
47,1651406400,23.05,23.36,23.2,23.19,3695.795,85705.48605,2022-05-01 12:00:00
48,1651402800,23.14,23.39,23.39,23.18,613.49,14220.6982,2022-05-01 11:00:00
49,1651399200,23.31,23.62,23.54,23.41,698.655,16355.51355,2022-05-01 10:00:00
50,1651395600,23.43,23.85,23.85,23.54,638.309,15025.793859999998,2022-05-01 09:00:00
51,1651392000,23.66,23.87,23.82,23.85,730.53,17423.1405,2022-05-01 08:00:00
52,1651388400,23.46,23.82,23.47,23.76,1446.55,34370.028,2022-05-01 07:00:00
53,1651384800,23.43,23.66,23.49,23.47,558.32,13103.770400000001,2022-05-01 06:00:00
54,1651381200,23.13,23.78,23.16,23.51,3967.656,93279.59256,2022-05-01 05:00:00
55,1651377600,22.82,23.19,22.86,23.18,2648.164,61384.44152000001,2022-05-01 04:00:00
56,1651374000,22.48,22.94,22.48,22.84,2383.315,54434.914600000004,2022-05-01 03:00:00
57,1651370400,22.47,22.84,22.83,22.51,4184.719,94198.02469,2022-05-01 02:00:00
58,1651366800,22.24,22.98,22.24,22.88,2856.091,65347.36207999999,2022-05-01 01:00:00
59,1651363200,21.77,22.4,22.01,22.26,5079.988,113080.53288000001,2022-05-01 00:00:00
60,1651359600,21.79,23.08,23.03,22.0,11759.948,258718.856,2022-04-30 23:00:00
61,1651356000,22.93,23.21,23.2,22.98,1610.573,37010.967540000005,2022-04-30 22:00:00
62,1651352400,23.23,23.38,23.34,23.23,848.623,19713.512290000002,2022-04-30 21:00:00
