,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.55,1.58,1.56,1.55,3692.09,5722.739500000001,2022-05-03 11:00:00
1,1651572000,1.55,1.56,1.55,1.56,55.76,86.9856,2022-05-03 10:00:00
2,1651568400,1.55,1.56,1.55,1.55,265.88,412.11400000000003,2022-05-03 09:00:00
3,1651564800,1.55,1.56,1.55,1.55,34.03,52.746500000000005,2022-05-03 08:00:00
4,1651561200,1.55,1.56,1.55,1.56,182.98,285.4488,2022-05-03 07:00:00
5,1651557600,1.55,1.57,1.56,1.56,292.47,456.25320000000005,2022-05-03 06:00:00
6,1651554000,1.56,1.57,1.57,1.57,234.1,367.537,2022-05-03 05:00:00
7,1651550400,1.56,1.58,1.57,1.57,5374.96,8438.6872,2022-05-03 04:00:00
8,1651546800,1.57,1.58,1.58,1.57,1881.34,2953.7038,2022-05-03 03:00:00
9,1651543200,1.57,1.58,1.57,1.58,656.28,1036.9224,2022-05-03 02:00:00
10,1651539600,1.57,1.58,1.57,1.57,278.64,437.46479999999997,2022-05-03 01:00:00
11,1651536000,1.55,1.58,1.56,1.58,11754.86,18572.6788,2022-05-03 00:00:00
12,1651532400,1.55,1.57,1.56,1.56,3900.42,6084.6552,2022-05-02 23:00:00
13,1651528800,1.54,1.56,1.55,1.55,1370.26,2123.9030000000002,2022-05-02 22:00:00
14,1651525200,1.54,1.55,1.55,1.54,396.14,610.0556,2022-05-02 21:00:00
15,1651521600,1.52,1.55,1.53,1.53,1510.13,2310.4989,2022-05-02 20:00:00
16,1651518000,1.52,1.53,1.53,1.53,219.55,335.91150000000005,2022-05-02 19:00:00
17,1651514400,1.52,1.56,1.56,1.53,5201.97,7959.0141,2022-05-02 18:00:00
18,1651510800,1.55,1.56,1.56,1.55,1209.96,1875.438,2022-05-02 17:00:00
19,1651507200,1.54,1.56,1.56,1.55,2124.28,3292.6340000000005,2022-05-02 16:00:00
20,1651503600,1.54,1.56,1.56,1.54,1125.95,1733.9630000000002,2022-05-02 15:00:00
21,1651500000,1.55,1.57,1.57,1.55,2982.88,4623.464,2022-05-02 14:00:00
22,1651496400,1.54,1.57,1.56,1.57,4883.52,7667.126400000001,2022-05-02 13:00:00
23,1651492800,1.55,1.58,1.58,1.57,5073.49,7965.3793,2022-05-02 12:00:00
24,1651489200,1.57,1.58,1.57,1.57,446.3,700.691,2022-05-02 11:00:00
25,1651485600,1.57,1.58,1.58,1.57,1470.09,2308.0413,2022-05-02 10:00:00
26,1651482000,1.57,1.58,1.57,1.58,13.99,22.104200000000002,2022-05-02 09:00:00
27,1651478400,1.57,1.58,1.58,1.58,188.34,297.5772,2022-05-02 08:00:00
28,1651474800,1.57,1.58,1.58,1.58,281.99,445.54420000000005,2022-05-02 07:00:00
29,1651471200,1.57,1.58,1.57,1.58,143.67,226.99859999999998,2022-05-02 06:00:00
30,1651467600,1.57,1.58,1.57,1.58,873.49,1380.1142,2022-05-02 05:00:00
31,1651464000,1.55,1.58,1.56,1.58,2117.26,3345.2708000000007,2022-05-02 04:00:00
32,1651460400,1.56,1.57,1.57,1.56,53.06,82.7736,2022-05-02 03:00:00
33,1651456800,1.56,1.57,1.57,1.57,243.51,382.3107,2022-05-02 02:00:00
34,1651453200,1.56,1.59,1.59,1.56,5297.11,8263.4916,2022-05-02 01:00:00
35,1651449600,1.57,1.65,1.65,1.58,20692.16,32693.612800000003,2022-05-02 00:00:00
36,1651446000,1.64,1.66,1.66,1.65,3066.38,5059.527,2022-05-01 23:00:00
37,1651442400,1.65,1.68,1.67,1.66,15328.07,25444.5962,2022-05-01 22:00:00
38,1651438800,1.6,1.67,1.62,1.67,13104.96,21885.283199999998,2022-05-01 21:00:00
39,1651435200,1.57,1.64,1.57,1.63,27167.95,44283.758499999996,2022-05-01 20:00:00
40,1651431600,1.52,1.57,1.54,1.56,7018.96,10949.5776,2022-05-01 19:00:00
41,1651428000,1.53,1.56,1.54,1.53,2100.6,3213.918,2022-05-01 18:00:00
42,1651424400,1.53,1.55,1.53,1.55,558.47,865.6285,2022-05-01 17:00:00
43,1651420800,1.51,1.54,1.51,1.54,1295.78,1995.5012,2022-05-01 16:00:00
44,1651417200,1.49,1.52,1.51,1.52,3805.87,5784.9223999999995,2022-05-01 15:00:00
45,1651413600,1.47,1.51,1.47,1.5,7597.73,11396.595,2022-05-01 14:00:00
46,1651410000,1.44,1.49,1.48,1.47,10732.31,15776.4957,2022-05-01 13:00:00
47,1651406400,1.45,1.48,1.45,1.48,4383.71,6487.8908,2022-05-01 12:00:00
48,1651402800,1.45,1.48,1.47,1.45,4457.32,6463.114,2022-05-01 11:00:00
49,1651399200,1.47,1.52,1.51,1.48,11307.84,16735.6032,2022-05-01 10:00:00
50,1651395600,1.51,1.53,1.52,1.51,3778.71,5705.8521,2022-05-01 09:00:00
51,1651392000,1.52,1.55,1.55,1.53,2284.63,3495.4839,2022-05-01 08:00:00
52,1651388400,1.54,1.56,1.55,1.54,292.76,450.8504,2022-05-01 07:00:00
53,1651384800,1.49,1.58,1.52,1.56,23181.56,36163.23360000001,2022-05-01 06:00:00
54,1651381200,1.52,1.53,1.52,1.52,1061.63,1613.6776000000002,2022-05-01 05:00:00
55,1651377600,1.51,1.53,1.52,1.53,2622.98,4013.1594,2022-05-01 04:00:00
56,1651374000,1.51,1.52,1.52,1.52,1021.36,1552.4672,2022-05-01 03:00:00
57,1651370400,1.49,1.52,1.5,1.51,6529.28,9859.2128,2022-05-01 02:00:00
58,1651366800,1.5,1.56,1.56,1.5,12352.14,18528.21,2022-05-01 01:00:00
59,1651363200,1.53,1.57,1.53,1.56,10967.78,17109.736800000002,2022-05-01 00:00:00
60,1651359600,1.53,1.54,1.53,1.53,978.92,1497.7476,2022-04-30 23:00:00
61,1651356000,1.53,1.58,1.57,1.53,8521.55,13037.9715,2022-04-30 22:00:00
62,1651352400,1.56,1.58,1.57,1.57,3472.46,5451.7622,2022-04-30 21:00:00
63,1651348800,1.54,1.57,1.55,1.57,5221.79,8198.2103,2022-04-30 20:00:00
64,1651345200,1.54,1.56,1.55,1.55,1044.19,1618.4945000000002,2022-04-30 19:00:00
65,1651341600,1.52,1.57,1.56,1.54,18091.83,27861.418200000004,2022-04-30 18:00:00
66,1651338000,1.55,1.59,1.58,1.57,10630.97,16690.6229,2022-04-30 17:00:00
67,1651334400,1.57,1.6,1.57,1.58,2829.47,4470.5626,2022-04-30 16:00:00
68,1651330800,1.53,1.59,1.53,1.58,10248.45,16192.551000000001,2022-04-30 15:00:00
69,1651327200,1.52,1.59,1.58,1.52,9990.94,15186.2288,2022-04-30 14:00:00
70,1651323600,1.58,1.6,1.6,1.58,4237.53,6695.2973999999995,2022-04-30 13:00:00
71,1651320000,1.59,1.61,1.6,1.59,2694.52,4284.2868,2022-04-30 12:00:00
72,1651316400,1.6,1.62,1.6,1.6,1478.05,2364.88,2022-04-30 11:00:00
73,1651312800,1.6,1.62,1.6,1.6,1595.54,2552.864,2022-04-30 10:00:00
74,1651309200,1.6,1.61,1.6,1.6,2838.01,4540.816000000001,2022-04-30 09:00:00
75,1651305600,1.6,1.62,1.6,1.6,1917.18,3067.4880000000003,2022-04-30 08:00:00
76,1651302000,1.6,1.62,1.61,1.61,1579.31,2542.6891,2022-04-30 07:00:00
77,1651298400,1.61,1.63,1.62,1.61,2469.29,3975.5569,2022-04-30 06:00:00
78,1651294800,1.61,1.63,1.61,1.62,1950.66,3160.0692000000004,2022-04-30 05:00:00
79,1651291200,1.6,1.63,1.61,1.62,3929.68,6366.0816,2022-04-30 04:00:00
80,1651287600,1.6,1.63,1.62,1.6,5083.34,8133.344000000001,2022-04-30 03:00:00
81,1651284000,1.6,1.63,1.62,1.62,2421.56,3922.9272,2022-04-30 02:00:00
82,1651280400,1.6,1.64,1.63,1.62,8235.7,13341.834000000003,2022-04-30 01:00:00
83,1651276800,1.61,1.66,1.61,1.63,5445.43,8876.0509,2022-04-30 00:00:00
84,1651273200,1.61,1.63,1.61,1.61,2988.67,4811.7587,2022-04-29 23:00:00
85,1651269600,1.6,1.64,1.64,1.6,4061.12,6497.792,2022-04-29 22:00:00
86,1651266000,1.62,1.64,1.63,1.64,6788.6,11133.304,2022-04-29 21:00:00
87,1651262400,1.63,1.64,1.63,1.63,664.86,1083.7218,2022-04-29 20:00:00
88,1651258800,1.61,1.66,1.64,1.64,14477.36,23742.8704,2022-04-29 19:00:00
89,1651255200,1.64,1.67,1.64,1.64,4768.2,7819.847999999999,2022-04-29 18:00:00
90,1651251600,1.63,1.66,1.64,1.66,7823.23,12986.5618,2022-04-29 17:00:00
91,1651248000,1.62,1.65,1.65,1.63,18604.57,30325.449099999998,2022-04-29 16:00:00
92,1651244400,1.62,1.66,1.66,1.64,8020.22,13153.1608,2022-04-29 15:00:00
93,1651240800,1.65,1.7,1.69,1.66,9777.11,16230.0026,2022-04-29 14:00:00
94,1651237200,1.67,1.71,1.68,1.7,8425.05,14322.585,2022-04-29 13:00:00
95,1651233600,1.66,1.71,1.69,1.68,11610.33,19505.3544,2022-04-29 12:00:00
0,1651230000,1.69,1.7,1.7,1.7,3170.78,5390.326,2022-04-29 11:00:00
1,1651226400,1.7,1.71,1.71,1.71,441.35,754.7085000000001,2022-04-29 10:00:00
2,1651222800,1.7,1.72,1.72,1.7,89.53,152.201,2022-04-29 09:00:00
3,1651219200,1.7,1.72,1.7,1.72,1324.25,2277.71,2022-04-29 08:00:00
4,1651215600,1.7,1.73,1.73,1.71,1846.79,3158.0108999999998,2022-04-29 07:00:00
5,1651212000,1.7,1.73,1.72,1.71,3093.08,5289.1668,2022-04-29 06:00:00
6,1651208400,1.71,1.74,1.71,1.72,6653.65,11444.277999999998,2022-04-29 05:00:00
7,1651204800,1.71,1.72,1.71,1.71,776.77,1328.2767,2022-04-29 04:00:00
8,1651201200,1.71,1.73,1.73,1.71,2240.87,3831.8876999999998,2022-04-29 03:00:00
9,1651197600,1.71,1.77,1.77,1.73,8767.49,15167.7577,2022-04-29 02:00:00
10,1651194000,1.74,1.78,1.74,1.75,9932.89,17382.5575,2022-04-29 01:00:00
11,1651190400,1.73,1.83,1.83,1.74,28669.31,49884.5994,2022-04-29 00:00:00
12,1651186800,1.79,1.86,1.81,1.82,37704.57,68622.3174,2022-04-28 23:00:00
13,1651183200,1.77,1.85,1.78,1.81,37849.62,68507.8122,2022-04-28 22:00:00
14,1651179600,1.74,1.8,1.74,1.79,30183.9,54029.181000000004,2022-04-28 21:00:00
15,1651176000,1.73,1.76,1.75,1.75,4839.44,8469.019999999999,2022-04-28 20:00:00
16,1651172400,1.73,1.76,1.76,1.73,5172.37,8948.2001,2022-04-28 19:00:00
17,1651168800,1.74,1.76,1.75,1.75,2494.91,4366.0925,2022-04-28 18:00:00
18,1651165200,1.73,1.76,1.76,1.75,3696.73,6469.2775,2022-04-28 17:00:00
19,1651161600,1.73,1.76,1.73,1.74,10355.21,18018.0654,2022-04-28 16:00:00
20,1651158000,1.71,1.75,1.75,1.73,22334.47,38638.6331,2022-04-28 15:00:00
21,1651154400,1.72,1.78,1.75,1.76,22960.41,40410.3216,2022-04-28 14:00:00
22,1651150800,1.73,1.77,1.77,1.77,9917.47,17553.921899999998,2022-04-28 13:00:00
23,1651147200,1.76,1.79,1.78,1.77,3962.22,7013.1294,2022-04-28 12:00:00
24,1651143600,1.77,1.79,1.79,1.78,3431.04,6107.2512,2022-04-28 11:00:00
25,1651140000,1.77,1.8,1.8,1.78,5344.02,9512.3556,2022-04-28 10:00:00
26,1651136400,1.79,1.8,1.79,1.79,1226.4,2195.2560000000003,2022-04-28 09:00:00
27,1651132800,1.78,1.85,1.79,1.79,29946.11,53603.5369,2022-04-28 08:00:00
28,1651129200,1.73,1.79,1.74,1.79,14515.19,25982.1901,2022-04-28 07:00:00
29,1651125600,1.74,1.75,1.75,1.75,2404.64,4208.12,2022-04-28 06:00:00
30,1651122000,1.75,1.76,1.75,1.76,204.38,359.7088,2022-04-28 05:00:00
31,1651118400,1.73,1.76,1.73,1.75,4091.88,7160.79,2022-04-28 04:00:00
32,1651114800,1.7,1.74,1.74,1.72,28182.37,48473.6764,2022-04-28 03:00:00
33,1651111200,1.73,1.76,1.76,1.73,22927.87,39665.2151,2022-04-28 02:00:00
34,1651107600,1.72,1.78,1.77,1.76,34384.18,60516.156800000004,2022-04-28 01:00:00
35,1651104000,1.74,1.94,1.79,1.78,152742.49,271881.6322,2022-04-28 00:00:00
36,1651100400,1.66,1.87,1.67,1.79,164731.59,294869.5461,2022-04-27 23:00:00
37,1651096800,1.67,1.68,1.67,1.67,1304.53,2178.5651,2022-04-27 22:00:00
38,1651093200,1.65,1.68,1.67,1.68,4953.36,8321.6448,2022-04-27 21:00:00
39,1651089600,1.66,1.67,1.67,1.67,721.31,1204.5876999999998,2022-04-27 20:00:00
40,1651086000,1.66,1.68,1.68,1.67,1612.42,2692.7414,2022-04-27 19:00:00
41,1651082400,1.67,1.69,1.68,1.69,3528.22,5962.6918,2022-04-27 18:00:00
42,1651078800,1.66,1.69,1.69,1.68,2866.39,4815.535199999999,2022-04-27 17:00:00
