,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.7306,0.7529,0.7318,0.7509,162951.199278,122360.05553785019,2022-05-03 11:00:00
1,1651572000,0.727,0.7388,0.7361,0.7324,415014.19023,303956.392924452,2022-05-03 10:00:00
2,1651568400,0.7348,0.7536,0.7518,0.7361,236295.160331,173936.8675196491,2022-05-03 09:00:00
3,1651564800,0.7516,0.7569,0.752,0.7523,61223.375825,46058.3456331475,2022-05-03 08:00:00
4,1651561200,0.749,0.7564,0.7564,0.7519,357420.33862,268744.352608378,2022-05-03 07:00:00
5,1651557600,0.7503,0.761,0.7548,0.7559,235666.764102,178140.5069847018,2022-05-03 06:00:00
6,1651554000,0.7492,0.7573,0.7567,0.7545,111993.529055,84499.1176719975,2022-05-03 05:00:00
7,1651550400,0.7471,0.7578,0.7487,0.7569,279022.651008,211192.24454795523,2022-05-03 04:00:00
8,1651546800,0.7444,0.7572,0.7498,0.7492,442173.855777,331276.6527481284,2022-05-03 03:00:00
9,1651543200,0.745,0.7575,0.7517,0.7502,755635.150973,566877.4902599446,2022-05-03 02:00:00
10,1651539600,0.7405,0.7806,0.751,0.7519,1607991.567193,1209048.8593724167,2022-05-03 01:00:00
11,1651536000,0.7426,0.7526,0.7474,0.7511,902503.2044,677870.15682484,2022-05-03 00:00:00
12,1651532400,0.7416,0.7514,0.743,0.7474,480774.836797,359331.11302207777,2022-05-02 23:00:00
13,1651528800,0.7186,0.7548,0.7528,0.7425,822535.126237,610732.3312309725,2022-05-02 22:00:00
14,1651525200,0.7183,0.7798,0.7218,0.7524,877487.435567,660221.5465206107,2022-05-02 21:00:00
15,1651521600,0.7207,0.7305,0.7255,0.7218,204759.667337,147795.5278838466,2022-05-02 20:00:00
16,1651518000,0.7116,0.7331,0.7133,0.7255,449483.630954,326100.374257127,2022-05-02 19:00:00
17,1651514400,0.7036,0.7173,0.7099,0.7129,674580.7328,480908.60441311996,2022-05-02 18:00:00
18,1651510800,0.7046,0.726,0.726,0.71,784523.118283,557011.41398093,2022-05-02 17:00:00
19,1651507200,0.7234,0.733,0.7305,0.7262,255521.924645,185560.021677199,2022-05-02 16:00:00
20,1651503600,0.7258,0.7448,0.7393,0.7311,396786.897192,290090.90053707117,2022-05-02 15:00:00
21,1651500000,0.7264,0.76,0.7359,0.7389,963037.49346,711588.403917594,2022-05-02 14:00:00
22,1651496400,0.7167,0.741,0.7246,0.7359,985758.491075,725419.6735820925,2022-05-02 13:00:00
23,1651492800,0.7143,0.7342,0.7201,0.7247,807364.692489,585097.1926467783,2022-05-02 12:00:00
24,1651489200,0.713,0.7311,0.7222,0.7202,390619.309534,281324.0267263868,2022-05-02 11:00:00
25,1651485600,0.7148,0.7233,0.7207,0.7226,279545.526605,201999.597524773,2022-05-02 10:00:00
26,1651482000,0.7205,0.7407,0.728,0.7205,85937.006573,61917.613235846504,2022-05-02 09:00:00
