,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.505,1.591,1.507,1.57,1204649.88,1891300.3116,2022-05-03 11:00:00
1,1651572000,1.501,1.525,1.521,1.506,129035.8,194327.9148,2022-05-03 10:00:00
2,1651568400,1.514,1.529,1.522,1.52,87890.37,133593.36239999998,2022-05-03 09:00:00
3,1651564800,1.521,1.534,1.525,1.522,78564.11,119574.57542000001,2022-05-03 08:00:00
4,1651561200,1.519,1.532,1.529,1.525,87588.99,133573.20975,2022-05-03 07:00:00
5,1651557600,1.524,1.542,1.534,1.529,137786.84,210676.07835999998,2022-05-03 06:00:00
6,1651554000,1.513,1.542,1.525,1.535,170016.13,260974.75955,2022-05-03 05:00:00
7,1651550400,1.511,1.528,1.524,1.525,159582.76,243363.709,2022-05-03 04:00:00
8,1651546800,1.514,1.527,1.516,1.522,156742.86,238562.63291999997,2022-05-03 03:00:00
9,1651543200,1.506,1.538,1.528,1.516,454087.82,688397.13512,2022-05-03 02:00:00
10,1651539600,1.488,1.543,1.496,1.528,517825.93,791238.02104,2022-05-03 01:00:00
11,1651536000,1.485,1.508,1.506,1.495,211559.23,316281.04885,2022-05-03 00:00:00
12,1651532400,1.502,1.533,1.503,1.507,303247.88,456994.55516,2022-05-02 23:00:00
13,1651528800,1.501,1.524,1.508,1.502,311225.33,467460.44566,2022-05-02 22:00:00
14,1651525200,1.474,1.508,1.478,1.508,96036.94,144823.70552000002,2022-05-02 21:00:00
15,1651521600,1.476,1.5,1.499,1.477,151933.87,224406.32599,2022-05-02 20:00:00
16,1651518000,1.451,1.501,1.461,1.496,528530.75,790682.002,2022-05-02 19:00:00
17,1651514400,1.434,1.481,1.448,1.46,907440.29,1324862.8234,2022-05-02 18:00:00
18,1651510800,1.432,1.482,1.482,1.45,427666.41,620116.2945,2022-05-02 17:00:00
19,1651507200,1.479,1.505,1.501,1.482,684893.21,1015011.7372199999,2022-05-02 16:00:00
20,1651503600,1.494,1.519,1.503,1.501,239896.66,360084.88665999996,2022-05-02 15:00:00
21,1651500000,1.476,1.516,1.496,1.503,498668.45,749498.6803499999,2022-05-02 14:00:00
22,1651496400,1.446,1.508,1.465,1.497,855827.84,1281174.27648,2022-05-02 13:00:00
23,1651492800,1.458,1.49,1.463,1.466,372356.48,545874.59968,2022-05-02 12:00:00
24,1651489200,1.452,1.476,1.471,1.464,511033.22,748152.63408,2022-05-02 11:00:00
25,1651485600,1.465,1.486,1.482,1.471,191408.14,281561.37394,2022-05-02 10:00:00
26,1651482000,1.479,1.509,1.497,1.482,182663.25,270706.9365,2022-05-02 09:00:00
27,1651478400,1.494,1.54,1.53,1.498,212898.82,318922.43236000004,2022-05-02 08:00:00
28,1651474800,1.526,1.549,1.539,1.53,103469.67,158308.5951,2022-05-02 07:00:00
29,1651471200,1.535,1.556,1.543,1.538,134205.63,206408.25894,2022-05-02 06:00:00
30,1651467600,1.537,1.548,1.543,1.543,146818.88,226541.53184,2022-05-02 05:00:00
31,1651464000,1.52,1.552,1.524,1.543,333885.72,515185.66595999995,2022-05-02 04:00:00
32,1651460400,1.521,1.539,1.526,1.523,257645.22,392393.67006,2022-05-02 03:00:00
33,1651456800,1.511,1.532,1.529,1.526,216564.06,330476.75556,2022-05-02 02:00:00
34,1651453200,1.527,1.554,1.548,1.529,286156.73,437533.64016999997,2022-05-02 01:00:00
35,1651449600,1.523,1.583,1.526,1.548,765868.58,1185564.5618399999,2022-05-02 00:00:00
36,1651446000,1.495,1.546,1.505,1.526,664054.87,1013347.73162,2022-05-01 23:00:00
37,1651442400,1.496,1.527,1.497,1.504,287004.24,431654.37695999997,2022-05-01 22:00:00
38,1651438800,1.486,1.516,1.513,1.497,143366.65,214619.87505,2022-05-01 21:00:00
39,1651435200,1.474,1.514,1.482,1.514,205639.15,311337.6731,2022-05-01 20:00:00
40,1651431600,1.459,1.505,1.473,1.482,405305.09,600662.14338,2022-05-01 19:00:00
41,1651428000,1.473,1.521,1.517,1.474,231878.63,341789.10062,2022-05-01 18:00:00
42,1651424400,1.516,1.561,1.538,1.519,473119.98,718669.2496199999,2022-05-01 17:00:00
43,1651420800,1.515,1.547,1.521,1.537,506461.87,778431.8941899999,2022-05-01 16:00:00
44,1651417200,1.459,1.532,1.459,1.522,728406.3,1108634.3886000002,2022-05-01 15:00:00
45,1651413600,1.45,1.467,1.461,1.459,236651.19,345274.08621000004,2022-05-01 14:00:00
46,1651410000,1.458,1.473,1.465,1.461,277514.61,405448.84521,2022-05-01 13:00:00
47,1651406400,1.445,1.474,1.463,1.463,436125.44,638051.51872,2022-05-01 12:00:00
48,1651402800,1.457,1.483,1.477,1.463,195758.22,286394.27586,2022-05-01 11:00:00
49,1651399200,1.466,1.491,1.468,1.477,199943.94,295317.19938,2022-05-01 10:00:00
50,1651395600,1.458,1.485,1.485,1.467,182957.34,268398.41778,2022-05-01 09:00:00
51,1651392000,1.454,1.485,1.455,1.485,128988.51,191547.93735,2022-05-01 08:00:00
52,1651388400,1.448,1.461,1.457,1.455,188539.32,274324.71060000005,2022-05-01 07:00:00
53,1651384800,1.455,1.487,1.471,1.457,233854.27,340725.67139,2022-05-01 06:00:00
54,1651381200,1.431,1.485,1.433,1.472,411734.63,606073.37536,2022-05-01 05:00:00
55,1651377600,1.422,1.451,1.449,1.432,322249.87,461461.81383999996,2022-05-01 04:00:00
56,1651374000,1.426,1.452,1.426,1.448,372023.55,538690.1004,2022-05-01 03:00:00
57,1651370400,1.424,1.449,1.44,1.426,394332.76,562318.51576,2022-05-01 02:00:00
58,1651366800,1.399,1.448,1.435,1.44,726565.11,1046253.7583999999,2022-05-01 01:00:00
59,1651363200,1.418,1.463,1.433,1.435,1202078.05,1724982.00175,2022-05-01 00:00:00
60,1651359600,1.338,1.501,1.491,1.434,4300837.06,6167400.344039999,2022-04-30 23:00:00
61,1651356000,1.487,1.533,1.532,1.491,1170897.24,1745807.78484,2022-04-30 22:00:00
62,1651352400,1.533,1.551,1.546,1.533,180264.1,276344.8653,2022-04-30 21:00:00
63,1651348800,1.545,1.56,1.559,1.546,189791.16,293417.13336000004,2022-04-30 20:00:00
64,1651345200,1.541,1.561,1.556,1.56,237638.06,370715.3736,2022-04-30 19:00:00
65,1651341600,1.544,1.564,1.55,1.557,415897.57,647552.51649,2022-04-30 18:00:00
66,1651338000,1.535,1.591,1.591,1.551,911209.44,1413285.8414399999,2022-04-30 17:00:00
67,1651334400,1.59,1.614,1.606,1.592,222936.33,354914.63736,2022-04-30 16:00:00
