,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,3.9,4.0,3.91,3.99,5006.85,19977.331500000004,2022-05-03 11:00:00
1,1651572000,3.87,3.94,3.94,3.92,6743.19,26433.304799999998,2022-05-03 10:00:00
2,1651568400,3.92,3.98,3.94,3.94,5798.21,22844.9474,2022-05-03 09:00:00
3,1651564800,3.93,4.03,4.03,3.94,4284.66,16881.5604,2022-05-03 08:00:00
4,1651561200,3.92,4.06,3.99,4.03,8940.61,36030.6583,2022-05-03 07:00:00
5,1651557600,3.85,4.0,3.91,4.0,6281.35,25125.4,2022-05-03 06:00:00
6,1651554000,3.82,3.91,3.86,3.91,5297.67,20713.8897,2022-05-03 05:00:00
7,1651550400,3.83,3.86,3.84,3.86,3152.1,12167.106,2022-05-03 04:00:00
8,1651546800,3.82,3.87,3.84,3.85,1890.86,7279.811,2022-05-03 03:00:00
9,1651543200,3.81,3.86,3.85,3.84,2215.86,8508.9024,2022-05-03 02:00:00
10,1651539600,3.77,3.86,3.78,3.84,3270.25,12557.76,2022-05-03 01:00:00
11,1651536000,3.73,3.78,3.76,3.78,2859.09,10807.3602,2022-05-03 00:00:00
12,1651532400,3.76,3.8,3.76,3.76,3607.2,13563.071999999998,2022-05-02 23:00:00
13,1651528800,3.76,3.79,3.77,3.76,18107.81,68085.3656,2022-05-02 22:00:00
14,1651525200,3.71,3.78,3.71,3.78,2599.54,9826.261199999999,2022-05-02 21:00:00
15,1651521600,3.7,3.75,3.74,3.71,2263.06,8395.9526,2022-05-02 20:00:00
16,1651518000,3.69,3.76,3.69,3.73,4127.15,15394.269499999999,2022-05-02 19:00:00
17,1651514400,3.64,3.71,3.66,3.69,14562.27,53734.7763,2022-05-02 18:00:00
18,1651510800,3.64,3.73,3.73,3.67,8086.58,29677.7486,2022-05-02 17:00:00
19,1651507200,3.72,3.79,3.77,3.72,2974.23,11064.135600000001,2022-05-02 16:00:00
20,1651503600,3.75,3.83,3.82,3.77,4115.95,15517.1315,2022-05-02 15:00:00
21,1651500000,3.77,3.86,3.82,3.82,3433.85,13117.306999999999,2022-05-02 14:00:00
22,1651496400,3.74,3.85,3.78,3.82,6495.54,24812.962799999998,2022-05-02 13:00:00
23,1651492800,3.76,3.85,3.77,3.78,4228.01,15981.8778,2022-05-02 12:00:00
24,1651489200,3.74,3.79,3.78,3.77,7143.52,26931.0704,2022-05-02 11:00:00
25,1651485600,3.77,3.91,3.9,3.78,9351.65,35349.236999999994,2022-05-02 10:00:00
26,1651482000,3.88,3.99,3.98,3.89,4905.65,19082.978499999997,2022-05-02 09:00:00
27,1651478400,3.96,4.05,4.03,3.98,7480.67,29773.066600000002,2022-05-02 08:00:00
28,1651474800,4.03,4.09,4.06,4.03,5617.79,22639.6937,2022-05-02 07:00:00
29,1651471200,4.04,4.08,4.04,4.05,6080.9,24627.644999999997,2022-05-02 06:00:00
30,1651467600,3.99,4.05,4.03,4.04,3932.06,15885.5224,2022-05-02 05:00:00
31,1651464000,3.95,4.05,3.97,4.03,4931.41,19873.582300000002,2022-05-02 04:00:00
32,1651460400,3.94,4.0,3.97,3.97,4437.31,17616.120700000003,2022-05-02 03:00:00
33,1651456800,3.95,4.01,3.99,3.97,4621.44,18347.1168,2022-05-02 02:00:00
34,1651453200,3.97,4.07,4.05,3.97,3865.85,15347.424500000001,2022-05-02 01:00:00
35,1651449600,3.97,4.08,3.99,4.04,6966.84,28146.033600000002,2022-05-02 00:00:00
36,1651446000,3.82,4.02,3.83,3.99,22849.09,91167.86910000001,2022-05-01 23:00:00
37,1651442400,3.82,3.88,3.82,3.83,5196.73,19903.475899999998,2022-05-01 22:00:00
38,1651438800,3.77,3.85,3.84,3.8,3121.23,11860.673999999999,2022-05-01 21:00:00
39,1651435200,3.76,3.84,3.8,3.83,5285.17,20242.201100000002,2022-05-01 20:00:00
40,1651431600,3.75,3.85,3.76,3.8,9608.88,36513.744,2022-05-01 19:00:00
41,1651428000,3.75,3.83,3.83,3.75,7851.24,29442.149999999998,2022-05-01 18:00:00
42,1651424400,3.82,3.91,3.89,3.83,7552.73,28926.955899999997,2022-05-01 17:00:00
43,1651420800,3.84,3.92,3.88,3.89,16972.26,66022.09139999999,2022-05-01 16:00:00
44,1651417200,3.71,3.87,3.71,3.87,12332.65,47727.3555,2022-05-01 15:00:00
45,1651413600,3.69,3.74,3.7,3.7,5582.02,20653.474000000002,2022-05-01 14:00:00
46,1651410000,3.7,3.76,3.74,3.71,5363.58,19898.8818,2022-05-01 13:00:00
47,1651406400,3.65,3.73,3.69,3.73,8885.34,33142.3182,2022-05-01 12:00:00
48,1651402800,3.68,3.76,3.76,3.68,4614.09,16979.8512,2022-05-01 11:00:00
49,1651399200,3.76,3.81,3.8,3.76,6585.53,24761.5928,2022-05-01 10:00:00
50,1651395600,3.77,3.86,3.85,3.79,6907.3,26178.667,2022-05-01 09:00:00
51,1651392000,3.82,3.87,3.84,3.85,7990.21,30762.3085,2022-05-01 08:00:00
52,1651388400,3.8,3.84,3.81,3.84,8927.51,34281.638399999996,2022-05-01 07:00:00
53,1651384800,3.8,3.87,3.84,3.8,6881.82,26150.915999999997,2022-05-01 06:00:00
54,1651381200,3.74,3.83,3.75,3.83,9838.28,37680.612400000005,2022-05-01 05:00:00
55,1651377600,3.65,3.74,3.69,3.74,11906.12,44528.88880000001,2022-05-01 04:00:00
56,1651374000,3.66,3.72,3.66,3.69,13287.38,49030.432199999996,2022-05-01 03:00:00
57,1651370400,3.65,3.75,3.7,3.66,8107.14,29672.132400000002,2022-05-01 02:00:00
58,1651366800,3.58,3.74,3.69,3.71,21450.2,79580.242,2022-05-01 01:00:00
59,1651363200,3.63,3.77,3.73,3.7,15907.91,58859.267,2022-05-01 00:00:00
60,1651359600,3.61,3.95,3.91,3.73,41907.53,156315.0869,2022-04-30 23:00:00
61,1651356000,3.9,4.05,4.05,3.91,15728.64,61498.9824,2022-04-30 22:00:00
62,1651352400,4.06,4.14,4.11,4.06,3459.97,14047.478199999998,2022-04-30 21:00:00
63,1651348800,4.11,4.16,4.14,4.12,5149.66,21216.5992,2022-04-30 20:00:00
64,1651345200,4.08,4.16,4.1,4.13,6846.51,28276.0863,2022-04-30 19:00:00
65,1651341600,4.05,4.13,4.11,4.1,7719.12,31648.391999999996,2022-04-30 18:00:00
66,1651338000,4.08,4.24,4.22,4.11,11863.7,48759.80700000001,2022-04-30 17:00:00
67,1651334400,4.14,4.41,4.21,4.22,25229.44,106468.23679999998,2022-04-30 16:00:00
68,1651330800,4.2,4.32,4.24,4.21,10971.36,46189.4256,2022-04-30 15:00:00
69,1651327200,4.23,4.43,4.42,4.26,15490.55,65989.74299999999,2022-04-30 14:00:00
70,1651323600,4.33,4.51,4.33,4.41,20124.44,88748.7804,2022-04-30 13:00:00
71,1651320000,4.19,4.43,4.19,4.33,44298.64,191813.1112,2022-04-30 12:00:00
72,1651316400,4.12,4.22,4.12,4.19,8151.4,34154.366,2022-04-30 11:00:00
73,1651312800,4.06,4.12,4.06,4.1,3047.76,12495.816,2022-04-30 10:00:00
74,1651309200,4.04,4.09,4.09,4.06,4387.18,17811.9508,2022-04-30 09:00:00
75,1651305600,4.03,4.12,4.1,4.08,7267.82,29652.7056,2022-04-30 08:00:00
76,1651302000,4.1,4.18,4.18,4.11,5346.98,21976.0878,2022-04-30 07:00:00
77,1651298400,4.14,4.18,4.17,4.18,2509.5,10489.71,2022-04-30 06:00:00
78,1651294800,4.11,4.18,4.12,4.17,1588.93,6625.8381,2022-04-30 05:00:00
79,1651291200,4.09,4.15,4.11,4.11,3509.93,14425.8123,2022-04-30 04:00:00
80,1651287600,4.09,4.14,4.13,4.11,3483.72,14318.0892,2022-04-30 03:00:00
81,1651284000,4.13,4.23,4.19,4.15,8413.8,34917.27,2022-04-30 02:00:00
82,1651280400,4.14,4.21,4.15,4.19,3568.42,14951.679800000002,2022-04-30 01:00:00
83,1651276800,4.06,4.16,4.1,4.16,4943.72,20565.875200000002,2022-04-30 00:00:00
84,1651273200,4.05,4.11,4.07,4.09,7050.2,28835.318,2022-04-29 23:00:00
85,1651269600,4.0,4.08,4.07,4.08,3972.17,16206.4536,2022-04-29 22:00:00
86,1651266000,4.07,4.16,4.16,4.07,2391.94,9735.195800000001,2022-04-29 21:00:00
87,1651262400,4.15,4.25,4.24,4.16,9084.08,37789.7728,2022-04-29 20:00:00
88,1651258800,4.2,4.33,4.32,4.24,8006.08,33945.779200000004,2022-04-29 19:00:00
89,1651255200,4.28,4.39,4.38,4.32,4991.07,21561.4224,2022-04-29 18:00:00
90,1651251600,4.36,4.44,4.42,4.39,4288.97,18828.5783,2022-04-29 17:00:00
91,1651248000,4.33,4.45,4.4,4.41,8514.89,37550.664899999996,2022-04-29 16:00:00
92,1651244400,4.36,4.42,4.4,4.42,3173.82,14028.2844,2022-04-29 15:00:00
93,1651240800,4.36,4.45,4.44,4.39,6719.61,29499.087899999995,2022-04-29 14:00:00
94,1651237200,4.4,4.56,4.54,4.44,5549.36,24639.1584,2022-04-29 13:00:00
95,1651233600,4.5,4.66,4.54,4.53,7526.08,34093.142400000004,2022-04-29 12:00:00
0,1651230000,4.49,4.61,4.6,4.53,10169.6,46068.28800000001,2022-04-29 11:00:00
1,1651226400,4.51,4.7,4.62,4.6,8402.86,38653.156,2022-04-29 10:00:00
2,1651222800,4.54,4.7,4.58,4.63,14936.17,69154.4671,2022-04-29 09:00:00
3,1651219200,4.58,4.73,4.71,4.58,8786.74,40243.2692,2022-04-29 08:00:00
4,1651215600,4.64,4.75,4.64,4.71,5169.48,24348.250799999998,2022-04-29 07:00:00
5,1651212000,4.59,4.65,4.59,4.65,4483.48,20848.182,2022-04-29 06:00:00
6,1651208400,4.54,4.61,4.55,4.58,11882.35,54421.163,2022-04-29 05:00:00
7,1651204800,4.46,4.56,4.5,4.55,11207.44,50993.852,2022-04-29 04:00:00
8,1651201200,4.49,4.74,4.72,4.51,10798.38,48700.693799999994,2022-04-29 03:00:00
9,1651197600,4.67,4.8,4.8,4.72,9173.74,43300.0528,2022-04-29 02:00:00
10,1651194000,4.75,4.85,4.8,4.81,8542.02,41087.1162,2022-04-29 01:00:00
11,1651190400,4.68,4.84,4.68,4.79,9342.43,44750.2397,2022-04-29 00:00:00
12,1651186800,4.65,4.96,4.79,4.68,29797.16,139450.7088,2022-04-28 23:00:00
13,1651183200,4.73,4.8,4.77,4.8,28551.78,137048.544,2022-04-28 22:00:00
14,1651179600,4.69,4.8,4.76,4.78,17650.47,84369.24660000001,2022-04-28 21:00:00
15,1651176000,4.71,4.81,4.74,4.75,8655.07,41111.5825,2022-04-28 20:00:00
16,1651172400,4.72,4.88,4.73,4.75,16340.68,77618.23,2022-04-28 19:00:00
17,1651168800,4.7,4.76,4.74,4.72,9552.4,45087.327999999994,2022-04-28 18:00:00
18,1651165200,4.57,4.78,4.57,4.75,18915.32,89847.77,2022-04-28 17:00:00
19,1651161600,4.47,4.61,4.53,4.58,6938.31,31777.4598,2022-04-28 16:00:00
20,1651158000,4.47,4.64,4.57,4.53,10324.45,46769.7585,2022-04-28 15:00:00
21,1651154400,4.47,4.57,4.5,4.56,13808.16,62965.209599999995,2022-04-28 14:00:00
22,1651150800,4.45,4.59,4.53,4.51,18116.24,81704.2424,2022-04-28 13:00:00
23,1651147200,4.51,4.64,4.61,4.53,7999.55,36237.961500000005,2022-04-28 12:00:00
24,1651143600,4.57,4.66,4.62,4.62,19056.79,88042.3698,2022-04-28 11:00:00
25,1651140000,4.55,4.62,4.58,4.62,23589.8,108984.876,2022-04-28 10:00:00
26,1651136400,4.48,4.58,4.48,4.58,4390.98,20110.6884,2022-04-28 09:00:00
27,1651132800,4.43,4.51,4.45,4.47,16139.47,72143.43089999999,2022-04-28 08:00:00
28,1651129200,4.45,4.5,4.47,4.46,9032.3,40284.058,2022-04-28 07:00:00
29,1651125600,4.41,4.49,4.41,4.47,5749.13,25698.6111,2022-04-28 06:00:00
30,1651122000,4.38,4.45,4.43,4.42,10819.03,47820.1126,2022-04-28 05:00:00
31,1651118400,4.36,4.46,4.39,4.41,9939.87,43834.826700000005,2022-04-28 04:00:00
32,1651114800,4.33,4.47,4.36,4.38,10790.19,47261.0322,2022-04-28 03:00:00
33,1651111200,4.29,4.38,4.3,4.36,8643.61,37686.1396,2022-04-28 02:00:00
34,1651107600,4.29,4.39,4.37,4.31,5793.05,24968.0455,2022-04-28 01:00:00
35,1651104000,4.25,4.39,4.26,4.38,21138.25,92585.535,2022-04-28 00:00:00
36,1651100400,4.18,4.27,4.21,4.26,1907.52,8126.035199999999,2022-04-27 23:00:00
37,1651096800,4.18,4.23,4.21,4.21,7293.39,30705.1719,2022-04-27 22:00:00
38,1651093200,4.16,4.22,4.18,4.22,5646.7,23829.073999999997,2022-04-27 21:00:00
39,1651089600,4.11,4.18,4.17,4.17,2603.43,10856.3031,2022-04-27 20:00:00
40,1651086000,4.16,4.23,4.23,4.17,5420.07,22601.691899999998,2022-04-27 19:00:00
41,1651082400,4.19,4.29,4.21,4.21,28401.05,119568.4205,2022-04-27 18:00:00
42,1651078800,4.08,4.25,4.1,4.2,17318.45,72737.49,2022-04-27 17:00:00
43,1651075200,4.08,4.16,4.13,4.1,12189.45,49976.744999999995,2022-04-27 16:00:00
44,1651071600,4.03,4.14,4.05,4.12,13028.25,53676.39,2022-04-27 15:00:00
45,1651068000,3.94,4.09,4.01,4.05,11964.1,48454.604999999996,2022-04-27 14:00:00
46,1651064400,3.91,4.05,3.93,3.99,2869.63,11449.8237,2022-04-27 13:00:00
47,1651060800,3.9,3.97,3.95,3.92,2661.8,10434.256000000001,2022-04-27 12:00:00
48,1651057200,3.9,4.0,3.99,3.96,3572.11,14145.5556,2022-04-27 11:00:00
49,1651053600,3.98,4.01,4.01,4.0,2695.87,10783.48,2022-04-27 10:00:00
50,1651050000,3.96,4.0,4.0,4.0,1187.03,4748.12,2022-04-27 09:00:00
51,1651046400,3.95,4.02,4.01,4.0,3141.11,12564.44,2022-04-27 08:00:00
52,1651042800,3.95,4.01,3.99,4.01,3808.48,15272.004799999999,2022-04-27 07:00:00
53,1651039200,3.92,3.99,3.93,3.99,2005.24,8000.9076000000005,2022-04-27 06:00:00
54,1651035600,3.9,4.0,3.9,3.93,6786.53,26671.0629,2022-04-27 05:00:00
55,1651032000,3.82,3.91,3.83,3.9,6685.02,26071.578,2022-04-27 04:00:00
56,1651028400,3.82,3.89,3.89,3.83,2756.19,10556.2077,2022-04-27 03:00:00
57,1651024800,3.87,3.9,3.89,3.9,1531.23,5971.797,2022-04-27 02:00:00
58,1651021200,3.83,3.88,3.83,3.88,1757.6,6819.487999999999,2022-04-27 01:00:00
59,1651017600,3.79,3.85,3.81,3.83,3333.84,12768.6072,2022-04-27 00:00:00
60,1651014000,3.74,3.84,3.83,3.8,2826.51,10740.738000000001,2022-04-26 23:00:00
61,1651010400,3.82,3.88,3.86,3.83,1966.66,7532.3078000000005,2022-04-26 22:00:00
62,1651006800,3.81,3.86,3.81,3.86,2805.99,10831.121399999998,2022-04-26 21:00:00
63,1651003200,3.77,3.83,3.8,3.81,6391.77,24352.6437,2022-04-26 20:00:00
64,1650999600,3.73,3.85,3.84,3.8,6211.05,23601.989999999998,2022-04-26 19:00:00
65,1650996000,3.8,3.84,3.8,3.84,3517.32,13506.5088,2022-04-26 18:00:00
66,1650992400,3.77,3.82,3.82,3.81,2396.57,9130.931700000001,2022-04-26 17:00:00
67,1650988800,3.78,3.86,3.79,3.83,6375.54,24418.3182,2022-04-26 16:00:00
68,1650985200,3.79,3.84,3.82,3.8,1464.22,5564.036,2022-04-26 15:00:00
69,1650981600,3.83,3.92,3.91,3.83,6389.6,24472.168,2022-04-26 14:00:00
70,1650978000,3.91,4.05,4.02,3.91,5428.26,21224.496600000002,2022-04-26 13:00:00
71,1650974400,4.0,4.08,4.06,4.03,2953.33,11901.9199,2022-04-26 12:00:00
72,1650970800,4.02,4.08,4.08,4.06,3696.35,15007.180999999999,2022-04-26 11:00:00
73,1650967200,4.05,4.09,4.06,4.08,3011.47,12286.7976,2022-04-26 10:00:00
74,1650963600,4.04,4.09,4.09,4.06,1702.19,6910.8913999999995,2022-04-26 09:00:00
