,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.0944,1.1097,1.0973,1.1088,1227449.2,1360995.6729599999,2022-05-03 11:00:00
1,1651572000,1.0932,1.1052,1.1023,1.0974,499484.7,548134.50978,2022-05-03 10:00:00
2,1651568400,1.0997,1.1082,1.1056,1.1024,512051.3,564485.35312,2022-05-03 09:00:00
3,1651564800,1.1055,1.1124,1.1084,1.1055,322211.9,356205.25545,2022-05-03 08:00:00
4,1651561200,1.1065,1.1164,1.1079,1.1083,671839.7,744599.9395099999,2022-05-03 07:00:00
5,1651557600,1.0942,1.1136,1.099,1.1084,713958.2,791351.26888,2022-05-03 06:00:00
6,1651554000,1.085,1.1025,1.0933,1.0995,596711.6,656084.4041999999,2022-05-03 05:00:00
7,1651550400,1.0883,1.0959,1.0911,1.093,347822.0,380169.446,2022-05-03 04:00:00
8,1651546800,1.083,1.0936,1.0831,1.0912,618343.0,674735.8816,2022-05-03 03:00:00
9,1651543200,1.074,1.0909,1.0871,1.0832,875692.2,948549.7910399999,2022-05-03 02:00:00
10,1651539600,1.0729,1.0907,1.0783,1.087,697778.9,758485.6643,2022-05-03 01:00:00
11,1651536000,1.0725,1.0824,1.0768,1.0783,660841.6,712585.49728,2022-05-03 00:00:00
12,1651532400,1.072,1.0861,1.0775,1.0761,777113.0,836251.2993000001,2022-05-02 23:00:00
13,1651528800,1.0759,1.0907,1.0798,1.0774,475566.2,512375.02388,2022-05-02 22:00:00
14,1651525200,1.0596,1.0824,1.0619,1.0801,643768.2,695334.03282,2022-05-02 21:00:00
15,1651521600,1.0591,1.0711,1.0696,1.0619,746624.7,792840.76893,2022-05-02 20:00:00
16,1651518000,1.0465,1.0719,1.0516,1.0696,1399488.6,1496893.0065600004,2022-05-02 19:00:00
17,1651514400,1.0366,1.0552,1.0474,1.0511,1719737.1,1807615.66581,2022-05-02 18:00:00
18,1651510800,1.0378,1.0677,1.0677,1.0475,2874917.0,3011475.5575,2022-05-02 17:00:00
19,1651507200,1.064,1.0827,1.0798,1.0673,1881014.0,2007606.2421999997,2022-05-02 16:00:00
20,1651503600,1.075,1.0946,1.0874,1.0796,1292950.3,1395869.1438799999,2022-05-02 15:00:00
21,1651500000,1.0724,1.098,1.0813,1.0875,2353607.2,2559547.83,2022-05-02 14:00:00
22,1651496400,1.0521,1.098,1.068,1.0814,3071133.5,3321123.7668999997,2022-05-02 13:00:00
23,1651492800,1.0624,1.0813,1.0657,1.0689,1355635.8,1449039.10662,2022-05-02 12:00:00
24,1651489200,1.0563,1.0747,1.0741,1.0664,2398287.8,2557534.1099199997,2022-05-02 11:00:00
25,1651485600,1.0716,1.0861,1.0833,1.0737,1027401.9,1103121.4200300002,2022-05-02 10:00:00
26,1651482000,1.0826,1.1036,1.0881,1.0838,578524.9,627005.28662,2022-05-02 09:00:00
27,1651478400,1.0863,1.1085,1.1048,1.0881,668058.8,726914.7802800001,2022-05-02 08:00:00
28,1651474800,1.1017,1.1156,1.1055,1.1047,486040.0,536928.388,2022-05-02 07:00:00
29,1651471200,1.1051,1.1208,1.1184,1.1053,625476.5,691339.17545,2022-05-02 06:00:00
30,1651467600,1.1059,1.1195,1.1122,1.1182,898832.3,1005074.2778600001,2022-05-02 05:00:00
31,1651464000,1.0961,1.114,1.1019,1.1124,633814.2,705054.91608,2022-05-02 04:00:00
32,1651460400,1.1,1.1068,1.1009,1.1018,481805.7,530853.5202599999,2022-05-02 03:00:00
33,1651456800,1.0928,1.1039,1.1034,1.1005,754534.3,830364.9971500001,2022-05-02 02:00:00
34,1651453200,1.103,1.1177,1.1041,1.1032,841204.5,928016.8044,2022-05-02 01:00:00
35,1651449600,1.0971,1.1123,1.0991,1.104,988053.6,1090811.1744000001,2022-05-02 00:00:00
36,1651446000,1.087,1.1131,1.0911,1.0991,859276.5,944430.80115,2022-05-01 23:00:00
37,1651442400,1.0833,1.1033,1.0837,1.0907,1251346.7,1364843.8456899999,2022-05-01 22:00:00
38,1651438800,1.0759,1.0989,1.0983,1.0834,768530.1,832625.5103399999,2022-05-01 21:00:00
39,1651435200,1.0657,1.1,1.0692,1.0991,994473.0,1093025.2743,2022-05-01 20:00:00
40,1651431600,1.0624,1.0781,1.0706,1.0686,2382778.5,2546237.1051,2022-05-01 19:00:00
41,1651428000,1.0698,1.1038,1.1029,1.0701,1416031.9,1515295.73619,2022-05-01 18:00:00
42,1651424400,1.1019,1.1231,1.1117,1.103,1145184.6,1263138.6138000002,2022-05-01 17:00:00
43,1651420800,1.1019,1.1208,1.1148,1.1116,2356752.2,2619765.74552,2022-05-01 16:00:00
44,1651417200,1.0813,1.1198,1.0817,1.1144,1764266.9,1966099.03336,2022-05-01 15:00:00
45,1651413600,1.0752,1.0868,1.0812,1.0814,611660.4,661449.5565599999,2022-05-01 14:00:00
46,1651410000,1.0792,1.0903,1.0816,1.0809,573051.9,619411.79871,2022-05-01 13:00:00
47,1651406400,1.0728,1.0862,1.083,1.0813,739087.7,799175.5300099999,2022-05-01 12:00:00
48,1651402800,1.0821,1.1033,1.0908,1.0828,650229.9,704068.9357200001,2022-05-01 11:00:00
49,1651399200,1.0863,1.0946,1.0887,1.0908,556150.5,606648.9654,2022-05-01 10:00:00
50,1651395600,1.0838,1.1023,1.1004,1.0887,343518.2,373988.26434,2022-05-01 09:00:00
51,1651392000,1.0787,1.1038,1.0791,1.1007,824388.4,907404.31188,2022-05-01 08:00:00
52,1651388400,1.0773,1.0879,1.0861,1.0795,488079.2,526881.4964,2022-05-01 07:00:00
53,1651384800,1.0829,1.1056,1.0979,1.0859,660125.7,716830.49763,2022-05-01 06:00:00
54,1651381200,1.0604,1.1073,1.0641,1.0979,1389893.1,1525963.6344900003,2022-05-01 05:00:00
55,1651377600,1.0584,1.0667,1.0653,1.0641,578352.0,615424.3632,2022-05-01 04:00:00
56,1651374000,1.0445,1.0669,1.0458,1.0654,840479.4,895446.75276,2022-05-01 03:00:00
57,1651370400,1.0444,1.0587,1.0511,1.0457,1616816.4,1690704.90948,2022-05-01 02:00:00
58,1651366800,1.0146,1.0522,1.0312,1.0511,2469855.6,2596065.2211599997,2022-05-01 01:00:00
59,1651363200,1.0274,1.0459,1.0327,1.0315,2096615.7,2162659.09455,2022-05-01 00:00:00
60,1651359600,1.0118,1.0795,1.0741,1.0327,6385503.1,6594309.05137,2022-04-30 23:00:00
61,1651356000,1.0707,1.0942,1.0924,1.0742,1455303.5,1563287.0197,2022-04-30 22:00:00
62,1651352400,1.0923,1.1037,1.1008,1.0925,435305.0,475570.7125,2022-04-30 21:00:00
63,1651348800,1.0989,1.1108,1.1106,1.1008,1136025.2,1250536.5401599999,2022-04-30 20:00:00
64,1651345200,1.0856,1.1144,1.0899,1.1107,1652869.2,1835841.82044,2022-04-30 19:00:00
65,1651341600,1.0773,1.0916,1.082,1.0899,1812343.3,1975272.9626700003,2022-04-30 18:00:00
66,1651338000,1.0771,1.0957,1.0957,1.0823,3871551.5,4190180.1884500002,2022-04-30 17:00:00
67,1651334400,1.0948,1.1151,1.1144,1.0959,1408224.7,1543273.44873,2022-04-30 16:00:00
68,1651330800,1.0992,1.1194,1.1041,1.1146,1440550.0,1605637.03,2022-04-30 15:00:00
69,1651327200,1.1021,1.1342,1.13,1.1038,1379114.3,1522266.3643399999,2022-04-30 14:00:00
70,1651323600,1.1293,1.1449,1.1397,1.1301,527481.6,596106.9561600001,2022-04-30 13:00:00
71,1651320000,1.1382,1.1466,1.1423,1.1397,290305.8,330861.52025999996,2022-04-30 12:00:00
72,1651316400,1.1372,1.1471,1.1374,1.1422,285255.7,325819.06054000003,2022-04-30 11:00:00
73,1651312800,1.1342,1.1424,1.1394,1.1374,303721.5,345452.8341,2022-04-30 10:00:00
74,1651309200,1.1376,1.147,1.1457,1.1394,496478.3,565687.3750199999,2022-04-30 09:00:00
75,1651305600,1.1385,1.1523,1.1523,1.1462,424061.5,486059.29130000004,2022-04-30 08:00:00
76,1651302000,1.1495,1.1658,1.1631,1.1523,563591.2,649426.13976,2022-04-30 07:00:00
77,1651298400,1.1575,1.1641,1.1622,1.1628,297345.6,345753.46368,2022-04-30 06:00:00
78,1651294800,1.1507,1.1636,1.1532,1.1619,257578.7,299280.69153,2022-04-30 05:00:00
79,1651291200,1.1483,1.1588,1.1537,1.1522,452621.1,521510.0314199999,2022-04-30 04:00:00
80,1651287600,1.1426,1.1552,1.1523,1.1532,504487.7,581775.2156400001,2022-04-30 03:00:00
81,1651284000,1.1516,1.1655,1.1597,1.1524,814212.8,938298.8307200001,2022-04-30 02:00:00
82,1651280400,1.1497,1.1638,1.1525,1.1596,1138912.9,1320683.39884,2022-04-30 01:00:00
83,1651276800,1.1343,1.1526,1.1407,1.1526,1537226.2,1771806.91812,2022-04-30 00:00:00
84,1651273200,1.1364,1.1462,1.1422,1.1403,1072364.2,1222816.89726,2022-04-29 23:00:00
85,1651269600,1.1275,1.1432,1.1387,1.1424,787876.4,900069.9993600001,2022-04-29 22:00:00
86,1651266000,1.137,1.1486,1.1413,1.139,761712.6,867590.6514,2022-04-29 21:00:00
87,1651262400,1.1285,1.1527,1.1394,1.1411,2688140.6,3067437.2386600003,2022-04-29 20:00:00
88,1651258800,1.137,1.1676,1.1649,1.1389,2746041.5,3127466.66435,2022-04-29 19:00:00
89,1651255200,1.1518,1.1775,1.1746,1.1654,1529916.1,1782964.22294,2022-04-29 18:00:00
90,1651251600,1.1675,1.1804,1.1707,1.1742,1171905.3,1376051.2032599999,2022-04-29 17:00:00
91,1651248000,1.1657,1.1887,1.1883,1.1706,2493766.8,2919203.41608,2022-04-29 16:00:00
92,1651244400,1.181,1.1947,1.1915,1.1885,951579.1,1130951.7603499999,2022-04-29 15:00:00
93,1651240800,1.1824,1.198,1.1951,1.1915,2186164.7,2604815.24005,2022-04-29 14:00:00
94,1651237200,1.1811,1.1981,1.1853,1.1952,1257379.3,1502819.73936,2022-04-29 13:00:00
95,1651233600,1.1773,1.1916,1.1826,1.1859,1551382.4,1839784.3881599999,2022-04-29 12:00:00
0,1651230000,1.1763,1.1988,1.1967,1.1826,1520554.8,1798208.1064800003,2022-04-29 11:00:00
1,1651226400,1.1936,1.2164,1.2126,1.1973,937281.0,1122206.5413,2022-04-29 10:00:00
2,1651222800,1.2103,1.221,1.221,1.2136,370985.4,450227.88144,2022-04-29 09:00:00
3,1651219200,1.2209,1.2309,1.2288,1.2215,266161.2,325115.9058,2022-04-29 08:00:00
4,1651215600,1.2235,1.2326,1.2273,1.2289,196345.5,241288.98495,2022-04-29 07:00:00
5,1651212000,1.22,1.2313,1.2261,1.2268,272142.3,333864.17363999994,2022-04-29 06:00:00
6,1651208400,1.2235,1.2313,1.226,1.2262,327001.1,400968.74882,2022-04-29 05:00:00
7,1651204800,1.2123,1.2278,1.2222,1.226,465436.0,570624.536,2022-04-29 04:00:00
8,1651201200,1.2136,1.2246,1.2195,1.2222,519132.9,634484.23038,2022-04-29 03:00:00
9,1651197600,1.2132,1.2404,1.2398,1.2191,1356777.2,1654047.08452,2022-04-29 02:00:00
10,1651194000,1.2379,1.2461,1.2453,1.2398,382556.7,474293.79666,2022-04-29 01:00:00
11,1651190400,1.2349,1.2459,1.2378,1.2457,324061.1,403682.91227,2022-04-29 00:00:00
12,1651186800,1.2299,1.2417,1.2328,1.2373,428988.8,530787.84224,2022-04-28 23:00:00
13,1651183200,1.2267,1.236,1.2342,1.2329,550229.1,678377.45739,2022-04-28 22:00:00
14,1651179600,1.2269,1.2417,1.2402,1.2343,581674.7,717961.0822099999,2022-04-28 21:00:00
15,1651176000,1.2353,1.2508,1.2471,1.2398,698165.4,865585.4629200001,2022-04-28 20:00:00
16,1651172400,1.2452,1.26,1.254,1.2471,648612.0,808884.0252,2022-04-28 19:00:00
17,1651168800,1.2522,1.26,1.2586,1.2539,711945.1,892707.96089,2022-04-28 18:00:00
18,1651165200,1.2465,1.2595,1.2546,1.2591,582073.7,732888.99567,2022-04-28 17:00:00
19,1651161600,1.2304,1.2555,1.2422,1.2539,944817.4,1184706.53786,2022-04-28 16:00:00
20,1651158000,1.2345,1.2616,1.2424,1.2426,2093502.4,2601386.08224,2022-04-28 15:00:00
21,1651154400,1.2282,1.2456,1.2371,1.2418,1624268.6,2017016.7474800001,2022-04-28 14:00:00
22,1651150800,1.2355,1.253,1.2514,1.2373,735168.9,909624.4799700001,2022-04-28 13:00:00
23,1651147200,1.2492,1.2709,1.2681,1.2511,575937.8,720555.7815800001,2022-04-28 12:00:00
24,1651143600,1.2629,1.2694,1.2641,1.2679,233905.8,296569.16382,2022-04-28 11:00:00
25,1651140000,1.2598,1.2744,1.274,1.2643,214838.4,271620.18912,2022-04-28 10:00:00
26,1651136400,1.2702,1.2797,1.273,1.2736,462464.5,588994.7872,2022-04-28 09:00:00
27,1651132800,1.2515,1.2746,1.2595,1.2701,352005.0,447081.5505,2022-04-28 08:00:00
28,1651129200,1.2513,1.2684,1.2534,1.2604,251096.5,316482.0286,2022-04-28 07:00:00
29,1651125600,1.249,1.2552,1.2513,1.2534,216939.1,271911.46794,2022-04-28 06:00:00
30,1651122000,1.2475,1.2579,1.2564,1.2514,291483.2,364762.07648000005,2022-04-28 05:00:00
31,1651118400,1.254,1.2609,1.2575,1.2562,441817.7,555011.39474,2022-04-28 04:00:00
32,1651114800,1.2565,1.2664,1.2644,1.2575,281425.3,353892.31475,2022-04-28 03:00:00
33,1651111200,1.2535,1.2662,1.2556,1.2644,281174.1,355516.53203999996,2022-04-28 02:00:00
