,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,8.05,8.09,8.08,8.07,261.82,2112.8874,2022-05-03 11:00:00
1,1651572000,8.07,8.12,8.07,8.08,490.96,3966.9568,2022-05-03 10:00:00
2,1651568400,8.05,8.05,8.05,8.05,23.23,187.00150000000002,2022-05-03 09:00:00
3,1651557600,8.06,8.06,8.06,8.06,27.39,220.76340000000002,2022-05-03 06:00:00
4,1651550400,8.05,8.11,8.11,8.09,234.48,1896.9432,2022-05-03 04:00:00
5,1651546800,8.07,8.1,8.09,8.09,122.31,989.4879,2022-05-03 03:00:00
6,1651543200,8.06,8.12,8.12,8.09,586.5,4744.785,2022-05-03 02:00:00
7,1651539600,8.11,8.17,8.17,8.12,542.19,4402.5828,2022-05-03 01:00:00
8,1651536000,8.18,8.31,8.31,8.19,1362.92,11162.3148,2022-05-03 00:00:00
9,1651532400,8.24,8.46,8.46,8.29,2127.36,17635.8144,2022-05-02 23:00:00
10,1651528800,7.91,8.64,7.98,8.42,5452.11,45906.7662,2022-05-02 22:00:00
11,1651525200,7.92,8.03,7.99,7.95,1589.17,12633.901500000002,2022-05-02 21:00:00
12,1651521600,7.99,8.04,7.99,7.99,359.79,2874.7221000000004,2022-05-02 20:00:00
13,1651518000,7.57,8.05,7.68,7.99,3346.71,26740.212900000002,2022-05-02 19:00:00
14,1651514400,7.64,8.2,8.2,7.69,4515.85,34726.88650000001,2022-05-02 18:00:00
15,1651510800,8.17,8.5,8.44,8.17,10362.36,84660.48120000001,2022-05-02 17:00:00
16,1651507200,7.56,8.7,7.58,8.44,7001.04,59088.777599999994,2022-05-02 16:00:00
17,1651503600,7.5,7.59,7.57,7.58,3912.21,29654.5518,2022-05-02 15:00:00
18,1651500000,7.51,7.59,7.59,7.57,1058.17,8010.3469000000005,2022-05-02 14:00:00
19,1651496400,7.58,7.62,7.6,7.6,400.75,3045.7,2022-05-02 13:00:00
20,1651492800,7.61,7.82,7.77,7.61,1572.19,11964.3659,2022-05-02 12:00:00
21,1651489200,7.78,7.9,7.88,7.81,1225.41,9570.4521,2022-05-02 11:00:00
22,1651485600,7.89,7.91,7.89,7.89,64.56,509.3784,2022-05-02 10:00:00
23,1651482000,7.92,7.92,7.92,7.92,9.55,75.63600000000001,2022-05-02 09:00:00
24,1651478400,7.82,7.94,7.92,7.92,1172.99,9290.0808,2022-05-02 08:00:00
25,1651474800,7.92,7.98,7.97,7.94,1215.41,9650.3554,2022-05-02 07:00:00
26,1651471200,7.93,7.97,7.96,7.94,216.28,1717.2632,2022-05-02 06:00:00
27,1651467600,7.97,7.98,7.97,7.98,69.18,552.0564,2022-05-02 05:00:00
28,1651464000,7.96,7.98,7.97,7.96,265.42,2112.7432000000003,2022-05-02 04:00:00
29,1651460400,7.96,7.97,7.97,7.96,86.42,687.9032,2022-05-02 03:00:00
30,1651456800,7.95,7.95,7.95,7.95,5.36,42.612,2022-05-02 02:00:00
31,1651453200,7.95,7.99,7.99,7.95,107.14,851.763,2022-05-02 01:00:00
32,1651449600,7.97,7.99,7.99,7.99,22.7,181.373,2022-05-02 00:00:00
33,1651446000,7.98,8.05,8.03,7.99,490.59,3919.8141,2022-05-01 23:00:00
34,1651442400,7.48,8.29,7.48,8.03,6952.24,55826.487199999996,2022-05-01 22:00:00
35,1651438800,7.45,7.49,7.48,7.45,124.3,926.035,2022-05-01 21:00:00
36,1651435200,7.43,7.49,7.45,7.48,1077.58,8060.2984,2022-05-01 20:00:00
