,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.831,1.867,1.837,1.861,13241.916,24643.205675999998,2022-05-03 11:00:00
1,1651572000,1.831,1.858,1.856,1.833,4412.088,8087.357303999999,2022-05-03 10:00:00
2,1651568400,1.851,1.873,1.873,1.859,7230.569,13441.627771000001,2022-05-03 09:00:00
3,1651564800,1.863,1.881,1.863,1.871,11402.319,21333.738848999998,2022-05-03 08:00:00
4,1651561200,1.848,1.865,1.854,1.859,14559.647,27066.383773,2022-05-03 07:00:00
5,1651557600,1.85,1.875,1.872,1.85,14726.745,27244.478250000004,2022-05-03 06:00:00
6,1651554000,1.857,1.879,1.866,1.871,21722.057,40641.968647,2022-05-03 05:00:00
7,1651550400,1.864,1.907,1.874,1.865,57320.92,106903.5158,2022-05-03 04:00:00
8,1651546800,1.858,1.927,1.864,1.875,70786.586,132724.84875,2022-05-03 03:00:00
9,1651543200,1.841,1.895,1.856,1.866,51720.004,96509.52746400001,2022-05-03 02:00:00
10,1651539600,1.807,1.862,1.808,1.857,27418.915,50916.925155000004,2022-05-03 01:00:00
11,1651536000,1.801,1.818,1.815,1.809,4533.401,8200.922408999999,2022-05-03 00:00:00
12,1651532400,1.809,1.832,1.811,1.816,20907.411,37967.858376000004,2022-05-02 23:00:00
13,1651528800,1.808,1.832,1.822,1.811,21579.273,39080.063403,2022-05-02 22:00:00
14,1651525200,1.774,1.832,1.778,1.82,18081.816,32908.905119999996,2022-05-02 21:00:00
15,1651521600,1.778,1.84,1.839,1.782,26734.148,47640.251736000006,2022-05-02 20:00:00
16,1651518000,1.784,1.843,1.795,1.836,64520.445,118459.53702,2022-05-02 19:00:00
17,1651514400,1.76,1.823,1.769,1.79,44316.995,79327.42105,2022-05-02 18:00:00
18,1651510800,1.747,1.874,1.81,1.771,158512.882,280726.314022,2022-05-02 17:00:00
19,1651507200,1.751,1.933,1.778,1.81,249713.898,451982.15538,2022-05-02 16:00:00
20,1651503600,1.758,1.777,1.769,1.776,18252.125,32415.774,2022-05-02 15:00:00
21,1651500000,1.75,1.785,1.761,1.771,81498.224,144333.354704,2022-05-02 14:00:00
22,1651496400,1.725,1.78,1.746,1.764,45349.802,79997.050728,2022-05-02 13:00:00
23,1651492800,1.722,1.775,1.722,1.75,34002.454,59504.294499999996,2022-05-02 12:00:00
24,1651489200,1.72,1.761,1.755,1.72,33675.536,57921.92192,2022-05-02 11:00:00
25,1651485600,1.744,1.776,1.771,1.753,11367.606,19927.413318,2022-05-02 10:00:00
26,1651482000,1.772,1.811,1.798,1.772,8149.016,14440.056352,2022-05-02 09:00:00
27,1651478400,1.789,1.82,1.817,1.797,26244.028,47160.518315999994,2022-05-02 08:00:00
28,1651474800,1.811,1.849,1.824,1.815,7273.194,13200.84711,2022-05-02 07:00:00
