,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.057,1.08,1.059,1.079,20189.93,21784.93447,2022-05-03 11:00:00
1,1651572000,1.059,1.062,1.06,1.059,25350.45,26846.12655,2022-05-03 10:00:00
2,1651568400,1.058,1.062,1.058,1.061,5110.39,5422.12379,2022-05-03 09:00:00
3,1651564800,1.055,1.059,1.056,1.057,5586.57,5905.004489999999,2022-05-03 08:00:00
4,1651561200,1.048,1.055,1.052,1.054,62517.26,65893.19204000001,2022-05-03 07:00:00
5,1651557600,1.053,1.06,1.06,1.054,14113.53,14875.66062,2022-05-03 06:00:00
6,1651554000,1.053,1.062,1.058,1.06,7316.48,7755.4688,2022-05-03 05:00:00
7,1651550400,1.053,1.059,1.053,1.059,17855.47,18908.94273,2022-05-03 04:00:00
8,1651546800,1.045,1.056,1.046,1.055,121584.27,128271.40484999999,2022-05-03 03:00:00
9,1651543200,1.038,1.049,1.047,1.046,37138.75,38847.1325,2022-05-03 02:00:00
10,1651539600,1.034,1.049,1.038,1.047,25507.05,26705.881349999996,2022-05-03 01:00:00
11,1651536000,1.037,1.045,1.045,1.038,43894.05,45562.02390000001,2022-05-03 00:00:00
12,1651532400,1.042,1.058,1.053,1.047,48153.4,50416.6098,2022-05-02 23:00:00
13,1651528800,1.041,1.059,1.048,1.053,216486.9,227960.7057,2022-05-02 22:00:00
14,1651525200,1.039,1.047,1.039,1.047,20226.76,21177.417719999998,2022-05-02 21:00:00
15,1651521600,1.037,1.052,1.051,1.037,10089.49,10462.80113,2022-05-02 20:00:00
16,1651518000,1.044,1.056,1.044,1.05,16483.53,17307.7065,2022-05-02 19:00:00
17,1651514400,1.033,1.044,1.04,1.044,32145.76,33560.17344,2022-05-02 18:00:00
18,1651510800,1.037,1.053,1.047,1.04,44434.22,46211.588800000005,2022-05-02 17:00:00
19,1651507200,1.048,1.056,1.055,1.048,29732.66,31159.827680000002,2022-05-02 16:00:00
20,1651503600,1.052,1.064,1.059,1.054,30378.27,32018.696580000003,2022-05-02 15:00:00
21,1651500000,1.054,1.066,1.061,1.06,18939.4,20075.764000000003,2022-05-02 14:00:00
22,1651496400,1.049,1.071,1.053,1.063,59361.65,63101.43395,2022-05-02 13:00:00
23,1651492800,1.052,1.061,1.056,1.052,13798.33,14515.84316,2022-05-02 12:00:00
24,1651489200,1.054,1.061,1.059,1.054,7551.35,7959.1229,2022-05-02 11:00:00
25,1651485600,1.055,1.061,1.058,1.06,13421.22,14226.4932,2022-05-02 10:00:00
26,1651482000,1.059,1.07,1.069,1.059,4870.34,5157.69006,2022-05-02 09:00:00
27,1651478400,1.063,1.072,1.071,1.068,11524.71,12308.39028,2022-05-02 08:00:00
28,1651474800,1.068,1.074,1.068,1.069,4205.63,4495.81847,2022-05-02 07:00:00
29,1651471200,1.065,1.069,1.066,1.067,9801.7,10458.4139,2022-05-02 06:00:00
30,1651467600,1.063,1.07,1.07,1.066,5577.55,5945.6683,2022-05-02 05:00:00
31,1651464000,1.062,1.071,1.068,1.07,9511.42,10177.2194,2022-05-02 04:00:00
32,1651460400,1.066,1.081,1.076,1.068,53858.07,57520.41876,2022-05-02 03:00:00
33,1651456800,1.063,1.077,1.066,1.076,45349.77,48796.35252,2022-05-02 02:00:00
34,1651453200,1.063,1.075,1.063,1.065,117621.63,125267.03595,2022-05-02 01:00:00
35,1651449600,1.055,1.066,1.055,1.063,30463.97,32383.200109999998,2022-05-02 00:00:00
36,1651446000,1.04,1.055,1.04,1.053,17036.66,17939.60298,2022-05-01 23:00:00
37,1651442400,1.038,1.048,1.041,1.041,91528.49,95281.15809,2022-05-01 22:00:00
38,1651438800,1.036,1.049,1.044,1.042,15337.17,15981.33114,2022-05-01 21:00:00
39,1651435200,1.032,1.05,1.037,1.045,30276.74,31639.1933,2022-05-01 20:00:00
40,1651431600,1.032,1.044,1.042,1.038,106129.85,110162.78430000001,2022-05-01 19:00:00
41,1651428000,1.037,1.054,1.053,1.04,11736.14,12205.5856,2022-05-01 18:00:00
42,1651424400,1.053,1.062,1.057,1.053,8587.15,9042.26895,2022-05-01 17:00:00
43,1651420800,1.053,1.065,1.059,1.059,26184.82,27729.72438,2022-05-01 16:00:00
44,1651417200,1.036,1.06,1.037,1.058,27375.48,28963.257840000002,2022-05-01 15:00:00
45,1651413600,1.031,1.037,1.032,1.034,15853.24,16392.25016,2022-05-01 14:00:00
46,1651410000,1.031,1.045,1.043,1.031,16054.17,16551.84927,2022-05-01 13:00:00
47,1651406400,1.034,1.045,1.038,1.043,22124.28,23075.62404,2022-05-01 12:00:00
48,1651402800,1.036,1.054,1.054,1.036,102259.35,105940.68660000002,2022-05-01 11:00:00
49,1651399200,1.05,1.063,1.058,1.053,40568.01,42718.11453,2022-05-01 10:00:00
50,1651395600,1.046,1.058,1.058,1.058,28063.7,29691.394600000003,2022-05-01 09:00:00
51,1651392000,1.043,1.058,1.043,1.057,12380.77,13086.47389,2022-05-01 08:00:00
52,1651388400,1.028,1.051,1.031,1.043,218585.22,227984.38445999997,2022-05-01 07:00:00
53,1651384800,1.03,1.042,1.038,1.03,16036.49,16517.5847,2022-05-01 06:00:00
54,1651381200,1.028,1.04,1.028,1.039,12790.79,13289.63081,2022-05-01 05:00:00
55,1651377600,1.022,1.031,1.031,1.026,8806.71,9035.684459999999,2022-05-01 04:00:00
56,1651374000,1.023,1.032,1.023,1.031,26409.4,27228.091399999998,2022-05-01 03:00:00
57,1651370400,1.02,1.033,1.027,1.023,58670.63,60020.054489999995,2022-05-01 02:00:00
58,1651366800,1.001,1.032,1.005,1.027,111273.38,114277.76126,2022-05-01 01:00:00
59,1651363200,1.001,1.015,1.006,1.006,88862.01,89395.18205999999,2022-05-01 00:00:00
60,1651359600,1.003,1.053,1.052,1.004,525854.17,527957.5866800001,2022-04-30 23:00:00
61,1651356000,1.05,1.059,1.059,1.052,90228.78,94920.67656,2022-04-30 22:00:00
62,1651352400,1.056,1.074,1.073,1.059,234262.02,248083.47917999997,2022-04-30 21:00:00
63,1651348800,1.07,1.075,1.073,1.073,17178.11,18432.11203,2022-04-30 20:00:00
64,1651345200,1.066,1.077,1.071,1.072,22893.87,24542.22864,2022-04-30 19:00:00
65,1651341600,1.069,1.078,1.074,1.069,93429.44,99876.07136,2022-04-30 18:00:00
66,1651338000,1.072,1.09,1.089,1.073,33316.36,35748.45428,2022-04-30 17:00:00
67,1651334400,1.089,1.096,1.092,1.091,29563.18,32253.429379999998,2022-04-30 16:00:00
68,1651330800,1.072,1.094,1.084,1.094,70485.54,77111.18076,2022-04-30 15:00:00
69,1651327200,1.08,1.105,1.103,1.084,47324.06,51299.28104,2022-04-30 14:00:00
70,1651323600,1.102,1.112,1.111,1.103,4413.42,4868.00226,2022-04-30 13:00:00
71,1651320000,1.106,1.113,1.109,1.111,7246.01,8050.31711,2022-04-30 12:00:00
72,1651316400,1.107,1.113,1.111,1.109,10806.85,11984.79665,2022-04-30 11:00:00
73,1651312800,1.108,1.115,1.111,1.11,38043.6,42228.396,2022-04-30 10:00:00
74,1651309200,1.103,1.111,1.106,1.111,58324.64,64798.67504,2022-04-30 09:00:00
75,1651305600,1.105,1.118,1.116,1.108,10570.94,11712.601520000002,2022-04-30 08:00:00
76,1651302000,1.115,1.119,1.118,1.115,15692.22,17496.8253,2022-04-30 07:00:00
77,1651298400,1.114,1.12,1.117,1.119,8762.5,9805.2375,2022-04-30 06:00:00
78,1651294800,1.111,1.119,1.111,1.118,4804.6,5371.542800000001,2022-04-30 05:00:00
79,1651291200,1.109,1.115,1.114,1.111,4236.45,4706.695949999999,2022-04-30 04:00:00
80,1651287600,1.114,1.117,1.115,1.114,2728.37,3039.40418,2022-04-30 03:00:00
81,1651284000,1.116,1.124,1.12,1.116,13220.09,14753.620440000002,2022-04-30 02:00:00
82,1651280400,1.11,1.123,1.111,1.12,10425.42,11676.470400000002,2022-04-30 01:00:00
83,1651276800,1.11,1.133,1.126,1.111,23372.92,25967.31412,2022-04-30 00:00:00
84,1651273200,1.097,1.129,1.097,1.123,184005.67,206638.36741,2022-04-29 23:00:00
85,1651269600,1.089,1.107,1.106,1.097,216325.77,237309.36969,2022-04-29 22:00:00
86,1651266000,1.102,1.107,1.106,1.107,32643.07,36135.87849,2022-04-29 21:00:00
87,1651262400,1.103,1.112,1.103,1.104,30907.98,34122.409920000006,2022-04-29 20:00:00
88,1651258800,1.101,1.116,1.114,1.105,35042.51,38721.97355,2022-04-29 19:00:00
89,1651255200,1.106,1.121,1.119,1.113,47143.77,52471.01601,2022-04-29 18:00:00
90,1651251600,1.118,1.128,1.119,1.12,16047.52,17973.222400000002,2022-04-29 17:00:00
91,1651248000,1.118,1.13,1.13,1.119,26667.75,29841.21225,2022-04-29 16:00:00
92,1651244400,1.124,1.133,1.127,1.129,44612.7,50367.7383,2022-04-29 15:00:00
93,1651240800,1.123,1.14,1.138,1.128,48120.97,54280.454159999994,2022-04-29 14:00:00
94,1651237200,1.13,1.14,1.131,1.14,44029.97,50194.165799999995,2022-04-29 13:00:00
95,1651233600,1.126,1.137,1.133,1.13,17162.69,19393.839699999997,2022-04-29 12:00:00
0,1651230000,1.131,1.142,1.142,1.133,12388.73,14036.43109,2022-04-29 11:00:00
1,1651226400,1.129,1.151,1.145,1.141,55601.84,63441.69944,2022-04-29 10:00:00
2,1651222800,1.145,1.153,1.152,1.146,39943.59,45775.354139999996,2022-04-29 09:00:00
3,1651219200,1.151,1.167,1.166,1.151,18232.09,20985.13559,2022-04-29 08:00:00
4,1651215600,1.161,1.164,1.164,1.162,3879.98,4508.53676,2022-04-29 07:00:00
5,1651212000,1.155,1.164,1.159,1.164,28487.47,33159.41508,2022-04-29 06:00:00
6,1651208400,1.159,1.165,1.162,1.159,18612.02,21571.33118,2022-04-29 05:00:00
7,1651204800,1.156,1.162,1.162,1.159,21736.15,25192.197850000004,2022-04-29 04:00:00
8,1651201200,1.161,1.166,1.164,1.164,15393.19,17917.67316,2022-04-29 03:00:00
9,1651197600,1.16,1.177,1.177,1.164,17630.46,20521.85544,2022-04-29 02:00:00
10,1651194000,1.173,1.177,1.173,1.177,8429.31,9921.29787,2022-04-29 01:00:00
11,1651190400,1.17,1.18,1.175,1.175,62747.63,73728.46525,2022-04-29 00:00:00
12,1651186800,1.167,1.177,1.173,1.175,59159.12,69511.966,2022-04-28 23:00:00
13,1651183200,1.17,1.176,1.174,1.174,28946.53,33983.22622,2022-04-28 22:00:00
14,1651179600,1.174,1.185,1.181,1.174,21998.19,25825.87506,2022-04-28 21:00:00
15,1651176000,1.176,1.191,1.182,1.182,33041.56,39055.12392,2022-04-28 20:00:00
16,1651172400,1.174,1.189,1.184,1.183,40414.07,47809.84481,2022-04-28 19:00:00
17,1651168800,1.183,1.194,1.193,1.185,126320.46,149689.7451,2022-04-28 18:00:00
18,1651165200,1.175,1.195,1.177,1.195,76627.38,91569.71910000002,2022-04-28 17:00:00
19,1651161600,1.172,1.182,1.175,1.179,16129.48,19016.65692,2022-04-28 16:00:00
20,1651158000,1.167,1.191,1.176,1.18,34016.75,40139.765,2022-04-28 15:00:00
21,1651154400,1.161,1.179,1.178,1.172,118398.85,138763.4522,2022-04-28 14:00:00
22,1651150800,1.175,1.192,1.187,1.178,141943.96,167209.98487999997,2022-04-28 13:00:00
23,1651147200,1.184,1.219,1.207,1.187,100989.71,119874.78577000002,2022-04-28 12:00:00
24,1651143600,1.202,1.208,1.206,1.207,5627.72,6792.658040000001,2022-04-28 11:00:00
25,1651140000,1.202,1.215,1.214,1.204,32711.78,39384.98312,2022-04-28 10:00:00
26,1651136400,1.21,1.219,1.21,1.216,43527.49,52929.42784,2022-04-28 09:00:00
27,1651132800,1.203,1.213,1.205,1.21,28177.13,34094.3273,2022-04-28 08:00:00
28,1651129200,1.199,1.211,1.199,1.206,7736.91,9330.713459999999,2022-04-28 07:00:00
29,1651125600,1.195,1.201,1.196,1.199,5872.17,7040.731830000001,2022-04-28 06:00:00
30,1651122000,1.194,1.2,1.198,1.196,2658.58,3179.6616799999997,2022-04-28 05:00:00
31,1651118400,1.194,1.206,1.194,1.2,81242.18,97490.616,2022-04-28 04:00:00
