,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,49.56,49.94,49.59,49.9,452.463,22577.9037,2022-05-03 11:00:00
1,1651572000,49.58,49.83,49.78,49.59,24.807,1230.17913,2022-05-03 10:00:00
2,1651568400,49.82,49.97,49.93,49.82,207.73,10349.1086,2022-05-03 09:00:00
3,1651564800,49.92,50.14,49.93,49.92,170.189,8495.83488,2022-05-03 08:00:00
4,1651561200,49.81,49.93,49.88,49.91,279.399,13944.80409,2022-05-03 07:00:00
5,1651557600,49.85,49.93,49.85,49.88,41.26,2058.0488,2022-05-03 06:00:00
6,1651554000,49.51,49.9,49.66,49.85,243.762,12151.5357,2022-05-03 05:00:00
7,1651550400,49.52,49.72,49.52,49.66,24.729,1228.0421399999998,2022-05-03 04:00:00
8,1651546800,49.39,49.58,49.43,49.52,78.06,3865.5312000000004,2022-05-03 03:00:00
9,1651543200,49.2,49.55,49.27,49.43,664.334,32838.029619999994,2022-05-03 02:00:00
10,1651539600,49.05,49.34,49.14,49.27,201.701,9937.80827,2022-05-03 01:00:00
11,1651536000,49.12,49.27,49.18,49.12,46.342,2276.31904,2022-05-03 00:00:00
12,1651532400,49.13,49.43,49.17,49.13,334.559,16436.883670000003,2022-05-02 23:00:00
13,1651528800,49.13,49.4,49.21,49.17,318.972,15683.85324,2022-05-02 22:00:00
14,1651525200,48.95,49.24,49.03,49.14,127.332,6257.09448,2022-05-02 21:00:00
15,1651521600,49.0,49.23,49.14,49.02,66.283,3249.19266,2022-05-02 20:00:00
16,1651518000,48.76,49.18,48.82,49.14,24.134,1185.94476,2022-05-02 19:00:00
17,1651514400,48.64,49.16,49.16,48.82,536.093,26172.06026,2022-05-02 18:00:00
18,1651510800,49.11,49.54,49.42,49.17,127.441,6266.27397,2022-05-02 17:00:00
19,1651507200,49.41,49.63,49.6,49.42,118.137,5838.33054,2022-05-02 16:00:00
20,1651503600,49.59,49.85,49.77,49.6,94.355,4680.008000000001,2022-05-02 15:00:00
21,1651500000,49.42,49.94,49.7,49.77,295.266,14695.388820000002,2022-05-02 14:00:00
22,1651496400,49.18,49.96,49.19,49.7,884.106,43940.0682,2022-05-02 13:00:00
23,1651492800,49.15,49.48,49.36,49.3,286.301,14114.639299999999,2022-05-02 12:00:00
24,1651489200,49.36,49.62,49.48,49.38,161.378,7968.84564,2022-05-02 11:00:00
25,1651485600,49.36,49.77,49.63,49.46,356.202,17617.75092,2022-05-02 10:00:00
26,1651482000,49.61,50.01,49.77,49.61,177.159,8788.857989999999,2022-05-02 09:00:00
27,1651478400,49.66,50.04,49.85,49.76,564.383,28083.698080000002,2022-05-02 08:00:00
28,1651474800,49.82,50.17,50.08,49.83,116.719,5816.10777,2022-05-02 07:00:00
29,1651471200,50.03,50.25,50.05,50.08,214.305,10732.3944,2022-05-02 06:00:00
30,1651467600,49.82,50.15,49.99,50.04,183.461,9180.38844,2022-05-02 05:00:00
31,1651464000,49.88,50.3,50.26,49.99,1248.111,62393.06889000001,2022-05-02 04:00:00
32,1651460400,50.13,50.28,50.21,50.26,47.459,2385.2893400000003,2022-05-02 03:00:00
33,1651456800,50.06,50.39,50.39,50.21,75.302,3780.9134200000003,2022-05-02 02:00:00
34,1651453200,50.39,50.71,50.56,50.39,104.177,5249.47903,2022-05-02 01:00:00
35,1651449600,50.08,50.85,50.13,50.56,461.211,23318.82816,2022-05-02 00:00:00
36,1651446000,49.73,50.31,49.87,50.06,273.212,13676.99272,2022-05-01 23:00:00
37,1651442400,49.69,50.1,49.9,49.87,192.961,9622.96507,2022-05-01 22:00:00
38,1651438800,49.69,50.35,50.35,49.9,617.894,30832.9106,2022-05-01 21:00:00
39,1651435200,49.87,50.69,50.07,50.5,747.579,37752.739499999996,2022-05-01 20:00:00
40,1651431600,49.79,50.17,49.92,50.07,549.099,27493.386930000004,2022-05-01 19:00:00
41,1651428000,49.91,50.64,50.54,49.91,204.039,10183.586489999998,2022-05-01 18:00:00
42,1651424400,50.53,50.87,50.73,50.54,111.785,5649.613899999999,2022-05-01 17:00:00
43,1651420800,50.68,51.2,50.73,50.73,617.757,31338.812609999997,2022-05-01 16:00:00
44,1651417200,50.02,50.87,50.45,50.73,1350.906,68531.46138,2022-05-01 15:00:00
45,1651413600,50.23,50.7,50.41,50.44,546.054,27542.96376,2022-05-01 14:00:00
46,1651410000,50.25,51.78,51.58,50.41,795.004,40076.15164,2022-05-01 13:00:00
47,1651406400,50.81,53.27,50.81,51.71,2645.449,136796.16779,2022-05-01 12:00:00
48,1651402800,50.79,51.76,50.79,50.86,727.645,37008.0247,2022-05-01 11:00:00
49,1651399200,50.32,51.28,50.36,50.78,1638.699,83213.13522000001,2022-05-01 10:00:00
50,1651395600,49.75,50.41,50.04,50.34,579.743,29184.262620000005,2022-05-01 09:00:00
51,1651392000,50.0,50.6,50.55,50.04,261.781,13099.52124,2022-05-01 08:00:00
52,1651388400,49.97,50.7,50.23,50.55,290.854,14702.669699999999,2022-05-01 07:00:00
53,1651384800,50.12,50.61,50.52,50.27,309.727,15569.97629,2022-05-01 06:00:00
54,1651381200,49.84,51.07,49.93,50.52,694.621,35092.25292,2022-05-01 05:00:00
55,1651377600,49.17,49.87,49.62,49.87,472.512,23564.17344,2022-05-01 04:00:00
56,1651374000,49.46,49.93,49.58,49.62,1020.435,50633.98469999999,2022-05-01 03:00:00
57,1651370400,49.49,50.39,49.54,49.58,908.145,45025.829099999995,2022-05-01 02:00:00
58,1651366800,48.91,49.62,49.3,49.53,734.585,36383.995050000005,2022-05-01 01:00:00
59,1651363200,49.0,49.58,49.37,49.33,582.567,28738.03011,2022-05-01 00:00:00
60,1651359600,49.29,50.9,50.85,49.36,832.05,41069.988,2022-04-30 23:00:00
61,1651356000,50.61,51.3,50.65,50.85,759.769,38634.25365,2022-04-30 22:00:00
62,1651352400,50.23,51.08,50.24,50.65,286.413,14506.81845,2022-04-30 21:00:00
63,1651348800,50.23,50.75,50.75,50.3,531.103,26714.480899999995,2022-04-30 20:00:00
64,1651345200,50.08,52.25,50.08,50.75,1829.098,92826.7235,2022-04-30 19:00:00
65,1651341600,49.98,50.5,50.49,50.08,370.375,18548.38,2022-04-30 18:00:00
66,1651338000,50.11,50.83,50.27,50.49,1522.354,76863.65346,2022-04-30 17:00:00
67,1651334400,49.86,50.58,49.96,50.36,972.333,48966.68988,2022-04-30 16:00:00
68,1651330800,49.46,50.4,49.73,49.96,986.665,49293.7834,2022-04-30 15:00:00
69,1651327200,49.8,50.14,49.99,49.8,115.032,5728.593599999999,2022-04-30 14:00:00
70,1651323600,49.87,50.18,50.0,49.99,599.013,29944.659870000003,2022-04-30 13:00:00
71,1651320000,49.49,50.01,49.53,49.92,668.19,33356.0448,2022-04-30 12:00:00
72,1651316400,49.41,49.63,49.44,49.53,97.398,4824.12294,2022-04-30 11:00:00
73,1651312800,49.46,49.54,49.51,49.47,4.843,239.58320999999998,2022-04-30 10:00:00
74,1651309200,49.3,49.52,49.4,49.51,61.576,3048.62776,2022-04-30 09:00:00
75,1651305600,49.37,49.75,49.65,49.4,158.107,7810.4857999999995,2022-04-30 08:00:00
76,1651302000,49.49,49.66,49.55,49.65,129.528,6431.065199999999,2022-04-30 07:00:00
77,1651298400,49.46,49.65,49.61,49.55,149.581,7411.738549999999,2022-04-30 06:00:00
78,1651294800,49.33,49.62,49.37,49.61,339.465,16840.85865,2022-04-30 05:00:00
79,1651291200,49.32,49.58,49.55,49.37,299.339,14778.36643,2022-04-30 04:00:00
80,1651287600,49.29,49.64,49.41,49.55,240.719,11927.62645,2022-04-30 03:00:00
81,1651284000,49.4,49.63,49.47,49.41,55.937,2763.8471699999996,2022-04-30 02:00:00
82,1651280400,49.32,49.58,49.43,49.45,152.937,7562.734650000001,2022-04-30 01:00:00
83,1651276800,49.25,49.75,49.47,49.46,768.718,38020.79228,2022-04-30 00:00:00
84,1651273200,49.3,49.72,49.3,49.47,291.707,14430.745289999999,2022-04-29 23:00:00
85,1651269600,49.28,49.7,49.59,49.3,266.506,13138.745799999997,2022-04-29 22:00:00
86,1651266000,49.5,50.09,50.08,49.51,1459.338,72251.82437999999,2022-04-29 21:00:00
87,1651262400,50.04,50.41,50.11,50.08,276.807,13862.494560000001,2022-04-29 20:00:00
88,1651258800,50.03,50.87,50.84,50.11,425.606,21327.11666,2022-04-29 19:00:00
89,1651255200,49.79,51.82,51.82,50.87,4988.751,253777.76337,2022-04-29 18:00:00
90,1651251600,51.43,53.32,53.29,51.82,757.17,39236.549399999996,2022-04-29 17:00:00
91,1651248000,53.29,54.46,54.37,53.33,1237.835,66013.74055,2022-04-29 16:00:00
92,1651244400,54.25,55.38,54.42,54.37,1099.072,59756.54463999999,2022-04-29 15:00:00
93,1651240800,54.1,54.82,54.79,54.42,449.624,24468.538080000002,2022-04-29 14:00:00
94,1651237200,53.52,55.34,53.75,54.79,1250.986,68541.52294000001,2022-04-29 13:00:00
95,1651233600,53.6,54.0,53.68,53.75,479.477,25771.88875,2022-04-29 12:00:00
0,1651230000,53.62,53.94,53.83,53.62,229.714,12317.26468,2022-04-29 11:00:00
1,1651226400,53.82,54.53,54.45,53.83,75.995,4090.8108500000003,2022-04-29 10:00:00
2,1651222800,54.33,54.68,54.53,54.53,158.32,8633.1896,2022-04-29 09:00:00
3,1651219200,54.52,54.96,54.84,54.53,120.293,6559.57729,2022-04-29 08:00:00
4,1651215600,54.33,54.89,54.41,54.84,186.385,10221.3534,2022-04-29 07:00:00
5,1651212000,54.29,54.78,54.29,54.41,191.15,10400.4715,2022-04-29 06:00:00
6,1651208400,54.17,54.53,54.17,54.27,116.988,6348.93876,2022-04-29 05:00:00
7,1651204800,54.08,54.26,54.21,54.17,136.015,7367.9325499999995,2022-04-29 04:00:00
8,1651201200,54.17,54.47,54.39,54.21,63.108,3421.08468,2022-04-29 03:00:00
9,1651197600,54.3,54.57,54.36,54.39,228.703,12439.15617,2022-04-29 02:00:00
10,1651194000,53.97,54.5,53.97,54.36,518.035,28160.382599999997,2022-04-29 01:00:00
11,1651190400,53.81,54.02,53.85,53.94,108.876,5872.77144,2022-04-29 00:00:00
12,1651186800,53.66,53.97,53.69,53.85,45.408,2445.2208,2022-04-28 23:00:00
13,1651183200,53.52,53.74,53.61,53.68,109.131,5858.15208,2022-04-28 22:00:00
14,1651179600,53.61,53.75,53.73,53.61,100.848,5406.4612799999995,2022-04-28 21:00:00
15,1651176000,53.3,53.95,53.5,53.73,811.051,43577.77023,2022-04-28 20:00:00
16,1651172400,53.36,53.9,53.78,53.53,601.295,32187.32135,2022-04-28 19:00:00
17,1651168800,53.67,54.18,54.05,53.78,381.265,20504.4317,2022-04-28 18:00:00
18,1651165200,53.69,54.04,53.7,54.01,273.254,14758.448540000001,2022-04-28 17:00:00
19,1651161600,53.19,53.76,53.29,53.7,377.376,20265.0912,2022-04-28 16:00:00
20,1651158000,53.18,54.56,53.73,53.29,770.126,41040.01454,2022-04-28 15:00:00
21,1651154400,53.51,53.89,53.75,53.72,470.809,25291.85948,2022-04-28 14:00:00
22,1651150800,53.75,54.38,54.31,53.75,264.597,14222.088749999999,2022-04-28 13:00:00
23,1651147200,54.12,54.58,54.21,54.3,258.671,14045.835299999999,2022-04-28 12:00:00
24,1651143600,54.11,54.34,54.27,54.21,154.412,8370.67452,2022-04-28 11:00:00
25,1651140000,54.02,54.4,54.17,54.27,92.076,4996.9645199999995,2022-04-28 10:00:00
26,1651136400,53.95,54.19,54.06,54.11,219.485,11876.33335,2022-04-28 09:00:00
27,1651132800,53.06,54.04,53.07,53.99,140.496,7585.379040000001,2022-04-28 08:00:00
28,1651129200,52.91,53.14,52.94,53.07,75.634,4013.89638,2022-04-28 07:00:00
29,1651125600,52.9,53.15,53.15,52.94,367.438,19452.167719999998,2022-04-28 06:00:00
30,1651122000,53.12,53.36,53.36,53.15,228.581,12149.08015,2022-04-28 05:00:00
31,1651118400,53.35,53.42,53.35,53.36,8.779,468.44744,2022-04-28 04:00:00
32,1651114800,53.33,53.51,53.42,53.35,201.462,10747.9977,2022-04-28 03:00:00
33,1651111200,53.29,53.47,53.32,53.42,84.288,4502.66496,2022-04-28 02:00:00
34,1651107600,53.32,53.88,53.62,53.32,351.801,18758.029319999998,2022-04-28 01:00:00
35,1651104000,53.5,53.71,53.59,53.62,65.393,3506.37266,2022-04-28 00:00:00
36,1651100400,53.32,53.67,53.32,53.59,185.453,9938.42627,2022-04-27 23:00:00
37,1651096800,53.26,53.57,53.48,53.32,111.288,5933.87616,2022-04-27 22:00:00
38,1651093200,53.33,53.66,53.49,53.48,71.067,3800.6631599999996,2022-04-27 21:00:00
39,1651089600,53.47,53.86,53.62,53.49,553.578,29610.88722,2022-04-27 20:00:00
40,1651086000,53.53,53.81,53.73,53.61,319.005,17101.85805,2022-04-27 19:00:00
41,1651082400,53.69,53.83,53.69,53.73,165.638,8899.729739999999,2022-04-27 18:00:00
42,1651078800,53.6,53.76,53.63,53.69,97.118,5214.26542,2022-04-27 17:00:00
43,1651075200,53.52,53.84,53.56,53.62,486.926,26108.97212,2022-04-27 16:00:00
44,1651071600,53.05,53.65,53.2,53.56,932.409,49939.82604,2022-04-27 15:00:00
45,1651068000,52.87,53.56,53.56,53.18,955.227,50798.97186,2022-04-27 14:00:00
46,1651064400,52.86,53.66,52.96,53.66,764.609,41028.918939999996,2022-04-27 13:00:00
47,1651060800,52.76,53.08,52.95,52.99,476.574,25253.656260000003,2022-04-27 12:00:00
48,1651057200,52.65,53.17,53.17,53.0,354.853,18807.209,2022-04-27 11:00:00
49,1651053600,53.1,53.45,53.37,53.17,180.018,9571.557060000001,2022-04-27 10:00:00
50,1651050000,53.24,53.42,53.41,53.37,121.505,6484.721849999999,2022-04-27 09:00:00
51,1651046400,53.1,53.5,53.5,53.35,238.189,12707.38315,2022-04-27 08:00:00
52,1651042800,52.72,53.47,52.72,53.47,497.742,26614.26474,2022-04-27 07:00:00
53,1651039200,52.51,52.72,52.51,52.72,72.111,3801.69192,2022-04-27 06:00:00
54,1651035600,52.41,52.63,52.41,52.51,101.956,5353.70956,2022-04-27 05:00:00
55,1651032000,52.36,52.52,52.36,52.41,88.913,4659.930329999999,2022-04-27 04:00:00
56,1651028400,52.34,52.59,52.42,52.36,197.064,10318.27104,2022-04-27 03:00:00
57,1651024800,52.39,52.5,52.46,52.42,48.804,2558.3056800000004,2022-04-27 02:00:00
58,1651021200,52.09,52.48,52.09,52.46,158.939,8337.93994,2022-04-27 01:00:00
59,1651017600,51.89,52.27,52.11,52.09,549.733,28635.591969999998,2022-04-27 00:00:00
60,1651014000,51.72,52.15,51.88,52.11,574.335,29928.59685,2022-04-26 23:00:00
61,1651010400,51.86,52.14,51.99,51.88,441.757,22918.353160000002,2022-04-26 22:00:00
62,1651006800,50.76,52.02,50.84,51.98,1194.23,62076.075399999994,2022-04-26 21:00:00
63,1651003200,50.51,51.26,50.98,50.84,786.644,39992.98096,2022-04-26 20:00:00
64,1650999600,50.71,51.47,51.25,51.02,1186.12,60515.8424,2022-04-26 19:00:00
65,1650996000,50.88,51.4,51.17,51.25,789.361,40454.75125,2022-04-26 18:00:00
66,1650992400,50.94,51.58,51.58,51.17,1463.751,74900.13867,2022-04-26 17:00:00
67,1650988800,50.98,52.86,52.85,51.58,4740.839,244532.47561999998,2022-04-26 16:00:00
68,1650985200,52.85,53.33,53.3,52.85,419.78,22185.373,2022-04-26 15:00:00
69,1650981600,53.29,53.78,53.75,53.34,285.801,15244.62534,2022-04-26 14:00:00
70,1650978000,53.76,54.72,54.61,53.76,645.599,34707.40224,2022-04-26 13:00:00
71,1650974400,53.87,54.77,53.89,54.61,632.819,34558.24559,2022-04-26 12:00:00
72,1650970800,53.79,54.43,54.09,53.89,469.512,25302.00168,2022-04-26 11:00:00
73,1650967200,54.07,54.5,54.42,54.09,455.611,24643.99899,2022-04-26 10:00:00
74,1650963600,54.42,54.62,54.58,54.42,35.555,1934.9031,2022-04-26 09:00:00
75,1650960000,54.38,54.83,54.38,54.58,377.033,20578.46114,2022-04-26 08:00:00
76,1650956400,54.35,54.73,54.72,54.38,414.018,22514.29884,2022-04-26 07:00:00
77,1650952800,54.63,54.87,54.74,54.72,133.133,7285.03776,2022-04-26 06:00:00
78,1650949200,54.62,54.78,54.65,54.72,75.442,4128.186239999999,2022-04-26 05:00:00
79,1650945600,54.51,54.72,54.6,54.65,53.855,2943.17575,2022-04-26 04:00:00
80,1650942000,54.48,54.71,54.51,54.57,49.321,2691.44697,2022-04-26 03:00:00
81,1650938400,54.4,54.77,54.67,54.51,250.98,13680.9198,2022-04-26 02:00:00
82,1650934800,54.62,54.85,54.71,54.65,149.158,8151.484699999999,2022-04-26 01:00:00
83,1650931200,54.4,54.84,54.69,54.71,806.282,44111.688220000004,2022-04-26 00:00:00
84,1650927600,54.35,54.75,54.35,54.71,456.93,24998.6403,2022-04-25 23:00:00
85,1650924000,54.19,54.58,54.41,54.33,438.136,23803.92888,2022-04-25 22:00:00
86,1650920400,54.1,54.44,54.1,54.4,27.628,1502.9632,2022-04-25 21:00:00
87,1650916800,54.0,54.29,54.0,54.1,261.629,14154.128900000002,2022-04-25 20:00:00
88,1650913200,53.41,54.09,53.62,54.0,969.821,52370.334,2022-04-25 19:00:00
89,1650909600,53.11,53.88,53.15,53.67,432.535,23214.15345,2022-04-25 18:00:00
90,1650906000,53.14,53.68,53.56,53.15,422.524,22457.1506,2022-04-25 17:00:00
91,1650902400,53.25,53.81,53.25,53.56,529.642,28367.625520000005,2022-04-25 16:00:00
92,1650898800,52.95,53.35,52.98,53.25,914.735,48709.63875,2022-04-25 15:00:00
93,1650895200,52.34,53.17,52.47,52.98,727.276,38531.08248,2022-04-25 14:00:00
94,1650891600,52.36,52.85,52.65,52.47,854.534,44837.39898,2022-04-25 13:00:00
95,1650888000,52.47,52.86,52.47,52.65,273.001,14373.502649999999,2022-04-25 12:00:00
0,1650884400,51.82,52.53,51.94,52.47,836.31,43881.185699999995,2022-04-25 11:00:00
1,1650880800,51.88,52.1,52.06,51.94,291.622,15146.84668,2022-04-25 10:00:00
2,1650877200,51.65,52.11,51.87,52.06,236.845,12330.1507,2022-04-25 09:00:00
3,1650873600,51.78,51.99,51.86,51.87,70.555,3659.6878500000003,2022-04-25 08:00:00
4,1650870000,51.86,52.52,52.52,51.86,376.902,19546.13772,2022-04-25 07:00:00
5,1650866400,52.53,52.78,52.77,52.6,484.461,25482.6486,2022-04-25 06:00:00
6,1650862800,52.77,53.08,52.88,52.77,385.627,20349.536790000002,2022-04-25 05:00:00
7,1650859200,52.85,53.11,53.02,52.88,84.338,4459.7934399999995,2022-04-25 04:00:00
8,1650855600,52.74,53.16,52.88,53.07,280.353,14878.33371,2022-04-25 03:00:00
9,1650852000,52.78,52.99,52.8,52.95,333.833,17676.45735,2022-04-25 02:00:00
10,1650848400,52.18,52.91,52.66,52.8,660.005,34848.263999999996,2022-04-25 01:00:00
11,1650844800,52.62,54.0,53.84,52.75,1183.716,62441.01899999999,2022-04-25 00:00:00
12,1650841200,53.84,54.28,54.07,53.84,332.523,17903.038320000003,2022-04-24 23:00:00
13,1650837600,53.79,54.24,54.04,54.07,419.76,22696.4232,2022-04-24 22:00:00
14,1650834000,54.03,54.33,54.31,54.04,329.123,17785.80692,2022-04-24 21:00:00
15,1650830400,54.01,54.79,54.79,54.26,672.553,36492.72578,2022-04-24 20:00:00
16,1650826800,54.62,55.35,54.62,54.79,1899.813,104090.75427,2022-04-24 19:00:00
17,1650823200,54.43,55.02,54.74,54.64,1504.898,82227.62672,2022-04-24 18:00:00
18,1650819600,54.63,55.53,55.25,54.72,1259.85,68938.992,2022-04-24 17:00:00
19,1650816000,54.9,57.49,57.4,55.27,2890.866,159778.16382000002,2022-04-24 16:00:00
20,1650812400,56.72,65.9,57.52,57.4,16341.749,938016.3926,2022-04-24 15:00:00
21,1650808800,56.43,57.65,56.5,57.45,1146.875,65887.96875,2022-04-24 14:00:00
22,1650805200,56.04,56.55,56.55,56.5,405.128,22889.732,2022-04-24 13:00:00
23,1650801600,56.54,56.7,56.57,56.62,42.987,2433.92394,2022-04-24 12:00:00
24,1650798000,56.56,57.02,57.01,56.57,177.194,10023.86458,2022-04-24 11:00:00
25,1650794400,56.82,57.02,56.94,56.93,75.984,4325.76912,2022-04-24 10:00:00
26,1650790800,56.92,57.07,57.01,56.94,72.613,4134.58422,2022-04-24 09:00:00
27,1650787200,56.97,57.11,57.03,57.01,40.721,2321.5042099999996,2022-04-24 08:00:00
28,1650783600,56.83,57.09,57.02,57.02,104.206,5941.826120000001,2022-04-24 07:00:00
29,1650780000,56.95,57.08,56.97,56.95,5.784,329.3988,2022-04-24 06:00:00
30,1650776400,56.74,57.4,56.93,56.97,586.248,33398.54856,2022-04-24 05:00:00
31,1650772800,56.87,57.05,56.98,56.93,8.391,477.69963,2022-04-24 04:00:00
32,1650769200,56.85,57.44,56.85,56.98,688.458,39228.336839999996,2022-04-24 03:00:00
33,1650765600,56.82,57.31,56.82,56.85,215.665,12260.55525,2022-04-24 02:00:00
34,1650762000,56.49,56.89,56.63,56.82,147.116,8359.13112,2022-04-24 01:00:00
35,1650758400,56.07,56.64,56.07,56.63,259.231,14680.25153,2022-04-24 00:00:00
36,1650754800,56.04,56.47,56.44,56.07,146.113,8192.55591,2022-04-23 23:00:00
37,1650751200,56.43,56.73,56.63,56.44,119.115,6722.8506,2022-04-23 22:00:00
38,1650747600,56.31,56.7,56.33,56.63,131.247,7432.517610000001,2022-04-23 21:00:00
39,1650744000,56.31,56.84,56.75,56.39,302.825,17076.30175,2022-04-23 20:00:00
40,1650740400,56.53,59.5,57.19,56.76,1772.913,100630.54188,2022-04-23 19:00:00
41,1650736800,57.19,57.47,57.2,57.19,573.519,32799.55161,2022-04-23 18:00:00
42,1650733200,56.87,57.26,56.93,57.2,114.663,6558.7236,2022-04-23 17:00:00
43,1650729600,56.47,56.93,56.6,56.93,139.027,7914.807109999999,2022-04-23 16:00:00
44,1650726000,56.41,56.71,56.46,56.6,244.105,13816.342999999999,2022-04-23 15:00:00
45,1650722400,56.4,56.57,56.48,56.46,97.854,5524.83684,2022-04-23 14:00:00
46,1650718800,56.48,56.69,56.69,56.48,134.495,7596.277599999999,2022-04-23 13:00:00
47,1650715200,56.4,57.68,56.55,56.6,856.473,48476.3718,2022-04-23 12:00:00
48,1650711600,56.1,56.59,56.1,56.59,129.878,7349.79602,2022-04-23 11:00:00
49,1650708000,56.02,56.17,56.03,56.17,37.688,2116.93496,2022-04-23 10:00:00
50,1650704400,55.85,56.07,55.86,56.02,49.227,2757.69654,2022-04-23 09:00:00
51,1650700800,55.8,55.95,55.86,55.86,123.229,6883.57194,2022-04-23 08:00:00
52,1650697200,55.51,55.99,55.52,55.86,324.19,18109.2534,2022-04-23 07:00:00
53,1650693600,55.32,55.61,55.34,55.5,89.507,4967.6385,2022-04-23 06:00:00
54,1650690000,54.82,55.43,54.82,55.38,455.385,25219.2213,2022-04-23 05:00:00
55,1650686400,54.71,54.88,54.79,54.82,135.089,7405.57898,2022-04-23 04:00:00
