,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,49.96,50.63,50.5,50.43,495.269,24976.41567,2022-05-03 11:00:00
1,1651572000,50.18,50.74,50.39,50.51,483.49,24421.0799,2022-05-03 10:00:00
2,1651568400,49.82,50.47,50.11,50.29,476.468,23961.57572,2022-05-03 09:00:00
3,1651564800,49.83,50.2,49.94,50.11,430.673,21581.02403,2022-05-03 08:00:00
4,1651561200,49.61,50.04,49.89,49.95,407.803,20369.759850000002,2022-05-03 07:00:00
5,1651557600,49.43,49.99,49.52,49.9,561.473,28017.502699999997,2022-05-03 06:00:00
6,1651554000,49.23,49.55,49.42,49.52,402.342,19923.97584,2022-05-03 05:00:00
7,1651550400,48.44,49.44,48.67,49.42,1095.578,54143.46476,2022-05-03 04:00:00
8,1651546800,48.52,49.73,49.61,48.67,987.52,48062.5984,2022-05-03 03:00:00
9,1651543200,49.29,49.7,49.57,49.61,387.021,19200.111810000002,2022-05-03 02:00:00
10,1651539600,49.19,49.75,49.31,49.57,476.558,23622.980059999998,2022-05-03 01:00:00
11,1651536000,48.9,49.55,48.9,49.46,478.951,23688.91646,2022-05-03 00:00:00
12,1651532400,48.85,49.46,49.26,49.06,1073.787,52679.99022000001,2022-05-02 23:00:00
13,1651528800,49.11,49.74,49.58,49.35,564.3,27848.204999999998,2022-05-02 22:00:00
14,1651525200,49.14,49.95,49.74,49.59,1256.087,62289.35433,2022-05-02 21:00:00
15,1651521600,49.61,50.21,49.74,49.74,641.984,31932.284160000003,2022-05-02 20:00:00
16,1651518000,49.67,50.46,49.91,49.74,956.036,47553.23064,2022-05-02 19:00:00
17,1651514400,49.78,51.5,51.22,49.91,2351.727,117374.69456999998,2022-05-02 18:00:00
18,1651510800,50.98,51.54,51.44,51.22,471.54,24152.2788,2022-05-02 17:00:00
19,1651507200,50.95,51.56,51.39,51.41,1066.235,54815.14134999999,2022-05-02 16:00:00
20,1651503600,50.82,51.59,51.43,51.39,930.928,47840.38992,2022-05-02 15:00:00
21,1651500000,50.34,51.43,50.59,51.43,954.263,49077.74609,2022-05-02 14:00:00
22,1651496400,49.64,50.59,49.86,50.59,544.496,27546.05264,2022-05-02 13:00:00
23,1651492800,49.49,49.99,49.9,49.81,1295.371,64522.42951000001,2022-05-02 12:00:00
24,1651489200,49.65,50.41,50.34,49.9,1543.924,77041.8076,2022-05-02 11:00:00
