,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.9994,0.9995,0.9994,0.9995,414.14,413.93293,2022-05-03 11:00:00
1,1651572000,0.9991,0.9995,0.9991,0.9991,1042.57,1041.6316869999998,2022-05-03 10:00:00
2,1651568400,0.9991,0.9996,0.9996,0.9991,1549.65,1548.255315,2022-05-03 09:00:00
3,1651561200,0.9992,0.9996,0.9993,0.9996,992.93,992.532828,2022-05-03 07:00:00
4,1651557600,0.9992,0.9995,0.9992,0.9995,7.03,7.026485000000001,2022-05-03 06:00:00
5,1651554000,0.9995,0.9995,0.9995,0.9995,7.62,7.6161900000000005,2022-05-03 05:00:00
6,1651550400,0.9991,0.9996,0.9993,0.9991,2334.94,2332.838554,2022-05-03 04:00:00
7,1651546800,0.9988,0.9993,0.9988,0.9989,55.57,55.508873,2022-05-03 03:00:00
8,1651543200,0.9988,0.9988,0.9988,0.9988,55.98,55.912824,2022-05-03 02:00:00
9,1651539600,0.9993,0.9994,0.9993,0.9994,925.28,924.7248319999999,2022-05-03 01:00:00
10,1651536000,0.9987,0.9994,0.9993,0.9987,403.84,403.315008,2022-05-03 00:00:00
11,1651532400,0.9986,0.9993,0.9987,0.9993,427.28,426.98090399999995,2022-05-02 23:00:00
12,1651528800,0.9987,0.9993,0.9993,0.9993,160.68,160.567524,2022-05-02 22:00:00
13,1651525200,0.9987,0.9987,0.9987,0.9987,79.85,79.746195,2022-05-02 21:00:00
14,1651521600,0.9987,0.9994,0.9994,0.9994,203.37,203.247978,2022-05-02 20:00:00
15,1651518000,0.998,0.9992,0.999,0.9992,4518.33,4514.715336,2022-05-02 19:00:00
16,1651514400,0.9976,0.9991,0.9978,0.9982,1255.09,1252.8308379999999,2022-05-02 18:00:00
17,1651510800,0.9972,0.9994,0.9986,0.9977,24465.34,24409.069718000002,2022-05-02 17:00:00
18,1651507200,0.9983,0.9994,0.9991,0.9993,2074.35,2072.897955,2022-05-02 16:00:00
19,1651503600,0.999,0.9991,0.9991,0.999,104.01,103.90599,2022-05-02 15:00:00
20,1651500000,0.9988,0.9996,0.9996,0.9993,1497.65,1496.601645,2022-05-02 14:00:00
21,1651496400,0.9987,0.9996,0.9989,0.9995,1018.41,1017.900795,2022-05-02 13:00:00
22,1651492800,0.999,0.9996,0.999,0.9996,368.16,368.012736,2022-05-02 12:00:00
23,1651489200,0.9988,0.9995,0.9995,0.999,182.34,182.15766,2022-05-02 11:00:00
24,1651485600,0.9988,0.9995,0.9988,0.9995,222.7,222.58865,2022-05-02 10:00:00
25,1651482000,0.9988,0.9994,0.9994,0.9988,55.17,55.103796,2022-05-02 09:00:00
26,1651474800,0.9994,0.9994,0.9994,0.9994,23.89,23.875666,2022-05-02 07:00:00
27,1651471200,0.9987,0.9994,0.9988,0.9988,1783.28,1781.140064,2022-05-02 06:00:00
28,1651467600,0.9988,0.9995,0.9995,0.9994,486.91,486.617854,2022-05-02 05:00:00
29,1651460400,0.9988,0.9995,0.9994,0.9988,53.04,52.976352,2022-05-02 03:00:00
30,1651456800,0.9986,0.9995,0.9986,0.9994,1150.01,1149.319994,2022-05-02 02:00:00
31,1651453200,0.9986,0.9995,0.9992,0.9986,88.43,88.30619800000001,2022-05-02 01:00:00
32,1651449600,0.9993,0.9995,0.9993,0.9995,107.83,107.77608500000001,2022-05-02 00:00:00
33,1651446000,0.9981,0.9994,0.9986,0.9983,3941.8,3935.09894,2022-05-01 23:00:00
34,1651442400,0.9981,0.9995,0.9981,0.9995,3771.28,3769.3943600000002,2022-05-01 22:00:00
35,1651438800,0.9981,0.9981,0.9981,0.9981,60.09,59.975829000000004,2022-05-01 21:00:00
36,1651435200,0.9976,0.9991,0.9988,0.998,4276.09,4267.5378200000005,2022-05-01 20:00:00
37,1651431600,0.9977,0.9985,0.9977,0.9979,342.48,341.76079200000004,2022-05-01 19:00:00
38,1651428000,0.9977,0.9982,0.9982,0.9977,1589.24,1585.584748,2022-05-01 18:00:00
39,1651424400,0.998,0.9988,0.9981,0.998,64.88,64.75023999999999,2022-05-01 17:00:00
40,1651420800,0.9979,0.9988,0.9988,0.9979,38.12,38.039947999999995,2022-05-01 16:00:00
41,1651417200,0.998,0.9989,0.9987,0.9989,3010.48,3007.168472,2022-05-01 15:00:00
42,1651413600,0.9978,0.9988,0.998,0.9978,209.6,209.13888,2022-05-01 14:00:00
43,1651410000,0.9981,0.9987,0.9981,0.9987,114.11,113.961657,2022-05-01 13:00:00
44,1651406400,0.9981,0.9988,0.9987,0.9988,1024.0,1022.7712,2022-05-01 12:00:00
45,1651402800,0.9981,0.9989,0.9982,0.9982,352.05,351.41631,2022-05-01 11:00:00
46,1651399200,0.9979,0.9989,0.9988,0.9989,1384.67,1383.1468630000002,2022-05-01 10:00:00
47,1651392000,0.9981,0.9988,0.9981,0.9988,42.8,42.748639999999995,2022-05-01 08:00:00
48,1651388400,0.9979,0.9989,0.9979,0.9981,1994.49,1990.7004689999999,2022-05-01 07:00:00
49,1651384800,0.9979,0.9988,0.9979,0.9988,1040.72,1039.4711360000001,2022-05-01 06:00:00
50,1651381200,0.9969,0.9989,0.9975,0.9969,8229.08,8203.569852,2022-05-01 05:00:00
51,1651377600,0.9963,0.999,0.9989,0.9985,38323.01,38265.525485000006,2022-05-01 04:00:00
52,1651374000,0.9988,0.9989,0.9988,0.9989,177.23,177.035047,2022-05-01 03:00:00
53,1651370400,0.9988,0.9995,0.9993,0.9989,162.76,162.580964,2022-05-01 02:00:00
54,1651366800,0.9988,0.9995,0.9995,0.9993,1154.25,1153.442025,2022-05-01 01:00:00
55,1651363200,0.9991,0.9995,0.9993,0.9995,1561.73,1560.949135,2022-05-01 00:00:00
