,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.02608,0.02646,0.02613,0.02625,198299,5205.34875,2022-05-03 11:00:00
1,1651572000,0.02608,0.02638,0.02635,0.02613,82639,2159.35707,2022-05-03 10:00:00
2,1651568400,0.02608,0.02639,0.02638,0.02631,83292,2191.41252,2022-05-03 09:00:00
3,1651564800,0.02599,0.02639,0.02599,0.02634,116268,3062.49912,2022-05-03 08:00:00
4,1651561200,0.02586,0.02612,0.02586,0.02608,78477,2046.68016,2022-05-03 07:00:00
5,1651557600,0.02553,0.02591,0.02567,0.0259,255250,6610.974999999999,2022-05-03 06:00:00
6,1651554000,0.02535,0.02572,0.02563,0.02567,231183,5934.46761,2022-05-03 05:00:00
7,1651550400,0.02505,0.02591,0.02591,0.0257,480298,12343.6586,2022-05-03 04:00:00
8,1651546800,0.02557,0.02614,0.02603,0.02558,180648,4620.97584,2022-05-03 03:00:00
9,1651543200,0.02559,0.02612,0.02587,0.02612,220194,5751.46728,2022-05-03 02:00:00
10,1651539600,0.02557,0.02622,0.02574,0.02568,402796,10343.80128,2022-05-03 01:00:00
11,1651536000,0.02566,0.02628,0.02597,0.02574,493210,12695.2254,2022-05-03 00:00:00
12,1651532400,0.02585,0.02683,0.02662,0.02605,652136,16988.1428,2022-05-02 23:00:00
13,1651528800,0.02587,0.02701,0.02601,0.0266,868186,23093.7476,2022-05-02 22:00:00
14,1651525200,0.02585,0.02686,0.02663,0.02585,365260,9441.971000000001,2022-05-02 21:00:00
15,1651521600,0.02565,0.02708,0.02634,0.02669,664895,17746.04755,2022-05-02 20:00:00
16,1651518000,0.02607,0.0267,0.02636,0.02634,405168,10672.125119999999,2022-05-02 19:00:00
17,1651514400,0.02613,0.02679,0.02659,0.02654,310822,8249.21588,2022-05-02 18:00:00
18,1651510800,0.02644,0.02707,0.027,0.02659,143085,3804.63015,2022-05-02 17:00:00
19,1651507200,0.02644,0.02731,0.02705,0.02704,441749,11944.892960000001,2022-05-02 16:00:00
20,1651503600,0.02686,0.02733,0.02705,0.02686,99114,2662.2020399999997,2022-05-02 15:00:00
21,1651500000,0.02677,0.02721,0.02698,0.02711,136617,3703.68687,2022-05-02 14:00:00
22,1651496400,0.0266,0.02707,0.02673,0.02705,197030,5329.6615,2022-05-02 13:00:00
23,1651492800,0.02649,0.02707,0.02701,0.02679,263061,7047.40419,2022-05-02 12:00:00
24,1651489200,0.02686,0.02743,0.02742,0.02686,138291,3714.49626,2022-05-02 11:00:00
25,1651485600,0.02727,0.0277,0.02733,0.02737,28695,785.3821499999999,2022-05-02 10:00:00
26,1651482000,0.02714,0.02775,0.02741,0.02734,157040,4293.4736,2022-05-02 09:00:00
27,1651478400,0.02713,0.02757,0.02746,0.02741,154285,4228.95185,2022-05-02 08:00:00
28,1651474800,0.02713,0.02755,0.02738,0.02755,122144,3365.0672000000004,2022-05-02 07:00:00
29,1651471200,0.02721,0.02761,0.02744,0.02727,79661,2172.35547,2022-05-02 06:00:00
30,1651467600,0.02727,0.02841,0.02841,0.02744,946950,25984.308,2022-05-02 05:00:00
31,1651464000,0.02733,0.02885,0.02742,0.0283,628626,17790.1158,2022-05-02 04:00:00
32,1651460400,0.027,0.02769,0.02722,0.02756,156858,4323.00648,2022-05-02 03:00:00
33,1651456800,0.02698,0.02748,0.02707,0.02709,201378,5455.33002,2022-05-02 02:00:00
34,1651453200,0.02682,0.02719,0.02708,0.02719,164182,4464.10858,2022-05-02 01:00:00
35,1651449600,0.02675,0.02762,0.02721,0.02682,524540,14068.1628,2022-05-02 00:00:00
36,1651446000,0.02634,0.02737,0.02648,0.02727,542216,14786.230319999999,2022-05-01 23:00:00
37,1651442400,0.02647,0.0268,0.02678,0.02647,99200,2625.824,2022-05-01 22:00:00
38,1651438800,0.02634,0.02735,0.02693,0.02681,545990,14637.9919,2022-05-01 21:00:00
39,1651435200,0.0267,0.02701,0.02676,0.02691,129109,3474.32319,2022-05-01 20:00:00
40,1651431600,0.0267,0.02765,0.02765,0.02689,387887,10430.281430000001,2022-05-01 19:00:00
41,1651428000,0.02688,0.0279,0.02725,0.02786,338233,9423.17138,2022-05-01 18:00:00
42,1651424400,0.027,0.02762,0.02718,0.02725,255346,6958.1785,2022-05-01 17:00:00
43,1651420800,0.0262,0.02735,0.02631,0.02735,369982,10119.0077,2022-05-01 16:00:00
44,1651417200,0.02592,0.02681,0.02613,0.0262,801423,20997.282600000002,2022-05-01 15:00:00
45,1651413600,0.02588,0.0264,0.0264,0.02611,549806,14355.43466,2022-05-01 14:00:00
46,1651410000,0.02582,0.02707,0.02703,0.02616,3271773,85589.58168,2022-05-01 13:00:00
47,1651406400,0.02686,0.02802,0.02718,0.02702,1344188,36319.95976,2022-05-01 12:00:00
48,1651402800,0.02689,0.02719,0.0271,0.02708,70136,1899.28288,2022-05-01 11:00:00
49,1651399200,0.02684,0.02712,0.02707,0.0271,16318,442.2178,2022-05-01 10:00:00
50,1651395600,0.02665,0.02707,0.02678,0.02707,175883,4761.1528100000005,2022-05-01 09:00:00
51,1651392000,0.02665,0.02694,0.02688,0.02665,150977,4023.53705,2022-05-01 08:00:00
52,1651388400,0.02668,0.02705,0.02682,0.02671,117374,3135.05954,2022-05-01 07:00:00
53,1651384800,0.02669,0.02693,0.0269,0.02692,157311,4234.81212,2022-05-01 06:00:00
54,1651381200,0.02665,0.02708,0.02677,0.02665,380935,10151.91775,2022-05-01 05:00:00
55,1651377600,0.02673,0.02709,0.02691,0.02673,199601,5335.3347300000005,2022-05-01 04:00:00
56,1651374000,0.02676,0.02728,0.02715,0.02705,238391,6448.47655,2022-05-01 03:00:00
57,1651370400,0.02687,0.02746,0.02746,0.02715,576791,15659.87565,2022-05-01 02:00:00
58,1651366800,0.02735,0.02772,0.02752,0.02758,186505,5143.8079,2022-05-01 01:00:00
59,1651363200,0.02741,0.02785,0.02783,0.02742,168159,4610.91978,2022-05-01 00:00:00
60,1651359600,0.02742,0.02837,0.02828,0.02783,814688,22672.76704,2022-04-30 23:00:00
