,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,23.23,23.45,23.29,23.45,308.949,7244.85405,2022-05-03 11:00:00
1,1651572000,23.25,23.33,23.29,23.28,289.471,6738.8848800000005,2022-05-03 10:00:00
2,1651568400,23.29,23.35,23.34,23.29,120.235,2800.27315,2022-05-03 09:00:00
3,1651564800,23.31,23.45,23.4,23.37,306.637,7166.1066900000005,2022-05-03 08:00:00
4,1651561200,23.24,23.42,23.24,23.42,73.212,1714.6250400000001,2022-05-03 07:00:00
5,1651557600,23.23,23.53,23.49,23.33,818.154,19087.532819999997,2022-05-03 06:00:00
6,1651554000,23.41,23.49,23.48,23.49,101.458,2383.24842,2022-05-03 05:00:00
7,1651550400,23.42,23.59,23.57,23.49,469.795,11035.48455,2022-05-03 04:00:00
8,1651546800,23.54,23.72,23.57,23.59,222.544,5249.81296,2022-05-03 03:00:00
9,1651543200,23.46,23.61,23.57,23.57,234.225,5520.68325,2022-05-03 02:00:00
10,1651539600,23.39,23.59,23.43,23.59,543.854,12829.515860000001,2022-05-03 01:00:00
11,1651536000,23.43,23.5,23.43,23.46,58.061,1362.11106,2022-05-03 00:00:00
12,1651532400,23.44,23.63,23.52,23.44,106.116,2487.3590400000003,2022-05-02 23:00:00
13,1651528800,23.51,23.65,23.63,23.56,46.492,1095.35152,2022-05-02 22:00:00
14,1651525200,23.4,23.63,23.4,23.63,150.648,3559.8122399999997,2022-05-02 21:00:00
15,1651521600,23.4,23.64,23.64,23.4,476.541,11151.0594,2022-05-02 20:00:00
16,1651518000,23.41,23.65,23.44,23.65,530.326,12542.2099,2022-05-02 19:00:00
17,1651514400,23.2,23.64,23.36,23.45,1980.949,46453.25405,2022-05-02 18:00:00
18,1651510800,23.2,23.43,23.43,23.31,1291.322,30100.715819999994,2022-05-02 17:00:00
19,1651507200,23.4,23.63,23.61,23.4,433.868,10152.511199999999,2022-05-02 16:00:00
20,1651503600,23.59,23.75,23.64,23.59,254.955,6014.38845,2022-05-02 15:00:00
21,1651500000,23.63,23.84,23.79,23.63,1031.985,24385.805549999997,2022-05-02 14:00:00
22,1651496400,23.42,23.8,23.47,23.79,1557.676,37057.11204,2022-05-02 13:00:00
23,1651492800,23.42,23.67,23.42,23.44,608.364,14260.052160000001,2022-05-02 12:00:00
24,1651489200,23.35,23.48,23.41,23.42,379.067,8877.749140000002,2022-05-02 11:00:00
25,1651485600,23.4,23.57,23.48,23.43,481.077,11271.634109999999,2022-05-02 10:00:00
26,1651482000,23.48,23.64,23.53,23.49,342.479,8044.8317099999995,2022-05-02 09:00:00
27,1651478400,23.54,23.75,23.69,23.58,1377.114,32472.34812,2022-05-02 08:00:00
