,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.3177,0.3222,0.3202,0.3218,21779.728413,7008.7166033034,2022-05-03 11:00:00
1,1651572000,0.32,0.3221,0.3215,0.3202,3730.502581,1194.5069264362,2022-05-03 10:00:00
2,1651568400,0.316,0.3216,0.319,0.3216,11452.720237,3683.1948282191997,2022-05-03 09:00:00
3,1651564800,0.3157,0.32,0.3178,0.3194,22689.884266,7247.149034560401,2022-05-03 08:00:00
4,1651561200,0.3157,0.318,0.3157,0.3174,11151.002218,3539.3281039932,2022-05-03 07:00:00
5,1651557600,0.3128,0.3165,0.3131,0.3157,37756.924832,11919.861169462398,2022-05-03 06:00:00
6,1651554000,0.3131,0.319,0.3172,0.3131,31088.247738,9733.730366767799,2022-05-03 05:00:00
7,1651550400,0.3155,0.3204,0.3204,0.3171,55067.984674,17462.0579401254,2022-05-03 04:00:00
8,1651546800,0.3147,0.3204,0.3153,0.3194,20350.280252,6499.8795124888,2022-05-03 03:00:00
9,1651543200,0.3145,0.3186,0.3178,0.3154,12151.536874,3832.5947300596,2022-05-03 02:00:00
10,1651539600,0.317,0.3197,0.3175,0.3179,17970.693721,5712.883533905901,2022-05-03 01:00:00
11,1651536000,0.3128,0.3236,0.3186,0.3175,44901.415926,14256.199556505,2022-05-03 00:00:00
12,1651532400,0.3169,0.3229,0.3224,0.3194,30217.762817,9651.5534437498,2022-05-02 23:00:00
13,1651528800,0.319,0.3287,0.3213,0.3253,74865.939505,24353.8901209765,2022-05-02 22:00:00
14,1651525200,0.3174,0.3213,0.3196,0.32,12122.939211,3879.34054752,2022-05-02 21:00:00
15,1651521600,0.316,0.3233,0.3197,0.3186,26874.795645,8562.309892497,2022-05-02 20:00:00
16,1651518000,0.314,0.3211,0.3153,0.3191,26287.75053,8388.421194123,2022-05-02 19:00:00
17,1651514400,0.3099,0.3171,0.3156,0.3144,64322.786324,20223.0840202656,2022-05-02 18:00:00
18,1651510800,0.3154,0.3258,0.323,0.3157,55209.598694,17429.6703076958,2022-05-02 17:00:00
19,1651507200,0.3147,0.3326,0.3197,0.3246,224291.04515,72804.87325568999,2022-05-02 16:00:00
20,1651503600,0.3144,0.3204,0.3158,0.3197,13677.72659,4372.769190823,2022-05-02 15:00:00
21,1651500000,0.3119,0.316,0.3137,0.3156,25502.157761,8048.480989371599,2022-05-02 14:00:00
22,1651496400,0.31,0.3183,0.3183,0.313,107657.746107,33696.874531491,2022-05-02 13:00:00
23,1651492800,0.3153,0.3249,0.3221,0.3184,91493.961524,29131.6773492416,2022-05-02 12:00:00
24,1651489200,0.3152,0.3337,0.3201,0.3221,163043.986017,52516.467896075694,2022-05-02 11:00:00
25,1651485600,0.32,0.3223,0.3214,0.3202,8105.150706,2595.2692560612,2022-05-02 10:00:00
26,1651482000,0.3201,0.328,0.3278,0.3217,25143.462293,8088.6518196581,2022-05-02 09:00:00
27,1651478400,0.3278,0.3333,0.3317,0.3282,35564.986539,11672.4285820998,2022-05-02 08:00:00
28,1651474800,0.3294,0.3331,0.3307,0.3329,5969.378521,1987.2061096408997,2022-05-02 07:00:00
29,1651471200,0.3256,0.3319,0.33,0.3312,19870.32116,6581.050368192,2022-05-02 06:00:00
30,1651467600,0.3256,0.3301,0.327,0.33,13704.721248,4522.55801184,2022-05-02 05:00:00
31,1651464000,0.3246,0.3276,0.3272,0.3271,4467.569346,1461.3419330766,2022-05-02 04:00:00
32,1651460400,0.3235,0.3285,0.3252,0.3272,13785.345361,4510.5650021192,2022-05-02 03:00:00
33,1651456800,0.3235,0.3324,0.3324,0.3256,54383.179848,17707.1633585088,2022-05-02 02:00:00
34,1651453200,0.3263,0.3458,0.3419,0.3307,156892.744435,51884.430584654496,2022-05-02 01:00:00
35,1651449600,0.3231,0.3467,0.3238,0.3419,79571.479438,27205.4888198522,2022-05-02 00:00:00
36,1651446000,0.321,0.3238,0.321,0.3232,10464.780326,3382.2170013632,2022-05-01 23:00:00
37,1651442400,0.321,0.3221,0.3217,0.3218,13177.653148,4240.5687830264,2022-05-01 22:00:00
38,1651438800,0.3213,0.3221,0.3213,0.3221,7890.351477,2541.4822107417,2022-05-01 21:00:00
39,1651435200,0.3173,0.322,0.3193,0.322,21791.443981,7016.8449618820005,2022-05-01 20:00:00
40,1651431600,0.3188,0.3219,0.3214,0.3193,7658.55165,2445.375541845,2022-05-01 19:00:00
41,1651428000,0.3214,0.3232,0.323,0.322,3970.131912,1278.382475664,2022-05-01 18:00:00
42,1651424400,0.3228,0.3304,0.3284,0.3232,20732.485529,6700.7393229728,2022-05-01 17:00:00
43,1651420800,0.3216,0.3304,0.3221,0.3284,40848.983659,13414.8062336156,2022-05-01 16:00:00
44,1651417200,0.314,0.3225,0.3144,0.3221,26700.745105,8600.309998320501,2022-05-01 15:00:00
45,1651413600,0.312,0.3335,0.3141,0.3144,160101.09249,50335.78347885601,2022-05-01 14:00:00
46,1651410000,0.3125,0.3289,0.3196,0.3141,96339.162927,30260.131075370697,2022-05-01 13:00:00
47,1651406400,0.3163,0.3193,0.3166,0.3193,27171.012784,8675.704381931198,2022-05-01 12:00:00
48,1651402800,0.316,0.3244,0.3241,0.3166,18230.4457,5771.75910862,2022-05-01 11:00:00
49,1651399200,0.3234,0.3288,0.3248,0.3237,35570.79646,11514.266814101999,2022-05-01 10:00:00
50,1651395600,0.3214,0.3291,0.3255,0.3248,229165.648308,74433.0025704384,2022-05-01 09:00:00
51,1651392000,0.3254,0.3287,0.3278,0.326,190340.12759,62050.88159434,2022-05-01 08:00:00
52,1651388400,0.3254,0.329,0.3261,0.3283,67263.626484,22082.648574697196,2022-05-01 07:00:00
53,1651384800,0.3254,0.3404,0.328,0.3261,297363.586432,96970.26553547519,2022-05-01 06:00:00
54,1651381200,0.327,0.3339,0.3332,0.3275,46420.482148,15202.707903470002,2022-05-01 05:00:00
55,1651377600,0.3323,0.3445,0.3348,0.3336,64194.442694,21415.2660827184,2022-05-01 04:00:00
56,1651374000,0.3269,0.3378,0.3269,0.3342,62597.674233,20920.142728668598,2022-05-01 03:00:00
57,1651370400,0.3269,0.3331,0.332,0.3269,24435.444202,7987.9467096338,2022-05-01 02:00:00
58,1651366800,0.3254,0.3363,0.3258,0.332,57133.3858,18968.2840856,2022-05-01 01:00:00
59,1651363200,0.325,0.3308,0.3267,0.3254,47555.177003,15474.4545967762,2022-05-01 00:00:00
60,1651359600,0.3261,0.3368,0.3346,0.3281,145947.286937,47885.3048440297,2022-04-30 23:00:00
61,1651356000,0.3322,0.337,0.3323,0.3356,17394.219009,5837.499899420401,2022-04-30 22:00:00
62,1651352400,0.3321,0.3425,0.3336,0.3323,47868.092812,15906.5672414276,2022-04-30 21:00:00
63,1651348800,0.3281,0.3341,0.3316,0.3335,73585.237672,24540.676763612002,2022-04-30 20:00:00
64,1651345200,0.328,0.3333,0.3331,0.3316,46500.394668,15419.5308719088,2022-04-30 19:00:00
65,1651341600,0.3329,0.3349,0.334,0.3343,34541.37915,11547.183049845,2022-04-30 18:00:00
66,1651338000,0.3333,0.335,0.335,0.334,9448.480829,3155.7925968860004,2022-04-30 17:00:00
67,1651334400,0.333,0.337,0.3367,0.335,24900.423103,8341.641739505001,2022-04-30 16:00:00
68,1651330800,0.335,0.3398,0.336,0.3367,33609.664185,11316.3739310895,2022-04-30 15:00:00
69,1651327200,0.336,0.3413,0.3383,0.336,61449.56187,20647.05278832,2022-04-30 14:00:00
70,1651323600,0.338,0.3427,0.3417,0.3391,13068.018905,4431.365210685501,2022-04-30 13:00:00
71,1651320000,0.3383,0.3426,0.3386,0.3417,15722.184521,5372.2704508257,2022-04-30 12:00:00
72,1651316400,0.3374,0.3458,0.3423,0.3374,23740.464831,8010.0328339794,2022-04-30 11:00:00
73,1651312800,0.3357,0.3436,0.3371,0.3424,23890.400345,8180.073078127999,2022-04-30 10:00:00
74,1651309200,0.3355,0.3494,0.3493,0.3366,117330.856315,39493.566235629,2022-04-30 09:00:00
75,1651305600,0.3495,0.3515,0.3504,0.3499,15858.874412,5549.020156758799,2022-04-30 08:00:00
76,1651302000,0.3455,0.3509,0.3456,0.3509,23761.366431,8337.8634806379,2022-04-30 07:00:00
77,1651298400,0.3444,0.3464,0.3454,0.3453,167772.212248,57931.7448892344,2022-04-30 06:00:00
78,1651294800,0.3448,0.3494,0.3494,0.3456,75703.416835,26163.100858176,2022-04-30 05:00:00
79,1651291200,0.3491,0.3518,0.351,0.3499,9860.387908,3450.1497290092,2022-04-30 04:00:00
80,1651287600,0.3505,0.3569,0.3569,0.3514,37829.195386,13293.179258640399,2022-04-30 03:00:00
81,1651284000,0.3527,0.363,0.3616,0.3569,80025.407244,28561.0678453836,2022-04-30 02:00:00
82,1651280400,0.3566,0.3616,0.3573,0.3615,18802.536064,6797.116787135999,2022-04-30 01:00:00
83,1651276800,0.3481,0.3594,0.3482,0.3573,113664.332819,40612.266116228704,2022-04-30 00:00:00
84,1651273200,0.3448,0.3494,0.3469,0.3472,24788.806811,8606.673724779199,2022-04-29 23:00:00
85,1651269600,0.3448,0.3487,0.3474,0.3462,9441.283948,3268.5725027976,2022-04-29 22:00:00
86,1651266000,0.3457,0.3483,0.3483,0.3474,15453.078789,5368.3995712986,2022-04-29 21:00:00
87,1651262400,0.3443,0.3493,0.3456,0.3476,403024.196299,140091.2106335324,2022-04-29 20:00:00
88,1651258800,0.3447,0.3509,0.3508,0.3449,100866.381967,34788.81514041829,2022-04-29 19:00:00
89,1651255200,0.3496,0.3543,0.3524,0.3507,28543.700937,10010.275918605901,2022-04-29 18:00:00
90,1651251600,0.3511,0.3543,0.3526,0.3526,67377.103808,23757.1668027008,2022-04-29 17:00:00
91,1651248000,0.351,0.3577,0.3562,0.3518,41344.4478,14544.97673604,2022-04-29 16:00:00
92,1651244400,0.3555,0.3587,0.3562,0.3566,18645.94437,6649.143762342,2022-04-29 15:00:00
93,1651240800,0.3556,0.3631,0.363,0.3571,77778.228081,27774.605247725096,2022-04-29 14:00:00
94,1651237200,0.363,0.3654,0.3653,0.3634,42862.642483,15576.2842783222,2022-04-29 13:00:00
95,1651233600,0.3606,0.3653,0.3624,0.3653,56914.432067,20790.8420340751,2022-04-29 12:00:00
0,1651230000,0.3596,0.3642,0.3602,0.3619,68633.104645,24838.3205710255,2022-04-29 11:00:00
1,1651226400,0.3594,0.37,0.3699,0.3607,118939.06946,42901.322354222,2022-04-29 10:00:00
2,1651222800,0.3694,0.376,0.3759,0.3701,22231.894888,8228.0242980488,2022-04-29 09:00:00
3,1651219200,0.373,0.3836,0.3836,0.3761,188776.721833,70998.9250813913,2022-04-29 08:00:00
4,1651215600,0.3817,0.3894,0.3876,0.3836,108664.147009,41683.5667926524,2022-04-29 07:00:00
5,1651212000,0.373,0.3937,0.3735,0.3877,353534.391612,137065.28362797239,2022-04-29 06:00:00
6,1651208400,0.371,0.375,0.3745,0.3735,107250.456788,40058.045610318,2022-04-29 05:00:00
7,1651204800,0.3723,0.3785,0.3784,0.3746,135220.930366,50653.76051510359,2022-04-29 04:00:00
8,1651201200,0.3697,0.3811,0.3704,0.3784,90985.323042,34428.8462390928,2022-04-29 03:00:00
9,1651197600,0.3667,0.3802,0.3788,0.37,125347.289634,46378.49716458,2022-04-29 02:00:00
10,1651194000,0.3561,0.3823,0.3613,0.3785,391757.330298,148280.149517793,2022-04-29 01:00:00
11,1651190400,0.3579,0.3726,0.3716,0.3606,269783.72148,97284.00996568799,2022-04-29 00:00:00
12,1651186800,0.3705,0.3856,0.3841,0.3722,61367.892757,22841.1296841554,2022-04-28 23:00:00
13,1651183200,0.3742,0.3857,0.3759,0.3842,237606.203363,91288.3033320646,2022-04-28 22:00:00
14,1651179600,0.3741,0.3888,0.3873,0.3759,226168.051507,85016.5705614813,2022-04-28 21:00:00
15,1651176000,0.3795,0.3993,0.388,0.3873,611351.646061,236776.49251942526,2022-04-28 20:00:00
16,1651172400,0.3739,0.3903,0.3852,0.3871,436913.371329,169129.1660414559,2022-04-28 19:00:00
17,1651168800,0.3828,0.389,0.384,0.3849,69025.356154,26567.8595836746,2022-04-28 18:00:00
18,1651165200,0.3727,0.3846,0.3777,0.3838,342761.425539,131551.8351218682,2022-04-28 17:00:00
19,1651161600,0.3775,0.3818,0.3818,0.3777,192760.298206,72805.5646324062,2022-04-28 16:00:00
20,1651158000,0.3818,0.3904,0.3847,0.3818,283147.687283,108105.78700464938,2022-04-28 15:00:00
21,1651154400,0.3818,0.4039,0.3935,0.3841,493800.124895,189668.62797216952,2022-04-28 14:00:00
22,1651150800,0.3752,0.3943,0.3762,0.3927,308442.658428,121125.43196467559,2022-04-28 13:00:00
23,1651147200,0.3761,0.3898,0.3897,0.3775,260049.844089,98168.81614359749,2022-04-28 12:00:00
24,1651143600,0.3771,0.3942,0.3821,0.3899,345310.227448,134636.4576819752,2022-04-28 11:00:00
25,1651140000,0.3735,0.3867,0.3783,0.3821,594458.276464,227142.5074368944,2022-04-28 10:00:00
26,1651136400,0.3701,0.4195,0.4195,0.3783,555301.465453,210070.54438086992,2022-04-28 09:00:00
27,1651132800,0.3897,0.4235,0.4114,0.4196,1148290.210888,481822.57248860475,2022-04-28 08:00:00
28,1651129200,0.3677,0.4451,0.3679,0.4114,2791654.291875,1148486.575677375,2022-04-28 07:00:00
29,1651125600,0.3332,0.3679,0.3402,0.3678,610767.04167,224640.117926226,2022-04-28 06:00:00
30,1651122000,0.3279,0.3508,0.3279,0.3401,312117.558553,106151.1816638753,2022-04-28 05:00:00
31,1651118400,0.3278,0.3329,0.3329,0.3279,11923.357372,3909.6688822788005,2022-04-28 04:00:00
32,1651114800,0.3328,0.3375,0.3335,0.3335,29280.168719,9764.936267786501,2022-04-28 03:00:00
33,1651111200,0.3307,0.3362,0.3358,0.3334,37928.212082,12645.2659081388,2022-04-28 02:00:00
34,1651107600,0.3342,0.337,0.3346,0.3356,26370.924183,8850.0821558148,2022-04-28 01:00:00
35,1651104000,0.3313,0.335,0.3319,0.335,7580.674911,2539.526095185,2022-04-28 00:00:00
36,1651100400,0.3306,0.3352,0.3327,0.3341,13984.424881,4672.1963527421,2022-04-27 23:00:00
37,1651096800,0.3306,0.3329,0.3306,0.3326,2574.577996,856.3046414696,2022-04-27 22:00:00
38,1651093200,0.3284,0.3318,0.3302,0.3307,7158.020692,2367.1574428444,2022-04-27 21:00:00
39,1651089600,0.326,0.3336,0.3261,0.3309,42442.536907,14044.235462526301,2022-04-27 20:00:00
