,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.444,0.452,0.445,0.451,31881.32,14378.47532,2022-05-03 11:00:00
1,1651572000,0.444,0.45,0.449,0.446,47979.44,21398.830240000003,2022-05-03 10:00:00
2,1651568400,0.448,0.451,0.451,0.448,35173.97,15757.93856,2022-05-03 09:00:00
3,1651564800,0.451,0.455,0.451,0.451,137539.08,62030.12508,2022-05-03 08:00:00
4,1651561200,0.447,0.454,0.454,0.451,21400.11,9651.44961,2022-05-03 07:00:00
5,1651557600,0.452,0.456,0.456,0.452,27523.17,12440.47284,2022-05-03 06:00:00
6,1651554000,0.449,0.456,0.454,0.455,39137.06,17807.3623,2022-05-03 05:00:00
7,1651550400,0.451,0.454,0.454,0.454,17231.46,7823.08284,2022-05-03 04:00:00
8,1651546800,0.446,0.456,0.448,0.456,52523.04,23950.506240000002,2022-05-03 03:00:00
9,1651543200,0.447,0.456,0.454,0.449,41339.37,18561.37713,2022-05-03 02:00:00
10,1651539600,0.443,0.463,0.444,0.454,148453.97,67398.10238,2022-05-03 01:00:00
11,1651536000,0.44,0.447,0.446,0.443,83375.83,36935.49269,2022-05-03 00:00:00
12,1651532400,0.443,0.449,0.443,0.446,119735.1,53401.854600000006,2022-05-02 23:00:00
13,1651528800,0.442,0.448,0.444,0.443,361121.87,159976.98841,2022-05-02 22:00:00
14,1651525200,0.434,0.444,0.435,0.444,124631.83,55336.53252,2022-05-02 21:00:00
15,1651521600,0.435,0.442,0.442,0.435,106988.92,46540.1802,2022-05-02 20:00:00
16,1651518000,0.432,0.443,0.432,0.442,141097.1,62364.9182,2022-05-02 19:00:00
17,1651514400,0.429,0.436,0.433,0.433,174991.56,75771.34548,2022-05-02 18:00:00
18,1651510800,0.429,0.444,0.442,0.433,216787.87,93869.14770999999,2022-05-02 17:00:00
19,1651507200,0.441,0.449,0.446,0.441,58701.89,25887.53349,2022-05-02 16:00:00
20,1651503600,0.446,0.455,0.45,0.447,86170.25,38518.10175,2022-05-02 15:00:00
21,1651500000,0.439,0.452,0.445,0.45,327659.17,147446.62649999998,2022-05-02 14:00:00
