,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,3.84,3.92,3.85,3.91,19649.7,76830.327,2022-05-03 11:00:00
1,1651572000,3.85,3.9,3.89,3.85,13024.8,50145.479999999996,2022-05-03 10:00:00
2,1651568400,3.88,3.91,3.9,3.89,9469.2,36835.188,2022-05-03 09:00:00
3,1651564800,3.9,3.93,3.92,3.91,10967.5,42882.925,2022-05-03 08:00:00
4,1651561200,3.88,3.95,3.89,3.92,14397.0,56436.24,2022-05-03 07:00:00
5,1651557600,3.86,3.91,3.89,3.9,10442.5,40725.75,2022-05-03 06:00:00
6,1651554000,3.83,3.89,3.84,3.89,10783.8,41948.981999999996,2022-05-03 05:00:00
7,1651550400,3.81,3.85,3.85,3.85,9129.3,35147.805,2022-05-03 04:00:00
8,1651546800,3.81,3.86,3.85,3.84,11987.3,46031.231999999996,2022-05-03 03:00:00
9,1651543200,3.85,3.93,3.89,3.86,20782.9,80221.994,2022-05-03 02:00:00
10,1651539600,3.79,3.88,3.81,3.88,9879.9,38334.011999999995,2022-05-03 01:00:00
11,1651536000,3.78,3.86,3.84,3.81,26672.5,101622.225,2022-05-03 00:00:00
12,1651532400,3.82,3.86,3.83,3.85,10889.6,41924.96,2022-05-02 23:00:00
13,1651528800,3.82,3.89,3.86,3.82,9049.3,34568.325999999994,2022-05-02 22:00:00
14,1651525200,3.74,3.85,3.74,3.85,8611.9,33155.815,2022-05-02 21:00:00
15,1651521600,3.73,3.79,3.78,3.74,12762.1,47730.254,2022-05-02 20:00:00
16,1651518000,3.7,3.8,3.72,3.79,11904.1,45116.539000000004,2022-05-02 19:00:00
17,1651514400,3.64,3.72,3.68,3.72,17959.4,66808.96800000001,2022-05-02 18:00:00
18,1651510800,3.66,3.74,3.74,3.69,25058.3,92465.127,2022-05-02 17:00:00
19,1651507200,3.74,3.8,3.79,3.74,8320.2,31117.548000000006,2022-05-02 16:00:00
20,1651503600,3.76,3.8,3.76,3.79,13354.6,50613.934,2022-05-02 15:00:00
21,1651500000,3.7,3.79,3.74,3.77,23194.8,87444.396,2022-05-02 14:00:00
22,1651496400,3.65,3.76,3.66,3.74,49979.0,186921.46000000002,2022-05-02 13:00:00
23,1651492800,3.65,3.72,3.67,3.65,15144.9,55278.884999999995,2022-05-02 12:00:00
24,1651489200,3.65,3.72,3.71,3.66,21054.5,77059.47,2022-05-02 11:00:00
25,1651485600,3.7,3.74,3.72,3.72,12701.8,47250.695999999996,2022-05-02 10:00:00
26,1651482000,3.73,3.78,3.76,3.73,11772.7,43912.171,2022-05-02 09:00:00
27,1651478400,3.76,3.83,3.83,3.76,9825.7,36944.632,2022-05-02 08:00:00
28,1651474800,3.82,3.86,3.85,3.83,3429.7,13135.751,2022-05-02 07:00:00
29,1651471200,3.85,3.89,3.88,3.85,3843.9,14799.015000000001,2022-05-02 06:00:00
30,1651467600,3.86,3.89,3.88,3.88,10703.7,41530.356,2022-05-02 05:00:00
31,1651464000,3.84,3.9,3.84,3.88,18303.7,71018.356,2022-05-02 04:00:00
32,1651460400,3.83,3.87,3.86,3.83,3515.6,13464.748,2022-05-02 03:00:00
33,1651456800,3.83,3.86,3.85,3.85,12029.8,46314.729999999996,2022-05-02 02:00:00
34,1651453200,3.85,3.91,3.89,3.85,10751.8,41394.43,2022-05-02 01:00:00
35,1651449600,3.84,3.91,3.85,3.88,26887.7,104324.276,2022-05-02 00:00:00
