,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.84,1.86,1.86,1.86,1566.44,2913.5784000000003,2022-05-03 11:00:00
1,1651572000,1.84,1.86,1.86,1.84,628.92,1157.2128,2022-05-03 10:00:00
2,1651568400,1.84,1.86,1.84,1.84,365.5,672.52,2022-05-03 09:00:00
3,1651564800,1.84,1.85,1.85,1.85,71.28,131.868,2022-05-03 08:00:00
4,1651561200,1.84,1.86,1.86,1.84,427.16,785.9744000000001,2022-05-03 07:00:00
5,1651557600,1.84,1.88,1.87,1.84,4678.52,8608.4768,2022-05-03 06:00:00
6,1651554000,1.85,1.87,1.85,1.87,1655.23,3095.2801000000004,2022-05-03 05:00:00
7,1651550400,1.81,1.86,1.82,1.86,3914.66,7281.2676,2022-05-03 04:00:00
8,1651546800,1.8,1.83,1.83,1.81,1776.41,3215.3021000000003,2022-05-03 03:00:00
9,1651543200,1.8,1.83,1.82,1.81,3653.26,6612.400600000001,2022-05-03 02:00:00
10,1651539600,1.82,1.84,1.82,1.84,595.29,1095.3336,2022-05-03 01:00:00
11,1651536000,1.82,1.83,1.83,1.82,148.1,269.542,2022-05-03 00:00:00
12,1651532400,1.81,1.83,1.83,1.81,520.13,941.4353,2022-05-02 23:00:00
13,1651528800,1.81,1.83,1.83,1.81,766.22,1386.8582000000001,2022-05-02 22:00:00
14,1651525200,1.81,1.83,1.82,1.81,755.65,1367.7265,2022-05-02 21:00:00
15,1651521600,1.82,1.83,1.82,1.82,608.99,1108.3618000000001,2022-05-02 20:00:00
16,1651518000,1.81,1.83,1.83,1.83,1033.35,1891.0304999999998,2022-05-02 19:00:00
17,1651514400,1.81,1.86,1.86,1.81,2959.22,5356.1882,2022-05-02 18:00:00
18,1651510800,1.84,1.87,1.87,1.86,1515.9,2819.5740000000005,2022-05-02 17:00:00
19,1651507200,1.85,1.89,1.87,1.85,6924.67,12810.639500000001,2022-05-02 16:00:00
20,1651503600,1.85,1.9,1.87,1.86,3163.29,5883.7194,2022-05-02 15:00:00
21,1651500000,1.85,1.87,1.85,1.87,1228.16,2296.6592000000005,2022-05-02 14:00:00
22,1651496400,1.85,1.86,1.86,1.86,125.54,233.50440000000003,2022-05-02 13:00:00
23,1651492800,1.84,1.86,1.86,1.84,820.56,1509.8304,2022-05-02 12:00:00
24,1651489200,1.86,1.87,1.87,1.86,1385.34,2576.7324,2022-05-02 11:00:00
25,1651485600,1.86,1.88,1.86,1.86,319.51,594.2886,2022-05-02 10:00:00
