,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,2.576,2.607,2.576,2.606,1328.48,3462.01888,2022-05-03 11:00:00
1,1651572000,2.572,2.588,2.585,2.574,184.15,474.0021,2022-05-03 10:00:00
2,1651568400,2.58,2.612,2.61,2.582,2263.04,5843.169279999999,2022-05-03 09:00:00
3,1651564800,2.608,2.628,2.622,2.608,1389.11,3622.79888,2022-05-03 08:00:00
4,1651561200,2.604,2.626,2.614,2.62,1610.19,4218.6978,2022-05-03 07:00:00
5,1651557600,2.613,2.629,2.624,2.628,1643.01,4317.83028,2022-05-03 06:00:00
6,1651554000,2.6,2.629,2.601,2.617,542.4,1419.4607999999998,2022-05-03 05:00:00
7,1651550400,2.598,2.615,2.606,2.598,543.37,1411.67526,2022-05-03 04:00:00
8,1651546800,2.604,2.62,2.619,2.61,172.05,449.0505,2022-05-03 03:00:00
9,1651543200,2.594,2.655,2.603,2.613,11037.94,28842.13722,2022-05-03 02:00:00
10,1651539600,2.572,2.603,2.585,2.602,3160.65,8224.0113,2022-05-03 01:00:00
11,1651536000,2.576,2.605,2.593,2.583,5933.86,15327.16038,2022-05-03 00:00:00
12,1651532400,2.586,2.629,2.598,2.59,4880.59,12640.7281,2022-05-02 23:00:00
13,1651528800,2.588,2.629,2.603,2.599,6495.52,16881.856480000002,2022-05-02 22:00:00
14,1651525200,2.542,2.614,2.542,2.599,15493.11,40266.59289000001,2022-05-02 21:00:00
15,1651521600,2.525,2.55,2.53,2.542,4710.35,11973.7097,2022-05-02 20:00:00
16,1651518000,2.489,2.55,2.489,2.527,21759.11,54985.270970000005,2022-05-02 19:00:00
17,1651514400,2.476,2.541,2.527,2.49,10878.79,27088.187100000003,2022-05-02 18:00:00
18,1651510800,2.505,2.546,2.515,2.527,17417.17,44013.18859,2022-05-02 17:00:00
19,1651507200,2.501,2.527,2.504,2.511,3843.66,9651.430260000001,2022-05-02 16:00:00
20,1651503600,2.5,2.522,2.516,2.505,4912.77,12306.48885,2022-05-02 15:00:00
21,1651500000,2.503,2.535,2.526,2.519,5073.09,12779.113710000001,2022-05-02 14:00:00
22,1651496400,2.476,2.534,2.497,2.519,18207.42,45864.490979999995,2022-05-02 13:00:00
23,1651492800,2.493,2.508,2.504,2.493,3676.93,9166.58649,2022-05-02 12:00:00
24,1651489200,2.493,2.508,2.5,2.497,3340.04,8340.07988,2022-05-02 11:00:00
25,1651485600,2.501,2.518,2.518,2.503,2449.18,6130.29754,2022-05-02 10:00:00
26,1651482000,2.51,2.53,2.519,2.515,9432.22,23722.0333,2022-05-02 09:00:00
27,1651478400,2.509,2.527,2.516,2.518,5271.25,13273.0075,2022-05-02 08:00:00
28,1651474800,2.513,2.526,2.517,2.518,3812.88,9600.831839999999,2022-05-02 07:00:00
29,1651471200,2.515,2.524,2.523,2.515,9687.89,24365.04335,2022-05-02 06:00:00
30,1651467600,2.507,2.524,2.52,2.524,11374.1,28708.2284,2022-05-02 05:00:00
31,1651464000,2.498,2.52,2.502,2.52,11613.72,29266.574399999998,2022-05-02 04:00:00
32,1651460400,2.505,2.512,2.506,2.505,1648.45,4129.36725,2022-05-02 03:00:00
33,1651456800,2.485,2.506,2.488,2.499,5678.81,14191.346190000002,2022-05-02 02:00:00
34,1651453200,2.49,2.512,2.51,2.49,6272.18,15617.728200000001,2022-05-02 01:00:00
35,1651449600,2.499,2.51,2.5,2.51,13876.45,34829.8895,2022-05-02 00:00:00
36,1651446000,2.483,2.505,2.483,2.505,15911.98,39859.5099,2022-05-01 23:00:00
37,1651442400,2.466,2.5,2.495,2.48,17192.45,42637.276,2022-05-01 22:00:00
38,1651438800,2.472,2.493,2.472,2.483,5063.63,12572.99329,2022-05-01 21:00:00
39,1651435200,2.443,2.49,2.452,2.487,4163.23,10353.95301,2022-05-01 20:00:00
40,1651431600,2.436,2.463,2.452,2.45,7694.22,18850.839000000004,2022-05-01 19:00:00
