,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.2006,0.2067,0.201,0.2038,92655,18883.089,2022-05-03 11:00:00
1,1651572000,0.2009,0.2066,0.2066,0.201,113807,22875.207000000002,2022-05-03 10:00:00
2,1651568400,0.2004,0.2092,0.2004,0.2069,596821,123482.2649,2022-05-03 09:00:00
3,1651564800,0.2008,0.2066,0.2018,0.2008,425996,85539.99680000001,2022-05-03 08:00:00
4,1651561200,0.197,0.2055,0.1992,0.2015,1481277,298477.3155,2022-05-03 07:00:00
5,1651557600,0.1949,0.1997,0.1952,0.1993,485307,96721.6851,2022-05-03 06:00:00
6,1651554000,0.1935,0.1952,0.195,0.1952,66542,12988.9984,2022-05-03 05:00:00
7,1651550400,0.1936,0.1954,0.1936,0.195,17865,3483.675,2022-05-03 04:00:00
8,1651546800,0.1927,0.1942,0.193,0.1936,27219,5269.5984,2022-05-03 03:00:00
9,1651543200,0.1917,0.1934,0.193,0.1927,19792,3813.9184,2022-05-03 02:00:00
10,1651539600,0.1915,0.193,0.1922,0.193,50770,9798.61,2022-05-03 01:00:00
11,1651536000,0.1919,0.1929,0.1929,0.192,22762,4370.304,2022-05-03 00:00:00
12,1651532400,0.1927,0.1951,0.1943,0.1927,240583,46360.3441,2022-05-02 23:00:00
13,1651528800,0.1927,0.1947,0.1929,0.1943,127049,24685.6207,2022-05-02 22:00:00
14,1651525200,0.1908,0.1933,0.191,0.193,114769,22150.417,2022-05-02 21:00:00
15,1651521600,0.1908,0.1935,0.1929,0.1911,46963,8974.6293,2022-05-02 20:00:00
16,1651518000,0.1901,0.1933,0.1901,0.1931,98702,19059.3562,2022-05-02 19:00:00
17,1651514400,0.189,0.1924,0.1911,0.1901,157991,30034.089099999997,2022-05-02 18:00:00
18,1651510800,0.1875,0.2004,0.2004,0.1916,395070,75695.412,2022-05-02 17:00:00
19,1651507200,0.1945,0.213,0.1947,0.2016,874918,176383.4688,2022-05-02 16:00:00
20,1651503600,0.1942,0.197,0.1961,0.1949,153849,29985.1701,2022-05-02 15:00:00
21,1651500000,0.1941,0.1973,0.1973,0.1961,203352,39877.3272,2022-05-02 14:00:00
22,1651496400,0.1946,0.2,0.1989,0.197,520068,102453.39600000001,2022-05-02 13:00:00
23,1651492800,0.1965,0.1985,0.1971,0.1985,39320,7805.02,2022-05-02 12:00:00
24,1651489200,0.1969,0.1983,0.1983,0.1969,18028,3549.7131999999997,2022-05-02 11:00:00
25,1651485600,0.1979,0.1989,0.1984,0.1985,30668,6087.598,2022-05-02 10:00:00
26,1651482000,0.1985,0.2016,0.2012,0.1986,100328,19925.1408,2022-05-02 09:00:00
27,1651478400,0.2005,0.2015,0.2005,0.2011,15560,3129.116,2022-05-02 08:00:00
28,1651474800,0.2008,0.2017,0.2015,0.2008,8428,1692.3424,2022-05-02 07:00:00
29,1651471200,0.2009,0.2018,0.2009,0.2012,14783,2974.3396,2022-05-02 06:00:00
30,1651467600,0.1999,0.2008,0.2003,0.2007,14770,2964.339,2022-05-02 05:00:00
31,1651464000,0.1988,0.201,0.1991,0.2002,61079,12228.0158,2022-05-02 04:00:00
32,1651460400,0.1988,0.1998,0.1991,0.1989,17205,3422.0744999999997,2022-05-02 03:00:00
33,1651456800,0.199,0.1997,0.1996,0.1991,30994,6170.9054,2022-05-02 02:00:00
34,1651453200,0.1998,0.202,0.2016,0.1998,234539,46860.8922,2022-05-02 01:00:00
35,1651449600,0.1997,0.2019,0.2013,0.2013,62634,12608.2242,2022-05-02 00:00:00
36,1651446000,0.1978,0.202,0.1978,0.2012,243666,49025.5992,2022-05-01 23:00:00
37,1651442400,0.1966,0.1997,0.1992,0.198,126495,25046.010000000002,2022-05-01 22:00:00
38,1651438800,0.1943,0.2012,0.1965,0.1997,94446,18860.8662,2022-05-01 21:00:00
39,1651435200,0.1929,0.1968,0.1934,0.1968,70672,13908.249600000001,2022-05-01 20:00:00
40,1651431600,0.1934,0.196,0.1948,0.1934,74730,14452.782,2022-05-01 19:00:00
41,1651428000,0.1948,0.1992,0.1992,0.195,105223,20518.485,2022-05-01 18:00:00
42,1651424400,0.1994,0.2019,0.2013,0.1994,30381,6057.971399999999,2022-05-01 17:00:00
43,1651420800,0.2013,0.203,0.2018,0.2013,374462,75379.2006,2022-05-01 16:00:00
44,1651417200,0.1971,0.203,0.1974,0.2016,155003,31248.6048,2022-05-01 15:00:00
45,1651413600,0.1969,0.198,0.197,0.1971,41017,8084.4507,2022-05-01 14:00:00
46,1651410000,0.1964,0.1974,0.1969,0.1969,56485,11121.896499999999,2022-05-01 13:00:00
47,1651406400,0.1951,0.1973,0.1964,0.1969,140896,27742.4224,2022-05-01 12:00:00
48,1651402800,0.1961,0.2002,0.2001,0.1963,74752,14673.8176,2022-05-01 11:00:00
49,1651399200,0.1998,0.201,0.2009,0.2002,79069,15829.6138,2022-05-01 10:00:00
50,1651395600,0.2004,0.2027,0.2024,0.2011,87404,17576.9444,2022-05-01 09:00:00
51,1651392000,0.1989,0.2025,0.1989,0.2024,41329,8364.989599999999,2022-05-01 08:00:00
52,1651388400,0.1987,0.2011,0.2011,0.1989,70403,14003.1567,2022-05-01 07:00:00
53,1651384800,0.2006,0.2023,0.202,0.2011,53120,10682.432,2022-05-01 06:00:00
54,1651381200,0.1986,0.2022,0.1988,0.202,58838,11885.276000000002,2022-05-01 05:00:00
55,1651377600,0.1987,0.1992,0.1991,0.1992,20441,4071.8471999999997,2022-05-01 04:00:00
56,1651374000,0.1972,0.199,0.1972,0.1988,69191,13755.1708,2022-05-01 03:00:00
57,1651370400,0.1971,0.1983,0.1973,0.1971,45257,8920.1547,2022-05-01 02:00:00
58,1651366800,0.1939,0.198,0.1939,0.1971,159922,31520.6262,2022-05-01 01:00:00
59,1651363200,0.1934,0.1955,0.1945,0.1938,314504,60950.8752,2022-05-01 00:00:00
60,1651359600,0.1945,0.2021,0.2021,0.1945,556360,108212.02,2022-04-30 23:00:00
61,1651356000,0.202,0.204,0.204,0.2021,23423,4733.7883,2022-04-30 22:00:00
62,1651352400,0.2036,0.205,0.205,0.2038,105050,21409.190000000002,2022-04-30 21:00:00
63,1651348800,0.2046,0.2061,0.2061,0.2046,48314,9885.0444,2022-04-30 20:00:00
64,1651345200,0.2042,0.2073,0.2063,0.206,145705,30015.23,2022-04-30 19:00:00
65,1651341600,0.2044,0.2077,0.2044,0.2059,174082,35843.4838,2022-04-30 18:00:00
66,1651338000,0.2017,0.2085,0.2085,0.204,448774,91549.896,2022-04-30 17:00:00
