,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.99,1.0,0.99,1.0,2880.46,2880.46,2022-05-03 11:00:00
1,1651568400,0.99,1.0,0.99,1.0,203.33,203.33,2022-05-03 09:00:00
2,1651564800,0.99,0.99,0.99,0.99,904.91,895.8609,2022-05-03 08:00:00
3,1651561200,0.99,1.0,1.0,0.99,135.68,134.3232,2022-05-03 07:00:00
4,1651554000,0.99,1.0,0.99,1.0,133.88,133.88,2022-05-03 05:00:00
5,1651550400,0.99,1.0,1.0,1.0,118.18,118.18,2022-05-03 04:00:00
6,1651546800,0.99,1.0,0.99,1.0,3.97,3.97,2022-05-03 03:00:00
7,1651543200,0.99,1.0,1.0,0.99,11.01,10.899899999999999,2022-05-03 02:00:00
8,1651539600,0.99,1.0,0.99,1.0,45.16,45.16,2022-05-03 01:00:00
9,1651536000,0.99,1.0,0.99,1.0,8062.86,8062.86,2022-05-03 00:00:00
10,1651532400,0.99,1.0,0.99,1.0,1097.22,1097.22,2022-05-02 23:00:00
11,1651528800,0.99,1.0,1.0,0.99,84.38,83.5362,2022-05-02 22:00:00
12,1651525200,0.99,1.0,0.99,1.0,176.5,176.5,2022-05-02 21:00:00
13,1651521600,0.99,1.0,1.0,0.99,124.09,122.8491,2022-05-02 20:00:00
14,1651518000,0.99,1.0,1.0,1.0,71.16,71.16,2022-05-02 19:00:00
15,1651514400,0.99,1.0,1.0,0.99,46.19,45.7281,2022-05-02 18:00:00
16,1651510800,0.99,1.0,0.99,1.0,3287.98,3287.98,2022-05-02 17:00:00
17,1651507200,0.99,1.0,1.0,0.99,8114.85,8033.7015,2022-05-02 16:00:00
18,1651503600,0.99,1.0,1.0,0.99,51.67,51.1533,2022-05-02 15:00:00
19,1651500000,0.99,1.0,1.0,0.99,7020.77,6950.5623000000005,2022-05-02 14:00:00
20,1651496400,0.99,1.0,0.99,1.0,872.55,872.55,2022-05-02 13:00:00
21,1651492800,0.99,1.0,0.99,0.99,757.91,750.3308999999999,2022-05-02 12:00:00
22,1651489200,0.99,1.0,0.99,1.0,60.77,60.77,2022-05-02 11:00:00
23,1651482000,0.99,1.0,1.0,1.0,98.56,98.56,2022-05-02 09:00:00
24,1651478400,0.99,1.0,0.99,0.99,105.43,104.37570000000001,2022-05-02 08:00:00
25,1651474800,0.99,1.0,0.99,0.99,1486.63,1471.7637000000002,2022-05-02 07:00:00
26,1651471200,0.99,1.0,0.99,0.99,187.69,185.8131,2022-05-02 06:00:00
27,1651464000,0.99,1.0,1.0,0.99,44.37,43.9263,2022-05-02 04:00:00
28,1651460400,0.99,1.0,0.99,0.99,4184.15,4142.308499999999,2022-05-02 03:00:00
29,1651456800,1.0,1.0,1.0,1.0,7.84,7.84,2022-05-02 02:00:00
30,1651453200,0.99,1.0,0.99,0.99,3341.6,3308.1839999999997,2022-05-02 01:00:00
31,1651449600,0.99,1.0,0.99,1.0,518.99,518.99,2022-05-02 00:00:00
32,1651446000,0.99,1.0,1.0,0.99,336.99,333.6201,2022-05-01 23:00:00
33,1651438800,0.99,1.0,1.0,1.0,48.92,48.92,2022-05-01 21:00:00
34,1651435200,0.99,1.0,1.0,0.99,54.18,53.6382,2022-05-01 20:00:00
35,1651431600,0.99,1.0,0.99,1.0,104.27,104.27,2022-05-01 19:00:00
36,1651428000,0.99,1.0,1.0,1.0,63.33,63.33,2022-05-01 18:00:00
37,1651424400,1.0,1.0,1.0,1.0,200.8,200.8,2022-05-01 17:00:00
38,1651420800,0.99,0.99,0.99,0.99,3751.91,3714.3909,2022-05-01 16:00:00
39,1651410000,0.99,1.0,0.99,1.0,919.57,919.57,2022-05-01 13:00:00
40,1651406400,0.99,1.0,0.99,1.0,51531.15,51531.15,2022-05-01 12:00:00
41,1651399200,0.99,1.0,1.0,0.99,27.75,27.4725,2022-05-01 10:00:00
42,1651395600,0.99,0.99,0.99,0.99,24.63,24.383699999999997,2022-05-01 09:00:00
43,1651388400,0.99,1.0,1.0,0.99,57.27,56.697300000000006,2022-05-01 07:00:00
44,1651384800,0.99,1.0,0.99,1.0,103.57,103.57,2022-05-01 06:00:00
45,1651377600,0.99,1.0,0.99,1.0,11.64,11.64,2022-05-01 04:00:00
46,1651370400,0.99,1.0,0.99,1.0,382.47,382.47,2022-05-01 02:00:00
47,1651366800,0.99,1.0,0.99,1.0,636.67,636.67,2022-05-01 01:00:00
48,1651363200,0.99,1.0,0.99,0.99,383.48,379.6452,2022-05-01 00:00:00
49,1651359600,0.99,1.0,1.0,1.0,2791.58,2791.58,2022-04-30 23:00:00
50,1651356000,0.99,1.0,0.99,1.0,273.72,273.72,2022-04-30 22:00:00
51,1651352400,0.99,0.99,0.99,0.99,147.96,146.4804,2022-04-30 21:00:00
52,1651348800,0.99,1.0,1.0,0.99,3217.46,3185.2854,2022-04-30 20:00:00
53,1651345200,0.99,1.0,0.99,1.0,221.61,221.61,2022-04-30 19:00:00
54,1651341600,0.99,0.99,0.99,0.99,4826.21,4777.9479,2022-04-30 18:00:00
55,1651338000,0.99,1.0,1.0,0.99,2914.76,2885.6124,2022-04-30 17:00:00
56,1651334400,0.99,1.0,1.0,0.99,136.13,134.7687,2022-04-30 16:00:00
57,1651327200,0.99,1.0,1.0,0.99,10258.66,10156.0734,2022-04-30 14:00:00
58,1651323600,0.99,1.0,1.0,0.99,9801.0,9702.99,2022-04-30 13:00:00
59,1651320000,0.99,1.0,1.0,1.0,303.76,303.76,2022-04-30 12:00:00
60,1651316400,0.99,1.0,0.99,1.0,79.32,79.32,2022-04-30 11:00:00
61,1651309200,0.99,1.0,0.99,1.0,22.41,22.41,2022-04-30 09:00:00
62,1651305600,0.99,1.0,0.99,0.99,190.58,188.6742,2022-04-30 08:00:00
63,1651302000,0.99,1.0,0.99,0.99,805.38,797.3262,2022-04-30 07:00:00
64,1651298400,0.99,1.0,0.99,1.0,297.03,297.03,2022-04-30 06:00:00
65,1651294800,0.99,1.0,1.0,0.99,19.04,18.8496,2022-04-30 05:00:00
66,1651287600,0.99,0.99,0.99,0.99,5.94,5.8806,2022-04-30 03:00:00
67,1651284000,0.99,1.0,0.99,1.0,7.05,7.05,2022-04-30 02:00:00
68,1651276800,0.99,1.0,0.99,1.0,4.96,4.96,2022-04-30 00:00:00
69,1651273200,0.99,0.99,0.99,0.99,39.55,39.1545,2022-04-29 23:00:00
70,1651269600,0.99,1.0,1.0,0.99,127.87,126.5913,2022-04-29 22:00:00
71,1651266000,0.99,1.0,0.99,0.99,149.59,148.0941,2022-04-29 21:00:00
72,1651262400,0.99,0.99,0.99,0.99,93.57,92.6343,2022-04-29 20:00:00
73,1651258800,0.99,0.99,0.99,0.99,17.09,16.9191,2022-04-29 19:00:00
74,1651255200,0.99,1.0,0.99,1.0,6812.2,6812.2,2022-04-29 18:00:00
75,1651251600,0.99,1.0,1.0,0.99,193.45,191.51549999999997,2022-04-29 17:00:00
76,1651248000,0.99,1.0,1.0,1.0,20813.3,20813.3,2022-04-29 16:00:00
77,1651244400,0.99,1.0,1.0,0.99,86.43,85.5657,2022-04-29 15:00:00
78,1651237200,0.99,1.0,0.99,1.0,7139.41,7139.41,2022-04-29 13:00:00
79,1651233600,0.99,1.0,0.99,0.99,33.29,32.9571,2022-04-29 12:00:00
0,1651230000,0.99,1.0,1.0,0.99,571.52,565.8048,2022-04-29 11:00:00
1,1651226400,0.99,0.99,0.99,0.99,116.01,114.8499,2022-04-29 10:00:00
2,1651222800,0.99,0.99,0.99,0.99,168.12,166.43880000000001,2022-04-29 09:00:00
3,1651219200,0.99,0.99,0.99,0.99,30.31,30.006899999999998,2022-04-29 08:00:00
4,1651215600,0.99,0.99,0.99,0.99,19.89,19.6911,2022-04-29 07:00:00
5,1651212000,0.99,1.0,0.99,1.0,207.26,207.26,2022-04-29 06:00:00
6,1651208400,0.99,1.0,0.99,1.0,61.46,61.46,2022-04-29 05:00:00
7,1651204800,0.99,1.0,0.99,0.99,202.79,200.7621,2022-04-29 04:00:00
8,1651201200,0.99,1.0,0.99,0.99,49.26,48.767399999999995,2022-04-29 03:00:00
9,1651197600,0.99,1.0,1.0,1.0,174.35,174.35,2022-04-29 02:00:00
10,1651194000,0.99,1.0,1.0,0.99,41.88,41.461200000000005,2022-04-29 01:00:00
11,1651190400,0.99,1.0,1.0,0.99,462.24,457.6176,2022-04-29 00:00:00
12,1651186800,0.99,1.0,1.0,1.0,165.36,165.36,2022-04-28 23:00:00
13,1651183200,0.99,1.0,1.0,1.0,206.25,206.25,2022-04-28 22:00:00
14,1651179600,0.99,1.0,0.99,1.0,27.93,27.93,2022-04-28 21:00:00
