,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,3.26,3.3,3.27,3.3,1716.448,5664.2784,2022-05-03 11:00:00
1,1651572000,3.24,3.27,3.27,3.26,2420.584,7891.103839999999,2022-05-03 10:00:00
2,1651568400,3.26,3.28,3.28,3.27,1088.226,3558.49902,2022-05-03 09:00:00
3,1651564800,3.27,3.33,3.33,3.27,2876.647,9406.63569,2022-05-03 08:00:00
4,1651561200,3.24,3.32,3.27,3.32,2574.707,8548.02724,2022-05-03 07:00:00
5,1651557600,3.23,3.28,3.27,3.27,891.489,2915.16903,2022-05-03 06:00:00
6,1651554000,3.23,3.29,3.27,3.29,2476.796,8148.658839999999,2022-05-03 05:00:00
7,1651550400,3.25,3.27,3.26,3.26,788.827,2571.57602,2022-05-03 04:00:00
8,1651546800,3.25,3.26,3.25,3.26,337.981,1101.8180599999998,2022-05-03 03:00:00
9,1651543200,3.23,3.27,3.24,3.26,517.136,1685.8633599999998,2022-05-03 02:00:00
10,1651539600,3.21,3.26,3.22,3.24,198.952,644.6044800000001,2022-05-03 01:00:00
11,1651536000,3.21,3.24,3.24,3.21,390.756,1254.32676,2022-05-03 00:00:00
12,1651532400,3.2,3.26,3.2,3.23,737.763,2382.97449,2022-05-02 23:00:00
13,1651528800,3.2,3.23,3.21,3.21,420.801,1350.7712099999999,2022-05-02 22:00:00
14,1651525200,3.19,3.22,3.19,3.21,1542.809,4952.4168899999995,2022-05-02 21:00:00
15,1651521600,3.16,3.2,3.19,3.16,690.966,2183.45256,2022-05-02 20:00:00
16,1651518000,3.16,3.2,3.16,3.2,543.572,1739.4304000000002,2022-05-02 19:00:00
17,1651514400,3.14,3.17,3.15,3.16,1403.527,4435.1453200000005,2022-05-02 18:00:00
18,1651510800,3.14,3.19,3.18,3.16,1171.005,3700.3758000000007,2022-05-02 17:00:00
19,1651507200,3.18,3.21,3.21,3.18,366.821,1166.49078,2022-05-02 16:00:00
20,1651503600,3.2,3.23,3.2,3.2,1651.813,5285.801600000001,2022-05-02 15:00:00
21,1651500000,3.18,3.24,3.21,3.2,923.376,2954.8032000000003,2022-05-02 14:00:00
22,1651496400,3.16,3.23,3.18,3.2,1144.594,3662.7008000000005,2022-05-02 13:00:00
23,1651492800,3.14,3.19,3.15,3.17,3782.486,11990.480619999998,2022-05-02 12:00:00
24,1651489200,3.13,3.17,3.17,3.15,3606.922,11361.8043,2022-05-02 11:00:00
25,1651485600,3.16,3.22,3.2,3.17,1908.555,6050.11935,2022-05-02 10:00:00
26,1651482000,3.21,3.24,3.22,3.21,419.029,1345.08309,2022-05-02 09:00:00
27,1651478400,3.22,3.27,3.27,3.23,523.237,1690.05551,2022-05-02 08:00:00
28,1651474800,3.26,3.28,3.28,3.27,1490.405,4873.62435,2022-05-02 07:00:00
29,1651471200,3.27,3.31,3.27,3.27,2470.571,8078.76717,2022-05-02 06:00:00
30,1651467600,3.25,3.27,3.27,3.27,320.978,1049.59806,2022-05-02 05:00:00
31,1651464000,3.22,3.27,3.24,3.27,1519.06,4967.3261999999995,2022-05-02 04:00:00
32,1651460400,3.23,3.26,3.24,3.26,1550.401,5054.30726,2022-05-02 03:00:00
33,1651456800,3.23,3.25,3.23,3.24,561.812,1820.2708800000003,2022-05-02 02:00:00
34,1651453200,3.21,3.28,3.28,3.21,1252.109,4019.2698899999996,2022-05-02 01:00:00
35,1651449600,3.25,3.28,3.25,3.27,486.645,1591.32915,2022-05-02 00:00:00
36,1651446000,3.22,3.26,3.23,3.26,1306.212,4258.25112,2022-05-01 23:00:00
37,1651442400,3.2,3.25,3.24,3.22,507.468,1634.0469600000001,2022-05-01 22:00:00
38,1651438800,3.22,3.26,3.26,3.25,1396.219,4537.71175,2022-05-01 21:00:00
39,1651435200,3.19,3.26,3.19,3.26,973.591,3173.9066599999996,2022-05-01 20:00:00
40,1651431600,3.17,3.22,3.18,3.19,1580.752,5042.59888,2022-05-01 19:00:00
41,1651428000,3.19,3.25,3.24,3.2,347.841,1113.0912,2022-05-01 18:00:00
42,1651424400,3.24,3.29,3.28,3.24,799.955,2591.8542,2022-05-01 17:00:00
43,1651420800,3.26,3.3,3.26,3.27,1369.202,4477.29054,2022-05-01 16:00:00
44,1651417200,3.18,3.27,3.19,3.26,5705.486,18599.88436,2022-05-01 15:00:00
45,1651413600,3.13,3.19,3.14,3.19,2707.373,8636.51987,2022-05-01 14:00:00
46,1651410000,3.14,3.17,3.16,3.14,605.257,1900.5069799999999,2022-05-01 13:00:00
