,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.7485,0.7682,0.752,0.7634,40456.7,30884.644779999995,2022-05-03 11:00:00
1,1651572000,0.7473,0.7605,0.7475,0.7518,72326.2,54374.83716,2022-05-03 10:00:00
2,1651568400,0.7473,0.7519,0.7493,0.7489,4636.5,3472.2748500000002,2022-05-03 09:00:00
3,1651564800,0.749,0.7511,0.7493,0.7504,5131.6,3850.75264,2022-05-03 08:00:00
4,1651561200,0.7417,0.7503,0.7503,0.749,27219.1,20387.1059,2022-05-03 07:00:00
5,1651557600,0.7442,0.7506,0.7501,0.7506,44954.7,33742.99782,2022-05-03 06:00:00
6,1651554000,0.7471,0.7526,0.7526,0.7511,1517.3,1139.64403,2022-05-03 05:00:00
7,1651550400,0.7501,0.7527,0.7522,0.7507,5875.7,4410.88799,2022-05-03 04:00:00
8,1651546800,0.747,0.7527,0.7476,0.7509,14627.2,10983.564480000001,2022-05-03 03:00:00
9,1651543200,0.7482,0.754,0.754,0.7493,6927.9,5191.07547,2022-05-03 02:00:00
10,1651539600,0.7446,0.7544,0.7452,0.7536,31361.2,23633.800320000002,2022-05-03 01:00:00
11,1651536000,0.7435,0.7524,0.7514,0.7436,14902.4,11081.424640000001,2022-05-03 00:00:00
12,1651532400,0.7505,0.7588,0.7565,0.7505,18733.3,14059.341649999998,2022-05-02 23:00:00
13,1651528800,0.7487,0.7574,0.7498,0.7561,21292.3,16099.10803,2022-05-02 22:00:00
14,1651525200,0.7423,0.7487,0.7425,0.7484,17114.6,12808.566639999997,2022-05-02 21:00:00
15,1651521600,0.7423,0.744,0.7424,0.744,394.2,293.28479999999996,2022-05-02 20:00:00
16,1651518000,0.7352,0.7439,0.7353,0.7439,8973.3,6675.23787,2022-05-02 19:00:00
17,1651514400,0.733,0.7408,0.7368,0.7369,29094.9,21440.03181,2022-05-02 18:00:00
18,1651510800,0.7349,0.7403,0.7403,0.7386,10145.1,7493.17086,2022-05-02 17:00:00
19,1651507200,0.7365,0.742,0.742,0.7407,11503.1,8520.34617,2022-05-02 16:00:00
20,1651503600,0.7391,0.7505,0.7477,0.7396,23527.7,17401.08692,2022-05-02 15:00:00
21,1651500000,0.7415,0.7525,0.7454,0.7487,28918.6,21651.35582,2022-05-02 14:00:00
22,1651496400,0.7295,0.7495,0.731,0.7471,105006.8,78450.58028,2022-05-02 13:00:00
23,1651492800,0.7263,0.7366,0.7267,0.7311,40928.7,29922.972569999998,2022-05-02 12:00:00
24,1651489200,0.7239,0.7381,0.7364,0.7281,50569.5,36819.652949999996,2022-05-02 11:00:00
25,1651485600,0.7322,0.7544,0.7489,0.7364,47021.4,34626.55896,2022-05-02 10:00:00
26,1651482000,0.749,0.7568,0.7543,0.7492,8091.8,6062.37656,2022-05-02 09:00:00
27,1651478400,0.7506,0.7605,0.7594,0.7533,8551.4,6441.769619999999,2022-05-02 08:00:00
28,1651474800,0.7587,0.7666,0.7647,0.759,4583.0,3478.497,2022-05-02 07:00:00
29,1651471200,0.7635,0.7704,0.7683,0.7645,21649.2,16550.8134,2022-05-02 06:00:00
