,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,11.77,12.28,12.28,11.99,4945.53,59296.9047,2022-05-03 11:00:00
1,1651572000,12.08,12.7,12.55,12.28,4088.09,50201.7452,2022-05-03 10:00:00
2,1651568400,11.72,12.65,12.01,12.64,6903.29,87257.5856,2022-05-03 09:00:00
3,1651564800,11.86,12.74,12.51,12.0,5289.44,63473.28,2022-05-03 08:00:00
4,1651561200,12.51,13.18,13.0,12.51,4389.39,54911.2689,2022-05-03 07:00:00
5,1651557600,12.7,13.94,12.75,13.04,8212.69,107093.4776,2022-05-03 06:00:00
6,1651554000,12.6,13.06,12.99,12.77,3067.65,39173.8905,2022-05-03 05:00:00
7,1651550400,12.4,13.18,12.81,12.9,8861.37,114311.67300000001,2022-05-03 04:00:00
8,1651546800,12.4,13.76,13.68,12.82,16022.3,205405.886,2022-05-03 03:00:00
9,1651543200,12.78,13.77,13.16,13.68,6968.23,95325.38639999999,2022-05-03 02:00:00
10,1651539600,12.96,14.31,13.71,13.16,12659.67,166601.2572,2022-05-03 01:00:00
11,1651536000,13.54,14.74,13.88,13.71,21744.78,298120.9338,2022-05-03 00:00:00
12,1651532400,12.51,14.48,12.55,14.03,35064.49,491954.79469999997,2022-05-02 23:00:00
13,1651528800,11.79,13.5,12.95,12.63,50967.68,643721.7984000001,2022-05-02 22:00:00
14,1651525200,12.92,14.9,14.86,12.92,29845.51,385603.98919999995,2022-05-02 21:00:00
15,1651521600,13.47,15.67,14.83,14.73,34588.83,509493.46590000007,2022-05-02 20:00:00
16,1651518000,13.35,15.25,14.2,14.84,59421.48,881814.7632,2022-05-02 19:00:00
17,1651514400,11.39,15.67,11.61,14.16,85900.69,1216353.7704,2022-05-02 18:00:00
18,1651510800,11.14,12.08,11.44,11.71,24309.51,284664.3621,2022-05-02 17:00:00
19,1651507200,11.1,12.9,12.23,11.45,50482.43,578023.8234999999,2022-05-02 16:00:00
20,1651503600,12.19,14.33,14.28,12.3,33055.98,406588.55400000006,2022-05-02 15:00:00
21,1651500000,12.86,16.5,13.15,14.26,77634.33,1107065.5458,2022-05-02 14:00:00
22,1651496400,11.6,14.77,11.68,13.2,67884.72,896078.304,2022-05-02 13:00:00
23,1651492800,10.88,13.55,10.96,11.71,54298.93,635840.4703,2022-05-02 12:00:00
24,1651489200,9.47,11.04,9.55,11.0,32628.34,358911.74,2022-05-02 11:00:00
25,1651485600,9.44,10.1,9.93,9.53,20863.24,198826.6772,2022-05-02 10:00:00
26,1651482000,9.19,10.1,9.57,9.98,29380.94,293221.7812,2022-05-02 09:00:00
27,1651478400,8.66,9.58,8.96,9.58,12885.15,123439.737,2022-05-02 08:00:00
28,1651474800,8.33,8.98,8.33,8.96,10253.88,91874.7648,2022-05-02 07:00:00
29,1651471200,7.67,8.63,8.22,8.35,12220.81,102043.76349999999,2022-05-02 06:00:00
30,1651467600,7.65,8.39,7.78,8.15,5444.9,44375.935,2022-05-02 05:00:00
31,1651464000,7.58,8.48,8.44,7.78,9944.33,77366.8874,2022-05-02 04:00:00
32,1651460400,7.56,8.54,7.68,8.36,12871.25,107603.65,2022-05-02 03:00:00
33,1651456800,7.59,8.04,7.76,7.64,7100.01,54244.0764,2022-05-02 02:00:00
34,1651453200,7.48,8.25,7.65,7.67,16519.88,126707.4796,2022-05-02 01:00:00
35,1651449600,7.44,7.9,7.84,7.64,16677.33,127414.8012,2022-05-02 00:00:00
36,1651446000,7.53,8.51,8.27,7.84,20791.21,163003.0864,2022-05-01 23:00:00
37,1651442400,7.85,9.92,9.58,8.3,68797.17,571016.511,2022-05-01 22:00:00
38,1651438800,7.62,10.0,7.9,9.57,73941.46,707619.7722000001,2022-05-01 21:00:00
39,1651435200,7.45,8.25,7.49,7.74,24735.26,191450.9124,2022-05-01 20:00:00
40,1651431600,6.96,7.87,6.96,7.5,33608.09,252060.675,2022-05-01 19:00:00
41,1651428000,6.77,7.26,7.18,6.97,12489.34,87050.6998,2022-05-01 18:00:00
42,1651424400,6.4,7.18,6.4,7.18,4161.95,29882.800999999996,2022-05-01 17:00:00
43,1651420800,6.09,6.4,6.14,6.4,2511.74,16075.135999999999,2022-05-01 16:00:00
44,1651417200,5.88,6.26,5.91,6.14,1902.89,11683.7446,2022-05-01 15:00:00
45,1651413600,5.76,5.95,5.94,5.93,1617.58,9592.249399999999,2022-05-01 14:00:00
46,1651410000,5.85,6.15,6.04,5.94,484.94,2880.5436,2022-05-01 13:00:00
47,1651406400,5.96,6.09,6.06,6.01,344.62,2071.1662,2022-05-01 12:00:00
48,1651402800,6.04,6.2,6.09,6.11,179.43,1096.3173000000002,2022-05-01 11:00:00
