,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,1.03,1.04,1.04,1.03,908.21,935.4563,2022-05-03 11:00:00
1,1651572000,1.03,1.04,1.04,1.04,250.06,260.0624,2022-05-03 10:00:00
2,1651568400,1.03,1.04,1.04,1.04,167.39,174.0856,2022-05-03 09:00:00
3,1651564800,1.03,1.05,1.04,1.03,6018.66,6199.2198,2022-05-03 08:00:00
4,1651561200,1.02,1.04,1.04,1.04,1143.12,1188.8447999999999,2022-05-03 07:00:00
5,1651557600,1.03,1.06,1.05,1.04,12247.6,12737.504,2022-05-03 06:00:00
6,1651554000,1.04,1.05,1.04,1.05,184.67,193.9035,2022-05-03 05:00:00
7,1651550400,1.03,1.04,1.03,1.04,265.09,275.6936,2022-05-03 04:00:00
8,1651546800,1.03,1.04,1.03,1.04,30.27,31.480800000000002,2022-05-03 03:00:00
9,1651543200,1.03,1.04,1.03,1.04,1471.77,1530.6408000000001,2022-05-03 02:00:00
10,1651539600,1.03,1.04,1.03,1.04,1269.97,1320.7688,2022-05-03 01:00:00
11,1651536000,1.02,1.04,1.03,1.03,2743.01,2825.3003000000003,2022-05-03 00:00:00
12,1651532400,1.02,1.04,1.04,1.03,242.13,249.3939,2022-05-02 23:00:00
13,1651528800,1.03,1.04,1.04,1.04,21.14,21.9856,2022-05-02 22:00:00
14,1651525200,1.01,1.04,1.03,1.04,3697.38,3845.2752,2022-05-02 21:00:00
15,1651521600,1.01,1.04,1.04,1.01,5707.15,5764.2215,2022-05-02 20:00:00
16,1651518000,1.02,1.18,1.02,1.04,153717.66,159866.3664,2022-05-02 19:00:00
17,1651514400,1.01,1.04,1.04,1.02,5492.3,5602.146000000001,2022-05-02 18:00:00
18,1651510800,1.04,1.08,1.08,1.04,2962.83,3081.3432000000003,2022-05-02 17:00:00
19,1651507200,1.07,1.09,1.08,1.08,1591.4,1718.7120000000002,2022-05-02 16:00:00
20,1651503600,1.08,1.09,1.08,1.08,891.07,962.3556000000001,2022-05-02 15:00:00
21,1651500000,1.07,1.09,1.08,1.09,146.66,159.85940000000002,2022-05-02 14:00:00
22,1651496400,1.06,1.09,1.07,1.09,609.25,664.0825000000001,2022-05-02 13:00:00
23,1651492800,1.06,1.08,1.07,1.07,354.75,379.58250000000004,2022-05-02 12:00:00
24,1651489200,1.06,1.08,1.07,1.06,1065.34,1129.2604,2022-05-02 11:00:00
25,1651485600,1.08,1.08,1.08,1.08,268.49,289.9692,2022-05-02 10:00:00
26,1651482000,1.07,1.09,1.09,1.07,1074.76,1149.9932000000001,2022-05-02 09:00:00
27,1651478400,1.09,1.1,1.09,1.09,169.07,184.2863,2022-05-02 08:00:00
28,1651474800,1.09,1.11,1.1,1.1,5069.94,5576.934,2022-05-02 07:00:00
29,1651471200,1.1,1.11,1.11,1.1,1010.35,1111.3850000000002,2022-05-02 06:00:00
30,1651467600,1.1,1.11,1.11,1.11,14.7,16.317,2022-05-02 05:00:00
31,1651464000,1.09,1.11,1.09,1.1,434.42,477.8620000000001,2022-05-02 04:00:00
32,1651460400,1.08,1.1,1.09,1.09,1407.75,1534.4475000000002,2022-05-02 03:00:00
33,1651453200,1.08,1.1,1.1,1.08,281.27,303.7716,2022-05-02 01:00:00
34,1651449600,1.08,1.1,1.08,1.09,551.0,600.59,2022-05-02 00:00:00
35,1651446000,1.08,1.09,1.08,1.08,286.63,309.5604,2022-05-01 23:00:00
36,1651442400,1.07,1.09,1.07,1.08,4767.81,5149.234800000001,2022-05-01 22:00:00
37,1651438800,1.06,1.08,1.08,1.08,4601.06,4969.144800000001,2022-05-01 21:00:00
38,1651435200,1.05,1.08,1.06,1.08,683.1,737.748,2022-05-01 20:00:00
