,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.3443,0.3477,0.3459,0.3477,41221,14332.5417,2022-05-03 11:00:00
1,1651572000,0.3449,0.3539,0.3466,0.3454,191226,66049.4604,2022-05-03 10:00:00
2,1651568400,0.3453,0.3481,0.3481,0.3462,42819,14823.9378,2022-05-03 09:00:00
3,1651564800,0.348,0.3502,0.3495,0.3481,16057,5589.4417,2022-05-03 08:00:00
4,1651561200,0.347,0.3498,0.3492,0.3496,36289,12686.6344,2022-05-03 07:00:00
5,1651557600,0.3472,0.3534,0.3482,0.3493,270143,94360.9499,2022-05-03 06:00:00
6,1651554000,0.3452,0.3483,0.3466,0.3483,34281,11940.0723,2022-05-03 05:00:00
7,1651550400,0.3448,0.3497,0.3448,0.3469,127977,44395.2213,2022-05-03 04:00:00
8,1651546800,0.3413,0.346,0.3413,0.3449,117340,40470.566,2022-05-03 03:00:00
9,1651543200,0.3389,0.3428,0.3427,0.3411,31402,10711.2222,2022-05-03 02:00:00
10,1651539600,0.339,0.3426,0.3398,0.3423,35009,11983.5807,2022-05-03 01:00:00
11,1651536000,0.3394,0.3495,0.3416,0.3396,226862,77042.3352,2022-05-03 00:00:00
12,1651532400,0.3417,0.3464,0.3435,0.3417,128391,43871.2047,2022-05-02 23:00:00
13,1651528800,0.3421,0.3478,0.3469,0.3439,142715,49079.6885,2022-05-02 22:00:00
14,1651525200,0.3381,0.3467,0.3384,0.3467,62345,21615.0115,2022-05-02 21:00:00
15,1651521600,0.3381,0.3398,0.339,0.3381,16139,5456.5959,2022-05-02 20:00:00
16,1651518000,0.3347,0.3393,0.3348,0.3386,25430,8610.598,2022-05-02 19:00:00
17,1651514400,0.3334,0.337,0.3361,0.3353,62614,20994.4742,2022-05-02 18:00:00
18,1651510800,0.3358,0.3383,0.3375,0.3361,37975,12763.397500000001,2022-05-02 17:00:00
19,1651507200,0.3378,0.3402,0.3399,0.3378,18651,6300.3078,2022-05-02 16:00:00
20,1651503600,0.3394,0.3417,0.3404,0.3399,11143,3787.5056999999997,2022-05-02 15:00:00
21,1651500000,0.3366,0.342,0.3393,0.3399,33868,11511.733199999999,2022-05-02 14:00:00
22,1651496400,0.335,0.342,0.3397,0.3398,129268,43925.2664,2022-05-02 13:00:00
