,unix,low,high,open,close,volume,vol_fiat,date
0,1651575600,0.4264,0.4293,0.4282,0.4293,31136.2,13366.77066,2022-05-03 11:00:00
1,1651572000,0.4275,0.4302,0.4292,0.4282,2997.7,1283.61514,2022-05-03 10:00:00
2,1651568400,0.4288,0.4302,0.4297,0.4293,5954.7,2556.35271,2022-05-03 09:00:00
3,1651564800,0.4302,0.4321,0.4305,0.4303,2814.2,1210.95026,2022-05-03 08:00:00
4,1651561200,0.4295,0.4331,0.4305,0.4308,5845.9,2518.41372,2022-05-03 07:00:00
5,1651557600,0.4294,0.4317,0.4294,0.4307,3623.7,1560.72759,2022-05-03 06:00:00
6,1651554000,0.4277,0.4304,0.4304,0.4301,13057.2,5615.90172,2022-05-03 05:00:00
7,1651550400,0.4283,0.4312,0.4305,0.4312,12598.5,5432.4732,2022-05-03 04:00:00
8,1651546800,0.4274,0.4341,0.43,0.43,67495.2,29022.935999999998,2022-05-03 03:00:00
9,1651543200,0.425,0.4333,0.4308,0.4285,62527.2,26792.905199999997,2022-05-03 02:00:00
10,1651539600,0.4232,0.4313,0.4243,0.4303,26254.8,11297.44044,2022-05-03 01:00:00
11,1651536000,0.4223,0.429,0.4284,0.4241,35705.5,15142.70255,2022-05-03 00:00:00
12,1651532400,0.4286,0.4344,0.4325,0.4286,26077.3,11176.73078,2022-05-02 23:00:00
13,1651528800,0.427,0.4317,0.4298,0.4317,59363.4,25627.17978,2022-05-02 22:00:00
14,1651525200,0.421,0.4313,0.4215,0.4306,5226.1,2250.35866,2022-05-02 21:00:00
15,1651521600,0.4211,0.4287,0.4287,0.4215,38443.9,16204.10385,2022-05-02 20:00:00
16,1651518000,0.4177,0.4304,0.4177,0.4277,26312.4,11253.81348,2022-05-02 19:00:00
17,1651514400,0.4168,0.4221,0.4202,0.417,55183.5,23011.5195,2022-05-02 18:00:00
18,1651510800,0.4197,0.4221,0.4204,0.421,16800.4,7072.968400000001,2022-05-02 17:00:00
19,1651507200,0.4204,0.4252,0.4252,0.4204,6643.9,2793.0955599999998,2022-05-02 16:00:00
20,1651503600,0.4209,0.426,0.4234,0.4253,102441.5,43568.36995,2022-05-02 15:00:00
21,1651500000,0.4161,0.4319,0.4176,0.4238,332993.9,141122.81482,2022-05-02 14:00:00
22,1651496400,0.41,0.4192,0.4134,0.4177,73749.1,30804.999070000005,2022-05-02 13:00:00
23,1651492800,0.4104,0.4158,0.4124,0.4127,9696.5,4001.74555,2022-05-02 12:00:00
24,1651489200,0.4112,0.4155,0.4147,0.4122,40321.6,16620.56352,2022-05-02 11:00:00
25,1651485600,0.4142,0.4258,0.4258,0.4145,103896.5,43065.09925,2022-05-02 10:00:00
26,1651482000,0.4248,0.4362,0.4294,0.4262,96237.5,41016.4225,2022-05-02 09:00:00
27,1651478400,0.425,0.4364,0.4364,0.4295,96702.7,41533.809649999996,2022-05-02 08:00:00
