,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,1.57,1.59,1.59,1.58,1283.74,2028.3092000000001,2022-05-03 12:00:00
1,1651575600,1.57,1.59,1.57,1.58,2421.69,3826.2702000000004,2022-05-03 11:00:00
2,1651572000,1.57,1.59,1.58,1.57,2034.02,3193.4114,2022-05-03 10:00:00
3,1651568400,1.57,1.59,1.58,1.57,1679.69,2637.1133,2022-05-03 09:00:00
4,1651564800,1.56,1.58,1.58,1.56,2063.11,3218.4516000000003,2022-05-03 08:00:00
5,1651561200,1.56,1.59,1.58,1.58,4801.1,7585.738000000001,2022-05-03 07:00:00
6,1651557600,1.58,1.59,1.59,1.59,705.83,1122.2697,2022-05-03 06:00:00
7,1651554000,1.57,1.59,1.58,1.58,4368.14,6901.6612000000005,2022-05-03 05:00:00
8,1651550400,1.57,1.59,1.57,1.58,1534.44,2424.4152000000004,2022-05-03 04:00:00
9,1651546800,1.57,1.6,1.59,1.57,6805.59,10684.776300000001,2022-05-03 03:00:00
10,1651543200,1.57,1.59,1.59,1.58,1800.62,2844.9796,2022-05-03 02:00:00
11,1651539600,1.57,1.59,1.59,1.57,1423.09,2234.2513,2022-05-03 01:00:00
12,1651536000,1.57,1.6,1.59,1.57,3441.13,5402.574100000001,2022-05-03 00:00:00
13,1651532400,1.57,1.6,1.58,1.59,4244.47,6748.707300000001,2022-05-02 23:00:00
14,1651528800,1.57,1.6,1.6,1.59,8490.52,13499.926800000001,2022-05-02 22:00:00
15,1651525200,1.57,1.6,1.59,1.58,3509.76,5545.420800000001,2022-05-02 21:00:00
16,1651521600,1.58,1.61,1.59,1.58,12928.72,20427.3776,2022-05-02 20:00:00
17,1651518000,1.58,1.64,1.62,1.6,14974.13,23958.608,2022-05-02 19:00:00
18,1651514400,1.61,1.67,1.65,1.61,22866.82,36815.580200000004,2022-05-02 18:00:00
19,1651510800,1.61,1.65,1.63,1.64,15449.42,25337.048799999997,2022-05-02 17:00:00
20,1651507200,1.61,1.64,1.64,1.61,11328.57,18238.9977,2022-05-02 16:00:00
21,1651503600,1.58,1.64,1.6,1.62,17986.33,29137.854600000006,2022-05-02 15:00:00
22,1651500000,1.58,1.63,1.61,1.6,27954.12,44726.592000000004,2022-05-02 14:00:00
23,1651496400,1.59,1.63,1.6,1.61,24564.75,39549.247500000005,2022-05-02 13:00:00
24,1651492800,1.59,1.61,1.61,1.6,4107.59,6572.144,2022-05-02 12:00:00
25,1651489200,1.58,1.61,1.6,1.61,6623.16,10663.2876,2022-05-02 11:00:00
26,1651485600,1.58,1.6,1.58,1.58,1686.86,2665.2388,2022-05-02 10:00:00
27,1651482000,1.58,1.6,1.58,1.6,1389.74,2223.5840000000003,2022-05-02 09:00:00
28,1651478400,1.58,1.6,1.58,1.58,1704.01,2692.3358000000003,2022-05-02 08:00:00
29,1651474800,1.58,1.6,1.6,1.6,736.23,1177.968,2022-05-02 07:00:00
30,1651471200,1.58,1.6,1.6,1.6,1680.53,2688.848,2022-05-02 06:00:00
31,1651467600,1.58,1.6,1.59,1.6,3260.62,5216.992,2022-05-02 05:00:00
32,1651464000,1.58,1.61,1.6,1.6,3240.42,5184.6720000000005,2022-05-02 04:00:00
33,1651460400,1.59,1.63,1.63,1.59,11353.7,18052.383,2022-05-02 03:00:00
34,1651456800,1.61,1.64,1.62,1.63,10759.14,17537.3982,2022-05-02 02:00:00
35,1651453200,1.59,1.64,1.6,1.62,18188.48,29465.337600000003,2022-05-02 01:00:00
36,1651449600,1.56,1.63,1.56,1.59,56425.32,89716.25880000001,2022-05-02 00:00:00
37,1651446000,1.55,1.58,1.56,1.56,12463.28,19442.716800000002,2022-05-01 23:00:00
