,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,95.48,96.2,95.98,95.72,442.972,42401.279839999996,2022-05-03 12:00:00
1,1651575600,95.02,96.09,95.06,96.0,688.453,66091.488,2022-05-03 11:00:00
2,1651572000,95.03,95.64,95.26,95.16,233.276,22198.54416,2022-05-03 10:00:00
3,1651568400,94.91,95.42,95.3,95.19,389.738,37099.16022,2022-05-03 09:00:00
4,1651564800,95.14,95.69,95.21,95.29,314.879,30004.819910000002,2022-05-03 08:00:00
5,1651561200,94.13,95.33,94.35,95.26,579.747,55226.69922,2022-05-03 07:00:00
6,1651557600,93.75,96.61,96.24,94.28,1215.449,114592.53172000001,2022-05-03 06:00:00
7,1651554000,95.21,96.34,95.64,96.12,503.14,48361.8168,2022-05-03 05:00:00
8,1651550400,95.11,96.18,95.26,95.64,597.646,57158.863439999994,2022-05-03 04:00:00
9,1651546800,95.21,95.91,95.6,95.28,707.329,67394.30712,2022-05-03 03:00:00
10,1651543200,94.96,95.99,95.41,95.57,1182.385,113000.53444999999,2022-05-03 02:00:00
11,1651539600,94.43,95.54,94.63,95.41,757.857,72307.13637,2022-05-03 01:00:00
12,1651536000,94.51,95.33,95.25,94.55,842.214,79631.3337,2022-05-03 00:00:00
13,1651532400,94.89,96.04,95.93,95.23,933.104,88859.49392000001,2022-05-02 23:00:00
14,1651528800,95.56,96.81,96.46,95.93,321.747,30865.189710000002,2022-05-02 22:00:00
15,1651525200,94.97,96.52,94.99,96.38,676.026,65155.385879999994,2022-05-02 21:00:00
16,1651521600,94.61,96.62,96.6,95.1,1138.191,108241.9641,2022-05-02 20:00:00
17,1651518000,95.28,96.59,95.41,96.57,1037.338,100175.73065999999,2022-05-02 19:00:00
18,1651514400,93.56,95.63,94.37,95.48,1796.381,171518.45788,2022-05-02 18:00:00
19,1651510800,93.87,95.53,95.42,94.53,1437.589,135895.28816999999,2022-05-02 17:00:00
20,1651507200,95.31,96.74,96.55,95.42,907.892,86631.05464,2022-05-02 16:00:00
21,1651503600,95.95,97.37,97.37,96.62,1348.063,130249.84706000001,2022-05-02 15:00:00
22,1651500000,96.82,98.58,97.72,97.37,4229.698,411845.6942600001,2022-05-02 14:00:00
23,1651496400,95.39,98.56,96.99,97.85,1994.267,195139.02594999998,2022-05-02 13:00:00
24,1651492800,96.6,97.46,96.7,96.81,922.797,89335.97757,2022-05-02 12:00:00
25,1651489200,96.68,97.64,97.33,96.73,888.522,85946.73306000001,2022-05-02 11:00:00
26,1651485600,97.16,97.86,97.58,97.48,343.265,33461.4722,2022-05-02 10:00:00
27,1651482000,97.57,98.85,98.46,97.66,189.014,18459.10724,2022-05-02 09:00:00
28,1651478400,98.12,99.24,98.26,98.38,411.469,40480.320219999994,2022-05-02 08:00:00
29,1651474800,98.06,98.86,98.36,98.27,426.085,41871.37295,2022-05-02 07:00:00
30,1651471200,98.31,99.4,98.61,98.43,754.411,74256.67473,2022-05-02 06:00:00
31,1651467600,98.06,98.68,98.53,98.64,605.773,59753.44872,2022-05-02 05:00:00
32,1651464000,97.02,99.27,99.1,98.58,2917.179,287575.50582,2022-05-02 04:00:00
33,1651460400,98.69,99.74,98.87,99.07,1078.608,106857.69455999999,2022-05-02 03:00:00
34,1651456800,97.84,99.73,98.15,98.84,1301.57,128647.1788,2022-05-02 02:00:00
35,1651453200,97.99,98.72,98.14,98.19,693.766,68120.88354,2022-05-02 01:00:00
36,1651449600,97.06,98.37,97.32,97.97,940.783,92168.51051000001,2022-05-02 00:00:00
37,1651446000,95.61,97.73,95.76,97.29,1058.657,102996.73953,2022-05-01 23:00:00
38,1651442400,95.35,97.32,96.77,95.67,731.947,70025.36949,2022-05-01 22:00:00
39,1651438800,95.78,97.53,97.1,96.82,1502.988,145519.29816,2022-05-01 21:00:00
40,1651435200,94.46,97.14,95.16,97.1,850.519,82585.3949,2022-05-01 20:00:00
41,1651431600,94.59,95.49,95.34,95.07,1706.73,162258.8211,2022-05-01 19:00:00
42,1651428000,95.23,97.17,97.13,95.23,1325.615,126238.31645000001,2022-05-01 18:00:00
43,1651424400,96.2,97.22,96.23,97.13,1808.45,175654.7485,2022-05-01 17:00:00
44,1651420800,95.48,96.75,95.48,96.26,1093.382,105248.95132000001,2022-05-01 16:00:00
45,1651417200,94.06,96.04,94.12,95.49,1699.08,162245.14919999999,2022-05-01 15:00:00
46,1651413600,93.66,94.26,94.0,94.07,708.337,66633.26159,2022-05-01 14:00:00
47,1651410000,93.88,94.99,94.71,94.0,1473.289,138489.166,2022-05-01 13:00:00
48,1651406400,94.08,95.32,94.42,94.71,910.49,86232.5079,2022-05-01 12:00:00
49,1651402800,92.09,95.68,94.05,94.36,2886.454,272365.79944000003,2022-05-01 11:00:00
50,1651399200,93.69,94.62,94.29,94.05,783.676,73704.72780000001,2022-05-01 10:00:00
51,1651395600,94.31,95.72,95.72,94.35,512.135,48319.937249999995,2022-05-01 09:00:00
52,1651392000,95.65,96.96,96.32,95.8,881.262,84424.89959999999,2022-05-01 08:00:00
53,1651388400,95.99,96.71,96.56,96.23,409.605,39416.289150000004,2022-05-01 07:00:00
