,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,170.36,171.49,171.17,170.89,48.3239,8258.071270999999,2022-05-03 12:00:00
1,1651575600,169.53,171.32,169.72,171.08,1.9835,339.33718000000005,2022-05-03 11:00:00
2,1651572000,169.19,171.6,171.34,169.54,59.8427,10145.731358,2022-05-03 10:00:00
3,1651568400,171.34,173.77,173.22,171.34,83.9764,14388.516376,2022-05-03 09:00:00
4,1651564800,172.86,174.54,173.61,173.17,17.9598,3110.098566,2022-05-03 08:00:00
5,1651561200,172.78,173.78,173.54,173.78,24.4159,4242.995102,2022-05-03 07:00:00
6,1651557600,172.47,174.09,173.66,173.58,29.8859,5187.594522,2022-05-03 06:00:00
7,1651554000,172.23,173.91,172.38,173.33,42.197,7314.006010000001,2022-05-03 05:00:00
8,1651550400,172.14,173.31,172.69,172.95,34.1864,5912.53788,2022-05-03 04:00:00
9,1651546800,170.88,174.36,171.21,172.8,82.9512,14333.96736,2022-05-03 03:00:00
10,1651543200,170.45,171.92,171.92,171.08,111.8929,19142.637332000002,2022-05-03 02:00:00
11,1651539600,170.75,171.92,171.36,171.92,8.2486,1418.0993119999998,2022-05-03 01:00:00
12,1651536000,170.97,171.71,171.68,171.36,2.3171,397.05825600000003,2022-05-03 00:00:00
13,1651532400,171.07,172.3,171.68,171.65,22.3188,3831.02202,2022-05-02 23:00:00
14,1651528800,170.04,172.51,171.13,171.26,45.7519,7835.470393999999,2022-05-02 22:00:00
15,1651525200,168.76,171.56,169.34,171.55,27.9898,4801.65019,2022-05-02 21:00:00
16,1651521600,169.12,170.64,170.41,169.33,12.3313,2088.0590290000005,2022-05-02 20:00:00
17,1651518000,168.5,170.8,168.99,170.32,35.235,6001.2252,2022-05-02 19:00:00
18,1651514400,167.47,169.75,168.75,169.0,63.1937,10679.7353,2022-05-02 18:00:00
19,1651510800,167.42,169.23,169.01,168.41,62.1574,10467.927734,2022-05-02 17:00:00
20,1651507200,169.2,171.57,171.07,169.2,24.8012,4196.36304,2022-05-02 16:00:00
21,1651503600,170.62,171.65,170.96,171.64,12.8627,2207.753828,2022-05-02 15:00:00
22,1651500000,169.94,173.57,172.7,170.91,77.5638,13256.429058,2022-05-02 14:00:00
23,1651496400,169.11,173.16,172.06,172.56,56.0792,9677.026752,2022-05-02 13:00:00
24,1651492800,168.91,172.17,169.91,172.03,183.6414,31591.830042,2022-05-02 12:00:00
25,1651489200,169.79,173.8,173.8,170.23,146.9489,25015.111247,2022-05-02 11:00:00
26,1651485600,172.53,175.07,173.87,172.64,26.6807,4606.156048,2022-05-02 10:00:00
27,1651482000,173.27,179.63,177.02,175.23,62.3843,10931.600889,2022-05-02 09:00:00
28,1651478400,176.74,181.04,180.3,177.71,63.1106,11215.384726,2022-05-02 08:00:00
29,1651474800,180.11,181.97,181.48,180.11,29.6948,5348.330428,2022-05-02 07:00:00
30,1651471200,180.9,184.7,184.18,181.47,15.6678,2843.235666,2022-05-02 06:00:00
31,1651467600,182.78,184.95,182.8,184.38,53.5243,9868.810433999999,2022-05-02 05:00:00
32,1651464000,181.19,182.8,181.19,182.8,55.6424,10171.43072,2022-05-02 04:00:00
33,1651460400,180.2,181.75,180.4,181.29,35.9743,6521.780847,2022-05-02 03:00:00
34,1651456800,179.86,180.42,180.2,180.35,2.4546,442.68711,2022-05-02 02:00:00
35,1651453200,178.29,181.4,181.2,180.42,70.1026,12647.911091999998,2022-05-02 01:00:00
36,1651449600,176.38,181.57,176.91,181.43,183.7078,33330.106154,2022-05-02 00:00:00
37,1651446000,174.36,178.16,174.5,176.9,27.3976,4846.63544,2022-05-01 23:00:00
38,1651442400,174.11,176.75,174.5,174.11,104.517,18197.45487,2022-05-01 22:00:00
39,1651438800,173.72,177.01,175.43,174.49,65.4904,11427.419896,2022-05-01 21:00:00
40,1651435200,172.33,177.0,172.33,177.0,50.6896,8972.0592,2022-05-01 20:00:00
41,1651431600,171.36,179.07,176.39,173.27,301.1618,52182.30508600001,2022-05-01 19:00:00
42,1651428000,175.6,180.88,180.88,175.76,307.1804,53990.027104,2022-05-01 18:00:00
43,1651424400,180.96,186.25,184.74,181.14,183.0119,33150.775566,2022-05-01 17:00:00
44,1651420800,184.44,186.84,186.84,184.66,154.6451,28556.764166,2022-05-01 16:00:00
45,1651417200,184.1,188.48,184.38,186.7,81.906,15291.8502,2022-05-01 15:00:00
46,1651413600,184.05,188.24,188.1,184.26,119.3654,21994.268603999997,2022-05-01 14:00:00
47,1651410000,184.75,188.87,185.41,187.72,132.5214,24876.917208,2022-05-01 13:00:00
48,1651406400,183.67,185.4,184.41,185.4,29.8072,5526.25488,2022-05-01 12:00:00
