,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,3.84,3.88,3.87,3.84,3884.01,14914.5984,2022-05-03 12:00:00
1,1651575600,3.84,3.9,3.89,3.88,1052.68,4084.3984,2022-05-03 11:00:00
2,1651572000,3.86,3.91,3.91,3.89,11458.73,44574.4597,2022-05-03 10:00:00
3,1651568400,3.89,3.94,3.94,3.91,3047.12,11914.2392,2022-05-03 09:00:00
4,1651564800,3.94,3.99,3.96,3.96,1613.59,6389.8164,2022-05-03 08:00:00
5,1651561200,3.92,3.98,3.98,3.94,6347.43,25008.874200000002,2022-05-03 07:00:00
6,1651557600,3.93,4.01,3.98,3.97,12105.82,48060.1054,2022-05-03 06:00:00
7,1651554000,3.93,3.99,3.96,3.98,12650.61,50349.427800000005,2022-05-03 05:00:00
8,1651550400,3.94,4.04,4.04,3.96,12270.11,48589.6356,2022-05-03 04:00:00
9,1651546800,3.92,4.11,3.99,4.03,42543.47,171450.1841,2022-05-03 03:00:00
10,1651543200,3.93,4.16,3.95,3.97,22268.51,88405.9847,2022-05-03 02:00:00
11,1651539600,3.93,3.96,3.93,3.96,224.51,889.0595999999999,2022-05-03 01:00:00
12,1651536000,3.92,3.94,3.93,3.94,685.02,2698.9788,2022-05-03 00:00:00
13,1651532400,3.9,3.95,3.9,3.9,3844.46,14993.394,2022-05-02 23:00:00
14,1651528800,3.9,3.97,3.95,3.9,1200.1,4680.389999999999,2022-05-02 22:00:00
15,1651525200,3.87,3.94,3.88,3.93,4316.08,16962.1944,2022-05-02 21:00:00
16,1651521600,3.86,3.9,3.9,3.86,1124.21,4339.4506,2022-05-02 20:00:00
17,1651518000,3.87,3.93,3.87,3.93,1024.17,4024.9881000000005,2022-05-02 19:00:00
18,1651514400,3.82,3.9,3.89,3.85,2197.4,8459.99,2022-05-02 18:00:00
19,1651510800,3.86,3.93,3.9,3.88,4639.44,18001.027199999997,2022-05-02 17:00:00
20,1651507200,3.9,3.97,3.97,3.9,2689.79,10490.181,2022-05-02 16:00:00
21,1651503600,3.94,4.03,4.03,3.98,1555.26,6189.9348,2022-05-02 15:00:00
22,1651500000,4.0,4.16,4.03,4.01,7548.1,30267.881,2022-05-02 14:00:00
23,1651496400,3.92,4.03,3.95,4.03,4520.53,18217.7359,2022-05-02 13:00:00
24,1651492800,3.92,3.98,3.95,3.95,2968.01,11723.639500000001,2022-05-02 12:00:00
25,1651489200,3.91,4.03,4.03,3.96,5649.08,22370.356799999998,2022-05-02 11:00:00
26,1651485600,4.01,4.2,4.2,4.02,12269.55,49323.59099999999,2022-05-02 10:00:00
27,1651482000,4.08,4.27,4.08,4.18,5953.43,24885.3374,2022-05-02 09:00:00
28,1651478400,4.06,4.18,4.15,4.07,2607.02,10610.5714,2022-05-02 08:00:00
29,1651474800,4.16,4.23,4.22,4.16,6494.89,27018.742400000003,2022-05-02 07:00:00
30,1651471200,4.16,4.41,4.26,4.23,30003.36,126914.21280000001,2022-05-02 06:00:00
31,1651467600,4.15,4.27,4.22,4.27,18843.6,80462.17199999999,2022-05-02 05:00:00
32,1651464000,4.17,4.43,4.27,4.24,37794.42,160248.3408,2022-05-02 04:00:00
33,1651460400,4.19,4.29,4.22,4.26,10455.28,44539.4928,2022-05-02 03:00:00
34,1651456800,4.18,4.42,4.27,4.22,32380.29,136644.82379999998,2022-05-02 02:00:00
35,1651453200,4.16,4.38,4.16,4.26,37918.08,161531.0208,2022-05-02 01:00:00
36,1651449600,3.8,4.46,3.8,4.18,88166.28,368535.05039999995,2022-05-02 00:00:00
37,1651446000,3.72,3.82,3.73,3.8,655.98,2492.724,2022-05-01 23:00:00
38,1651442400,3.7,3.73,3.7,3.71,356.05,1320.9455,2022-05-01 22:00:00
39,1651438800,3.69,3.74,3.73,3.71,1857.35,6890.768499999999,2022-05-01 21:00:00
40,1651435200,3.68,3.72,3.7,3.72,908.64,3380.1408,2022-05-01 20:00:00
41,1651431600,3.69,3.81,3.81,3.71,1880.91,6978.176100000001,2022-05-01 19:00:00
42,1651428000,3.82,3.88,3.85,3.82,121.7,464.894,2022-05-01 18:00:00
43,1651424400,3.84,3.92,3.92,3.86,457.86,1767.3396,2022-05-01 17:00:00
44,1651420800,3.78,3.93,3.79,3.92,3911.55,15333.276,2022-05-01 16:00:00
45,1651417200,3.64,3.79,3.65,3.79,792.14,3002.2106,2022-05-01 15:00:00
46,1651413600,3.64,3.68,3.64,3.65,2080.47,7593.715499999999,2022-05-01 14:00:00
47,1651410000,3.65,3.68,3.65,3.66,1174.1,4297.206,2022-05-01 13:00:00
48,1651406400,3.65,3.68,3.68,3.66,1247.79,4566.9114,2022-05-01 12:00:00
49,1651402800,3.69,3.72,3.71,3.69,4989.48,18411.1812,2022-05-01 11:00:00
50,1651399200,3.72,3.75,3.75,3.72,901.72,3354.3984000000005,2022-05-01 10:00:00
51,1651395600,3.73,3.78,3.78,3.76,879.64,3307.4464,2022-05-01 09:00:00
52,1651392000,3.76,3.78,3.77,3.78,370.41,1400.1498,2022-05-01 08:00:00
53,1651388400,3.75,3.8,3.8,3.75,334.0,1252.5,2022-05-01 07:00:00
54,1651384800,3.79,3.85,3.81,3.79,599.47,2271.9913,2022-05-01 06:00:00
55,1651381200,3.78,3.82,3.79,3.82,1376.77,5259.261399999999,2022-05-01 05:00:00
56,1651377600,3.74,3.77,3.75,3.74,444.56,1662.6544000000001,2022-05-01 04:00:00
57,1651374000,3.73,3.77,3.73,3.76,1633.76,6142.937599999999,2022-05-01 03:00:00
58,1651370400,3.73,3.78,3.76,3.74,796.82,2980.1068000000005,2022-05-01 02:00:00
59,1651366800,3.69,3.76,3.71,3.74,8287.16,30993.9784,2022-05-01 01:00:00
60,1651363200,3.7,3.8,3.8,3.71,11371.36,42187.7456,2022-05-01 00:00:00
61,1651359600,3.78,3.93,3.93,3.8,4509.0,17134.2,2022-04-30 23:00:00
62,1651356000,3.93,4.01,4.0,3.93,3541.98,13919.9814,2022-04-30 22:00:00
63,1651352400,4.01,4.07,4.06,4.02,1087.12,4370.222399999999,2022-04-30 21:00:00
64,1651348800,4.05,4.12,4.12,4.05,6085.76,24647.328,2022-04-30 20:00:00
65,1651345200,4.08,4.49,4.08,4.12,41818.23,172291.10760000002,2022-04-30 19:00:00
66,1651341600,4.06,4.1,4.07,4.08,953.07,3888.5256000000004,2022-04-30 18:00:00
67,1651338000,4.06,4.08,4.08,4.06,1226.48,4979.5088,2022-04-30 17:00:00
