,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,3.0,3.0,3.0,3.0,39.32,117.96000000000001,2022-05-03 12:00:00
1,1651572000,3.0,3.0,3.0,3.0,24.01,72.03,2022-05-03 10:00:00
2,1651564800,3.0,3.01,3.0,3.01,65.21,196.28209999999996,2022-05-03 08:00:00
3,1651557600,3.0,3.0,3.0,3.0,30.3,90.9,2022-05-03 06:00:00
4,1651550400,3.0,3.01,3.01,3.0,21.84,65.52,2022-05-03 04:00:00
5,1651546800,3.0,3.01,3.01,3.0,11715.24,35145.72,2022-05-03 03:00:00
6,1651543200,3.01,3.02,3.02,3.02,24.77,74.8054,2022-05-03 02:00:00
7,1651536000,3.02,3.02,3.02,3.02,3.26,9.8452,2022-05-03 00:00:00
8,1651532400,3.01,3.02,3.01,3.02,3.25,9.815,2022-05-02 23:00:00
9,1651528800,3.01,3.02,3.01,3.02,43.99,132.84980000000002,2022-05-02 22:00:00
10,1651525200,3.01,3.02,3.01,3.02,3.89,11.7478,2022-05-02 21:00:00
11,1651518000,3.01,3.02,3.02,3.01,15.19,45.7219,2022-05-02 19:00:00
12,1651510800,3.01,3.02,3.02,3.01,7.11,21.4011,2022-05-02 17:00:00
13,1651507200,3.01,3.01,3.01,3.01,63.79,192.00789999999998,2022-05-02 16:00:00
14,1651500000,3.01,3.02,3.02,3.01,67.4,202.874,2022-05-02 14:00:00
15,1651496400,3.01,3.02,3.02,3.01,62.85,189.17849999999999,2022-05-02 13:00:00
16,1651489200,3.01,3.02,3.01,3.01,37.1,111.67099999999999,2022-05-02 11:00:00
17,1651485600,3.01,3.01,3.01,3.01,5.59,16.825899999999997,2022-05-02 10:00:00
18,1651471200,3.01,3.02,3.02,3.01,11.68,35.1568,2022-05-02 06:00:00
19,1651467600,3.01,3.02,3.01,3.02,6.17,18.633399999999998,2022-05-02 05:00:00
20,1651460400,3.01,3.02,3.01,3.02,1.8,5.436,2022-05-02 03:00:00
21,1651453200,3.02,3.02,3.02,3.02,27.41,82.7782,2022-05-02 01:00:00
22,1651446000,3.01,3.02,3.01,3.02,33.62,101.5324,2022-05-01 23:00:00
23,1651442400,3.01,3.02,3.01,3.02,41.07,124.0314,2022-05-01 22:00:00
24,1651438800,3.01,3.01,3.01,3.01,1.49,4.4849,2022-05-01 21:00:00
25,1651435200,3.01,3.02,3.01,3.01,19.14,57.611399999999996,2022-05-01 20:00:00
26,1651431600,3.01,3.02,3.02,3.02,3.79,11.4458,2022-05-01 19:00:00
27,1651424400,3.01,3.02,3.02,3.01,58.62,176.44619999999998,2022-05-01 17:00:00
28,1651420800,3.01,3.01,3.01,3.01,185.22,557.5122,2022-05-01 16:00:00
29,1651410000,3.01,3.02,3.02,3.01,12.05,36.2705,2022-05-01 13:00:00
30,1651399200,3.01,3.02,3.02,3.01,17.74,53.39739999999999,2022-05-01 10:00:00
31,1651388400,3.01,3.02,3.01,3.02,6.83,20.6266,2022-05-01 07:00:00
32,1651384800,3.02,3.02,3.02,3.02,27.72,83.7144,2022-05-01 06:00:00
33,1651381200,3.01,3.02,3.01,3.02,2141.0,6465.82,2022-05-01 05:00:00
34,1651377600,3.01,3.01,3.01,3.01,7.26,21.8526,2022-05-01 04:00:00
35,1651374000,3.01,3.02,3.01,3.01,18.16,54.6616,2022-05-01 03:00:00
36,1651370400,3.01,3.02,3.02,3.01,28.48,85.7248,2022-05-01 02:00:00
37,1651366800,3.01,3.02,3.01,3.01,12.14,36.541399999999996,2022-05-01 01:00:00
38,1651363200,3.01,3.02,3.01,3.01,79.13,238.18129999999996,2022-05-01 00:00:00
39,1651359600,3.01,3.02,3.02,3.02,58.14,175.5828,2022-04-30 23:00:00
40,1651356000,3.01,3.02,3.02,3.01,3.78,11.377799999999999,2022-04-30 22:00:00
41,1651352400,3.01,3.02,3.01,3.01,5.23,15.7423,2022-04-30 21:00:00
42,1651348800,3.01,3.02,3.01,3.02,2.63,7.9426,2022-04-30 20:00:00
43,1651345200,3.01,3.02,3.01,3.01,31.73,95.5073,2022-04-30 19:00:00
44,1651341600,3.01,3.02,3.01,3.02,55.75,168.365,2022-04-30 18:00:00
45,1651338000,3.01,3.02,3.01,3.01,282.06,849.0006,2022-04-30 17:00:00
46,1651334400,3.01,3.01,3.01,3.01,109.81,330.5281,2022-04-30 16:00:00
47,1651330800,3.01,3.02,3.02,3.01,1.0,3.01,2022-04-30 15:00:00
48,1651327200,3.01,3.02,3.01,3.02,11.21,33.854200000000006,2022-04-30 14:00:00
49,1651323600,3.01,3.01,3.01,3.01,34.93,105.13929999999999,2022-04-30 13:00:00
50,1651320000,3.01,3.01,3.01,3.01,13.25,39.8825,2022-04-30 12:00:00
51,1651316400,3.01,3.02,3.02,3.01,42.03,126.5103,2022-04-30 11:00:00
52,1651312800,3.01,3.02,3.01,3.02,3.53,10.660599999999999,2022-04-30 10:00:00
53,1651309200,3.01,3.02,3.01,3.02,2.25,6.795,2022-04-30 09:00:00
54,1651291200,3.01,3.01,3.01,3.01,18.1,54.481,2022-04-30 04:00:00
55,1651287600,3.01,3.02,3.01,3.01,30.67,92.3167,2022-04-30 03:00:00
56,1651284000,3.02,3.02,3.02,3.02,163.61,494.10220000000004,2022-04-30 02:00:00
57,1651276800,3.01,3.02,3.01,3.01,6.31,18.9931,2022-04-30 00:00:00
58,1651273200,3.01,3.02,3.02,3.02,19.36,58.4672,2022-04-29 23:00:00
59,1651269600,3.01,3.02,3.01,3.02,25.56,77.1912,2022-04-29 22:00:00
60,1651266000,3.01,3.01,3.01,3.01,7.29,21.942899999999998,2022-04-29 21:00:00
61,1651262400,3.01,3.02,3.01,3.02,1.49,4.4998,2022-04-29 20:00:00
62,1651258800,3.01,3.01,3.01,3.01,1.32,3.9732,2022-04-29 19:00:00
63,1651255200,3.01,3.02,3.02,3.01,57.34,172.5934,2022-04-29 18:00:00
64,1651251600,3.01,3.02,3.01,3.02,16.56,50.011199999999995,2022-04-29 17:00:00
65,1651248000,3.01,3.01,3.01,3.01,7.96,23.9596,2022-04-29 16:00:00
66,1651240800,3.01,3.01,3.01,3.01,1.98,5.9597999999999995,2022-04-29 14:00:00
0,1651230000,3.01,3.02,3.02,3.01,146.25,440.2125,2022-04-29 11:00:00
1,1651219200,3.01,3.01,3.01,3.01,16.84,50.688399999999994,2022-04-29 08:00:00
2,1651215600,3.01,3.01,3.01,3.01,38.23,115.07229999999998,2022-04-29 07:00:00
3,1651201200,3.01,3.02,3.01,3.01,42.67,128.4367,2022-04-29 03:00:00
4,1651190400,3.01,3.01,3.01,3.01,328.41,988.5141,2022-04-29 00:00:00
5,1651183200,3.01,3.02,3.02,3.01,23.39,70.4039,2022-04-28 22:00:00
6,1651179600,3.01,3.02,3.02,3.01,30.94,93.1294,2022-04-28 21:00:00
7,1651168800,3.02,3.02,3.02,3.02,5.54,16.7308,2022-04-28 18:00:00
8,1651161600,3.01,3.02,3.01,3.02,31.45,94.979,2022-04-28 16:00:00
9,1651158000,3.01,3.02,3.02,3.02,522.93,1579.2486,2022-04-28 15:00:00
10,1651154400,3.01,3.02,3.02,3.02,21.77,65.7454,2022-04-28 14:00:00
11,1651147200,3.01,3.02,3.02,3.01,34.44,103.66439999999999,2022-04-28 12:00:00
12,1651143600,3.01,3.02,3.02,3.01,36.07,108.57069999999999,2022-04-28 11:00:00
13,1651132800,3.01,3.02,3.02,3.02,3.97,11.9894,2022-04-28 08:00:00
14,1651129200,3.01,3.01,3.01,3.01,46.74,140.6874,2022-04-28 07:00:00
15,1651111200,3.01,3.02,3.01,3.01,15.36,46.233599999999996,2022-04-28 02:00:00
16,1651093200,3.01,3.01,3.01,3.01,6.63,19.9563,2022-04-27 21:00:00
17,1651089600,3.01,3.01,3.01,3.01,13.42,40.3942,2022-04-27 20:00:00
18,1651086000,3.01,3.02,3.02,3.01,86.75,261.1175,2022-04-27 19:00:00
19,1651078800,3.01,3.02,3.01,3.01,83.27,250.64269999999996,2022-04-27 17:00:00
20,1651075200,3.01,3.02,3.02,3.01,23.22,69.89219999999999,2022-04-27 16:00:00
21,1651064400,3.01,3.02,3.01,3.02,3.57,10.7814,2022-04-27 13:00:00
22,1651057200,3.01,3.01,3.01,3.01,25.48,76.6948,2022-04-27 11:00:00
23,1651053600,3.01,3.01,3.01,3.01,1.23,3.7022999999999997,2022-04-27 10:00:00
24,1651046400,3.01,3.02,3.02,3.01,0.69,2.0768999999999997,2022-04-27 08:00:00
25,1651039200,3.01,3.02,3.01,3.02,1.67,5.0434,2022-04-27 06:00:00
26,1651028400,3.01,3.01,3.01,3.01,20.33,61.193299999999994,2022-04-27 03:00:00
27,1651024800,3.01,3.02,3.02,3.01,0.65,1.9565,2022-04-27 02:00:00
28,1651021200,3.01,3.02,3.01,3.02,10.93,33.0086,2022-04-27 01:00:00
29,1651014000,3.01,3.01,3.01,3.01,21.52,64.7752,2022-04-26 23:00:00
