,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,5.77,5.8,5.79,5.79,95.708,554.14932,2022-05-03 12:00:00
1,1651575600,5.76,5.83,5.82,5.77,1578.903,9110.27031,2022-05-03 11:00:00
2,1651572000,5.79,5.85,5.79,5.82,392.038,2281.66116,2022-05-03 10:00:00
3,1651568400,5.77,5.83,5.79,5.81,394.29,2290.8249,2022-05-03 09:00:00
4,1651564800,5.76,5.8,5.79,5.76,190.853,1099.31328,2022-05-03 08:00:00
5,1651561200,5.77,5.8,5.79,5.79,35.811,207.34569,2022-05-03 07:00:00
6,1651557600,5.76,5.84,5.76,5.8,1236.68,7172.744000000001,2022-05-03 06:00:00
7,1651554000,5.69,5.85,5.84,5.76,3188.117,18363.553920000002,2022-05-03 05:00:00
8,1651550400,5.83,5.89,5.89,5.86,920.482,5394.02452,2022-05-03 04:00:00
9,1651546800,5.85,5.9,5.86,5.9,508.73,3001.507,2022-05-03 03:00:00
10,1651543200,5.83,5.9,5.89,5.86,977.221,5726.515060000001,2022-05-03 02:00:00
11,1651539600,5.88,5.91,5.88,5.89,584.545,3442.9700499999994,2022-05-03 01:00:00
12,1651536000,5.86,5.91,5.89,5.89,1264.637,7448.7119299999995,2022-05-03 00:00:00
13,1651532400,5.85,5.91,5.87,5.89,5139.493,30271.61377,2022-05-02 23:00:00
14,1651528800,5.78,5.91,5.91,5.87,2523.681,14814.00747,2022-05-02 22:00:00
15,1651525200,5.89,5.91,5.9,5.89,1771.76,10435.6664,2022-05-02 21:00:00
16,1651521600,5.88,5.9,5.9,5.9,1627.821,9604.143900000001,2022-05-02 20:00:00
17,1651518000,5.88,5.9,5.9,5.9,101.063,596.2717,2022-05-02 19:00:00
18,1651514400,5.88,5.9,5.89,5.9,1379.712,8140.3008,2022-05-02 18:00:00
19,1651510800,5.85,5.9,5.85,5.9,573.766,3385.2194,2022-05-02 17:00:00
20,1651507200,5.8,5.87,5.83,5.87,626.034,3674.81958,2022-05-02 16:00:00
21,1651503600,5.81,5.89,5.89,5.82,2648.478,15414.14196,2022-05-02 15:00:00
22,1651500000,5.83,5.91,5.86,5.9,715.758,4222.9722,2022-05-02 14:00:00
23,1651496400,5.73,5.97,5.95,5.87,4461.897,26191.33539,2022-05-02 13:00:00
24,1651492800,5.93,5.97,5.97,5.95,922.929,5491.42755,2022-05-02 12:00:00
25,1651489200,5.92,6.1,5.97,5.97,1565.852,9348.13644,2022-05-02 11:00:00
26,1651485600,5.96,6.05,6.02,5.96,421.113,2509.83348,2022-05-02 10:00:00
27,1651482000,5.98,6.06,5.99,6.0,162.512,975.072,2022-05-02 09:00:00
28,1651478400,5.99,6.01,5.99,5.99,60.647,363.27553,2022-05-02 08:00:00
29,1651474800,5.94,6.04,5.96,6.01,577.825,3472.72825,2022-05-02 07:00:00
30,1651471200,5.89,6.1,6.08,5.96,3284.799,19577.40204,2022-05-02 06:00:00
31,1651467600,6.08,6.08,6.08,6.08,28.911,175.77888000000002,2022-05-02 05:00:00
32,1651464000,6.04,6.08,6.08,6.08,124.353,756.06624,2022-05-02 04:00:00
33,1651460400,6.02,6.08,6.04,6.08,427.872,2601.46176,2022-05-02 03:00:00
34,1651456800,6.0,6.14,6.09,6.06,2235.029,13544.27574,2022-05-02 02:00:00
35,1651453200,6.03,6.15,6.07,6.12,506.837,3101.84244,2022-05-02 01:00:00
36,1651449600,5.84,6.25,5.85,6.05,6634.89,40141.0845,2022-05-02 00:00:00
37,1651446000,5.79,5.85,5.79,5.85,1547.175,9050.97375,2022-05-01 23:00:00
38,1651442400,5.74,5.84,5.8,5.79,3183.814,18434.283059999998,2022-05-01 22:00:00
39,1651438800,5.72,5.79,5.79,5.79,447.751,2592.47829,2022-05-01 21:00:00
40,1651435200,5.68,5.86,5.84,5.78,4793.739,27707.811419999998,2022-05-01 20:00:00
41,1651431600,5.84,5.86,5.85,5.84,360.101,2102.9898399999997,2022-05-01 19:00:00
42,1651428000,5.84,5.86,5.86,5.84,908.164,5303.67776,2022-05-01 18:00:00
43,1651424400,5.84,5.86,5.85,5.86,1141.465,6688.9848999999995,2022-05-01 17:00:00
44,1651420800,5.83,5.95,5.89,5.85,2379.04,13917.383999999998,2022-05-01 16:00:00
45,1651417200,5.83,5.91,5.85,5.89,5861.45,34523.9405,2022-05-01 15:00:00
46,1651413600,5.78,5.86,5.86,5.84,2828.26,16517.0384,2022-05-01 14:00:00
47,1651410000,5.82,5.89,5.85,5.86,758.507,4444.85102,2022-05-01 13:00:00
48,1651406400,5.73,6.03,6.02,5.83,3934.546,22938.403179999998,2022-05-01 12:00:00
49,1651402800,5.85,6.07,5.85,6.02,1184.825,7132.6465,2022-05-01 11:00:00
50,1651399200,5.74,5.91,5.76,5.85,648.661,3794.6668499999996,2022-05-01 10:00:00
51,1651395600,5.74,5.77,5.76,5.74,109.918,630.9293200000001,2022-05-01 09:00:00
52,1651392000,5.72,5.77,5.72,5.75,787.205,4526.42875,2022-05-01 08:00:00
53,1651388400,5.58,5.82,5.82,5.72,5326.989,30470.377079999995,2022-05-01 07:00:00
54,1651384800,5.79,5.83,5.82,5.82,154.227,897.6011400000001,2022-05-01 06:00:00
55,1651381200,5.72,5.89,5.74,5.82,1130.149,6577.46718,2022-05-01 05:00:00
56,1651377600,5.68,5.84,5.82,5.72,1205.398,6894.876559999999,2022-05-01 04:00:00
57,1651374000,5.68,5.86,5.68,5.82,1445.553,8413.118460000002,2022-05-01 03:00:00
58,1651370400,5.61,5.72,5.68,5.7,928.78,5294.046,2022-05-01 02:00:00
59,1651366800,5.58,5.84,5.81,5.68,12248.012,69568.70816,2022-05-01 01:00:00
60,1651363200,5.61,5.88,5.73,5.84,7411.666,43284.12944,2022-05-01 00:00:00
61,1651359600,5.68,6.09,6.09,5.72,9446.184,54032.172479999994,2022-04-30 23:00:00
62,1651356000,6.04,6.24,6.21,6.08,2631.285,15998.2128,2022-04-30 22:00:00
63,1651352400,6.06,6.89,6.09,6.21,13043.979,81003.10959,2022-04-30 21:00:00
64,1651348800,5.85,6.1,5.85,6.07,3857.396,23414.393720000004,2022-04-30 20:00:00
65,1651345200,5.77,6.08,6.08,5.84,6758.677,39470.67368,2022-04-30 19:00:00
66,1651341600,5.98,6.12,6.07,6.08,1994.615,12127.2592,2022-04-30 18:00:00
67,1651338000,5.98,6.22,6.22,6.07,3625.237,22005.18859,2022-04-30 17:00:00
68,1651334400,6.19,6.27,6.27,6.24,575.956,3593.9654400000004,2022-04-30 16:00:00
69,1651330800,6.13,6.35,6.35,6.28,5391.322,33857.502160000004,2022-04-30 15:00:00
70,1651327200,6.34,6.44,6.43,6.39,1516.985,9693.53415,2022-04-30 14:00:00
71,1651323600,6.3,6.59,6.38,6.43,3077.211,19786.466729999996,2022-04-30 13:00:00
72,1651320000,6.37,6.72,6.71,6.4,4100.116,26240.742400000003,2022-04-30 12:00:00
73,1651316400,6.69,6.98,6.98,6.73,2965.946,19960.816580000002,2022-04-30 11:00:00
74,1651312800,6.87,7.14,6.93,6.97,6183.821,43101.23237,2022-04-30 10:00:00
75,1651309200,6.67,6.97,6.79,6.96,3681.771,25625.12616,2022-04-30 09:00:00
76,1651305600,6.64,7.04,6.64,6.77,8079.977,54701.44428999999,2022-04-30 08:00:00
77,1651302000,6.48,7.02,6.5,6.65,11432.765,76027.88725,2022-04-30 07:00:00
78,1651298400,6.45,6.56,6.45,6.5,1447.314,9407.541000000001,2022-04-30 06:00:00
79,1651294800,6.32,6.51,6.41,6.45,1942.775,12530.89875,2022-04-30 05:00:00
80,1651291200,6.29,6.69,6.6,6.41,4870.271,31218.43711,2022-04-30 04:00:00
81,1651287600,6.4,7.28,6.48,6.61,47159.637,311725.20057000004,2022-04-30 03:00:00
82,1651284000,6.25,6.6,6.29,6.48,13980.465,90593.41320000001,2022-04-30 02:00:00
83,1651280400,6.13,6.31,6.16,6.27,3070.967,19254.96309,2022-04-30 01:00:00
