,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.66,0.69,0.69,0.67,13635.55,9135.8185,2022-05-03 12:00:00
1,1651575600,0.68,0.7,0.68,0.69,1157.49,798.6681,2022-05-03 11:00:00
2,1651572000,0.68,0.69,0.68,0.69,1546.31,1066.9539,2022-05-03 10:00:00
3,1651568400,0.68,0.7,0.7,0.68,1902.59,1293.7612000000001,2022-05-03 09:00:00
4,1651564800,0.68,0.7,0.69,0.69,4935.84,3405.7295999999997,2022-05-03 08:00:00
5,1651561200,0.67,0.69,0.68,0.68,3319.02,2256.9336000000003,2022-05-03 07:00:00
6,1651557600,0.67,0.69,0.68,0.68,3708.19,2521.5692000000004,2022-05-03 06:00:00
7,1651554000,0.67,0.68,0.67,0.68,3846.51,2615.6268000000005,2022-05-03 05:00:00
8,1651550400,0.66,0.7,0.69,0.68,17261.86,11738.064800000002,2022-05-03 04:00:00
9,1651546800,0.68,0.7,0.69,0.7,6430.39,4501.273,2022-05-03 03:00:00
10,1651543200,0.68,0.7,0.69,0.69,8255.05,5695.984499999999,2022-05-03 02:00:00
11,1651539600,0.68,0.69,0.68,0.69,823.99,568.5531,2022-05-03 01:00:00
12,1651536000,0.68,0.7,0.7,0.69,1903.24,1313.2356,2022-05-03 00:00:00
13,1651532400,0.67,0.7,0.68,0.7,8291.93,5804.351,2022-05-02 23:00:00
14,1651528800,0.67,0.7,0.68,0.68,14921.65,10146.722,2022-05-02 22:00:00
15,1651525200,0.68,0.69,0.69,0.68,10270.54,6983.967200000001,2022-05-02 21:00:00
16,1651521600,0.67,0.69,0.67,0.68,12339.22,8390.6696,2022-05-02 20:00:00
17,1651518000,0.65,0.68,0.67,0.67,24242.83,16242.696100000003,2022-05-02 19:00:00
18,1651514400,0.66,0.68,0.66,0.67,22326.04,14958.446800000002,2022-05-02 18:00:00
19,1651510800,0.65,0.69,0.68,0.67,45125.35,30233.984500000002,2022-05-02 17:00:00
20,1651507200,0.66,0.68,0.67,0.67,15932.69,10674.902300000002,2022-05-02 16:00:00
21,1651503600,0.66,0.69,0.69,0.67,21142.28,14165.3276,2022-05-02 15:00:00
22,1651500000,0.67,0.69,0.68,0.69,11315.41,7807.6329,2022-05-02 14:00:00
23,1651496400,0.66,0.69,0.66,0.68,25302.12,17205.441600000002,2022-05-02 13:00:00
24,1651492800,0.66,0.69,0.69,0.67,20163.33,13509.431100000002,2022-05-02 12:00:00
25,1651489200,0.68,0.71,0.71,0.69,17876.96,12335.102399999998,2022-05-02 11:00:00
26,1651485600,0.7,0.72,0.72,0.71,4026.38,2858.7298,2022-05-02 10:00:00
27,1651482000,0.72,0.73,0.73,0.73,373.9,272.947,2022-05-02 09:00:00
28,1651478400,0.72,0.75,0.73,0.72,8406.51,6052.6872,2022-05-02 08:00:00
29,1651474800,0.72,0.73,0.72,0.72,691.98,498.2256,2022-05-02 07:00:00
30,1651471200,0.72,0.74,0.72,0.72,1409.96,1015.1712,2022-05-02 06:00:00
31,1651467600,0.72,0.74,0.72,0.72,8305.64,5980.060799999999,2022-05-02 05:00:00
32,1651464000,0.71,0.75,0.71,0.72,16795.56,12092.8032,2022-05-02 04:00:00
33,1651460400,0.7,0.72,0.71,0.71,5297.9,3761.5089999999996,2022-05-02 03:00:00
34,1651456800,0.69,0.72,0.71,0.71,12204.59,8665.258899999999,2022-05-02 02:00:00
35,1651453200,0.7,0.72,0.71,0.71,4940.4,3507.6839999999997,2022-05-02 01:00:00
36,1651449600,0.7,0.72,0.71,0.71,2293.6,1628.456,2022-05-02 00:00:00
37,1651446000,0.7,0.73,0.7,0.7,16199.68,11339.776,2022-05-01 23:00:00
38,1651442400,0.67,0.71,0.68,0.7,12967.32,9077.124,2022-05-01 22:00:00
39,1651438800,0.65,0.68,0.67,0.67,36307.75,24326.1925,2022-05-01 21:00:00
40,1651435200,0.66,0.68,0.67,0.67,9670.18,6479.020600000001,2022-05-01 20:00:00
41,1651431600,0.66,0.71,0.7,0.68,20551.62,13975.1016,2022-05-01 19:00:00
42,1651428000,0.69,0.71,0.7,0.7,13019.24,9113.467999999999,2022-05-01 18:00:00
43,1651424400,0.69,0.72,0.71,0.7,22898.51,16028.956999999999,2022-05-01 17:00:00
44,1651420800,0.69,0.73,0.7,0.71,9920.2,7043.342000000001,2022-05-01 16:00:00
45,1651417200,0.69,0.73,0.71,0.71,24065.61,17086.5831,2022-05-01 15:00:00
46,1651413600,0.7,0.74,0.7,0.71,19062.26,13534.204599999997,2022-05-01 14:00:00
47,1651410000,0.69,0.71,0.7,0.7,5748.1,4023.67,2022-05-01 13:00:00
48,1651406400,0.68,0.7,0.69,0.69,2513.78,1734.5082,2022-05-01 12:00:00
49,1651402800,0.67,0.73,0.71,0.69,32762.16,22605.890399999997,2022-05-01 11:00:00
50,1651399200,0.7,0.72,0.7,0.71,8687.82,6168.352199999999,2022-05-01 10:00:00
51,1651395600,0.67,0.7,0.68,0.69,17319.36,11950.3584,2022-05-01 09:00:00
52,1651392000,0.67,0.69,0.68,0.68,5923.96,4028.2928,2022-05-01 08:00:00
53,1651388400,0.65,0.71,0.7,0.68,22558.88,15340.038400000001,2022-05-01 07:00:00
54,1651384800,0.65,0.72,0.68,0.7,52408.49,36685.943,2022-05-01 06:00:00
55,1651381200,0.65,0.7,0.68,0.68,40314.96,27414.1728,2022-05-01 05:00:00
56,1651377600,0.66,0.72,0.72,0.68,24763.58,16839.2344,2022-05-01 04:00:00
57,1651374000,0.68,0.72,0.69,0.71,21341.87,15152.727699999998,2022-05-01 03:00:00
58,1651370400,0.64,0.7,0.64,0.68,33521.43,22794.5724,2022-05-01 02:00:00
59,1651366800,0.63,0.69,0.68,0.64,39162.47,25063.9808,2022-05-01 01:00:00
60,1651363200,0.66,0.7,0.68,0.67,37082.41,24845.214700000004,2022-05-01 00:00:00
61,1651359600,0.63,0.69,0.69,0.68,29379.09,19977.7812,2022-04-30 23:00:00
62,1651356000,0.64,0.74,0.74,0.69,111099.75,76658.8275,2022-04-30 22:00:00
63,1651352400,0.73,0.75,0.74,0.73,10148.72,7408.565599999999,2022-04-30 21:00:00
64,1651348800,0.74,0.76,0.76,0.75,25571.0,19178.25,2022-04-30 20:00:00
