,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.2882,0.2921,0.2916,0.289,162013.747256,46821.972956984,2022-05-03 12:00:00
1,1651575600,0.2894,0.2926,0.29,0.2912,259541.797048,75578.5713003776,2022-05-03 11:00:00
2,1651572000,0.2887,0.2943,0.2924,0.2898,343751.95828,99619.31750954401,2022-05-03 10:00:00
3,1651568400,0.2918,0.2965,0.2962,0.2921,192241.177181,56153.64785457011,2022-05-03 09:00:00
4,1651564800,0.2902,0.2982,0.2912,0.2959,635526.33095,188052.24132810498,2022-05-03 08:00:00
5,1651561200,0.287,0.2987,0.2893,0.2911,369720.131919,107625.53040162091,2022-05-03 07:00:00
6,1651557600,0.2846,0.293,0.2893,0.2896,292994.183409,84851.1155152464,2022-05-03 06:00:00
7,1651554000,0.2854,0.2914,0.2886,0.2891,366034.285433,105820.5119186803,2022-05-03 05:00:00
8,1651550400,0.2869,0.2963,0.2908,0.2886,537001.119068,154978.52296302482,2022-05-03 04:00:00
9,1651546800,0.2787,0.2962,0.2813,0.2908,1561862.294489,454189.5552374012,2022-05-03 03:00:00
10,1651543200,0.2727,0.2822,0.2769,0.2814,1309554.398974,368508.6078712836,2022-05-03 02:00:00
11,1651539600,0.2709,0.2771,0.2714,0.277,109999.765889,30469.935151253005,2022-05-03 01:00:00
12,1651536000,0.2691,0.2717,0.2717,0.2711,197160.58589,53450.234834778996,2022-05-03 00:00:00
13,1651532400,0.2715,0.2757,0.272,0.2717,227294.540654,61755.9266956918,2022-05-02 23:00:00
14,1651528800,0.2714,0.2768,0.2759,0.2716,207725.302851,56418.192254331596,2022-05-02 22:00:00
15,1651525200,0.2699,0.2763,0.2704,0.2757,185692.610708,51195.4527721956,2022-05-02 21:00:00
16,1651521600,0.2687,0.2733,0.2732,0.27,162740.577466,43939.95591582,2022-05-02 20:00:00
17,1651518000,0.2688,0.2735,0.269,0.273,361668.651298,98735.54180435401,2022-05-02 19:00:00
18,1651514400,0.2654,0.2703,0.2684,0.2692,203310.678987,54731.234783300395,2022-05-02 18:00:00
19,1651510800,0.2665,0.2748,0.2727,0.2683,333400.69586,89451.40669923798,2022-05-02 17:00:00
20,1651507200,0.2718,0.2802,0.2756,0.2727,255620.892287,69707.8173266649,2022-05-02 16:00:00
21,1651503600,0.2735,0.2837,0.2742,0.2755,615599.248342,169597.592918221,2022-05-02 15:00:00
22,1651500000,0.2693,0.2763,0.2737,0.2742,299940.198439,82243.6024119738,2022-05-02 14:00:00
23,1651496400,0.266,0.2757,0.2684,0.2738,353916.719483,96902.3977944454,2022-05-02 13:00:00
24,1651492800,0.2664,0.271,0.2664,0.2679,89948.048468,24097.0821845772,2022-05-02 12:00:00
25,1651489200,0.2632,0.2672,0.2663,0.2665,508309.579257,135464.5028719905,2022-05-02 11:00:00
26,1651485600,0.265,0.2685,0.267,0.2661,130393.64723,34697.749527903004,2022-05-02 10:00:00
27,1651482000,0.2671,0.2725,0.2706,0.2671,262599.44133,70140.310779243,2022-05-02 09:00:00
28,1651478400,0.2704,0.2766,0.2765,0.2719,88742.255339,24129.019226674096,2022-05-02 08:00:00
29,1651474800,0.2752,0.2797,0.2764,0.2764,96538.747931,26683.3099281284,2022-05-02 07:00:00
30,1651471200,0.2757,0.2813,0.2793,0.2757,47834.760628,13188.043505139602,2022-05-02 06:00:00
31,1651467600,0.2746,0.28,0.2757,0.28,88780.125039,24858.435010920002,2022-05-02 05:00:00
32,1651464000,0.2724,0.2763,0.273,0.2761,76968.885584,21251.109309742402,2022-05-02 04:00:00
33,1651460400,0.2719,0.2738,0.2733,0.2729,86184.307893,23519.6976239997,2022-05-02 03:00:00
34,1651456800,0.2698,0.273,0.2719,0.273,292551.415281,79866.53637171301,2022-05-02 02:00:00
35,1651453200,0.2721,0.2783,0.2772,0.2721,289606.722594,78801.9892178274,2022-05-02 01:00:00
36,1651449600,0.2739,0.2793,0.2756,0.2778,524029.012668,145575.2597191704,2022-05-02 00:00:00
37,1651446000,0.2702,0.2762,0.2704,0.2758,146873.243622,40507.6405909476,2022-05-01 23:00:00
38,1651442400,0.2692,0.2727,0.2692,0.2705,113232.079052,30629.277383566,2022-05-01 22:00:00
39,1651438800,0.268,0.2737,0.2723,0.2692,522464.444599,140647.4284860508,2022-05-01 21:00:00
40,1651435200,0.2648,0.2723,0.2663,0.2723,302874.579951,82472.7481206573,2022-05-01 20:00:00
41,1651431600,0.2624,0.2678,0.2665,0.2662,624475.584496,166235.40059283518,2022-05-01 19:00:00
42,1651428000,0.2668,0.2742,0.274,0.267,165478.521022,44182.765112874,2022-05-01 18:00:00
43,1651424400,0.274,0.2785,0.2762,0.2744,249784.729405,68540.92974873199,2022-05-01 17:00:00
44,1651420800,0.2731,0.2797,0.2738,0.2767,905221.17335,250474.698665945,2022-05-01 16:00:00
45,1651417200,0.2644,0.2749,0.2644,0.2739,651068.2887,178327.60427493,2022-05-01 15:00:00
46,1651413600,0.2632,0.2666,0.2652,0.2643,324875.298905,85864.54150059148,2022-05-01 14:00:00
47,1651410000,0.2641,0.268,0.2674,0.2651,468428.103446,124180.29022353461,2022-05-01 13:00:00
48,1651406400,0.2654,0.2719,0.2712,0.267,455421.724749,121597.600507983,2022-05-01 12:00:00
49,1651402800,0.27,0.2738,0.2736,0.2706,121811.064368,32962.074017980805,2022-05-01 11:00:00
50,1651399200,0.2723,0.2758,0.2745,0.2735,254562.520143,69622.8492591105,2022-05-01 10:00:00
51,1651395600,0.274,0.2786,0.2786,0.2742,691610.687914,189639.6506260188,2022-05-01 09:00:00
52,1651392000,0.2737,0.2796,0.2745,0.2787,359882.564571,100299.2707459377,2022-05-01 08:00:00
53,1651388400,0.2737,0.2761,0.2761,0.2744,84184.958781,23100.352689506395,2022-05-01 07:00:00
54,1651384800,0.2756,0.2804,0.2783,0.2759,135156.030077,37289.548698244296,2022-05-01 06:00:00
55,1651381200,0.2689,0.2797,0.2701,0.2781,796762.563184,221579.6688214704,2022-05-01 05:00:00
56,1651377600,0.269,0.2738,0.2726,0.2699,399285.460271,107767.14572714288,2022-05-01 04:00:00
57,1651374000,0.2705,0.274,0.2713,0.2727,463782.850549,126473.5833447123,2022-05-01 03:00:00
58,1651370400,0.2709,0.2771,0.2741,0.2713,238796.587058,64785.5140688354,2022-05-01 02:00:00
59,1651366800,0.267,0.2769,0.2729,0.2746,648717.981058,178137.95759852682,2022-05-01 01:00:00
60,1651363200,0.2718,0.2828,0.2768,0.2737,856497.85383,234423.46259327102,2022-05-01 00:00:00
61,1651359600,0.267,0.2859,0.2857,0.2771,1636075.973662,453356.6523017402,2022-04-30 23:00:00
62,1651356000,0.2833,0.2902,0.29,0.2846,378998.365665,107862.934868259,2022-04-30 22:00:00
63,1651352400,0.29,0.2955,0.2952,0.29,147955.262082,42907.026003779996,2022-04-30 21:00:00
64,1651348800,0.2933,0.298,0.2946,0.2959,390910.25571,115670.34466458899,2022-04-30 20:00:00
65,1651345200,0.2914,0.297,0.2928,0.2947,450964.352127,132899.1945718269,2022-04-30 19:00:00
66,1651341600,0.2912,0.2949,0.2927,0.2924,397468.295928,116219.7297293472,2022-04-30 18:00:00
67,1651338000,0.2917,0.2964,0.2961,0.2928,303315.688349,88810.83354858721,2022-04-30 17:00:00
68,1651334400,0.2953,0.2996,0.2979,0.2953,414660.301041,122449.1868974073,2022-04-30 16:00:00
69,1651330800,0.2934,0.3002,0.2944,0.298,731329.465717,217936.18078366597,2022-04-30 15:00:00
70,1651327200,0.2937,0.3073,0.3061,0.2947,1137758.417884,335297.4057504149,2022-04-30 14:00:00
71,1651323600,0.3039,0.3093,0.3078,0.3061,564206.272721,172703.54007989808,2022-04-30 13:00:00
72,1651320000,0.3074,0.3102,0.309,0.3084,132511.025739,40866.4003379076,2022-04-30 12:00:00
73,1651316400,0.3086,0.3114,0.3086,0.309,174924.84603,54051.777423269996,2022-04-30 11:00:00
74,1651312800,0.3082,0.311,0.3086,0.3086,115887.510092,35762.8856143912,2022-04-30 10:00:00
75,1651309200,0.3055,0.309,0.3063,0.3086,127819.809867,39445.1933249562,2022-04-30 09:00:00
76,1651305600,0.3041,0.309,0.3085,0.3065,867004.168195,265736.77755176753,2022-04-30 08:00:00
77,1651302000,0.3083,0.3137,0.3137,0.3086,351283.325616,108406.03428509759,2022-04-30 07:00:00
78,1651298400,0.3118,0.314,0.3137,0.3136,77855.101662,24415.3598812032,2022-04-30 06:00:00
79,1651294800,0.3117,0.3139,0.3121,0.3134,170185.104306,53336.0116895004,2022-04-30 05:00:00
80,1651291200,0.3107,0.3135,0.3123,0.3118,148012.697785,46150.359169363,2022-04-30 04:00:00
81,1651287600,0.3107,0.314,0.314,0.3119,119831.092628,37375.3177906732,2022-04-30 03:00:00
82,1651284000,0.3143,0.3199,0.3186,0.3147,54697.890491,17213.426137517697,2022-04-30 02:00:00
83,1651280400,0.315,0.3192,0.3168,0.3186,87922.775958,28012.1964202188,2022-04-30 01:00:00
84,1651276800,0.3125,0.3175,0.3149,0.3168,522024.29392,165377.29631385603,2022-04-30 00:00:00
85,1651273200,0.3121,0.3165,0.3123,0.3148,109063.35696,34333.144771008,2022-04-29 23:00:00
86,1651269600,0.3091,0.3125,0.3114,0.3123,106973.186239,33407.7260624397,2022-04-29 22:00:00
87,1651266000,0.3107,0.3134,0.3115,0.3119,259144.422642,80827.1454220398,2022-04-29 21:00:00
88,1651262400,0.3108,0.3135,0.3113,0.3111,381313.775128,118626.7154423208,2022-04-29 20:00:00
89,1651258800,0.3086,0.3175,0.3173,0.3121,635352.809639,198293.61188833188,2022-04-29 19:00:00
90,1651255200,0.3135,0.321,0.3209,0.3173,744244.871531,236148.8977367863,2022-04-29 18:00:00
91,1651251600,0.3183,0.3239,0.3238,0.3209,258315.137812,82893.32772387081,2022-04-29 17:00:00
