,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,12.02,12.08,12.03,12.04,102.893764,1238.8409185599999,2022-05-03 12:00:00
1,1651575600,12.03,12.06,12.04,12.05,48.857458,588.7323689000001,2022-05-03 11:00:00
2,1651572000,12.02,12.09,12.04,12.02,115.390762,1386.9969592399998,2022-05-03 10:00:00
3,1651568400,12.01,12.06,12.01,12.05,108.409751,1306.33749955,2022-05-03 09:00:00
4,1651564800,12.03,12.03,12.03,12.03,5.290732,63.64750596,2022-05-03 08:00:00
5,1651561200,12.01,12.03,12.03,12.01,4.890002,58.72892402,2022-05-03 07:00:00
6,1651557600,12.01,12.03,12.01,12.01,34.554696,415.00189896,2022-05-03 06:00:00
7,1651554000,11.99,12.02,11.99,12.01,223.590778,2685.32524378,2022-05-03 05:00:00
8,1651550400,11.99,12.03,11.99,12.02,6.409174,77.03827148,2022-05-03 04:00:00
9,1651546800,11.93,11.99,11.93,11.99,186.08764,2231.1908036,2022-05-03 03:00:00
10,1651543200,11.9,11.94,11.91,11.9,46.314374,551.1410506,2022-05-03 02:00:00
11,1651539600,11.87,11.95,11.89,11.91,41.439895,493.54914945,2022-05-03 01:00:00
12,1651536000,11.85,11.88,11.86,11.87,248.84108,2953.7436196,2022-05-03 00:00:00
13,1651532400,11.85,11.93,11.93,11.86,636.514046,7549.05658556,2022-05-02 23:00:00
14,1651528800,11.87,11.95,11.94,11.91,213.777528,2546.09035848,2022-05-02 22:00:00
15,1651525200,11.87,11.94,11.9,11.91,201.302314,2397.51055974,2022-05-02 21:00:00
16,1651521600,11.88,11.96,11.96,11.92,301.170354,3589.95061968,2022-05-02 20:00:00
17,1651518000,11.88,12.12,12.11,11.95,2060.106387,24618.271324649995,2022-05-02 19:00:00
18,1651514400,12.11,12.17,12.15,12.11,2625.140817,31790.45529387,2022-05-02 18:00:00
19,1651510800,12.11,12.16,12.12,12.12,413.116235,5006.9687682,2022-05-02 17:00:00
20,1651507200,12.11,12.23,12.18,12.12,512.618024,6212.93045088,2022-05-02 16:00:00
21,1651503600,12.17,12.26,12.22,12.18,370.441164,4511.97337752,2022-05-02 15:00:00
22,1651500000,12.18,12.38,12.25,12.23,968.633676,11846.38985748,2022-05-02 14:00:00
23,1651496400,12.11,12.34,12.11,12.25,488.587327,5985.19475575,2022-05-02 13:00:00
24,1651492800,12.11,12.12,12.12,12.12,37.126381,449.97173772,2022-05-02 12:00:00
25,1651489200,12.11,12.12,12.11,12.12,55.184699,668.83855188,2022-05-02 11:00:00
26,1651485600,12.11,12.13,12.11,12.12,141.950473,1720.4397327599997,2022-05-02 10:00:00
27,1651482000,12.11,12.15,12.12,12.11,615.114494,7449.03652234,2022-05-02 09:00:00
28,1651478400,12.11,12.21,12.21,12.12,369.779287,4481.72495844,2022-05-02 08:00:00
29,1651474800,12.18,12.23,12.2,12.2,33.246758,405.6104476,2022-05-02 07:00:00
30,1651471200,12.16,12.21,12.2,12.18,202.012109,2460.50748762,2022-05-02 06:00:00
31,1651467600,12.15,12.22,12.21,12.2,108.002694,1317.6328667999999,2022-05-02 05:00:00
32,1651464000,12.15,12.28,12.18,12.2,513.662168,6266.678449599999,2022-05-02 04:00:00
33,1651460400,12.12,12.2,12.16,12.18,341.950278,4164.95438604,2022-05-02 03:00:00
34,1651456800,12.11,12.19,12.15,12.16,253.962665,3088.1860063999998,2022-05-02 02:00:00
35,1651453200,12.11,12.24,12.21,12.13,145.975533,1770.6832152900004,2022-05-02 01:00:00
36,1651449600,12.14,12.35,12.21,12.22,954.838612,11668.12783864,2022-05-02 00:00:00
37,1651446000,12.11,12.47,12.15,12.21,2070.687189,25283.090577690004,2022-05-01 23:00:00
38,1651442400,12.11,12.3,12.26,12.13,788.540147,9564.991983110001,2022-05-01 22:00:00
39,1651438800,12.26,12.46,12.35,12.26,377.984157,4634.08576482,2022-05-01 21:00:00
40,1651435200,12.16,12.35,12.16,12.35,122.356373,1511.10120655,2022-05-01 20:00:00
41,1651431600,12.14,12.2,12.2,12.17,141.44085,1721.3351445,2022-05-01 19:00:00
42,1651428000,12.21,12.43,12.34,12.22,131.946982,1612.39212004,2022-05-01 18:00:00
43,1651424400,12.17,12.41,12.4,12.3,755.38005,9291.174615,2022-05-01 17:00:00
