,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.1867,0.1886,0.1879,0.1872,92960,17402.112,2022-05-03 12:00:00
1,1651575600,0.1861,0.1879,0.1863,0.1879,5604,1052.9916,2022-05-03 11:00:00
2,1651572000,0.1859,0.1872,0.1869,0.1863,31351,5840.6912999999995,2022-05-03 10:00:00
3,1651568400,0.1869,0.1881,0.1881,0.1869,15138,2829.2922000000003,2022-05-03 09:00:00
4,1651564800,0.1877,0.189,0.1887,0.1877,41299,7751.8223,2022-05-03 08:00:00
5,1651561200,0.1879,0.1888,0.1886,0.1888,10525,1987.12,2022-05-03 07:00:00
6,1651557600,0.1879,0.1889,0.1881,0.1887,8218,1550.7366,2022-05-03 06:00:00
7,1651554000,0.1874,0.1889,0.1889,0.1886,47051,8873.818599999999,2022-05-03 05:00:00
8,1651550400,0.1881,0.1889,0.1889,0.1889,33001,6233.888900000001,2022-05-03 04:00:00
9,1651546800,0.1865,0.1892,0.1865,0.1886,122606,23123.491599999998,2022-05-03 03:00:00
10,1651543200,0.1861,0.1884,0.188,0.1872,79726,14924.7072,2022-05-03 02:00:00
11,1651539600,0.1849,0.1883,0.1855,0.188,100496,18893.248,2022-05-03 01:00:00
12,1651536000,0.1855,0.1888,0.1886,0.1857,66836,12411.4452,2022-05-03 00:00:00
13,1651532400,0.1882,0.1905,0.1896,0.1882,57688,10856.8816,2022-05-02 23:00:00
14,1651528800,0.189,0.1926,0.1895,0.19,165848,31511.12,2022-05-02 22:00:00
15,1651525200,0.1876,0.1899,0.1886,0.1899,95821,18196.407900000002,2022-05-02 21:00:00
16,1651521600,0.1872,0.1895,0.1878,0.1881,53662,10093.822199999999,2022-05-02 20:00:00
17,1651518000,0.184,0.1917,0.1842,0.188,271480,51038.24,2022-05-02 19:00:00
18,1651514400,0.1837,0.1866,0.1862,0.1842,116903,21533.5326,2022-05-02 18:00:00
19,1651510800,0.1861,0.1962,0.1909,0.1862,359414,66922.88680000001,2022-05-02 17:00:00
20,1651507200,0.1895,0.1968,0.1911,0.1909,587592,112171.31279999999,2022-05-02 16:00:00
21,1651503600,0.1887,0.1943,0.1893,0.1911,288981,55224.2691,2022-05-02 15:00:00
22,1651500000,0.1879,0.1926,0.1908,0.1893,174124,32961.6732,2022-05-02 14:00:00
23,1651496400,0.1832,0.1939,0.1872,0.1911,471687,90139.3857,2022-05-02 13:00:00
24,1651492800,0.1864,0.1884,0.1876,0.1867,16886,3152.6162,2022-05-02 12:00:00
25,1651489200,0.1867,0.1891,0.189,0.1873,93606,17532.4038,2022-05-02 11:00:00
26,1651485600,0.189,0.1909,0.1909,0.1893,36694,6946.1741999999995,2022-05-02 10:00:00
27,1651482000,0.1887,0.1926,0.1887,0.1906,136326,25983.7356,2022-05-02 09:00:00
28,1651478400,0.1876,0.1902,0.1881,0.1885,272193,51308.3805,2022-05-02 08:00:00
