,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,10.47,11.22,10.61,11.22,941.11,10559.254200000001,2022-05-03 12:00:00
1,1651575600,10.45,10.65,10.46,10.62,48.666,516.83292,2022-05-03 11:00:00
2,1651572000,10.37,10.68,10.37,10.45,53.061,554.48745,2022-05-03 10:00:00
3,1651568400,10.37,10.43,10.39,10.37,0.633,6.564209999999999,2022-05-03 09:00:00
4,1651564800,10.37,10.42,10.39,10.37,3.331,34.542469999999994,2022-05-03 08:00:00
5,1651561200,10.32,10.46,10.39,10.46,21.151,221.23946,2022-05-03 07:00:00
6,1651557600,10.32,10.47,10.43,10.43,2.9,30.247,2022-05-03 06:00:00
7,1651554000,10.3,10.51,10.43,10.41,27.482,286.08762,2022-05-03 05:00:00
8,1651550400,10.32,10.57,10.57,10.41,307.759,3203.7711900000004,2022-05-03 04:00:00
9,1651546800,10.3,10.99,10.94,10.59,1584.657,16781.51763,2022-05-03 03:00:00
10,1651543200,9.98,11.07,10.26,10.95,2309.963,25294.09485,2022-05-03 02:00:00
11,1651539600,10.12,10.34,10.3,10.21,226.959,2317.2513900000004,2022-05-03 01:00:00
12,1651536000,10.18,10.6,10.51,10.29,195.756,2014.3292399999998,2022-05-03 00:00:00
13,1651532400,10.35,10.54,10.46,10.51,9.888,103.92287999999999,2022-05-02 23:00:00
14,1651528800,10.29,10.57,10.48,10.34,174.122,1800.4214800000002,2022-05-02 22:00:00
15,1651525200,10.24,10.69,10.67,10.46,379.642,3971.0553200000004,2022-05-02 21:00:00
16,1651521600,10.53,10.68,10.53,10.64,41.381,440.29384000000005,2022-05-02 20:00:00
17,1651518000,10.45,10.75,10.45,10.54,35.5,374.16999999999996,2022-05-02 19:00:00
18,1651514400,10.25,10.68,10.32,10.45,480.041,5016.428449999999,2022-05-02 18:00:00
19,1651510800,10.26,10.74,10.67,10.38,409.518,4250.79684,2022-05-02 17:00:00
20,1651507200,10.46,10.84,10.84,10.59,800.108,8473.14372,2022-05-02 16:00:00
21,1651503600,10.74,10.96,10.83,10.74,35.144,377.44656,2022-05-02 15:00:00
22,1651500000,10.63,10.84,10.74,10.81,331.607,3584.6716700000006,2022-05-02 14:00:00
23,1651496400,10.63,11.16,10.9,10.8,1791.255,19345.554000000004,2022-05-02 13:00:00
24,1651492800,10.76,10.97,10.77,10.96,68.307,748.6447200000001,2022-05-02 12:00:00
25,1651489200,10.66,10.99,10.98,10.79,968.096,10445.75584,2022-05-02 11:00:00
26,1651485600,10.95,10.99,10.95,10.95,13.745,150.50775,2022-05-02 10:00:00
27,1651482000,10.95,10.99,10.98,10.95,53.857,589.73415,2022-05-02 09:00:00
28,1651478400,10.95,10.98,10.95,10.98,0.942,10.34316,2022-05-02 08:00:00
29,1651474800,10.94,10.99,10.99,10.95,174.036,1905.6942,2022-05-02 07:00:00
30,1651471200,10.94,10.99,10.99,10.98,622.277,6832.601460000001,2022-05-02 06:00:00
31,1651467600,10.94,10.99,10.99,10.99,439.36,4828.566400000001,2022-05-02 05:00:00
32,1651464000,10.95,10.99,10.96,10.99,51.666,567.80934,2022-05-02 04:00:00
33,1651460400,10.94,10.99,10.99,10.95,4.821,52.78994999999999,2022-05-02 03:00:00
34,1651456800,10.69,11.09,11.09,10.99,611.749,6723.12151,2022-05-02 02:00:00
35,1651453200,10.8,11.47,10.8,11.0,1378.104,15159.144,2022-05-02 01:00:00
36,1651449600,10.69,10.94,10.74,10.76,20.597,221.62372000000002,2022-05-02 00:00:00
37,1651446000,10.55,10.75,10.72,10.75,117.697,1265.2427500000001,2022-05-01 23:00:00
38,1651442400,10.54,10.71,10.67,10.65,345.865,3683.46225,2022-05-01 22:00:00
39,1651438800,10.5,10.67,10.67,10.66,41.808,445.67328,2022-05-01 21:00:00
40,1651435200,10.56,10.68,10.56,10.67,77.413,825.99671,2022-05-01 20:00:00
41,1651431600,10.32,11.06,11.06,10.55,1179.647,12445.27585,2022-05-01 19:00:00
42,1651428000,10.85,11.13,10.97,11.01,458.444,5047.46844,2022-05-01 18:00:00
43,1651424400,10.97,11.04,11.04,11.02,56.761,625.50622,2022-05-01 17:00:00
44,1651420800,10.97,11.04,11.02,11.04,96.825,1068.9479999999999,2022-05-01 16:00:00
45,1651417200,10.76,11.47,11.47,11.03,1660.873,18319.42919,2022-05-01 15:00:00
46,1651413600,11.33,11.5,11.45,11.48,7.225,82.943,2022-05-01 14:00:00
47,1651410000,11.32,11.49,11.34,11.32,12.535,141.8962,2022-05-01 13:00:00
