,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,1.54,1.57,1.57,1.55,7475.51,11587.040500000001,2022-05-03 12:00:00
1,1651575600,1.53,1.57,1.53,1.56,22864.49,35668.604400000004,2022-05-03 11:00:00
2,1651572000,1.53,1.54,1.54,1.53,7348.12,11242.6236,2022-05-03 10:00:00
3,1651568400,1.55,1.56,1.55,1.55,9198.73,14258.0315,2022-05-03 09:00:00
4,1651564800,1.55,1.57,1.56,1.56,9780.51,15257.5956,2022-05-03 08:00:00
5,1651561200,1.55,1.56,1.55,1.56,13953.89,21768.0684,2022-05-03 07:00:00
6,1651557600,1.54,1.56,1.55,1.56,17731.05,27660.438,2022-05-03 06:00:00
7,1651554000,1.54,1.55,1.54,1.55,16082.65,24928.107500000002,2022-05-03 05:00:00
8,1651550400,1.53,1.55,1.54,1.55,9880.84,15315.302000000001,2022-05-03 04:00:00
9,1651546800,1.53,1.54,1.53,1.54,4684.91,7214.7614,2022-05-03 03:00:00
10,1651543200,1.51,1.54,1.53,1.53,9453.19,14463.380700000002,2022-05-03 02:00:00
11,1651539600,1.5,1.53,1.51,1.53,12698.65,19428.9345,2022-05-03 01:00:00
12,1651536000,1.49,1.52,1.51,1.51,14212.27,21460.527700000002,2022-05-03 00:00:00
13,1651532400,1.51,1.53,1.51,1.52,34295.32,52128.8864,2022-05-02 23:00:00
14,1651528800,1.5,1.53,1.52,1.51,10618.07,16033.2857,2022-05-02 22:00:00
15,1651525200,1.48,1.53,1.49,1.52,8767.53,13326.645600000002,2022-05-02 21:00:00
16,1651521600,1.48,1.51,1.5,1.48,7321.88,10836.3824,2022-05-02 20:00:00
17,1651518000,1.47,1.51,1.47,1.5,22536.31,33804.465000000004,2022-05-02 19:00:00
18,1651514400,1.45,1.48,1.46,1.47,40836.14,60029.1258,2022-05-02 18:00:00
19,1651510800,1.45,1.5,1.49,1.46,39490.14,57655.6044,2022-05-02 17:00:00
20,1651507200,1.49,1.52,1.52,1.49,25831.2,38488.488,2022-05-02 16:00:00
21,1651503600,1.51,1.54,1.52,1.52,22143.3,33657.816,2022-05-02 15:00:00
22,1651500000,1.5,1.54,1.52,1.53,54578.05,83504.4165,2022-05-02 14:00:00
23,1651496400,1.48,1.53,1.49,1.52,72000.6,109440.91200000001,2022-05-02 13:00:00
24,1651492800,1.48,1.51,1.49,1.49,8811.99,13129.865099999999,2022-05-02 12:00:00
25,1651489200,1.48,1.5,1.5,1.48,19808.52,29316.6096,2022-05-02 11:00:00
26,1651485600,1.49,1.51,1.5,1.5,19163.42,28745.129999999997,2022-05-02 10:00:00
27,1651482000,1.51,1.54,1.53,1.51,10211.98,15420.0898,2022-05-02 09:00:00
28,1651478400,1.52,1.56,1.55,1.52,27361.36,41589.2672,2022-05-02 08:00:00
29,1651474800,1.55,1.57,1.57,1.55,10494.93,16267.141500000002,2022-05-02 07:00:00
30,1651471200,1.56,1.59,1.58,1.56,11839.53,18469.666800000003,2022-05-02 06:00:00
31,1651467600,1.56,1.58,1.57,1.58,7727.43,12209.3394,2022-05-02 05:00:00
32,1651464000,1.54,1.58,1.56,1.57,15443.01,24245.525700000002,2022-05-02 04:00:00
33,1651460400,1.54,1.56,1.55,1.55,11451.91,17750.4605,2022-05-02 03:00:00
34,1651456800,1.54,1.56,1.55,1.55,14854.98,23025.219,2022-05-02 02:00:00
35,1651453200,1.55,1.58,1.57,1.55,18916.74,29320.947000000004,2022-05-02 01:00:00
36,1651449600,1.53,1.58,1.54,1.57,18686.52,29337.8364,2022-05-02 00:00:00
37,1651446000,1.51,1.55,1.51,1.54,6313.47,9722.7438,2022-05-01 23:00:00
38,1651442400,1.51,1.54,1.52,1.52,5513.91,8381.1432,2022-05-01 22:00:00
39,1651438800,1.5,1.54,1.53,1.51,8425.7,12722.807,2022-05-01 21:00:00
40,1651435200,1.5,1.54,1.52,1.54,7199.99,11087.9846,2022-05-01 20:00:00
41,1651431600,1.5,1.53,1.52,1.52,18513.68,28140.7936,2022-05-01 19:00:00
42,1651428000,1.51,1.58,1.58,1.51,69312.67,104662.1317,2022-05-01 18:00:00
43,1651424400,1.57,1.6,1.59,1.58,25482.84,40262.887200000005,2022-05-01 17:00:00
44,1651420800,1.56,1.62,1.56,1.59,76102.61,121003.1499,2022-05-01 16:00:00
45,1651417200,1.51,1.58,1.52,1.56,47917.37,74751.0972,2022-05-01 15:00:00
46,1651413600,1.51,1.52,1.52,1.52,42337.79,64353.440800000004,2022-05-01 14:00:00
47,1651410000,1.51,1.53,1.52,1.52,23988.0,36461.76,2022-05-01 13:00:00
48,1651406400,1.49,1.53,1.51,1.52,27663.86,42049.067200000005,2022-05-01 12:00:00
49,1651402800,1.51,1.54,1.52,1.52,26289.32,39959.7664,2022-05-01 11:00:00
50,1651399200,1.53,1.54,1.54,1.53,31219.66,47766.0798,2022-05-01 10:00:00
51,1651395600,1.52,1.56,1.55,1.53,31938.33,48865.64490000001,2022-05-01 09:00:00
52,1651392000,1.53,1.56,1.53,1.54,25932.93,39936.7122,2022-05-01 08:00:00
53,1651388400,1.52,1.54,1.52,1.52,20737.32,31520.7264,2022-05-01 07:00:00
54,1651384800,1.52,1.56,1.53,1.52,16764.5,25482.04,2022-05-01 06:00:00
55,1651381200,1.48,1.53,1.48,1.53,45868.71,70179.1263,2022-05-01 05:00:00
56,1651377600,1.47,1.49,1.49,1.49,18649.92,27788.3808,2022-05-01 04:00:00
57,1651374000,1.48,1.5,1.48,1.49,29356.29,43740.8721,2022-05-01 03:00:00
58,1651370400,1.47,1.5,1.49,1.48,39558.65,58546.802,2022-05-01 02:00:00
59,1651366800,1.44,1.49,1.47,1.48,45793.5,67774.38,2022-05-01 01:00:00
60,1651363200,1.45,1.49,1.47,1.47,54136.47,79580.6109,2022-05-01 00:00:00
61,1651359600,1.39,1.53,1.53,1.47,161380.06,237228.6882,2022-04-30 23:00:00
62,1651356000,1.52,1.55,1.55,1.52,42030.51,63886.3752,2022-04-30 22:00:00
63,1651352400,1.54,1.57,1.56,1.54,13240.6,20390.524,2022-04-30 21:00:00
64,1651348800,1.56,1.57,1.56,1.56,22662.43,35353.3908,2022-04-30 20:00:00
65,1651345200,1.54,1.57,1.55,1.56,16871.74,26319.914400000005,2022-04-30 19:00:00
66,1651341600,1.54,1.56,1.55,1.55,18422.42,28554.750999999997,2022-04-30 18:00:00
67,1651338000,1.54,1.59,1.58,1.55,34315.83,53189.5365,2022-04-30 17:00:00
68,1651334400,1.59,1.62,1.61,1.59,13921.84,22135.7256,2022-04-30 16:00:00
69,1651330800,1.59,1.62,1.6,1.61,28148.3,45318.763,2022-04-30 15:00:00
70,1651327200,1.6,1.65,1.64,1.6,31436.07,50297.712,2022-04-30 14:00:00
71,1651323600,1.64,1.67,1.66,1.65,12866.08,21229.032,2022-04-30 13:00:00
72,1651320000,1.66,1.68,1.68,1.66,5608.41,9309.960599999999,2022-04-30 12:00:00
73,1651316400,1.66,1.69,1.66,1.68,13121.85,22044.708,2022-04-30 11:00:00
74,1651312800,1.65,1.68,1.66,1.66,8822.18,14644.8188,2022-04-30 10:00:00
75,1651309200,1.64,1.67,1.64,1.66,13673.05,22697.263,2022-04-30 09:00:00
76,1651305600,1.63,1.66,1.65,1.65,15840.38,26136.626999999997,2022-04-30 08:00:00
77,1651302000,1.65,1.69,1.69,1.66,7752.31,12868.8346,2022-04-30 07:00:00
78,1651298400,1.67,1.69,1.68,1.69,3410.38,5763.5422,2022-04-30 06:00:00
79,1651294800,1.66,1.68,1.66,1.68,746.44,1254.0192,2022-04-30 05:00:00
80,1651291200,1.65,1.67,1.66,1.66,2714.65,4506.3189999999995,2022-04-30 04:00:00
81,1651287600,1.64,1.66,1.66,1.65,3373.73,5566.6545,2022-04-30 03:00:00
82,1651284000,1.66,1.68,1.68,1.66,7971.89,13233.3374,2022-04-30 02:00:00
83,1651280400,1.66,1.68,1.67,1.67,3067.49,5122.708299999999,2022-04-30 01:00:00
84,1651276800,1.64,1.67,1.65,1.67,13452.38,22465.474599999998,2022-04-30 00:00:00
85,1651273200,1.63,1.65,1.63,1.64,10975.66,18000.0824,2022-04-29 23:00:00
86,1651269600,1.62,1.64,1.63,1.64,7381.64,12105.8896,2022-04-29 22:00:00
87,1651266000,1.62,1.65,1.63,1.63,6284.47,10243.686099999999,2022-04-29 21:00:00
