,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.1388,0.1419,0.1402,0.1389,296437,41175.0993,2022-05-03 12:00:00
1,1651575600,0.1389,0.1429,0.1415,0.1402,301069,42209.873799999994,2022-05-03 11:00:00
2,1651572000,0.1404,0.1418,0.1416,0.1412,69976,9880.6112,2022-05-03 10:00:00
3,1651568400,0.1415,0.1426,0.1426,0.1415,68430,9682.845,2022-05-03 09:00:00
4,1651564800,0.1418,0.1432,0.1426,0.1427,106976,15265.475199999999,2022-05-03 08:00:00
5,1651561200,0.1423,0.1433,0.1429,0.1425,38716,5517.03,2022-05-03 07:00:00
6,1651557600,0.1425,0.143,0.1429,0.143,26571,3799.653,2022-05-03 06:00:00
7,1651554000,0.1411,0.145,0.144,0.1429,246272,35192.2688,2022-05-03 05:00:00
8,1651550400,0.1439,0.1447,0.1445,0.144,48155,6934.32,2022-05-03 04:00:00
9,1651546800,0.1443,0.1464,0.1457,0.1445,41085,5936.782499999999,2022-05-03 03:00:00
10,1651543200,0.1428,0.1478,0.1461,0.1457,259343,37786.2751,2022-05-03 02:00:00
11,1651539600,0.1443,0.15,0.1444,0.1459,382721,55838.9939,2022-05-03 01:00:00
12,1651536000,0.1435,0.1463,0.1449,0.1444,119057,17191.8308,2022-05-03 00:00:00
13,1651532400,0.1443,0.1476,0.1459,0.145,338829,49130.204999999994,2022-05-02 23:00:00
14,1651528800,0.1458,0.1481,0.147,0.1459,88574,12922.9466,2022-05-02 22:00:00
15,1651525200,0.1435,0.1491,0.1489,0.1474,608120,89636.888,2022-05-02 21:00:00
16,1651521600,0.1475,0.1503,0.1487,0.1489,247231,36812.6959,2022-05-02 20:00:00
17,1651518000,0.1455,0.1499,0.1455,0.1487,152303,22647.4561,2022-05-02 19:00:00
18,1651514400,0.1436,0.1467,0.1456,0.1455,263859,38391.4845,2022-05-02 18:00:00
19,1651510800,0.1436,0.1456,0.1449,0.1455,113523,16517.5965,2022-05-02 17:00:00
20,1651507200,0.144,0.1473,0.1472,0.1448,168922,24459.905600000002,2022-05-02 16:00:00
21,1651503600,0.1446,0.1472,0.147,0.1468,115531,16959.950800000002,2022-05-02 15:00:00
22,1651500000,0.1448,0.1493,0.146,0.147,293918,43205.945999999996,2022-05-02 14:00:00
23,1651496400,0.1416,0.1469,0.1424,0.1458,272232,39691.4256,2022-05-02 13:00:00
24,1651492800,0.1414,0.1428,0.1421,0.1424,54736,7794.4064,2022-05-02 12:00:00
25,1651489200,0.1414,0.1464,0.1464,0.1426,112825,16088.845000000001,2022-05-02 11:00:00
26,1651485600,0.1461,0.1498,0.1493,0.1464,77936,11409.8304,2022-05-02 10:00:00
27,1651482000,0.1382,0.1691,0.1389,0.1488,1473817,219303.96959999998,2022-05-02 09:00:00
28,1651478400,0.1385,0.1399,0.1395,0.1389,11506,1598.1834,2022-05-02 08:00:00
29,1651474800,0.1398,0.1406,0.1401,0.1398,8503,1188.7194000000002,2022-05-02 07:00:00
30,1651471200,0.1399,0.141,0.1408,0.1404,19835,2784.834,2022-05-02 06:00:00
31,1651467600,0.14,0.1408,0.1401,0.1404,22309,3132.1836,2022-05-02 05:00:00
32,1651464000,0.1394,0.141,0.1401,0.14,71762,10046.68,2022-05-02 04:00:00
33,1651460400,0.1399,0.1411,0.1402,0.1401,34808,4876.6008,2022-05-02 03:00:00
34,1651456800,0.1396,0.1405,0.1404,0.14,13980,1957.2000000000003,2022-05-02 02:00:00
35,1651453200,0.1401,0.1421,0.1406,0.1401,98246,13764.2646,2022-05-02 01:00:00
36,1651449600,0.1377,0.1446,0.1377,0.1406,352073,49501.4638,2022-05-02 00:00:00
37,1651446000,0.136,0.1377,0.1363,0.1376,95506,13141.6256,2022-05-01 23:00:00
38,1651442400,0.136,0.1375,0.1362,0.1365,19257,2628.5805,2022-05-01 22:00:00
39,1651438800,0.136,0.1379,0.1379,0.136,19938,2711.568,2022-05-01 21:00:00
40,1651435200,0.136,0.1378,0.136,0.1378,18692,2575.7576,2022-05-01 20:00:00
41,1651431600,0.134,0.1365,0.1365,0.136,106903,14538.808,2022-05-01 19:00:00
42,1651428000,0.1348,0.1383,0.138,0.1364,315087,42977.866799999996,2022-05-01 18:00:00
43,1651424400,0.1379,0.1395,0.1395,0.1379,69173,9538.956699999999,2022-05-01 17:00:00
44,1651420800,0.1392,0.1406,0.1399,0.1393,40978,5708.2354000000005,2022-05-01 16:00:00
45,1651417200,0.1346,0.1403,0.1376,0.1397,286885,40077.8345,2022-05-01 15:00:00
46,1651413600,0.1341,0.1403,0.1356,0.1378,650737,89671.5586,2022-05-01 14:00:00
47,1651410000,0.1353,0.1378,0.1376,0.1357,56787,7705.995899999999,2022-05-01 13:00:00
48,1651406400,0.1354,0.1384,0.1384,0.1376,384194,52865.0944,2022-05-01 12:00:00
49,1651402800,0.1376,0.1398,0.1395,0.1385,124229,17205.716500000002,2022-05-01 11:00:00
50,1651399200,0.1392,0.1403,0.14,0.1397,50302,7027.189399999999,2022-05-01 10:00:00
51,1651395600,0.1393,0.141,0.141,0.1398,74046,10351.6308,2022-05-01 09:00:00
52,1651392000,0.1405,0.1425,0.1425,0.141,97666,13770.905999999999,2022-05-01 08:00:00
53,1651388400,0.1413,0.1434,0.1434,0.1426,108590,15484.934000000001,2022-05-01 07:00:00
54,1651384800,0.1361,0.1545,0.1361,0.1432,1231810,176395.19199999998,2022-05-01 06:00:00
55,1651381200,0.1352,0.1368,0.1354,0.1362,10053,1369.2186,2022-05-01 05:00:00
56,1651377600,0.1354,0.1376,0.137,0.1354,29646,4014.0683999999997,2022-05-01 04:00:00
57,1651374000,0.1347,0.1376,0.1348,0.1374,51924,7134.357599999999,2022-05-01 03:00:00
58,1651370400,0.1349,0.138,0.1377,0.135,70377,9500.895,2022-05-01 02:00:00
