,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,1.65,1.68,1.68,1.67,9537.19,15927.1073,2022-05-03 12:00:00
1,1651575600,1.62,1.69,1.62,1.69,35951.1,60757.359,2022-05-03 11:00:00
2,1651572000,1.62,1.64,1.64,1.62,8504.18,13776.771600000002,2022-05-03 10:00:00
3,1651568400,1.63,1.68,1.67,1.63,16169.66,26356.545799999996,2022-05-03 09:00:00
4,1651564800,1.66,1.7,1.7,1.67,8564.42,14302.5814,2022-05-03 08:00:00
5,1651561200,1.69,1.73,1.72,1.69,4879.27,8245.9663,2022-05-03 07:00:00
6,1651557600,1.72,1.75,1.74,1.73,14984.29,25922.8217,2022-05-03 06:00:00
7,1651554000,1.72,1.76,1.76,1.74,16249.17,28273.5558,2022-05-03 05:00:00
8,1651550400,1.69,1.77,1.69,1.76,20023.88,35242.0288,2022-05-03 04:00:00
9,1651546800,1.68,1.75,1.75,1.7,66058.92,112300.16399999999,2022-05-03 03:00:00
10,1651543200,1.7,1.77,1.71,1.74,129803.15,225857.481,2022-05-03 02:00:00
11,1651539600,1.67,1.74,1.67,1.71,22000.43,37620.7353,2022-05-03 01:00:00
12,1651536000,1.66,1.71,1.7,1.68,15211.39,25555.135199999997,2022-05-03 00:00:00
13,1651532400,1.67,1.75,1.68,1.71,34409.41,58840.091100000005,2022-05-02 23:00:00
14,1651528800,1.62,1.69,1.66,1.69,47766.79,80725.8751,2022-05-02 22:00:00
15,1651525200,1.58,1.67,1.58,1.66,29918.23,49664.2618,2022-05-02 21:00:00
16,1651521600,1.56,1.61,1.59,1.58,69141.48,109243.5384,2022-05-02 20:00:00
17,1651518000,1.55,1.59,1.55,1.58,22431.33,35441.5014,2022-05-02 19:00:00
18,1651514400,1.52,1.57,1.54,1.54,11508.92,17723.7368,2022-05-02 18:00:00
19,1651510800,1.53,1.61,1.6,1.55,40185.56,62287.617999999995,2022-05-02 17:00:00
20,1651507200,1.59,1.66,1.66,1.6,28326.9,45323.04000000001,2022-05-02 16:00:00
21,1651503600,1.63,1.68,1.63,1.65,134982.96,222721.88399999996,2022-05-02 15:00:00
22,1651500000,1.61,1.68,1.68,1.64,26073.51,42760.556399999994,2022-05-02 14:00:00
23,1651496400,1.56,1.69,1.57,1.66,84177.94,139735.3804,2022-05-02 13:00:00
24,1651492800,1.55,1.6,1.57,1.57,20446.63,32101.209100000004,2022-05-02 12:00:00
25,1651489200,1.55,1.65,1.64,1.57,30785.62,48333.4234,2022-05-02 11:00:00
26,1651485600,1.55,1.66,1.56,1.63,38784.51,63218.751299999996,2022-05-02 10:00:00
27,1651482000,1.53,1.59,1.54,1.56,19583.15,30549.714000000004,2022-05-02 09:00:00
28,1651478400,1.52,1.56,1.54,1.54,24228.37,37311.6898,2022-05-02 08:00:00
29,1651474800,1.55,1.57,1.56,1.55,18033.01,27951.1655,2022-05-02 07:00:00
30,1651471200,1.54,1.58,1.57,1.56,45487.61,70960.6716,2022-05-02 06:00:00
31,1651467600,1.55,1.59,1.58,1.56,68424.95,106742.922,2022-05-02 05:00:00
32,1651464000,1.57,1.66,1.64,1.59,64519.85,102586.5615,2022-05-02 04:00:00
33,1651460400,1.6,1.67,1.62,1.63,63372.4,103297.012,2022-05-02 03:00:00
34,1651456800,1.58,1.65,1.59,1.61,95380.07,153561.91270000002,2022-05-02 02:00:00
35,1651453200,1.59,1.7,1.69,1.59,86424.39,137414.7801,2022-05-02 01:00:00
36,1651449600,1.6,1.91,1.6,1.69,483555.96,817209.5724000001,2022-05-02 00:00:00
37,1651446000,1.55,1.68,1.56,1.6,228283.76,365254.01600000006,2022-05-01 23:00:00
38,1651442400,1.47,1.57,1.52,1.55,51094.65,79196.7075,2022-05-01 22:00:00
39,1651438800,1.5,1.55,1.53,1.52,16782.38,25509.217600000004,2022-05-01 21:00:00
40,1651435200,1.48,1.53,1.48,1.53,28586.87,43737.9111,2022-05-01 20:00:00
41,1651431600,1.47,1.52,1.51,1.48,26533.73,39269.920399999995,2022-05-01 19:00:00
42,1651428000,1.48,1.56,1.56,1.51,34712.39,52415.7089,2022-05-01 18:00:00
43,1651424400,1.53,1.6,1.54,1.55,53554.14,83008.917,2022-05-01 17:00:00
44,1651420800,1.53,1.65,1.59,1.54,106022.66,163274.8964,2022-05-01 16:00:00
45,1651417200,1.47,1.6,1.51,1.59,61402.08,97629.30720000001,2022-05-01 15:00:00
46,1651413600,1.47,1.55,1.53,1.5,67554.21,101331.315,2022-05-01 14:00:00
47,1651410000,1.51,1.57,1.53,1.54,54473.51,83889.2054,2022-05-01 13:00:00
48,1651406400,1.48,1.57,1.5,1.54,94781.8,145963.972,2022-05-01 12:00:00
49,1651402800,1.48,1.53,1.52,1.5,28784.61,43176.915,2022-05-01 11:00:00
50,1651399200,1.49,1.58,1.56,1.52,34195.04,51976.4608,2022-05-01 10:00:00
51,1651395600,1.55,1.6,1.58,1.56,24892.37,38832.0972,2022-05-01 09:00:00
52,1651392000,1.53,1.65,1.63,1.59,65103.11,103513.9449,2022-05-01 08:00:00
53,1651388400,1.55,1.69,1.56,1.63,148004.69,241247.64469999998,2022-05-01 07:00:00
54,1651384800,1.56,1.79,1.66,1.56,611631.97,954145.8732,2022-05-01 06:00:00
55,1651381200,1.33,1.68,1.34,1.67,154281.83,257650.65609999996,2022-05-01 05:00:00
56,1651377600,1.31,1.36,1.36,1.33,15494.38,20607.5254,2022-05-01 04:00:00
57,1651374000,1.27,1.37,1.29,1.37,57305.38,78508.37060000001,2022-05-01 03:00:00
58,1651370400,1.27,1.3,1.28,1.28,39010.76,49933.772800000006,2022-05-01 02:00:00
59,1651366800,1.23,1.29,1.24,1.28,142800.55,182784.704,2022-05-01 01:00:00
60,1651363200,1.21,1.26,1.21,1.23,45317.53,55740.5619,2022-05-01 00:00:00
61,1651359600,1.2,1.25,1.25,1.21,45822.68,55445.4428,2022-04-30 23:00:00
62,1651356000,1.24,1.27,1.26,1.25,18093.73,22617.1625,2022-04-30 22:00:00
63,1651352400,1.25,1.27,1.26,1.25,8350.04,10437.550000000001,2022-04-30 21:00:00
64,1651348800,1.26,1.28,1.27,1.27,8510.51,10808.3477,2022-04-30 20:00:00
65,1651345200,1.26,1.28,1.28,1.27,13794.36,17518.8372,2022-04-30 19:00:00
66,1651341600,1.26,1.29,1.28,1.28,45246.28,57915.2384,2022-04-30 18:00:00
67,1651338000,1.27,1.31,1.31,1.28,46965.96,60116.4288,2022-04-30 17:00:00
68,1651334400,1.3,1.33,1.31,1.3,14905.93,19377.709000000003,2022-04-30 16:00:00
69,1651330800,1.3,1.33,1.31,1.32,17155.0,22644.600000000002,2022-04-30 15:00:00
70,1651327200,1.3,1.34,1.34,1.3,26669.52,34670.376000000004,2022-04-30 14:00:00
71,1651323600,1.33,1.37,1.35,1.34,9867.07,13221.873800000001,2022-04-30 13:00:00
72,1651320000,1.35,1.37,1.36,1.36,2076.32,2823.7952000000005,2022-04-30 12:00:00
73,1651316400,1.35,1.37,1.35,1.36,1944.44,2644.4384000000005,2022-04-30 11:00:00
74,1651312800,1.35,1.36,1.35,1.36,5641.32,7672.1952,2022-04-30 10:00:00
75,1651309200,1.34,1.36,1.34,1.35,2132.98,2879.523,2022-04-30 09:00:00
76,1651305600,1.34,1.38,1.37,1.35,18192.12,24559.362,2022-04-30 08:00:00
77,1651302000,1.37,1.39,1.38,1.37,11932.96,16348.1552,2022-04-30 07:00:00
78,1651298400,1.38,1.39,1.38,1.38,476.61,657.7217999999999,2022-04-30 06:00:00
79,1651294800,1.37,1.39,1.39,1.38,4994.15,6891.926999999999,2022-04-30 05:00:00
80,1651291200,1.37,1.39,1.39,1.39,7480.85,10398.3815,2022-04-30 04:00:00
81,1651287600,1.38,1.41,1.39,1.38,20036.65,27650.577,2022-04-30 03:00:00
82,1651284000,1.39,1.42,1.41,1.39,15600.05,21684.069499999998,2022-04-30 02:00:00
83,1651280400,1.41,1.43,1.41,1.41,7817.96,11023.3236,2022-04-30 01:00:00
84,1651276800,1.39,1.42,1.39,1.41,3988.02,5623.1082,2022-04-30 00:00:00
85,1651273200,1.38,1.41,1.39,1.39,8972.02,12471.1078,2022-04-29 23:00:00
86,1651269600,1.38,1.4,1.38,1.38,17694.93,24419.003399999998,2022-04-29 22:00:00
87,1651266000,1.37,1.39,1.38,1.39,6405.19,8903.2141,2022-04-29 21:00:00
88,1651262400,1.37,1.39,1.37,1.37,37703.99,51654.4663,2022-04-29 20:00:00
89,1651258800,1.37,1.41,1.4,1.38,49378.29,68142.0402,2022-04-29 19:00:00
90,1651255200,1.39,1.44,1.44,1.4,54973.35,76962.68999999999,2022-04-29 18:00:00
91,1651251600,1.39,1.45,1.4,1.44,34650.37,49896.5328,2022-04-29 17:00:00
92,1651248000,1.39,1.44,1.44,1.39,44737.09,62184.55509999999,2022-04-29 16:00:00
93,1651244400,1.43,1.45,1.44,1.43,5966.94,8532.724199999999,2022-04-29 15:00:00
94,1651240800,1.43,1.46,1.45,1.44,8186.66,11788.7904,2022-04-29 14:00:00
95,1651237200,1.43,1.46,1.44,1.45,22216.68,32214.185999999998,2022-04-29 13:00:00
0,1651233600,1.42,1.47,1.43,1.45,24349.96,35307.441999999995,2022-04-29 12:00:00
1,1651230000,1.42,1.46,1.45,1.43,7469.57,10681.4851,2022-04-29 11:00:00
2,1651226400,1.44,1.49,1.49,1.46,17469.7,25505.762,2022-04-29 10:00:00
3,1651222800,1.48,1.51,1.5,1.48,4329.88,6408.2224,2022-04-29 09:00:00
4,1651219200,1.5,1.53,1.53,1.5,4085.69,6128.535,2022-04-29 08:00:00
5,1651215600,1.51,1.53,1.51,1.52,1752.8,2664.256,2022-04-29 07:00:00
6,1651212000,1.5,1.53,1.51,1.52,9258.8,14073.375999999998,2022-04-29 06:00:00
7,1651208400,1.51,1.52,1.51,1.51,5117.71,7727.7421,2022-04-29 05:00:00
8,1651204800,1.5,1.52,1.52,1.51,14090.96,21277.349599999998,2022-04-29 04:00:00
9,1651201200,1.51,1.55,1.54,1.52,16871.02,25643.9504,2022-04-29 03:00:00
10,1651197600,1.54,1.58,1.57,1.54,11967.41,18429.8114,2022-04-29 02:00:00
11,1651194000,1.57,1.61,1.58,1.57,13430.02,21085.131400000002,2022-04-29 01:00:00
12,1651190400,1.56,1.59,1.57,1.57,8579.27,13469.4539,2022-04-29 00:00:00
13,1651186800,1.56,1.58,1.56,1.56,10058.41,15691.1196,2022-04-28 23:00:00
14,1651183200,1.55,1.57,1.55,1.56,20462.52,31921.5312,2022-04-28 22:00:00
15,1651179600,1.55,1.59,1.55,1.55,46511.27,72092.4685,2022-04-28 21:00:00
16,1651176000,1.53,1.57,1.55,1.55,11113.27,17225.5685,2022-04-28 20:00:00
17,1651172400,1.54,1.58,1.56,1.55,13264.81,20560.4555,2022-04-28 19:00:00
18,1651168800,1.56,1.61,1.58,1.56,30772.49,48005.08440000001,2022-04-28 18:00:00
