,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.1732,0.1765,0.1762,0.1733,840717.2,145696.29076,2022-05-03 12:00:00
1,1651575600,0.1725,0.1764,0.1732,0.1759,781335.6,137436.93203999999,2022-05-03 11:00:00
2,1651572000,0.1718,0.1743,0.1727,0.173,691054.0,119552.34199999999,2022-05-03 10:00:00
3,1651568400,0.1726,0.1746,0.174,0.1727,497631.1,85940.89097,2022-05-03 09:00:00
4,1651564800,0.1726,0.1759,0.1729,0.1741,570053.3,99246.27953000001,2022-05-03 08:00:00
5,1651561200,0.172,0.1734,0.1728,0.1727,664577.5,114772.53425,2022-05-03 07:00:00
6,1651557600,0.1724,0.174,0.1731,0.1729,508430.9,87907.70261000001,2022-05-03 06:00:00
7,1651554000,0.1715,0.1737,0.1719,0.1731,854326.6,147883.93446,2022-05-03 05:00:00
8,1651550400,0.1706,0.1722,0.171,0.172,462266.9,79509.9068,2022-05-03 04:00:00
9,1651546800,0.1696,0.1713,0.17,0.1709,605766.0,103525.4094,2022-05-03 03:00:00
10,1651543200,0.1688,0.1715,0.1708,0.17,597455.9,101567.50300000001,2022-05-03 02:00:00
11,1651539600,0.1682,0.171,0.1688,0.1709,370995.1,63403.062589999994,2022-05-03 01:00:00
12,1651536000,0.1683,0.1702,0.1702,0.1688,438810.8,74071.26304,2022-05-03 00:00:00
13,1651532400,0.1693,0.1715,0.1693,0.1702,1103198.1,187764.31662,2022-05-02 23:00:00
14,1651528800,0.1692,0.172,0.171,0.1694,515372.2,87304.05068,2022-05-02 22:00:00
15,1651525200,0.1674,0.1712,0.1675,0.171,586029.0,100210.959,2022-05-02 21:00:00
16,1651521600,0.1673,0.1699,0.1695,0.1673,609260.7,101929.31511,2022-05-02 20:00:00
17,1651518000,0.1658,0.1701,0.1661,0.1695,1090873.3,184903.02435000002,2022-05-02 19:00:00
18,1651514400,0.164,0.1669,0.1649,0.166,1252619.7,207934.8702,2022-05-02 18:00:00
19,1651510800,0.164,0.169,0.1686,0.1651,1838330.4,303508.34904,2022-05-02 17:00:00
20,1651507200,0.1682,0.1714,0.1697,0.1686,1281523.6,216064.87896,2022-05-02 16:00:00
21,1651503600,0.169,0.1726,0.1715,0.17,1570002.5,266900.42500000005,2022-05-02 15:00:00
22,1651500000,0.17,0.1739,0.1712,0.1713,2245892.4,384721.36812,2022-05-02 14:00:00
23,1651496400,0.1679,0.1725,0.1686,0.1715,3823020.2,655647.9643000001,2022-05-02 13:00:00
24,1651492800,0.1681,0.171,0.1683,0.1686,1317503.9,222131.15754,2022-05-02 12:00:00
25,1651489200,0.1675,0.1701,0.1695,0.1684,1313661.7,221220.63027999998,2022-05-02 11:00:00
26,1651485600,0.1684,0.1722,0.1715,0.1693,1267701.0,214621.7793,2022-05-02 10:00:00
27,1651482000,0.1712,0.174,0.1727,0.1715,782774.9,134245.89535,2022-05-02 09:00:00
28,1651478400,0.1723,0.1786,0.1772,0.1728,1551443.9,268089.50592,2022-05-02 08:00:00
29,1651474800,0.1766,0.1795,0.177,0.1773,774405.0,137302.00650000002,2022-05-02 07:00:00
30,1651471200,0.1769,0.1797,0.1787,0.177,316983.7,56106.1149,2022-05-02 06:00:00
31,1651467600,0.1765,0.1788,0.1783,0.1787,679150.4,121364.17648000001,2022-05-02 05:00:00
32,1651464000,0.1753,0.1787,0.1766,0.1783,764738.8,136352.92804,2022-05-02 04:00:00
33,1651460400,0.1756,0.1769,0.1761,0.1766,698538.6,123361.91676000001,2022-05-02 03:00:00
34,1651456800,0.1744,0.1772,0.1767,0.1761,1178660.6,207562.13166,2022-05-02 02:00:00
35,1651453200,0.1766,0.1801,0.1795,0.1768,779316.5,137783.15720000002,2022-05-02 01:00:00
36,1651449600,0.1776,0.1813,0.1776,0.179,1379600.5,246948.4895,2022-05-02 00:00:00
37,1651446000,0.1751,0.1788,0.1769,0.1778,1621776.9,288351.93282,2022-05-01 23:00:00
38,1651442400,0.1763,0.1791,0.1763,0.1768,1543825.4,272948.33072,2022-05-01 22:00:00
39,1651438800,0.1731,0.177,0.1769,0.1764,1059987.7,186981.83028,2022-05-01 21:00:00
40,1651435200,0.1722,0.1768,0.1739,0.1767,804039.9,142073.85033,2022-05-01 20:00:00
41,1651431600,0.1715,0.1762,0.1724,0.1739,585166.3,101760.41957000001,2022-05-01 19:00:00
42,1651428000,0.172,0.1771,0.1767,0.1725,559250.2,96470.65949999998,2022-05-01 18:00:00
43,1651424400,0.1768,0.1829,0.1806,0.177,1647802.5,291661.0425,2022-05-01 17:00:00
44,1651420800,0.1718,0.185,0.1734,0.1808,3788834.1,685021.20528,2022-05-01 16:00:00
45,1651417200,0.1661,0.1739,0.1661,0.1731,759684.4,131501.36964000002,2022-05-01 15:00:00
46,1651413600,0.1647,0.1667,0.1648,0.166,249271.4,41379.0524,2022-05-01 14:00:00
47,1651410000,0.1645,0.1661,0.1653,0.1649,388116.0,64000.3284,2022-05-01 13:00:00
48,1651406400,0.1635,0.1663,0.1655,0.1654,980797.4,162223.88996,2022-05-01 12:00:00
49,1651402800,0.1654,0.1698,0.1693,0.1656,792658.8,131264.29728,2022-05-01 11:00:00
50,1651399200,0.1668,0.1696,0.1678,0.1693,349991.3,59253.52709,2022-05-01 10:00:00
51,1651395600,0.1667,0.17,0.1684,0.1675,1042463.0,174612.55250000002,2022-05-01 09:00:00
52,1651392000,0.1644,0.1686,0.1646,0.1686,231218.4,38983.42224,2022-05-01 08:00:00
53,1651388400,0.164,0.1663,0.1661,0.1645,341314.5,56146.235250000005,2022-05-01 07:00:00
54,1651384800,0.1658,0.1679,0.1663,0.1661,513134.7,85231.67367,2022-05-01 06:00:00
55,1651381200,0.1628,0.1666,0.163,0.1664,478212.1,79574.49343999999,2022-05-01 05:00:00
56,1651377600,0.1623,0.1656,0.1649,0.1632,819062.2,133670.95104,2022-05-01 04:00:00
57,1651374000,0.1632,0.1656,0.1635,0.165,790581.1,130445.8815,2022-05-01 03:00:00
58,1651370400,0.163,0.1666,0.1652,0.1633,873611.1,142660.69263,2022-05-01 02:00:00
59,1651366800,0.1596,0.1663,0.1631,0.1654,1572800.5,260141.2027,2022-05-01 01:00:00
60,1651363200,0.1623,0.1689,0.1666,0.1636,741605.2,121326.61071999998,2022-05-01 00:00:00
61,1651359600,0.154,0.1771,0.1762,0.1666,3315888.1,552426.9574600001,2022-04-30 23:00:00
62,1651356000,0.1723,0.1802,0.1801,0.1764,1344250.9,237125.85875999997,2022-04-30 22:00:00
63,1651352400,0.1797,0.1843,0.1837,0.1802,934518.4,168400.21568,2022-04-30 21:00:00
64,1651348800,0.1833,0.1851,0.1845,0.1838,579501.3,106512.33894,2022-04-30 20:00:00
65,1651345200,0.1823,0.1851,0.1831,0.1843,503266.3,92751.97909,2022-04-30 19:00:00
66,1651341600,0.1818,0.1839,0.1825,0.1831,1065759.7,195140.60107,2022-04-30 18:00:00
67,1651338000,0.1819,0.1852,0.184,0.1824,687346.5,125372.0016,2022-04-30 17:00:00
68,1651334400,0.184,0.1873,0.1865,0.184,879057.2,161746.52479999998,2022-04-30 16:00:00
69,1651330800,0.1823,0.1875,0.1825,0.1865,1190923.2,222107.1768,2022-04-30 15:00:00
70,1651327200,0.1821,0.1887,0.1882,0.1825,1513669.6,276244.702,2022-04-30 14:00:00
