,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.1483,0.1517,0.15,0.1494,929770.3,138907.68282000002,2022-05-03 12:00:00
1,1651575600,0.1442,0.1509,0.1447,0.1498,1039486.6,155715.09267999997,2022-05-03 11:00:00
2,1651572000,0.1438,0.1495,0.1489,0.1448,1473310.0,213335.28800000003,2022-05-03 10:00:00
3,1651568400,0.1485,0.1522,0.1511,0.149,499593.2,74439.3868,2022-05-03 09:00:00
4,1651564800,0.1499,0.1523,0.1507,0.1512,393803.3,59543.05896,2022-05-03 08:00:00
5,1651561200,0.1482,0.1513,0.1493,0.1508,559920.4,84435.99631999999,2022-05-03 07:00:00
6,1651557600,0.1476,0.1505,0.1497,0.1495,255829.3,38246.48035,2022-05-03 06:00:00
7,1651554000,0.147,0.1499,0.1487,0.1497,554001.0,82933.9497,2022-05-03 05:00:00
8,1651550400,0.1464,0.1488,0.1472,0.1483,262543.1,38935.141729999996,2022-05-03 04:00:00
9,1651546800,0.146,0.1478,0.146,0.1473,659686.7,97171.85090999998,2022-05-03 03:00:00
10,1651543200,0.1452,0.1469,0.146,0.146,373914.3,54591.487799999995,2022-05-03 02:00:00
11,1651539600,0.1432,0.146,0.1436,0.146,246416.7,35976.8382,2022-05-03 01:00:00
12,1651536000,0.1422,0.1446,0.1445,0.1437,481483.3,69189.15020999999,2022-05-03 00:00:00
13,1651532400,0.1443,0.1462,0.1449,0.1446,584402.2,84504.55812,2022-05-02 23:00:00
14,1651528800,0.1446,0.148,0.1467,0.1448,1075011.2,155661.62176,2022-05-02 22:00:00
15,1651525200,0.1414,0.1467,0.1418,0.1467,735957.8,107965.00926,2022-05-02 21:00:00
16,1651521600,0.1417,0.1448,0.1446,0.142,2087972.0,296492.024,2022-05-02 20:00:00
17,1651518000,0.1419,0.1448,0.142,0.1445,1227469.6,177369.3572,2022-05-02 19:00:00
18,1651514400,0.1397,0.1429,0.1412,0.1422,1350325.4,192016.27188,2022-05-02 18:00:00
19,1651510800,0.1396,0.1439,0.1439,0.1415,2107953.8,298275.4627,2022-05-02 17:00:00
20,1651507200,0.1438,0.1463,0.1461,0.1439,1204489.4,173326.02466,2022-05-02 16:00:00
21,1651503600,0.1456,0.149,0.1474,0.1462,1104685.1,161504.96162000002,2022-05-02 15:00:00
22,1651500000,0.1469,0.1496,0.1482,0.1475,1225321.1,180734.86225,2022-05-02 14:00:00
23,1651496400,0.1424,0.1494,0.1433,0.1482,1335352.6,197899.25532000003,2022-05-02 13:00:00
24,1651492800,0.1424,0.1455,0.1428,0.1432,692343.1,99143.53192,2022-05-02 12:00:00
25,1651489200,0.1426,0.1458,0.1456,0.143,1679610.6,240184.31579999998,2022-05-02 11:00:00
26,1651485600,0.1451,0.1472,0.1464,0.1457,425659.9,62018.647430000005,2022-05-02 10:00:00
27,1651482000,0.1464,0.1494,0.1481,0.1464,560557.6,82065.63264,2022-05-02 09:00:00
28,1651478400,0.1476,0.1506,0.1503,0.1481,357461.4,52940.03334000001,2022-05-02 08:00:00
29,1651474800,0.15,0.1517,0.1512,0.1504,127997.3,19250.79392,2022-05-02 07:00:00
30,1651471200,0.1504,0.1542,0.153,0.1508,738213.0,111322.5204,2022-05-02 06:00:00
31,1651467600,0.1512,0.1531,0.1528,0.153,132392.7,20256.0831,2022-05-02 05:00:00
32,1651464000,0.1505,0.1532,0.1508,0.1526,530171.9,80904.23194000001,2022-05-02 04:00:00
33,1651460400,0.15,0.1518,0.1503,0.1506,383397.2,57739.61832000001,2022-05-02 03:00:00
