,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,4.851,4.921,4.899,4.855,42342.12,205570.99260000003,2022-05-03 12:00:00
1,1651575600,4.781,4.964,4.788,4.901,43901.112,215159.349912,2022-05-03 11:00:00
2,1651572000,4.789,4.84,4.836,4.794,25196.314,120791.12931599998,2022-05-03 10:00:00
3,1651568400,4.819,4.883,4.867,4.832,20270.641,97947.737312,2022-05-03 09:00:00
4,1651564800,4.847,4.912,4.905,4.86,15534.16,75496.0176,2022-05-03 08:00:00
5,1651561200,4.841,4.923,4.878,4.905,15058.698,73862.91369,2022-05-03 07:00:00
6,1651557600,4.833,4.943,4.85,4.874,25246.292,123050.427208,2022-05-03 06:00:00
7,1651554000,4.777,4.866,4.843,4.847,26789.373,129848.09093100001,2022-05-03 05:00:00
8,1651550400,4.682,4.862,4.688,4.838,57514.955,278257.35229,2022-05-03 04:00:00
9,1651546800,4.678,4.749,4.711,4.687,114237.164,535429.587668,2022-05-03 03:00:00
10,1651543200,4.689,4.777,4.77,4.713,70786.208,333615.398304,2022-05-03 02:00:00
11,1651539600,4.628,4.823,4.643,4.772,54011.838,257744.49093600002,2022-05-03 01:00:00
12,1651536000,4.617,4.715,4.715,4.643,31933.132,148265.531876,2022-05-03 00:00:00
13,1651532400,4.713,4.776,4.716,4.722,15776.003,74494.286166,2022-05-02 23:00:00
14,1651528800,4.702,4.782,4.738,4.713,48135.189,226861.145757,2022-05-02 22:00:00
15,1651525200,4.581,4.739,4.623,4.737,51525.606,244076.795622,2022-05-02 21:00:00
16,1651521600,4.593,4.684,4.607,4.615,152886.86,705572.8589,2022-05-02 20:00:00
17,1651518000,4.432,4.618,4.445,4.614,39366.266,181635.95132400002,2022-05-02 19:00:00
18,1651514400,4.403,4.482,4.437,4.448,64273.357,285887.891936,2022-05-02 18:00:00
19,1651510800,4.384,4.516,4.516,4.443,114381.204,508195.68937199994,2022-05-02 17:00:00
20,1651507200,4.514,4.594,4.587,4.523,15871.56,71787.06588,2022-05-02 16:00:00
21,1651503600,4.563,4.636,4.609,4.587,28615.075,131257.349025,2022-05-02 15:00:00
22,1651500000,4.543,4.636,4.583,4.609,42685.934,196739.469806,2022-05-02 14:00:00
23,1651496400,4.476,4.619,4.545,4.596,93799.657,431103.22357200005,2022-05-02 13:00:00
24,1651492800,4.472,4.6,4.475,4.534,82078.557,372144.177438,2022-05-02 12:00:00
25,1651489200,4.466,4.59,4.578,4.482,40050.956,179508.384792,2022-05-02 11:00:00
26,1651485600,4.562,4.802,4.778,4.578,106327.738,486768.384564,2022-05-02 10:00:00
27,1651482000,4.702,4.796,4.719,4.779,44302.291,211720.648689,2022-05-02 09:00:00
28,1651478400,4.705,4.84,4.817,4.716,29512.11,139179.11076,2022-05-02 08:00:00
29,1651474800,4.797,4.882,4.802,4.818,27617.062,133059.004716,2022-05-02 07:00:00
30,1651471200,4.795,4.872,4.856,4.8,22264.934,106871.6832,2022-05-02 06:00:00
31,1651467600,4.751,4.896,4.779,4.857,40826.236,198293.028252,2022-05-02 05:00:00
32,1651464000,4.689,4.785,4.711,4.779,28028.978,133950.485862,2022-05-02 04:00:00
33,1651460400,4.699,4.728,4.712,4.702,7708.42,36244.99084,2022-05-02 03:00:00
34,1651456800,4.663,4.72,4.704,4.709,42939.557,202202.373913,2022-05-02 02:00:00
35,1651453200,4.691,4.788,4.788,4.711,15216.742,71686.07156200001,2022-05-02 01:00:00
36,1651449600,4.767,4.825,4.823,4.792,15526.674,74403.82180800001,2022-05-02 00:00:00
37,1651446000,4.676,4.843,4.69,4.822,71735.69,345909.49718,2022-05-01 23:00:00
38,1651442400,4.687,4.762,4.705,4.696,43569.845,204603.99211999998,2022-05-01 22:00:00
39,1651438800,4.614,4.713,4.668,4.708,42838.473,201683.530884,2022-05-01 21:00:00
40,1651435200,4.586,4.675,4.669,4.661,37933.766,176809.283326,2022-05-01 20:00:00
41,1651431600,4.615,4.712,4.646,4.665,39574.719,184616.064135,2022-05-01 19:00:00
42,1651428000,4.642,4.786,4.785,4.646,95709.721,444667.363766,2022-05-01 18:00:00
43,1651424400,4.758,4.91,4.763,4.784,109887.546,525702.020064,2022-05-01 17:00:00
44,1651420800,4.706,4.775,4.72,4.762,37902.408,180491.266896,2022-05-01 16:00:00
45,1651417200,4.619,4.755,4.619,4.717,46581.947,219727.043999,2022-05-01 15:00:00
46,1651413600,4.592,4.654,4.608,4.621,30711.216,141916.52913600003,2022-05-01 14:00:00
47,1651410000,4.551,4.634,4.569,4.61,43433.922,200230.38042,2022-05-01 13:00:00
48,1651406400,4.471,4.57,4.535,4.567,26399.07,120564.55269,2022-05-01 12:00:00
49,1651402800,4.506,4.56,4.556,4.52,25401.894,114816.56087999999,2022-05-01 11:00:00
50,1651399200,4.516,4.578,4.527,4.564,64287.952,293410.21292799996,2022-05-01 10:00:00
51,1651395600,4.492,4.57,4.57,4.528,26650.708,120674.40582399999,2022-05-01 09:00:00
52,1651392000,4.484,4.573,4.493,4.572,29923.548,136810.461456,2022-05-01 08:00:00
53,1651388400,4.466,4.52,4.52,4.487,20212.199,90692.13691300001,2022-05-01 07:00:00
54,1651384800,4.502,4.568,4.53,4.514,23566.683,106380.007062,2022-05-01 06:00:00
55,1651381200,4.395,4.528,4.4,4.528,37731.048,170846.185344,2022-05-01 05:00:00
56,1651377600,4.377,4.466,4.448,4.398,39580.432,174074.739936,2022-05-01 04:00:00
57,1651374000,4.375,4.465,4.389,4.441,12549.026,55730.224466,2022-05-01 03:00:00
58,1651370400,4.371,4.435,4.419,4.386,30555.029,134014.357194,2022-05-01 02:00:00
59,1651366800,4.273,4.442,4.351,4.421,109267.888,483073.33284800005,2022-05-01 01:00:00
60,1651363200,4.3,4.423,4.38,4.357,65381.903,284868.95137100003,2022-05-01 00:00:00
61,1651359600,4.233,4.519,4.486,4.373,238630.688,1043531.998624,2022-04-30 23:00:00
62,1651356000,4.477,4.614,4.614,4.494,112207.551,504260.734194,2022-04-30 22:00:00
63,1651352400,4.615,4.677,4.667,4.617,11254.576,51962.377391999995,2022-04-30 21:00:00
