,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,87.8,88.57,88.45,87.82,16165.901,1419689.4258199998,2022-05-03 12:00:00
1,1651575600,87.27,88.57,87.41,88.46,15130.619,1338454.55674,2022-05-03 11:00:00
2,1651572000,87.2,87.93,87.74,87.42,12992.07,1135766.7594,2022-05-03 10:00:00
3,1651568400,87.55,88.38,88.14,87.74,9023.749,791743.73726,2022-05-03 09:00:00
4,1651564800,88.12,88.74,88.3,88.15,9565.822,843227.2093000001,2022-05-03 08:00:00
5,1651561200,87.87,88.7,88.39,88.34,14217.225,1255949.6565,2022-05-03 07:00:00
6,1651557600,88.18,88.78,88.65,88.42,12768.03,1128949.2126,2022-05-03 06:00:00
7,1651554000,87.8,88.72,88.33,88.67,13091.147,1160792.0044900002,2022-05-03 05:00:00
8,1651550400,88.06,88.79,88.62,88.36,13326.198,1177502.85528,2022-05-03 04:00:00
9,1651546800,87.71,88.62,87.78,88.62,24820.327,2199577.37874,2022-05-03 03:00:00
10,1651543200,87.49,88.39,88.13,87.81,22419.162,1968626.61522,2022-05-03 02:00:00
11,1651539600,86.67,88.14,86.95,88.13,23929.271,2108886.65323,2022-05-03 01:00:00
12,1651536000,86.88,87.78,87.47,86.97,26858.062,2335845.65214,2022-05-03 00:00:00
13,1651532400,87.27,88.34,87.55,87.45,27506.584,2405450.7708,2022-05-02 23:00:00
14,1651528800,87.46,88.46,87.82,87.55,29813.682,2610187.8591,2022-05-02 22:00:00
15,1651525200,86.35,88.0,86.44,87.83,29009.434,2547898.5882200003,2022-05-02 21:00:00
16,1651521600,86.27,87.39,87.28,86.43,22837.045,1973805.79935,2022-05-02 20:00:00
17,1651518000,85.63,87.47,85.85,87.27,53566.482,4674746.88414,2022-05-02 19:00:00
18,1651514400,85.06,86.1,85.66,85.83,63531.392,5452899.37536,2022-05-02 18:00:00
19,1651510800,85.07,86.59,86.55,85.68,70169.982,6012164.057760001,2022-05-02 17:00:00
20,1651507200,86.46,87.94,87.72,86.62,53252.022,4612690.14564,2022-05-02 16:00:00
21,1651503600,87.1,88.46,88.3,87.72,43842.436,3845858.48592,2022-05-02 15:00:00
22,1651500000,86.91,88.93,87.78,88.26,79573.74,7023178.292400001,2022-05-02 14:00:00
23,1651496400,86.2,88.47,87.0,87.78,108143.87,9492868.908599999,2022-05-02 13:00:00
24,1651492800,86.55,87.66,86.73,87.03,30987.154,2696812.0126199997,2022-05-02 12:00:00
25,1651489200,86.25,87.9,87.74,86.76,88526.526,7680561.395760001,2022-05-02 11:00:00
26,1651485600,87.13,88.14,87.89,87.74,19879.229,1744203.55246,2022-05-02 10:00:00
27,1651482000,87.8,89.41,88.77,87.92,15558.582,1367910.52944,2022-05-02 09:00:00
28,1651478400,88.26,90.06,89.81,88.82,16460.782,1462046.6572399999,2022-05-02 08:00:00
29,1651474800,89.61,90.62,90.17,89.79,10095.136,906442.2614400001,2022-05-02 07:00:00
30,1651471200,90.04,90.77,90.33,90.17,10835.152,977005.65584,2022-05-02 06:00:00
31,1651467600,89.59,90.36,90.11,90.3,20348.231,1837445.2593,2022-05-02 05:00:00
32,1651464000,89.03,90.3,89.38,90.14,20066.33,1808778.9862000002,2022-05-02 04:00:00
33,1651460400,89.25,90.01,89.55,89.35,21734.912,1942014.3872,2022-05-02 03:00:00
34,1651456800,88.66,89.69,89.62,89.53,22625.316,2025644.54148,2022-05-02 02:00:00
35,1651453200,89.55,90.63,90.31,89.62,25581.941,2292653.55242,2022-05-02 01:00:00
36,1651449600,89.45,90.88,89.65,90.25,44363.742,4003827.7155,2022-05-02 00:00:00
37,1651446000,88.87,90.46,89.14,89.65,42809.163,3837841.46295,2022-05-01 23:00:00
38,1651442400,88.43,89.59,88.92,89.1,26594.463,2369566.6533,2022-05-01 22:00:00
39,1651438800,88.11,89.4,89.08,88.94,29582.026,2631025.39244,2022-05-01 21:00:00
40,1651435200,87.72,89.18,87.96,89.12,29872.83,2662266.6096,2022-05-01 20:00:00
41,1651431600,87.05,88.24,87.7,87.98,38364.796,3375334.7520800005,2022-05-01 19:00:00
42,1651428000,87.68,89.98,89.84,87.76,47871.191,4201175.72216,2022-05-01 18:00:00
43,1651424400,89.77,91.29,90.67,89.85,48999.782,4402630.412699999,2022-05-01 17:00:00
44,1651420800,89.82,93.11,90.06,90.66,81990.701,7433276.95266,2022-05-01 16:00:00
45,1651417200,87.46,90.37,87.48,90.06,60002.332,5403810.01992,2022-05-01 15:00:00
46,1651413600,87.01,88.08,88.01,87.48,30051.044,2628865.3291200004,2022-05-01 14:00:00
47,1651410000,87.85,89.23,88.6,88.0,23804.735,2094816.6800000002,2022-05-01 13:00:00
48,1651406400,87.4,88.92,88.24,88.59,28663.692,2539316.47428,2022-05-01 12:00:00
49,1651402800,87.75,88.77,88.67,88.26,23988.184,2117197.1198400003,2022-05-01 11:00:00
50,1651399200,88.6,89.44,89.0,88.69,23264.961,2063369.3910899998,2022-05-01 10:00:00
51,1651395600,88.78,89.83,89.63,89.0,17126.157,1524227.973,2022-05-01 09:00:00
52,1651392000,88.75,89.92,88.91,89.65,20676.92,1853685.878,2022-05-01 08:00:00
53,1651388400,88.55,89.21,88.96,88.9,25234.67,2243362.163,2022-05-01 07:00:00
54,1651384800,88.81,89.88,89.34,88.95,23429.195,2084026.89525,2022-05-01 06:00:00
55,1651381200,87.76,89.93,87.94,89.35,42237.803,3773947.69805,2022-05-01 05:00:00
56,1651377600,87.1,88.17,88.08,87.95,31361.044,2758203.8198,2022-05-01 04:00:00
57,1651374000,85.62,88.47,85.73,88.09,63763.684,5616942.92356,2022-05-01 03:00:00
58,1651370400,85.6,86.93,86.59,85.71,48139.614,4126046.3159399997,2022-05-01 02:00:00
59,1651366800,84.4,86.97,85.3,86.56,61631.282,5334803.76992,2022-05-01 01:00:00
60,1651363200,84.19,86.17,84.69,85.31,101257.956,8638316.22636,2022-05-01 00:00:00
61,1651359600,82.08,86.26,85.43,84.69,199266.792,16875904.61448,2022-04-30 23:00:00
62,1651356000,85.32,89.98,89.97,85.42,135518.912,11576025.463040002,2022-04-30 22:00:00
63,1651352400,89.95,90.94,90.64,89.97,34722.855,3124015.2643500003,2022-04-30 21:00:00
64,1651348800,90.57,91.58,91.58,90.65,17745.389,1608619.51285,2022-04-30 20:00:00
65,1651345200,90.65,91.8,91.02,91.59,30612.398,2803789.5328200003,2022-04-30 19:00:00
66,1651341600,90.41,91.15,90.53,91.05,30262.927,2755439.50335,2022-04-30 18:00:00
67,1651338000,90.32,91.58,91.53,90.55,59249.96,5365083.878,2022-04-30 17:00:00
68,1651334400,91.37,92.58,92.23,91.52,22938.519,2099333.25888,2022-04-30 16:00:00
69,1651330800,91.55,92.77,91.85,92.25,36030.413,3323805.59925,2022-04-30 15:00:00
70,1651327200,91.5,93.59,93.15,91.83,43752.72,4017812.2776,2022-04-30 14:00:00
71,1651323600,92.8,94.04,93.53,93.15,22670.661,2111772.07215,2022-04-30 13:00:00
72,1651320000,93.47,94.21,93.86,93.53,12629.101,1181199.81653,2022-04-30 12:00:00
73,1651316400,93.78,94.14,93.85,93.85,10322.425,968759.5862499998,2022-04-30 11:00:00
74,1651312800,93.81,94.54,94.03,93.86,9044.423,848909.54278,2022-04-30 10:00:00
75,1651309200,93.72,94.1,94.0,94.03,7508.959,706067.41477,2022-04-30 09:00:00
76,1651305600,93.6,94.32,94.02,94.0,12697.504,1193565.3760000002,2022-04-30 08:00:00
77,1651302000,94.0,94.79,94.69,94.03,14418.079,1355731.96837,2022-04-30 07:00:00
78,1651298400,94.39,94.84,94.78,94.69,7409.015,701559.63035,2022-04-30 06:00:00
79,1651294800,93.84,94.95,94.01,94.75,11461.823,1086007.72925,2022-04-30 05:00:00
80,1651291200,93.66,94.33,94.1,94.0,11832.513,1112256.222,2022-04-30 04:00:00
81,1651287600,93.76,94.4,94.31,94.09,12141.552,1142398.62768,2022-04-30 03:00:00
82,1651284000,94.08,94.96,94.77,94.34,17319.529,1633924.36586,2022-04-30 02:00:00
83,1651280400,94.3,94.83,94.47,94.76,24791.436,2349236.47536,2022-04-30 01:00:00
84,1651276800,93.65,94.69,93.91,94.48,21247.981,2007509.2448800001,2022-04-30 00:00:00
85,1651273200,93.58,94.3,94.01,93.91,34337.532,3224637.63012,2022-04-29 23:00:00
86,1651269600,93.18,94.13,93.81,94.04,30703.541,2887360.9956400003,2022-04-29 22:00:00
87,1651266000,93.49,94.46,93.65,93.83,30357.273,2848422.92559,2022-04-29 21:00:00
88,1651262400,92.54,93.71,92.9,93.65,55142.167,5164063.93955,2022-04-29 20:00:00
89,1651258800,92.28,94.06,93.83,92.9,75829.223,7044534.8167,2022-04-29 19:00:00
90,1651255200,93.09,95.1,94.94,93.83,70341.858,6600176.5361399995,2022-04-29 18:00:00
91,1651251600,94.16,95.3,94.88,94.94,95529.306,9069552.31164,2022-04-29 17:00:00
92,1651248000,94.64,96.4,96.13,94.88,57376.932,5443923.30816,2022-04-29 16:00:00
93,1651244400,95.89,96.74,96.21,96.16,29022.226,2790777.2521599997,2022-04-29 15:00:00
94,1651240800,95.71,96.97,96.79,96.2,33630.707,3235274.0134000005,2022-04-29 14:00:00
95,1651237200,95.41,97.0,95.76,96.77,42394.309,4102497.28193,2022-04-29 13:00:00
0,1651233600,95.2,96.45,95.61,95.77,29869.454,2860597.60958,2022-04-29 12:00:00
