,unix,low,high,open,close,volume,vol_fiat,date
0,1651579200,0.89,0.91,0.9,0.89,11890.02,10582.1178,2022-05-03 12:00:00
1,1651575600,0.88,0.91,0.88,0.9,15558.82,14002.938,2022-05-03 11:00:00
2,1651572000,0.87,0.89,0.89,0.88,19118.7,16824.456000000002,2022-05-03 10:00:00
3,1651568400,0.88,0.89,0.88,0.88,309.36,272.2368,2022-05-03 09:00:00
4,1651564800,0.88,0.9,0.88,0.89,30197.29,26875.5881,2022-05-03 08:00:00
5,1651561200,0.88,0.9,0.9,0.88,9002.38,7922.094399999999,2022-05-03 07:00:00
6,1651557600,0.88,0.9,0.9,0.9,9961.46,8965.314,2022-05-03 06:00:00
7,1651554000,0.88,0.9,0.89,0.9,7247.01,6522.309,2022-05-03 05:00:00
8,1651550400,0.88,0.9,0.89,0.89,10994.31,9784.9359,2022-05-03 04:00:00
9,1651546800,0.88,0.89,0.89,0.88,1841.92,1620.8896,2022-05-03 03:00:00
10,1651543200,0.87,0.89,0.88,0.88,25800.7,22704.616,2022-05-03 02:00:00
11,1651539600,0.86,0.88,0.86,0.88,4864.87,4281.0856,2022-05-03 01:00:00
12,1651536000,0.86,0.88,0.88,0.87,15778.56,13727.3472,2022-05-03 00:00:00
13,1651532400,0.88,0.9,0.89,0.88,16236.19,14287.8472,2022-05-02 23:00:00
14,1651528800,0.88,0.9,0.89,0.89,25526.8,22718.852,2022-05-02 22:00:00
15,1651525200,0.86,0.89,0.86,0.89,9350.9,8322.301,2022-05-02 21:00:00
16,1651521600,0.86,0.88,0.88,0.86,12037.22,10352.009199999999,2022-05-02 20:00:00
17,1651518000,0.85,0.88,0.85,0.88,72161.89,63502.4632,2022-05-02 19:00:00
18,1651514400,0.84,0.86,0.85,0.86,87186.25,74980.175,2022-05-02 18:00:00
19,1651510800,0.84,0.87,0.86,0.85,216992.83,184443.9055,2022-05-02 17:00:00
20,1651507200,0.86,0.88,0.88,0.86,10865.62,9344.433200000001,2022-05-02 16:00:00
21,1651503600,0.87,0.89,0.88,0.88,26843.78,23622.5264,2022-05-02 15:00:00
22,1651500000,0.87,0.89,0.87,0.89,24662.99,21950.061100000003,2022-05-02 14:00:00
23,1651496400,0.86,0.88,0.87,0.88,22267.59,19595.4792,2022-05-02 13:00:00
24,1651492800,0.86,0.88,0.86,0.87,52664.71,45818.297699999996,2022-05-02 12:00:00
25,1651489200,0.85,0.87,0.86,0.86,61899.41,53233.492600000005,2022-05-02 11:00:00
26,1651485600,0.86,0.88,0.87,0.86,37861.09,32560.537399999997,2022-05-02 10:00:00
27,1651482000,0.87,0.88,0.87,0.87,14348.64,12483.316799999999,2022-05-02 09:00:00
28,1651478400,0.87,0.9,0.89,0.88,12634.11,11118.016800000001,2022-05-02 08:00:00
29,1651474800,0.89,0.9,0.89,0.9,8047.98,7243.182,2022-05-02 07:00:00
30,1651471200,0.89,0.9,0.9,0.89,5975.39,5318.0971,2022-05-02 06:00:00
31,1651467600,0.89,0.9,0.89,0.89,460.76,410.0764,2022-05-02 05:00:00
32,1651464000,0.88,0.9,0.88,0.9,2036.6,1832.94,2022-05-02 04:00:00
33,1651460400,0.88,0.9,0.9,0.88,2927.37,2576.0856,2022-05-02 03:00:00
34,1651456800,0.88,0.9,0.9,0.89,23974.35,21337.1715,2022-05-02 02:00:00
35,1651453200,0.89,0.92,0.91,0.89,19445.09,17306.130100000002,2022-05-02 01:00:00
36,1651449600,0.89,0.92,0.9,0.91,10356.71,9424.606099999999,2022-05-02 00:00:00
37,1651446000,0.88,0.91,0.88,0.9,11854.81,10669.329,2022-05-01 23:00:00
38,1651442400,0.88,0.89,0.89,0.89,9024.97,8032.2233,2022-05-01 22:00:00
39,1651438800,0.87,0.9,0.89,0.89,10724.76,9545.0364,2022-05-01 21:00:00
40,1651435200,0.87,0.89,0.87,0.89,9546.31,8496.2159,2022-05-01 20:00:00
41,1651431600,0.86,0.88,0.88,0.88,18540.2,16315.376,2022-05-01 19:00:00
42,1651428000,0.88,0.9,0.89,0.88,13437.89,11825.3432,2022-05-01 18:00:00
43,1651424400,0.9,0.92,0.91,0.9,8907.76,8016.984,2022-05-01 17:00:00
44,1651420800,0.9,0.92,0.9,0.9,35355.13,31819.617,2022-05-01 16:00:00
45,1651417200,0.86,0.9,0.86,0.89,45514.14,40507.5846,2022-05-01 15:00:00
46,1651413600,0.85,0.87,0.87,0.85,9267.62,7877.477000000001,2022-05-01 14:00:00
47,1651410000,0.86,0.87,0.86,0.87,4165.81,3624.2547000000004,2022-05-01 13:00:00
48,1651406400,0.85,0.87,0.87,0.87,30783.93,26782.0191,2022-05-01 12:00:00
49,1651402800,0.86,0.88,0.88,0.86,13902.94,11956.528400000001,2022-05-01 11:00:00
50,1651399200,0.87,0.88,0.87,0.87,5034.92,4380.3804,2022-05-01 10:00:00
51,1651395600,0.87,0.88,0.88,0.88,3591.79,3160.7752,2022-05-01 09:00:00
52,1651392000,0.86,0.88,0.86,0.88,16958.76,14923.708799999999,2022-05-01 08:00:00
53,1651388400,0.85,0.87,0.86,0.86,5925.52,5095.9472000000005,2022-05-01 07:00:00
54,1651384800,0.86,0.88,0.87,0.86,27981.09,24063.737399999998,2022-05-01 06:00:00
55,1651381200,0.85,0.88,0.85,0.87,18827.54,16379.9598,2022-05-01 05:00:00
