,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,0.43,0.44,0.44,0.43,23601.08,10148.4644,2022-05-03 13:00:00
1,1651579200,0.43,0.44,0.44,0.44,15354.27,6755.8788,2022-05-03 12:00:00
2,1651575600,0.43,0.44,0.44,0.44,32745.56,14408.046400000001,2022-05-03 11:00:00
3,1651572000,0.43,0.44,0.44,0.43,6325.39,2719.9177,2022-05-03 10:00:00
4,1651568400,0.43,0.45,0.44,0.43,2905.59,1249.4037,2022-05-03 09:00:00
5,1651564800,0.43,0.45,0.44,0.44,774.06,340.58639999999997,2022-05-03 08:00:00
6,1651561200,0.43,0.44,0.43,0.43,827.56,355.8508,2022-05-03 07:00:00
7,1651557600,0.43,0.44,0.44,0.44,11807.36,5195.2384,2022-05-03 06:00:00
8,1651554000,0.43,0.44,0.44,0.44,1413.57,621.9707999999999,2022-05-03 05:00:00
9,1651550400,0.43,0.45,0.44,0.44,6915.63,3042.8772,2022-05-03 04:00:00
10,1651546800,0.43,0.44,0.43,0.44,14835.86,6527.7784,2022-05-03 03:00:00
11,1651543200,0.42,0.44,0.43,0.43,10789.69,4639.5667,2022-05-03 02:00:00
12,1651539600,0.42,0.44,0.43,0.43,6359.1,2734.413,2022-05-03 01:00:00
13,1651536000,0.42,0.43,0.42,0.42,27016.97,11347.1274,2022-05-03 00:00:00
14,1651532400,0.42,0.43,0.43,0.42,3665.13,1539.3546,2022-05-02 23:00:00
15,1651528800,0.42,0.44,0.43,0.43,33867.91,14563.2013,2022-05-02 22:00:00
16,1651525200,0.41,0.43,0.42,0.43,32587.38,14012.573400000001,2022-05-02 21:00:00
17,1651521600,0.41,0.43,0.42,0.42,8065.44,3387.4847999999997,2022-05-02 20:00:00
18,1651518000,0.41,0.43,0.42,0.42,37956.18,15941.595599999999,2022-05-02 19:00:00
19,1651514400,0.41,0.45,0.43,0.42,233110.38,97906.3596,2022-05-02 18:00:00
20,1651510800,0.41,0.43,0.42,0.43,23949.87,10298.444099999999,2022-05-02 17:00:00
21,1651507200,0.41,0.45,0.43,0.42,158902.21,66738.9282,2022-05-02 16:00:00
22,1651503600,0.41,0.43,0.42,0.42,57579.59,24183.427799999998,2022-05-02 15:00:00
23,1651500000,0.42,0.43,0.42,0.43,28745.69,12360.6467,2022-05-02 14:00:00
24,1651496400,0.41,0.43,0.42,0.42,74268.02,31192.5684,2022-05-02 13:00:00
25,1651492800,0.42,0.47,0.43,0.42,457081.2,191974.104,2022-05-02 12:00:00
26,1651489200,0.41,0.44,0.43,0.43,93712.53,40296.3879,2022-05-02 11:00:00
27,1651485600,0.41,0.44,0.42,0.44,32992.42,14516.664799999999,2022-05-02 10:00:00
28,1651482000,0.41,0.43,0.42,0.41,33171.94,13600.4954,2022-05-02 09:00:00
29,1651478400,0.42,0.44,0.43,0.43,19146.45,8232.9735,2022-05-02 08:00:00
30,1651474800,0.43,0.44,0.44,0.43,52188.19,22440.9217,2022-05-02 07:00:00
31,1651471200,0.43,0.44,0.44,0.44,1174.44,516.7536,2022-05-02 06:00:00
32,1651467600,0.43,0.44,0.44,0.44,9568.43,4210.1092,2022-05-02 05:00:00
33,1651464000,0.43,0.44,0.44,0.43,4173.76,1794.7168000000001,2022-05-02 04:00:00
34,1651460400,0.43,0.44,0.44,0.43,3619.22,1556.2646,2022-05-02 03:00:00
35,1651456800,0.43,0.44,0.44,0.44,60460.76,26602.7344,2022-05-02 02:00:00
36,1651453200,0.43,0.44,0.44,0.44,20657.49,9089.295600000001,2022-05-02 01:00:00
37,1651449600,0.43,0.44,0.43,0.43,24638.9,10594.727,2022-05-02 00:00:00
38,1651446000,0.42,0.43,0.42,0.42,188486.03,79164.1326,2022-05-01 23:00:00
39,1651442400,0.42,0.43,0.43,0.43,34640.96,14895.612799999999,2022-05-01 22:00:00
40,1651438800,0.42,0.43,0.43,0.43,9162.6,3939.918,2022-05-01 21:00:00
41,1651435200,0.41,0.43,0.42,0.43,6926.93,2978.5799,2022-05-01 20:00:00
42,1651431600,0.41,0.43,0.43,0.42,41322.45,17355.428999999996,2022-05-01 19:00:00
43,1651428000,0.42,0.44,0.44,0.43,33008.35,14193.590499999998,2022-05-01 18:00:00
44,1651424400,0.43,0.45,0.45,0.44,27004.68,11882.0592,2022-05-01 17:00:00
45,1651420800,0.43,0.45,0.44,0.45,10786.51,4853.9295,2022-05-01 16:00:00
46,1651417200,0.41,0.44,0.41,0.44,70117.98,30851.9112,2022-05-01 15:00:00
47,1651413600,0.41,0.42,0.42,0.42,20375.43,8557.6806,2022-05-01 14:00:00
48,1651410000,0.41,0.42,0.42,0.41,5876.84,2409.5044,2022-05-01 13:00:00
49,1651406400,0.41,0.42,0.42,0.42,30264.6,12711.132,2022-05-01 12:00:00
50,1651402800,0.42,0.43,0.42,0.43,3985.14,1713.6101999999998,2022-05-01 11:00:00
51,1651399200,0.42,0.44,0.43,0.43,8667.79,3727.1497000000004,2022-05-01 10:00:00
52,1651395600,0.42,0.44,0.44,0.43,9100.8,3913.3439999999996,2022-05-01 09:00:00
53,1651392000,0.43,0.44,0.43,0.44,34146.96,15024.6624,2022-05-01 08:00:00
54,1651388400,0.42,0.43,0.43,0.43,3909.94,1681.2742,2022-05-01 07:00:00
55,1651384800,0.42,0.43,0.42,0.43,2712.82,1166.5126,2022-05-01 06:00:00
56,1651381200,0.41,0.43,0.42,0.42,6583.55,2765.091,2022-05-01 05:00:00
57,1651377600,0.41,0.42,0.42,0.42,3557.42,1494.1163999999999,2022-05-01 04:00:00
58,1651374000,0.41,0.42,0.41,0.42,29913.06,12563.485200000001,2022-05-01 03:00:00
59,1651370400,0.41,0.42,0.42,0.41,24236.69,9937.042899999999,2022-05-01 02:00:00
60,1651366800,0.4,0.42,0.41,0.41,240208.5,98485.485,2022-05-01 01:00:00
61,1651363200,0.41,0.42,0.42,0.41,104908.48,43012.4768,2022-05-01 00:00:00
62,1651359600,0.41,0.43,0.43,0.42,84313.38,35411.6196,2022-04-30 23:00:00
63,1651356000,0.42,0.44,0.44,0.42,17615.43,7398.4806,2022-04-30 22:00:00
64,1651352400,0.43,0.44,0.44,0.44,7734.44,3403.1535999999996,2022-04-30 21:00:00
65,1651348800,0.43,0.45,0.45,0.44,13924.09,6126.5996000000005,2022-04-30 20:00:00
66,1651345200,0.43,0.44,0.43,0.44,9702.65,4269.166,2022-04-30 19:00:00
67,1651341600,0.43,0.44,0.44,0.44,37161.24,16350.9456,2022-04-30 18:00:00
68,1651338000,0.43,0.45,0.45,0.44,25581.65,11255.926000000001,2022-04-30 17:00:00
69,1651334400,0.44,0.45,0.44,0.45,10924.97,4916.2365,2022-04-30 16:00:00
70,1651330800,0.44,0.46,0.45,0.45,11068.73,4980.9285,2022-04-30 15:00:00
71,1651327200,0.44,0.46,0.45,0.44,36221.13,15937.297199999999,2022-04-30 14:00:00
72,1651323600,0.45,0.47,0.46,0.45,21039.55,9467.7975,2022-04-30 13:00:00
73,1651320000,0.45,0.47,0.46,0.45,19650.26,8842.617,2022-04-30 12:00:00
74,1651316400,0.45,0.47,0.46,0.46,27403.4,12605.564000000002,2022-04-30 11:00:00
75,1651312800,0.45,0.47,0.45,0.46,9089.33,4181.0918,2022-04-30 10:00:00
76,1651309200,0.45,0.47,0.46,0.46,3582.44,1647.9224000000002,2022-04-30 09:00:00
77,1651305600,0.46,0.47,0.47,0.47,26914.62,12649.871399999998,2022-04-30 08:00:00
78,1651302000,0.46,0.47,0.47,0.46,11510.71,5294.9266,2022-04-30 07:00:00
79,1651298400,0.46,0.48,0.47,0.46,8875.37,4082.6702000000005,2022-04-30 06:00:00
80,1651294800,0.46,0.48,0.47,0.48,16609.57,7972.593599999999,2022-04-30 05:00:00
81,1651291200,0.46,0.47,0.47,0.46,3655.02,1681.3092000000001,2022-04-30 04:00:00
82,1651287600,0.46,0.47,0.47,0.47,38545.63,18116.446099999997,2022-04-30 03:00:00
83,1651284000,0.47,0.48,0.48,0.47,15452.02,7262.4493999999995,2022-04-30 02:00:00
84,1651280400,0.46,0.48,0.47,0.48,72215.16,34663.2768,2022-04-30 01:00:00
85,1651276800,0.46,0.47,0.46,0.47,14483.64,6807.310799999999,2022-04-30 00:00:00
86,1651273200,0.46,0.47,0.47,0.47,488.89,229.77829999999997,2022-04-29 23:00:00
87,1651269600,0.46,0.47,0.46,0.46,20280.46,9329.0116,2022-04-29 22:00:00
88,1651266000,0.46,0.47,0.46,0.47,38857.0,18262.789999999997,2022-04-29 21:00:00
89,1651262400,0.45,0.47,0.46,0.47,34085.33,16020.1051,2022-04-29 20:00:00
90,1651258800,0.45,0.47,0.47,0.46,20909.54,9618.388400000002,2022-04-29 19:00:00
91,1651255200,0.46,0.48,0.48,0.46,82254.52,37837.0792,2022-04-29 18:00:00
92,1651251600,0.47,0.48,0.47,0.47,67126.07,31549.252900000003,2022-04-29 17:00:00
93,1651248000,0.47,0.48,0.47,0.47,20059.77,9428.0919,2022-04-29 16:00:00
94,1651244400,0.47,0.48,0.48,0.48,40509.76,19444.6848,2022-04-29 15:00:00
95,1651240800,0.47,0.48,0.48,0.48,107119.09,51417.163199999995,2022-04-29 14:00:00
0,1651237200,0.47,0.48,0.47,0.47,13380.74,6288.9478,2022-04-29 13:00:00
1,1651233600,0.47,0.49,0.48,0.48,36837.85,17682.167999999998,2022-04-29 12:00:00
2,1651230000,0.47,0.49,0.48,0.48,75343.53,36164.8944,2022-04-29 11:00:00
3,1651226400,0.48,0.5,0.5,0.49,28959.6,14190.204,2022-04-29 10:00:00
4,1651222800,0.49,0.5,0.49,0.49,7548.11,3698.5739,2022-04-29 09:00:00
5,1651219200,0.49,0.51,0.5,0.5,3256.43,1628.215,2022-04-29 08:00:00
6,1651215600,0.5,0.51,0.51,0.5,1808.21,904.105,2022-04-29 07:00:00
7,1651212000,0.49,0.5,0.49,0.5,4576.55,2288.275,2022-04-29 06:00:00
8,1651208400,0.49,0.51,0.5,0.5,5834.83,2917.415,2022-04-29 05:00:00
9,1651204800,0.49,0.5,0.5,0.5,4152.49,2076.245,2022-04-29 04:00:00
10,1651201200,0.49,0.51,0.5,0.5,22502.29,11251.145,2022-04-29 03:00:00
11,1651197600,0.49,0.52,0.51,0.49,34827.3,17065.377,2022-04-29 02:00:00
12,1651194000,0.51,0.52,0.52,0.52,7355.96,3825.0992,2022-04-29 01:00:00
13,1651190400,0.51,0.52,0.52,0.52,15691.4,8159.528,2022-04-29 00:00:00
14,1651186800,0.5,0.52,0.52,0.52,83942.87,43650.2924,2022-04-28 23:00:00
15,1651183200,0.51,0.53,0.52,0.51,15318.66,7812.5166,2022-04-28 22:00:00
16,1651179600,0.51,0.53,0.52,0.52,9754.36,5072.2672,2022-04-28 21:00:00
17,1651176000,0.52,0.53,0.52,0.52,97627.47,50766.284400000004,2022-04-28 20:00:00
18,1651172400,0.52,0.53,0.52,0.52,26638.86,13852.2072,2022-04-28 19:00:00
19,1651168800,0.52,0.53,0.53,0.53,27320.43,14479.8279,2022-04-28 18:00:00
