,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,2.38,2.44,2.43,2.4,65875.11,158100.264,2022-05-03 13:00:00
1,1651579200,2.42,2.44,2.44,2.42,45681.54,110549.3268,2022-05-03 12:00:00
2,1651575600,2.38,2.45,2.38,2.43,56716.35,137820.7305,2022-05-03 11:00:00
3,1651572000,2.37,2.41,2.4,2.38,18546.51,44140.693799999994,2022-05-03 10:00:00
4,1651568400,2.39,2.42,2.42,2.41,18358.05,44242.9005,2022-05-03 09:00:00
5,1651564800,2.42,2.44,2.43,2.42,25266.0,61143.72,2022-05-03 08:00:00
6,1651561200,2.41,2.46,2.43,2.43,31489.99,76520.6757,2022-05-03 07:00:00
7,1651557600,2.42,2.46,2.44,2.44,40236.71,98177.57239999999,2022-05-03 06:00:00
8,1651554000,2.4,2.45,2.42,2.44,84296.18,205682.67919999998,2022-05-03 05:00:00
9,1651550400,2.39,2.42,2.4,2.42,32321.8,78218.756,2022-05-03 04:00:00
10,1651546800,2.36,2.4,2.37,2.4,15108.63,36260.712,2022-05-03 03:00:00
11,1651543200,2.36,2.39,2.38,2.38,21344.79,50800.6002,2022-05-03 02:00:00
12,1651539600,2.33,2.38,2.35,2.38,11338.92,26986.6296,2022-05-03 01:00:00
13,1651536000,2.33,2.36,2.36,2.34,23438.32,54845.6688,2022-05-03 00:00:00
14,1651532400,2.36,2.39,2.38,2.36,40863.47,96437.7892,2022-05-02 23:00:00
15,1651528800,2.36,2.4,2.37,2.38,78453.66,186719.7108,2022-05-02 22:00:00
16,1651525200,2.31,2.38,2.33,2.37,26846.55,63626.3235,2022-05-02 21:00:00
17,1651521600,2.33,2.36,2.36,2.33,26028.18,60645.659400000004,2022-05-02 20:00:00
18,1651518000,2.29,2.36,2.3,2.35,49205.92,115633.912,2022-05-02 19:00:00
19,1651514400,2.26,2.31,2.3,2.3,74607.89,171598.147,2022-05-02 18:00:00
20,1651510800,2.28,2.34,2.34,2.29,50067.34,114654.2086,2022-05-02 17:00:00
21,1651507200,2.33,2.38,2.37,2.33,69879.31,162818.7923,2022-05-02 16:00:00
22,1651503600,2.35,2.39,2.35,2.37,62042.69,147041.1753,2022-05-02 15:00:00
23,1651500000,2.32,2.39,2.34,2.35,93027.75,218615.2125,2022-05-02 14:00:00
24,1651496400,2.27,2.37,2.3,2.35,130561.76,306820.136,2022-05-02 13:00:00
25,1651492800,2.29,2.34,2.3,2.3,66901.75,153874.025,2022-05-02 12:00:00
26,1651489200,2.29,2.33,2.32,2.3,71996.05,165590.915,2022-05-02 11:00:00
27,1651485600,2.31,2.34,2.33,2.31,29680.88,68562.8328,2022-05-02 10:00:00
28,1651482000,2.33,2.38,2.37,2.33,55121.92,128434.0736,2022-05-02 09:00:00
29,1651478400,2.36,2.42,2.4,2.37,34035.92,80665.1304,2022-05-02 08:00:00
30,1651474800,2.4,2.43,2.41,2.4,34013.01,81631.224,2022-05-02 07:00:00
31,1651471200,2.4,2.44,2.43,2.4,26960.48,64705.151999999995,2022-05-02 06:00:00
32,1651467600,2.4,2.44,2.42,2.43,67703.78,164520.18540000002,2022-05-02 05:00:00
33,1651464000,2.38,2.42,2.4,2.42,29208.63,70684.8846,2022-05-02 04:00:00
34,1651460400,2.39,2.41,2.4,2.4,27261.06,65426.544,2022-05-02 03:00:00
35,1651456800,2.36,2.4,2.38,2.4,41559.53,99742.87199999999,2022-05-02 02:00:00
36,1651453200,2.38,2.44,2.44,2.39,51875.74,123983.0186,2022-05-02 01:00:00
