,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,3.075,3.09,3.075,3.084,5370.06,16561.265040000002,2022-05-03 13:00:00
1,1651579200,3.075,3.084,3.075,3.075,2690.11,8272.08825,2022-05-03 12:00:00
2,1651575600,3.055,3.084,3.056,3.075,2877.17,8847.297750000002,2022-05-03 11:00:00
3,1651572000,3.055,3.085,3.082,3.055,2818.26,8609.784300000001,2022-05-03 10:00:00
4,1651568400,3.058,3.085,3.059,3.08,1109.36,3416.8288,2022-05-03 09:00:00
5,1651564800,3.057,3.116,3.111,3.082,6267.44,19316.250079999998,2022-05-03 08:00:00
6,1651561200,3.111,3.13,3.112,3.125,2235.5,6985.9375,2022-05-03 07:00:00
7,1651557600,3.111,3.13,3.113,3.112,634.13,1973.41256,2022-05-03 06:00:00
8,1651554000,3.111,3.164,3.164,3.113,3163.51,9848.00663,2022-05-03 05:00:00
9,1651550400,3.125,3.196,3.153,3.159,12020.64,37973.201759999996,2022-05-03 04:00:00
10,1651546800,3.153,3.284,3.168,3.153,30122.0,94974.666,2022-05-03 03:00:00
11,1651543200,3.128,3.253,3.157,3.145,22709.04,71419.9308,2022-05-03 02:00:00
12,1651539600,3.049,3.346,3.301,3.14,85623.19,268856.8166,2022-05-03 01:00:00
13,1651536000,3.064,3.335,3.101,3.3,82766.62,273129.84599999996,2022-05-03 00:00:00
14,1651532400,3.018,3.101,3.057,3.101,12940.43,40128.27343,2022-05-02 23:00:00
15,1651528800,3.001,3.114,3.001,3.057,49858.04,152416.02828,2022-05-02 22:00:00
16,1651525200,2.944,3.014,3.014,3.0,19107.46,57322.38,2022-05-02 21:00:00
17,1651521600,2.858,3.09,2.87,3.014,51506.58,155240.83212,2022-05-02 20:00:00
18,1651518000,2.729,2.901,2.76,2.87,26690.36,76601.33320000001,2022-05-02 19:00:00
19,1651514400,2.754,2.779,2.77,2.766,4671.3,12920.8158,2022-05-02 18:00:00
20,1651510800,2.769,2.776,2.771,2.77,1336.68,3702.6036000000004,2022-05-02 17:00:00
21,1651507200,2.77,2.778,2.776,2.77,673.64,1865.9828,2022-05-02 16:00:00
22,1651503600,2.771,2.802,2.801,2.771,11426.16,31661.889359999997,2022-05-02 15:00:00
23,1651500000,2.794,2.821,2.794,2.801,1394.1,3904.8741,2022-05-02 14:00:00
24,1651496400,2.786,2.812,2.812,2.786,650.0,1810.9,2022-05-02 13:00:00
25,1651492800,2.792,2.815,2.809,2.797,1316.52,3682.3064400000003,2022-05-02 12:00:00
26,1651489200,2.788,2.806,2.805,2.795,924.41,2583.72595,2022-05-02 11:00:00
27,1651485600,2.803,2.812,2.806,2.812,494.29,1389.94348,2022-05-02 10:00:00
28,1651482000,2.803,2.822,2.804,2.806,1784.0,5005.904,2022-05-02 09:00:00
29,1651478400,2.803,2.817,2.805,2.813,1108.32,3117.7041600000002,2022-05-02 08:00:00
30,1651474800,2.805,2.819,2.807,2.813,70.52,198.37276,2022-05-02 07:00:00
31,1651471200,2.804,2.816,2.81,2.815,397.75,1119.66625,2022-05-02 06:00:00
32,1651467600,2.786,2.811,2.786,2.803,259.29,726.7898700000001,2022-05-02 05:00:00
33,1651464000,2.785,2.829,2.827,2.786,9950.95,27723.346700000002,2022-05-02 04:00:00
34,1651460400,2.801,2.832,2.827,2.827,4245.62,12002.36774,2022-05-02 03:00:00
35,1651456800,2.825,2.833,2.833,2.826,315.52,891.6595199999999,2022-05-02 02:00:00
36,1651453200,2.794,2.832,2.794,2.826,11534.52,32596.55352,2022-05-02 01:00:00
37,1651449600,2.76,2.814,2.761,2.813,7792.15,21919.31795,2022-05-02 00:00:00
38,1651446000,2.76,2.77,2.769,2.761,5383.01,14862.49061,2022-05-01 23:00:00
39,1651442400,2.761,2.769,2.769,2.761,120.17,331.78937,2022-05-01 22:00:00
40,1651438800,2.76,2.77,2.77,2.769,823.2,2279.4408000000003,2022-05-01 21:00:00
41,1651435200,2.768,2.791,2.785,2.77,802.27,2222.2879,2022-05-01 20:00:00
42,1651431600,2.77,2.816,2.801,2.787,2529.58,7049.93946,2022-05-01 19:00:00
43,1651428000,2.793,2.82,2.794,2.816,560.19,1577.49504,2022-05-01 18:00:00
44,1651424400,2.788,2.825,2.799,2.798,4707.47,13171.50106,2022-05-01 17:00:00
45,1651420800,2.788,2.831,2.788,2.81,6923.42,19454.8102,2022-05-01 16:00:00
46,1651417200,2.752,2.816,2.759,2.781,22224.13,61805.305530000005,2022-05-01 15:00:00
47,1651413600,2.746,2.769,2.749,2.76,5215.51,14394.8076,2022-05-01 14:00:00
48,1651410000,2.715,2.764,2.764,2.75,17484.41,48082.1275,2022-05-01 13:00:00
49,1651406400,2.764,2.784,2.781,2.778,96.8,268.9104,2022-05-01 12:00:00
50,1651402800,2.754,2.785,2.754,2.764,5125.88,14167.93232,2022-05-01 11:00:00
51,1651399200,2.719,2.76,2.758,2.751,4156.0,11433.155999999999,2022-05-01 10:00:00
52,1651395600,2.734,2.76,2.76,2.758,4104.87,11321.231459999999,2022-05-01 09:00:00
53,1651392000,2.76,2.761,2.76,2.76,1945.62,5369.9112,2022-05-01 08:00:00
54,1651388400,2.716,2.803,2.802,2.76,17670.5,48770.579999999994,2022-05-01 07:00:00
55,1651384800,2.779,2.802,2.791,2.802,634.77,1778.62554,2022-05-01 06:00:00
56,1651381200,2.776,2.791,2.781,2.791,216.48,604.1956799999999,2022-05-01 05:00:00
57,1651377600,2.768,2.78,2.776,2.778,324.69,901.98882,2022-05-01 04:00:00
58,1651374000,2.764,2.779,2.777,2.776,298.41,828.38616,2022-05-01 03:00:00
59,1651370400,2.738,2.776,2.769,2.776,3188.93,8852.469679999998,2022-05-01 02:00:00
60,1651366800,2.733,2.779,2.751,2.769,8521.81,23596.89189,2022-05-01 01:00:00
61,1651363200,2.671,2.755,2.746,2.751,35311.53,97142.01903,2022-05-01 00:00:00
62,1651359600,2.727,2.775,2.755,2.75,6393.57,17582.317499999997,2022-04-30 23:00:00
63,1651356000,2.746,2.77,2.77,2.749,2009.15,5523.1533500000005,2022-04-30 22:00:00
64,1651352400,2.745,2.77,2.751,2.77,1803.15,4994.7255000000005,2022-04-30 21:00:00
65,1651348800,2.752,2.787,2.779,2.752,2178.77,5995.975039999999,2022-04-30 20:00:00
66,1651345200,2.751,2.786,2.782,2.772,1038.49,2878.6942799999997,2022-04-30 19:00:00
67,1651341600,2.771,2.78,2.778,2.771,254.94,706.4387399999999,2022-04-30 18:00:00
68,1651338000,2.758,2.775,2.775,2.769,8505.62,23552.061780000004,2022-04-30 17:00:00
69,1651334400,2.78,2.782,2.78,2.781,447.38,1244.16378,2022-04-30 16:00:00
70,1651330800,2.775,2.812,2.792,2.787,3762.12,10485.02844,2022-04-30 15:00:00
71,1651327200,2.77,2.812,2.78,2.812,3336.3,9381.6756,2022-04-30 14:00:00
72,1651323600,2.771,2.796,2.778,2.79,606.11,1691.0469,2022-04-30 13:00:00
73,1651320000,2.759,2.8,2.799,2.775,9446.24,26213.316,2022-04-30 12:00:00
74,1651312800,2.775,2.803,2.776,2.779,824.0,2289.8959999999997,2022-04-30 10:00:00
75,1651309200,2.775,2.797,2.775,2.797,86.15,240.96155000000002,2022-04-30 09:00:00
76,1651305600,2.777,2.801,2.779,2.801,37.99,106.40999000000001,2022-04-30 08:00:00
77,1651302000,2.776,2.807,2.795,2.799,1215.81,3403.05219,2022-04-30 07:00:00
78,1651298400,2.772,2.797,2.786,2.797,922.61,2580.54017,2022-04-30 06:00:00
79,1651294800,2.78,2.796,2.796,2.783,922.61,2567.62363,2022-04-30 05:00:00
