,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,0.4087,0.4161,0.413,0.412,12499.8,5149.9176,2022-05-03 13:00:00
1,1651579200,0.4128,0.4216,0.4196,0.4148,22439.5,9307.9046,2022-05-03 12:00:00
2,1651575600,0.4178,0.4332,0.4328,0.4185,74038.2,30984.986699999998,2022-05-03 11:00:00
3,1651572000,0.4303,0.4388,0.4308,0.4324,78997.9,34158.69196,2022-05-03 10:00:00
4,1651568400,0.4303,0.4337,0.4312,0.4308,7516.8,3238.2374400000003,2022-05-03 09:00:00
5,1651564800,0.4302,0.4356,0.4302,0.4328,12088.7,5231.9893600000005,2022-05-03 08:00:00
6,1651561200,0.4301,0.4337,0.4319,0.4303,7509.9,3231.50997,2022-05-03 07:00:00
7,1651557600,0.431,0.4431,0.4342,0.4335,36418.7,15787.506449999999,2022-05-03 06:00:00
8,1651554000,0.4302,0.4377,0.4307,0.4308,17693.7,7622.445960000001,2022-05-03 05:00:00
9,1651550400,0.4113,0.4531,0.4113,0.4303,326031.1,140291.18232999998,2022-05-03 04:00:00
10,1651546800,0.4059,0.4277,0.4085,0.4118,70225.6,28918.902080000003,2022-05-03 03:00:00
11,1651543200,0.404,0.4089,0.4058,0.4089,6579.1,2690.19399,2022-05-03 02:00:00
12,1651539600,0.4027,0.4066,0.4029,0.4061,9318.0,3784.0398,2022-05-03 01:00:00
13,1651536000,0.4026,0.4057,0.4026,0.4032,6010.6,2423.4739200000004,2022-05-03 00:00:00
14,1651532400,0.4026,0.4129,0.4058,0.4026,12323.7,4961.52162,2022-05-02 23:00:00
15,1651528800,0.3992,0.4063,0.4027,0.4059,27815.7,11290.39263,2022-05-02 22:00:00
16,1651525200,0.4017,0.4079,0.405,0.4032,15926.7,6421.64544,2022-05-02 21:00:00
17,1651521600,0.4044,0.4076,0.4047,0.4059,6597.7,2678.00643,2022-05-02 20:00:00
18,1651518000,0.3987,0.4076,0.4005,0.406,11910.0,4835.46,2022-05-02 19:00:00
19,1651514400,0.3967,0.4052,0.3973,0.3992,96803.9,38644.116879999994,2022-05-02 18:00:00
20,1651510800,0.395,0.4005,0.399,0.3974,29850.4,11862.54896,2022-05-02 17:00:00
21,1651507200,0.399,0.406,0.4014,0.3993,41846.0,16709.107799999998,2022-05-02 16:00:00
22,1651503600,0.4003,0.4097,0.4062,0.4017,45919.6,18445.90332,2022-05-02 15:00:00
23,1651500000,0.4052,0.4081,0.4073,0.4065,3369.4,1369.6611,2022-05-02 14:00:00
24,1651496400,0.3969,0.4078,0.3969,0.4072,13768.4,5606.49248,2022-05-02 13:00:00
25,1651492800,0.3971,0.4091,0.4073,0.3985,68390.1,27253.454850000006,2022-05-02 12:00:00
26,1651489200,0.4072,0.4089,0.4086,0.4078,1780.6,726.1286799999999,2022-05-02 11:00:00
27,1651485600,0.4072,0.4262,0.4262,0.4091,52926.0,21652.0266,2022-05-02 10:00:00
28,1651482000,0.4236,0.4271,0.425,0.4262,6275.6,2674.6607200000003,2022-05-02 09:00:00
29,1651478400,0.4221,0.4256,0.4221,0.4256,2543.0,1082.3008,2022-05-02 08:00:00
30,1651474800,0.4195,0.4247,0.4196,0.4224,4898.4,2069.08416,2022-05-02 07:00:00
31,1651471200,0.4123,0.4203,0.4123,0.4203,2316.5,973.62495,2022-05-02 06:00:00
32,1651467600,0.4122,0.4168,0.4167,0.4149,8150.2,3381.5179799999996,2022-05-02 05:00:00
33,1651464000,0.4115,0.4171,0.4129,0.4171,4432.0,1848.5872000000002,2022-05-02 04:00:00
34,1651460400,0.4108,0.4136,0.4123,0.4128,2093.4,864.15552,2022-05-02 03:00:00
35,1651456800,0.4107,0.4141,0.4108,0.4109,6665.9,2739.01831,2022-05-02 02:00:00
36,1651453200,0.4091,0.4171,0.4097,0.4119,34072.2,14034.339179999999,2022-05-02 01:00:00
37,1651449600,0.3991,0.4096,0.4041,0.4084,37841.2,15454.346079999998,2022-05-02 00:00:00
38,1651446000,0.4018,0.4076,0.4019,0.4027,44179.1,17790.92357,2022-05-01 23:00:00
39,1651442400,0.3935,0.4149,0.4124,0.4032,162239.9,65415.12768,2022-05-01 22:00:00
40,1651438800,0.4105,0.4462,0.4375,0.4117,173871.1,71582.73187,2022-05-01 21:00:00
41,1651435200,0.4097,0.4397,0.4109,0.4375,238050.9,104147.26875,2022-05-01 20:00:00
42,1651431600,0.3983,0.4154,0.4107,0.4105,73051.9,29987.804949999994,2022-05-01 19:00:00
43,1651428000,0.411,0.4285,0.4172,0.4119,69680.4,28701.356759999995,2022-05-01 18:00:00
44,1651424400,0.4053,0.4183,0.4086,0.4183,61426.0,25694.4958,2022-05-01 17:00:00
45,1651420800,0.4049,0.4159,0.4092,0.4086,45461.7,18575.65062,2022-05-01 16:00:00
46,1651417200,0.3891,0.4123,0.39,0.4094,45646.1,18687.513339999998,2022-05-01 15:00:00
47,1651413600,0.3873,0.3909,0.3908,0.3884,22135.3,8597.35052,2022-05-01 14:00:00
48,1651410000,0.3899,0.3948,0.3933,0.3908,17600.9,6878.4317200000005,2022-05-01 13:00:00
49,1651406400,0.3901,0.3945,0.3915,0.3917,24546.3,9614.78571,2022-05-01 12:00:00
50,1651402800,0.3881,0.3948,0.3887,0.3938,27287.1,10745.659979999999,2022-05-01 11:00:00
51,1651399200,0.3875,0.3906,0.3894,0.3887,23563.9,9159.28793,2022-05-01 10:00:00
52,1651395600,0.3855,0.3939,0.3935,0.3889,32787.1,12750.90319,2022-05-01 09:00:00
53,1651392000,0.3929,0.402,0.3934,0.3952,44852.0,17725.5104,2022-05-01 08:00:00
54,1651388400,0.3886,0.3973,0.3895,0.3954,44841.9,17730.487259999998,2022-05-01 07:00:00
55,1651384800,0.3865,0.3991,0.388,0.3894,69331.6,26997.725040000005,2022-05-01 06:00:00
56,1651381200,0.3835,0.3935,0.3854,0.388,67862.0,26330.456000000002,2022-05-01 05:00:00
57,1651377600,0.3824,0.4128,0.4128,0.3833,48380.2,18544.13066,2022-05-01 04:00:00
58,1651374000,0.4066,0.4154,0.4082,0.4128,27863.0,11501.8464,2022-05-01 03:00:00
59,1651370400,0.3979,0.41,0.3983,0.4099,21938.5,8992.59115,2022-05-01 02:00:00
60,1651366800,0.3971,0.4022,0.4022,0.3983,14415.3,5741.61399,2022-05-01 01:00:00
61,1651363200,0.3981,0.4022,0.4002,0.4022,24525.5,9864.1561,2022-05-01 00:00:00
62,1651359600,0.393,0.4055,0.4032,0.4005,63098.7,25271.02935,2022-04-30 23:00:00
63,1651356000,0.3938,0.4057,0.4053,0.4028,78306.5,31541.8582,2022-04-30 22:00:00
64,1651352400,0.4044,0.4106,0.407,0.4044,29802.0,12051.9288,2022-04-30 21:00:00
65,1651348800,0.4053,0.4083,0.4074,0.4059,7341.6,2979.95544,2022-04-30 20:00:00
66,1651345200,0.4078,0.4295,0.4166,0.4078,65221.6,26597.368479999997,2022-04-30 19:00:00
67,1651341600,0.4055,0.4168,0.412,0.4168,39406.0,16424.4208,2022-04-30 18:00:00
68,1651338000,0.4047,0.4155,0.4074,0.4115,48224.9,19844.54635,2022-04-30 17:00:00
69,1651334400,0.4003,0.4077,0.4029,0.4067,25669.9,10439.948330000001,2022-04-30 16:00:00
70,1651330800,0.395,0.4215,0.4205,0.403,149243.9,60145.2917,2022-04-30 15:00:00
71,1651327200,0.4039,0.421,0.4187,0.4191,88250.2,36985.65882,2022-04-30 14:00:00
72,1651323600,0.4187,0.4283,0.4239,0.4187,74385.1,31145.041370000003,2022-04-30 13:00:00
73,1651320000,0.42,0.4279,0.4272,0.4219,35559.0,15002.3421,2022-04-30 12:00:00
74,1651316400,0.4234,0.428,0.4257,0.4258,14870.2,6331.73116,2022-04-30 11:00:00
75,1651312800,0.4255,0.4349,0.4349,0.4259,18439.0,7853.1701,2022-04-30 10:00:00
76,1651309200,0.4314,0.4363,0.4338,0.4363,5660.4,2469.63252,2022-04-30 09:00:00
77,1651305600,0.4328,0.4363,0.4328,0.4341,5018.2,2178.40062,2022-04-30 08:00:00
78,1651302000,0.4328,0.4361,0.4334,0.4342,9470.1,4111.91742,2022-04-30 07:00:00
79,1651298400,0.4313,0.4358,0.4331,0.4332,7520.7,3257.96724,2022-04-30 06:00:00
80,1651294800,0.4288,0.4331,0.4288,0.4311,3601.2,1552.47732,2022-04-30 05:00:00
81,1651291200,0.422,0.4304,0.4233,0.428,30517.6,13061.532799999999,2022-04-30 04:00:00
82,1651287600,0.4216,0.4258,0.4255,0.4233,5698.2,2412.04806,2022-04-30 03:00:00
83,1651284000,0.4206,0.4322,0.4292,0.4257,65112.3,27718.30611,2022-04-30 02:00:00
84,1651280400,0.4266,0.4344,0.4344,0.4292,60218.0,25845.5656,2022-04-30 01:00:00
85,1651276800,0.4322,0.4527,0.4527,0.4341,151302.4,65680.37183999999,2022-04-30 00:00:00
86,1651273200,0.4478,0.454,0.4478,0.4527,13305.2,6023.26404,2022-04-29 23:00:00
87,1651269600,0.4387,0.4509,0.4387,0.4478,38702.2,17330.845159999997,2022-04-29 22:00:00
88,1651266000,0.4262,0.44,0.4274,0.4387,36515.8,16019.48146,2022-04-29 21:00:00
89,1651262400,0.4215,0.4281,0.4225,0.4279,46904.3,20070.349970000003,2022-04-29 20:00:00
90,1651258800,0.4208,0.444,0.4406,0.4221,160065.2,67563.52092,2022-04-29 19:00:00
91,1651255200,0.4403,0.4441,0.442,0.4405,19967.6,8795.727799999999,2022-04-29 18:00:00
