,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,14.97,15.2,15.18,15.11,317.906,4803.55966,2022-05-03 13:00:00
1,1651579200,15.17,15.28,15.28,15.17,254.472,3860.34024,2022-05-03 12:00:00
2,1651575600,15.02,15.31,15.06,15.31,455.563,6974.66953,2022-05-03 11:00:00
3,1651572000,14.99,15.02,14.99,15.02,14.274,214.39548,2022-05-03 10:00:00
4,1651568400,15.05,15.18,15.15,15.05,18.186,273.6993,2022-05-03 09:00:00
5,1651564800,15.18,15.23,15.21,15.18,49.852,756.7533599999999,2022-05-03 08:00:00
6,1651561200,15.14,15.34,15.27,15.16,305.532,4631.8651199999995,2022-05-03 07:00:00
7,1651557600,15.21,15.34,15.32,15.29,22.52,344.33079999999995,2022-05-03 06:00:00
8,1651554000,15.08,15.33,15.19,15.33,544.193,8342.47869,2022-05-03 05:00:00
9,1651550400,15.12,15.2,15.15,15.18,92.986,1411.52748,2022-05-03 04:00:00
10,1651546800,15.09,15.15,15.13,15.15,29.725,450.33375,2022-05-03 03:00:00
11,1651543200,14.97,15.12,15.08,15.07,98.2,1479.874,2022-05-03 02:00:00
12,1651539600,14.82,15.11,14.82,15.11,89.549,1353.08539,2022-05-03 01:00:00
13,1651536000,14.75,14.87,14.86,14.81,51.756,766.50636,2022-05-03 00:00:00
14,1651532400,14.9,15.08,14.98,14.9,93.604,1394.6996,2022-05-02 23:00:00
15,1651528800,14.92,15.17,15.07,14.96,391.013,5849.55448,2022-05-02 22:00:00
16,1651525200,14.65,15.06,14.65,15.06,299.575,4511.5995,2022-05-02 21:00:00
17,1651521600,14.64,14.84,14.83,14.65,60.491,886.1931500000001,2022-05-02 20:00:00
18,1651518000,14.55,14.87,14.56,14.83,763.679,11325.35957,2022-05-02 19:00:00
19,1651514400,14.25,14.53,14.41,14.52,251.617,3653.4788399999998,2022-05-02 18:00:00
20,1651510800,14.29,14.69,14.64,14.37,803.113,11540.73381,2022-05-02 17:00:00
21,1651507200,14.67,14.94,14.92,14.67,45.718,670.6830600000001,2022-05-02 16:00:00
