,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,0.3819,0.3839,0.3839,0.3819,13910.6,5312.458140000001,2022-05-03 13:00:00
1,1651579200,0.3828,0.3846,0.384,0.3834,6521.3,2500.2664200000004,2022-05-03 12:00:00
2,1651575600,0.3822,0.3857,0.3825,0.3844,21881.3,8411.17172,2022-05-03 11:00:00
3,1651572000,0.3826,0.3834,0.3834,0.3826,5839.0,2234.0014,2022-05-03 10:00:00
4,1651568400,0.3832,0.3845,0.3845,0.3832,197.2,75.56703999999999,2022-05-03 09:00:00
5,1651564800,0.3849,0.3864,0.386,0.3849,73.8,28.40562,2022-05-03 08:00:00
6,1651561200,0.3827,0.3877,0.3827,0.3868,186750.5,72235.0934,2022-05-03 07:00:00
7,1651557600,0.3827,0.3842,0.3836,0.3828,5886.3,2253.27564,2022-05-03 06:00:00
8,1651554000,0.3822,0.384,0.384,0.3834,4899.0,1878.2766000000001,2022-05-03 05:00:00
9,1651550400,0.3827,0.3845,0.3834,0.3842,5829.9,2239.8475799999997,2022-05-03 04:00:00
10,1651546800,0.3827,0.3852,0.3833,0.3836,10201.3,3913.2186799999995,2022-05-03 03:00:00
11,1651543200,0.3828,0.3856,0.3856,0.3835,27951.9,10719.553650000002,2022-05-03 02:00:00
12,1651539600,0.3836,0.3863,0.3844,0.3855,15324.7,5907.671850000001,2022-05-03 01:00:00
13,1651536000,0.3824,0.3946,0.3833,0.3852,55943.7,21549.513239999997,2022-05-03 00:00:00
14,1651532400,0.3826,0.3898,0.387,0.3832,48696.1,18660.34552,2022-05-02 23:00:00
15,1651528800,0.3837,0.391,0.3843,0.3859,32139.8,12402.74882,2022-05-02 22:00:00
16,1651525200,0.3825,0.3849,0.3825,0.3839,34238.4,13144.121760000002,2022-05-02 21:00:00
17,1651521600,0.3826,0.3853,0.3849,0.3833,5665.5,2171.5861499999996,2022-05-02 20:00:00
18,1651518000,0.3829,0.3861,0.383,0.3855,3201.1,1234.02405,2022-05-02 19:00:00
19,1651514400,0.3825,0.3855,0.3846,0.383,43927.5,16824.232500000002,2022-05-02 18:00:00
20,1651510800,0.3845,0.3877,0.3859,0.3848,79248.9,30494.976719999995,2022-05-02 17:00:00
21,1651507200,0.385,0.3879,0.3872,0.3853,96998.6,37373.56058,2022-05-02 16:00:00
22,1651503600,0.3872,0.3888,0.3881,0.3875,76798.7,29759.49625,2022-05-02 15:00:00
23,1651500000,0.3878,0.392,0.3903,0.3884,28097.0,10912.874800000001,2022-05-02 14:00:00
24,1651496400,0.3878,0.3919,0.3903,0.3904,31529.7,12309.194880000001,2022-05-02 13:00:00
25,1651492800,0.3882,0.3903,0.3887,0.3903,282.1,110.10363000000001,2022-05-02 12:00:00
26,1651489200,0.3876,0.3997,0.3954,0.3896,59185.9,23058.82664,2022-05-02 11:00:00
27,1651485600,0.3893,0.3954,0.3938,0.3954,14379.5,5685.654299999999,2022-05-02 10:00:00
28,1651482000,0.3925,0.3948,0.393,0.3948,10395.2,4104.02496,2022-05-02 09:00:00
29,1651478400,0.3915,0.3941,0.3918,0.3928,16685.2,6553.94656,2022-05-02 08:00:00
30,1651474800,0.3926,0.3962,0.3962,0.3926,1726.6,677.86316,2022-05-02 07:00:00
31,1651471200,0.395,0.3983,0.3974,0.3962,35253.9,13967.59518,2022-05-02 06:00:00
32,1651467600,0.395,0.3979,0.3972,0.3972,22465.1,8923.137719999999,2022-05-02 05:00:00
33,1651464000,0.3966,0.4004,0.3979,0.3984,16740.0,6669.215999999999,2022-05-02 04:00:00
34,1651460400,0.3971,0.3987,0.3981,0.3979,821.8,326.99422,2022-05-02 03:00:00
35,1651456800,0.3977,0.3992,0.399,0.3992,7710.0,3077.832,2022-05-02 02:00:00
36,1651453200,0.3974,0.4001,0.3995,0.398,15268.6,6076.902800000001,2022-05-02 01:00:00
37,1651449600,0.3986,0.4014,0.4011,0.3988,5175.4,2063.9495199999997,2022-05-02 00:00:00
38,1651446000,0.3967,0.402,0.3967,0.4004,20131.2,8060.53248,2022-05-01 23:00:00
39,1651442400,0.3931,0.3969,0.3964,0.395,19505.2,7704.554000000001,2022-05-01 22:00:00
40,1651438800,0.3911,0.3961,0.3961,0.3946,35450.5,13988.7673,2022-05-01 21:00:00
41,1651435200,0.3924,0.3985,0.3966,0.3961,30738.3,12175.44063,2022-05-01 20:00:00
