,unix,low,high,open,close,volume,vol_fiat,date
0,1651582800,0.1722,0.1733,0.1728,0.1733,136250.2,23612.159660000005,2022-05-03 13:00:00
1,1651579200,0.1723,0.1732,0.1732,0.173,25539.5,4418.3335,2022-05-03 12:00:00
2,1651575600,0.1711,0.173,0.1715,0.173,2805.5,485.3515,2022-05-03 11:00:00
3,1651572000,0.1708,0.1723,0.1711,0.1708,56384.5,9630.472600000001,2022-05-03 10:00:00
4,1651568400,0.1709,0.1729,0.1728,0.171,83803.5,14330.398500000001,2022-05-03 09:00:00
5,1651564800,0.1722,0.1733,0.1723,0.1727,24931.4,4305.65278,2022-05-03 08:00:00
6,1651561200,0.172,0.1725,0.1723,0.1723,22113.2,3810.1043600000003,2022-05-03 07:00:00
7,1651557600,0.1723,0.1733,0.1727,0.1724,23561.9,4062.0715600000003,2022-05-03 06:00:00
8,1651554000,0.1723,0.1731,0.1725,0.1731,1167.8,202.14618,2022-05-03 05:00:00
9,1651550400,0.1723,0.1733,0.1726,0.1729,29890.5,5168.06745,2022-05-03 04:00:00
10,1651546800,0.172,0.1733,0.1728,0.1722,33966.2,5848.97964,2022-05-03 03:00:00
11,1651543200,0.172,0.1743,0.1721,0.1723,48777.7,8404.39771,2022-05-03 02:00:00
12,1651539600,0.1705,0.1719,0.1713,0.1717,19080.1,3276.0531699999997,2022-05-03 01:00:00
13,1651536000,0.1708,0.174,0.172,0.171,218273.0,37324.683000000005,2022-05-03 00:00:00
14,1651532400,0.1717,0.1729,0.1721,0.1717,43471.3,7464.02221,2022-05-02 23:00:00
15,1651528800,0.1712,0.1726,0.1715,0.1716,94569.9,16228.19484,2022-05-02 22:00:00
16,1651525200,0.1687,0.1726,0.1689,0.1713,154636.7,26489.266710000004,2022-05-02 21:00:00
17,1651521600,0.1679,0.1713,0.1708,0.1689,211174.5,35667.37305,2022-05-02 20:00:00
18,1651518000,0.1708,0.1723,0.1722,0.1713,73847.8,12650.12814,2022-05-02 19:00:00
19,1651514400,0.1665,0.1765,0.1697,0.1725,579376.6,99942.46349999998,2022-05-02 18:00:00
20,1651510800,0.1679,0.1732,0.1682,0.1694,183172.2,31029.37068,2022-05-02 17:00:00
21,1651507200,0.1684,0.1701,0.17,0.1685,17756.2,2991.9197000000004,2022-05-02 16:00:00
22,1651503600,0.1691,0.1725,0.1717,0.17,38403.1,6528.527,2022-05-02 15:00:00
23,1651500000,0.1682,0.1721,0.1708,0.1717,81972.0,14074.5924,2022-05-02 14:00:00
24,1651496400,0.1656,0.1712,0.1682,0.1708,173288.4,29597.65872,2022-05-02 13:00:00
25,1651492800,0.1668,0.1694,0.1671,0.1684,78923.1,13290.65004,2022-05-02 12:00:00
26,1651489200,0.1667,0.1704,0.1703,0.1668,177342.8,29580.779039999998,2022-05-02 11:00:00
27,1651485600,0.1703,0.1717,0.171,0.1703,64802.0,11035.7806,2022-05-02 10:00:00
28,1651482000,0.1712,0.1743,0.1741,0.1712,65527.7,11218.342239999998,2022-05-02 09:00:00
29,1651478400,0.1729,0.1767,0.1766,0.1739,108862.6,18931.206140000002,2022-05-02 08:00:00
30,1651474800,0.1713,0.1773,0.1716,0.1772,344601.7,61063.42124,2022-05-02 07:00:00
31,1651471200,0.1716,0.1729,0.1727,0.1716,61298.3,10518.78828,2022-05-02 06:00:00
32,1651467600,0.1706,0.173,0.171,0.1722,64932.1,11181.30762,2022-05-02 05:00:00
