,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,5.399,5.578,5.529,5.456,66346.141,361984.545296,2022-05-03 14:00:00
1,1651582800,5.38,5.61,5.401,5.52,89162.219,492175.4488799999,2022-05-03 13:00:00
2,1651579200,5.394,5.46,5.453,5.4,8901.773,48069.574199999995,2022-05-03 12:00:00
3,1651575600,5.355,5.457,5.355,5.457,18420.153,100518.77492099999,2022-05-03 11:00:00
4,1651572000,5.345,5.388,5.379,5.356,3392.517,18170.321052,2022-05-03 10:00:00
5,1651568400,5.341,5.409,5.409,5.379,18584.905,99968.20399499999,2022-05-03 09:00:00
6,1651564800,5.384,5.442,5.435,5.414,16940.001,91713.165414,2022-05-03 08:00:00
7,1651561200,5.355,5.611,5.392,5.436,261398.291,1420961.1098759999,2022-05-03 07:00:00
8,1651557600,5.358,5.403,5.368,5.395,2207.05,11907.03475,2022-05-03 06:00:00
9,1651554000,5.321,5.397,5.366,5.372,14824.167,79635.425124,2022-05-03 05:00:00
10,1651550400,5.345,5.555,5.361,5.366,71786.385,385205.7419099999,2022-05-03 04:00:00
11,1651546800,5.325,5.639,5.363,5.36,291640.711,1563194.21096,2022-05-03 03:00:00
12,1651543200,5.343,5.418,5.372,5.364,5326.844,28573.191216,2022-05-03 02:00:00
13,1651539600,5.307,5.372,5.316,5.371,8040.359,43184.768189,2022-05-03 01:00:00
14,1651536000,5.289,5.354,5.328,5.316,10680.307,56776.512012,2022-05-03 00:00:00
15,1651532400,5.315,5.367,5.345,5.328,8958.618,47731.516704,2022-05-02 23:00:00
16,1651528800,5.297,5.363,5.338,5.342,5579.232,29804.257343999998,2022-05-02 22:00:00
17,1651525200,5.296,5.343,5.308,5.327,8444.044,44981.422388,2022-05-02 21:00:00
18,1651521600,5.279,5.34,5.325,5.307,8044.668,42693.053076000004,2022-05-02 20:00:00
19,1651518000,5.267,5.334,5.271,5.325,7450.498,39673.90185,2022-05-02 19:00:00
20,1651514400,5.22,5.422,5.396,5.263,54346.312,286024.640056,2022-05-02 18:00:00
21,1651510800,5.203,5.431,5.269,5.399,286076.697,1544528.087103,2022-05-02 17:00:00
22,1651507200,5.235,5.303,5.298,5.269,13328.635,70228.577815,2022-05-02 16:00:00
23,1651503600,5.274,5.407,5.398,5.296,9644.461,51077.065456,2022-05-02 15:00:00
24,1651500000,5.329,5.414,5.404,5.395,13974.273,75391.20283499999,2022-05-02 14:00:00
25,1651496400,5.275,5.512,5.302,5.407,40929.682,221306.790574,2022-05-02 13:00:00
26,1651492800,5.285,5.409,5.292,5.291,10730.151,56773.228941,2022-05-02 12:00:00
27,1651489200,5.277,5.437,5.412,5.292,23013.642,121788.193464,2022-05-02 11:00:00
28,1651485600,5.4,5.469,5.438,5.412,12137.032,65685.61718399999,2022-05-02 10:00:00
29,1651482000,5.441,5.549,5.542,5.441,6789.306,36940.613946,2022-05-02 09:00:00
30,1651478400,5.473,5.601,5.6,5.544,11973.249,66379.69245599999,2022-05-02 08:00:00
31,1651474800,5.578,5.775,5.618,5.6,135021.3,756119.2799999999,2022-05-02 07:00:00
32,1651471200,5.43,5.815,5.458,5.612,236790.862,1328870.317544,2022-05-02 06:00:00
33,1651467600,5.41,5.59,5.513,5.454,55662.509,303583.324086,2022-05-02 05:00:00
34,1651464000,5.38,5.538,5.415,5.515,33164.529,182902.377435,2022-05-02 04:00:00
35,1651460400,5.387,5.489,5.389,5.41,15441.865,83540.48965,2022-05-02 03:00:00
36,1651456800,5.353,5.523,5.512,5.394,25065.83,135205.08702,2022-05-02 02:00:00
37,1651453200,5.343,5.679,5.362,5.517,94145.941,519403.1564970001,2022-05-02 01:00:00
38,1651449600,5.315,5.408,5.408,5.344,12148.743,64922.88259200001,2022-05-02 00:00:00
39,1651446000,5.196,5.425,5.199,5.415,54684.597,296117.092755,2022-05-01 23:00:00
40,1651442400,5.183,5.249,5.205,5.211,6660.054,34705.541394,2022-05-01 22:00:00
41,1651438800,5.161,5.25,5.222,5.201,7972.302,41463.94270199999,2022-05-01 21:00:00
42,1651435200,5.127,5.241,5.185,5.217,19394.342,101180.28221399999,2022-05-01 20:00:00
43,1651431600,5.171,5.433,5.188,5.19,60265.274,312776.77206,2022-05-01 19:00:00
44,1651428000,5.161,5.33,5.319,5.18,16833.898,87199.59164,2022-05-01 18:00:00
45,1651424400,5.317,5.456,5.387,5.317,9512.17,50576.207890000005,2022-05-01 17:00:00
46,1651420800,5.332,5.432,5.391,5.386,25162.709,135526.350674,2022-05-01 16:00:00
47,1651417200,5.168,5.402,5.172,5.399,18831.614,101671.883986,2022-05-01 15:00:00
48,1651413600,5.161,5.238,5.19,5.187,17638.383,91490.29262100002,2022-05-01 14:00:00
49,1651410000,5.176,5.262,5.223,5.195,9932.521,51599.44659500001,2022-05-01 13:00:00
50,1651406400,5.165,5.296,5.252,5.224,21545.58,112554.10992000002,2022-05-01 12:00:00
51,1651402800,5.233,5.446,5.378,5.249,16930.338,88867.344162,2022-05-01 11:00:00
52,1651399200,5.326,5.41,5.343,5.373,13918.894,74786.217462,2022-05-01 10:00:00
53,1651395600,5.271,5.424,5.369,5.33,27546.205,146821.27265,2022-05-01 09:00:00
54,1651392000,5.348,5.473,5.473,5.36,14664.626,78602.39536000001,2022-05-01 08:00:00
55,1651388400,5.38,5.54,5.513,5.479,18146.495,99424.64610499999,2022-05-01 07:00:00
56,1651384800,5.502,5.628,5.546,5.518,16922.173,93376.55061399999,2022-05-01 06:00:00
57,1651381200,5.542,5.992,5.8,5.549,133328.05,739837.34945,2022-05-01 05:00:00
58,1651377600,5.438,6.388,5.438,5.802,146142.438,847918.4252759999,2022-05-01 04:00:00
59,1651374000,5.387,5.549,5.389,5.443,28446.124,154832.25293199997,2022-05-01 03:00:00
60,1651370400,5.375,5.579,5.557,5.39,18213.169,98168.98091,2022-05-01 02:00:00
61,1651366800,5.356,5.793,5.711,5.544,74490.511,412975.392984,2022-05-01 01:00:00
62,1651363200,5.327,6.145,5.348,5.72,216197.595,1236650.2434,2022-05-01 00:00:00
63,1651359600,5.16,5.405,5.384,5.348,72293.25,386624.301,2022-04-30 23:00:00
64,1651356000,5.295,5.392,5.392,5.383,24759.257,133279.080431,2022-04-30 22:00:00
65,1651352400,5.343,5.459,5.433,5.394,19080.09,102918.00546,2022-04-30 21:00:00
66,1651348800,5.432,5.684,5.673,5.458,13291.233,72543.54971400001,2022-04-30 20:00:00
67,1651345200,5.607,5.764,5.686,5.675,16961.401,96255.950675,2022-04-30 19:00:00
68,1651341600,5.59,5.723,5.682,5.687,26020.599,147979.14651299999,2022-04-30 18:00:00
69,1651338000,5.67,5.86,5.792,5.685,36922.597,209904.963945,2022-04-30 17:00:00
70,1651334400,5.764,6.211,6.146,5.792,86842.478,502991.632576,2022-04-30 16:00:00
71,1651330800,5.594,6.279,5.635,6.158,86213.753,530904.290974,2022-04-30 15:00:00
72,1651327200,5.609,6.041,6.041,5.633,70488.073,397059.315209,2022-04-30 14:00:00
73,1651323600,6.036,6.415,6.282,6.038,80468.314,485867.679932,2022-04-30 13:00:00
74,1651320000,6.019,6.811,6.311,6.278,283720.113,1781194.869414,2022-04-30 12:00:00
75,1651316400,5.265,6.688,5.267,6.314,171909.878,1085438.969692,2022-04-30 11:00:00
76,1651312800,5.244,5.28,5.276,5.263,2480.868,13056.808283999999,2022-04-30 10:00:00
77,1651309200,5.218,5.293,5.235,5.275,4776.172,25194.3073,2022-04-30 09:00:00
78,1651305600,5.206,5.285,5.263,5.238,3712.046,19443.696948,2022-04-30 08:00:00
79,1651302000,5.264,5.328,5.316,5.274,3279.605,17296.63677,2022-04-30 07:00:00
80,1651298400,5.253,5.315,5.278,5.315,7360.958,39123.49177,2022-04-30 06:00:00
81,1651294800,5.23,5.281,5.242,5.278,4064.703,21453.502433999998,2022-04-30 05:00:00
82,1651291200,5.204,5.243,5.225,5.238,2508.07,13137.270660000002,2022-04-30 04:00:00
83,1651287600,5.205,5.246,5.234,5.227,5220.432,27287.198064,2022-04-30 03:00:00
84,1651284000,5.231,5.286,5.271,5.235,2174.541,11383.722135000002,2022-04-30 02:00:00
85,1651280400,5.231,5.276,5.247,5.273,2647.717,13961.411741,2022-04-30 01:00:00
86,1651276800,5.203,5.251,5.212,5.249,5644.202,29626.416298,2022-04-30 00:00:00
87,1651273200,5.187,5.234,5.212,5.205,2909.462,15143.74971,2022-04-29 23:00:00
88,1651269600,5.184,5.227,5.213,5.209,1724.806,8984.514454,2022-04-29 22:00:00
89,1651266000,5.194,5.252,5.244,5.211,8467.862,44126.028882,2022-04-29 21:00:00
90,1651262400,5.218,5.281,5.218,5.251,5741.026,30146.127526,2022-04-29 20:00:00
91,1651258800,5.214,5.323,5.308,5.222,22060.461,115199.72734200001,2022-04-29 19:00:00
92,1651255200,5.284,5.389,5.361,5.315,28433.854,151125.93401,2022-04-29 18:00:00
93,1651251600,5.32,5.374,5.336,5.364,11455.248,61445.950271999995,2022-04-29 17:00:00
94,1651248000,5.314,5.408,5.373,5.341,13935.648,74430.295968,2022-04-29 16:00:00
95,1651244400,5.286,5.414,5.3,5.366,11185.609,60021.977893999996,2022-04-29 15:00:00
0,1651240800,5.271,5.353,5.32,5.304,10122.968,53692.222272000006,2022-04-29 14:00:00
1,1651237200,5.273,5.339,5.303,5.321,11601.569,61731.94864899999,2022-04-29 13:00:00
2,1651233600,5.26,5.345,5.281,5.304,12972.049,68803.74789600002,2022-04-29 12:00:00
3,1651230000,5.259,5.336,5.327,5.273,10013.664,52802.050272,2022-04-29 11:00:00
4,1651226400,5.3,5.392,5.379,5.339,19690.565,105127.926535,2022-04-29 10:00:00
5,1651222800,5.379,5.461,5.453,5.382,8978.827,48324.04691399999,2022-04-29 09:00:00
6,1651219200,5.464,5.509,5.502,5.464,1836.943,10037.056552,2022-04-29 08:00:00
7,1651215600,5.47,5.516,5.479,5.496,1828.929,10051.793784000001,2022-04-29 07:00:00
8,1651212000,5.441,5.483,5.457,5.483,2637.928,14463.759223999998,2022-04-29 06:00:00
9,1651208400,5.447,5.491,5.491,5.455,6400.134,34912.730970000004,2022-04-29 05:00:00
10,1651204800,5.441,5.487,5.476,5.487,3759.121,20626.296927,2022-04-29 04:00:00
11,1651201200,5.464,5.528,5.508,5.478,5773.59,31627.72602,2022-04-29 03:00:00
12,1651197600,5.494,5.563,5.561,5.516,6229.211,34360.327876,2022-04-29 02:00:00
13,1651194000,5.562,5.606,5.603,5.573,2313.456,12892.890288000002,2022-04-29 01:00:00
14,1651190400,5.56,5.609,5.573,5.609,3283.859,18419.165130999998,2022-04-29 00:00:00
15,1651186800,5.526,5.571,5.537,5.567,1055.437,5875.617778999999,2022-04-28 23:00:00
16,1651183200,5.527,5.549,5.549,5.541,2325.4,12885.041400000002,2022-04-28 22:00:00
17,1651179600,5.531,5.597,5.575,5.549,2543.324,14112.904876,2022-04-28 21:00:00
18,1651176000,5.568,5.623,5.603,5.583,4072.889,22738.939287,2022-04-28 20:00:00
19,1651172400,5.589,5.669,5.637,5.605,5148.006,28854.573630000003,2022-04-28 19:00:00
20,1651168800,5.634,5.684,5.684,5.642,3228.915,18217.53843,2022-04-28 18:00:00
21,1651165200,5.627,5.696,5.643,5.696,6443.538,36702.392448,2022-04-28 17:00:00
22,1651161600,5.524,5.66,5.578,5.645,13588.605,76707.67522499998,2022-04-28 16:00:00
23,1651158000,5.536,5.707,5.609,5.586,13953.393,77943.653298,2022-04-28 15:00:00
24,1651154400,5.532,5.629,5.54,5.612,5574.225,31282.550700000003,2022-04-28 14:00:00
25,1651150800,5.541,5.645,5.633,5.541,11461.981,63510.836721,2022-04-28 13:00:00
26,1651147200,5.636,5.699,5.699,5.645,5106.426,28825.77477,2022-04-28 12:00:00
27,1651143600,5.685,5.709,5.685,5.701,1192.458,6798.203058,2022-04-28 11:00:00
28,1651140000,5.68,5.716,5.716,5.685,1973.687,11220.410595,2022-04-28 10:00:00
29,1651136400,5.691,5.719,5.718,5.716,3148.105,17994.568180000002,2022-04-28 09:00:00
30,1651132800,5.642,5.717,5.651,5.701,4520.735,25772.710234999995,2022-04-28 08:00:00
31,1651129200,5.619,5.682,5.621,5.652,4686.605,26488.69146,2022-04-28 07:00:00
32,1651125600,5.574,5.625,5.58,5.625,1980.689,11141.375625,2022-04-28 06:00:00
33,1651122000,5.562,5.594,5.586,5.577,1889.949,10540.245573,2022-04-28 05:00:00
34,1651118400,5.573,5.605,5.587,5.587,12419.825,69389.562275,2022-04-28 04:00:00
35,1651114800,5.56,5.651,5.629,5.584,16015.163,89428.67019199999,2022-04-28 03:00:00
36,1651111200,5.587,5.643,5.592,5.632,1691.777,9528.088064,2022-04-28 02:00:00
37,1651107600,5.593,5.667,5.639,5.597,2318.485,12976.560545000002,2022-04-28 01:00:00
38,1651104000,5.598,5.642,5.617,5.641,1306.162,7368.059842000001,2022-04-28 00:00:00
39,1651100400,5.578,5.627,5.58,5.616,1775.276,9969.950015999999,2022-04-27 23:00:00
40,1651096800,5.576,5.611,5.602,5.579,6735.615,37577.996085,2022-04-27 22:00:00
41,1651093200,5.573,5.604,5.602,5.599,9898.34,55420.805660000005,2022-04-27 21:00:00
42,1651089600,5.552,5.623,5.559,5.597,2810.232,15728.868504000002,2022-04-27 20:00:00
43,1651086000,5.533,5.568,5.548,5.554,3473.034,19289.230836000002,2022-04-27 19:00:00
44,1651082400,5.545,5.603,5.6,5.55,3171.502,17601.8361,2022-04-27 18:00:00
45,1651078800,5.555,5.61,5.588,5.594,8017.816,44851.662704,2022-04-27 17:00:00
46,1651075200,5.574,5.675,5.642,5.581,14193.559,79214.252779,2022-04-27 16:00:00
47,1651071600,5.606,5.678,5.637,5.638,15948.866,89919.706508,2022-04-27 15:00:00
48,1651068000,5.582,5.775,5.766,5.632,36120.466,203430.46451199998,2022-04-27 14:00:00
49,1651064400,5.65,5.793,5.711,5.766,15382.663,88696.43485800001,2022-04-27 13:00:00
50,1651060800,5.704,5.811,5.73,5.708,30535.25,174295.207,2022-04-27 12:00:00
51,1651057200,5.683,5.746,5.732,5.73,2610.2,14956.446,2022-04-27 11:00:00
52,1651053600,5.705,5.744,5.733,5.732,1237.117,7091.154644,2022-04-27 10:00:00
53,1651050000,5.71,5.763,5.746,5.733,2230.971,12790.156743,2022-04-27 09:00:00
54,1651046400,5.698,5.821,5.788,5.751,6822.645,39237.031395000005,2022-04-27 08:00:00
55,1651042800,5.728,5.784,5.75,5.784,2211.458,12791.073072,2022-04-27 07:00:00
56,1651039200,5.679,5.749,5.689,5.731,5922.881,33944.031011,2022-04-27 06:00:00
57,1651035600,5.677,5.73,5.68,5.685,1549.683,8809.947854999999,2022-04-27 05:00:00
58,1651032000,5.638,5.694,5.646,5.68,821.856,4668.14208,2022-04-27 04:00:00
59,1651028400,5.634,5.708,5.674,5.65,3032.362,17132.8453,2022-04-27 03:00:00
60,1651024800,5.639,5.724,5.642,5.709,2878.991,16436.159619,2022-04-27 02:00:00
61,1651021200,5.576,5.679,5.576,5.642,3538.675,19965.204350000004,2022-04-27 01:00:00
62,1651017600,5.513,5.61,5.522,5.571,29974.984,166990.63586399998,2022-04-27 00:00:00
63,1651014000,5.508,5.635,5.627,5.524,41828.689,231061.678036,2022-04-26 23:00:00
64,1651010400,5.627,5.686,5.632,5.627,30992.996,174397.58849199998,2022-04-26 22:00:00
65,1651006800,5.571,5.64,5.59,5.637,5127.132,28901.643083999996,2022-04-26 21:00:00
66,1651003200,5.56,5.727,5.714,5.589,17503.016,97824.35642400001,2022-04-26 20:00:00
67,1650999600,5.658,5.801,5.796,5.706,7076.633,40379.267898,2022-04-26 19:00:00
68,1650996000,5.74,5.796,5.774,5.795,6013.767,34849.779765,2022-04-26 18:00:00
69,1650992400,5.73,5.855,5.855,5.808,16015.442,93017.687136,2022-04-26 17:00:00
70,1650988800,5.81,5.928,5.878,5.854,39176.422,229338.774388,2022-04-26 16:00:00
71,1650985200,5.871,6.13,6.05,5.871,40701.764,238960.05644400005,2022-04-26 15:00:00
72,1650981600,5.944,6.36,6.005,6.055,283666.666,1717601.6626300002,2022-04-26 14:00:00
73,1650978000,5.903,6.345,5.904,5.999,155462.719,932620.8512810001,2022-04-26 13:00:00
74,1650974400,5.84,6.068,5.844,5.909,92505.813,546616.849017,2022-04-26 12:00:00
75,1650970800,5.817,5.883,5.824,5.845,43054.805,251655.335225,2022-04-26 11:00:00
76,1650967200,5.818,5.839,5.835,5.821,1411.275,8215.031775,2022-04-26 10:00:00
77,1650963600,5.833,5.882,5.869,5.843,1832.973,10710.061239,2022-04-26 09:00:00
78,1650960000,5.877,5.931,5.923,5.879,3211.339,18879.461980999997,2022-04-26 08:00:00
79,1650956400,5.868,5.931,5.885,5.92,1665.415,9859.2568,2022-04-26 07:00:00
80,1650952800,5.892,5.944,5.941,5.892,2554.409,15050.577828000001,2022-04-26 06:00:00
81,1650949200,5.917,5.948,5.917,5.942,465.703,2767.207226,2022-04-26 05:00:00
82,1650945600,5.894,5.932,5.903,5.923,436.314,2584.2878220000002,2022-04-26 04:00:00
83,1650942000,5.896,5.92,5.91,5.896,196.383,1157.874168,2022-04-26 03:00:00
84,1650938400,5.879,5.92,5.915,5.911,4076.751,24097.675161,2022-04-26 02:00:00
85,1650934800,5.916,5.981,5.973,5.916,1281.557,7581.691212000001,2022-04-26 01:00:00
86,1650931200,5.925,5.993,5.931,5.975,3285.488,19630.7908,2022-04-26 00:00:00
87,1650927600,5.925,5.943,5.943,5.933,1215.462,7211.336045999999,2022-04-25 23:00:00
88,1650924000,5.918,5.956,5.918,5.936,7159.586,42499.302496000004,2022-04-25 22:00:00
89,1650920400,5.881,5.917,5.9,5.917,5565.612,32931.726204,2022-04-25 21:00:00
90,1650916800,5.876,5.908,5.9,5.898,3552.359,20951.813381999997,2022-04-25 20:00:00
91,1650913200,5.85,5.902,5.874,5.9,3640.582,21479.4338,2022-04-25 19:00:00
92,1650909600,5.821,5.915,5.836,5.873,2698.747,15849.741130999999,2022-04-25 18:00:00
93,1650906000,5.837,5.893,5.875,5.837,2022.56,11805.682719999999,2022-04-25 17:00:00
94,1650902400,5.809,5.898,5.809,5.878,5243.713,30822.545014,2022-04-25 16:00:00
95,1650898800,5.804,5.876,5.811,5.81,4409.871,25621.35051,2022-04-25 15:00:00
0,1650895200,5.744,5.86,5.75,5.817,4616.458,26853.936186,2022-04-25 14:00:00
1,1650891600,5.737,5.837,5.768,5.752,4669.757,26860.442263999998,2022-04-25 13:00:00
2,1650888000,5.762,5.801,5.763,5.769,5912.447,34108.906743,2022-04-25 12:00:00
3,1650884400,5.659,5.775,5.67,5.762,3964.774,22845.027788,2022-04-25 11:00:00
4,1650880800,5.669,5.698,5.681,5.669,1852.026,10499.135393999999,2022-04-25 10:00:00
5,1650877200,5.616,5.678,5.63,5.671,6524.361,36999.651231,2022-04-25 09:00:00
