,unix,low,high,open,close,volume,vol_fiat,date
0,1651586400,4.04,4.1,4.09,4.04,895.85,3619.234,2022-05-03 14:00:00
1,1651582800,4.06,4.23,4.21,4.09,856.56,3503.3304,2022-05-03 13:00:00
2,1651579200,4.19,4.24,4.21,4.21,560.57,2359.9997000000003,2022-05-03 12:00:00
3,1651575600,4.14,4.22,4.14,4.21,110.01,463.1421,2022-05-03 11:00:00
4,1651572000,4.13,4.19,4.17,4.13,9.51,39.2763,2022-05-03 10:00:00
5,1651568400,4.15,4.22,4.22,4.17,119.41,497.93969999999996,2022-05-03 09:00:00
6,1651564800,4.18,4.22,4.18,4.21,145.47,612.4286999999999,2022-05-03 08:00:00
7,1651561200,4.12,4.15,4.13,4.15,34.67,143.8805,2022-05-03 07:00:00
8,1651557600,4.1,4.14,4.11,4.14,9.37,38.791799999999995,2022-05-03 06:00:00
9,1651554000,4.03,4.11,4.05,4.11,153.98,632.8578,2022-05-03 05:00:00
10,1651550400,4.05,4.08,4.07,4.05,1139.54,4615.137,2022-05-03 04:00:00
11,1651546800,4.05,4.08,4.06,4.06,58.72,238.40319999999997,2022-05-03 03:00:00
12,1651543200,4.03,4.08,4.07,4.05,69.56,281.718,2022-05-03 02:00:00
13,1651539600,4.0,4.05,4.01,4.05,44.28,179.334,2022-05-03 01:00:00
14,1651536000,4.01,4.05,4.04,4.01,709.32,2844.3732,2022-05-03 00:00:00
15,1651532400,4.09,4.16,4.15,4.1,771.94,3164.9539999999997,2022-05-02 23:00:00
16,1651528800,4.11,4.15,4.12,4.14,1231.76,5099.4864,2022-05-02 22:00:00
17,1651525200,4.02,4.13,4.02,4.13,599.77,2477.0501,2022-05-02 21:00:00
18,1651521600,3.94,4.01,3.99,3.94,94.79,373.4726,2022-05-02 20:00:00
19,1651518000,3.89,3.99,3.91,3.99,7018.59,28004.174100000004,2022-05-02 19:00:00
20,1651514400,3.82,3.9,3.85,3.9,3197.87,12471.693,2022-05-02 18:00:00
21,1651510800,3.84,3.98,3.97,3.85,6712.74,25844.049,2022-05-02 17:00:00
22,1651507200,3.98,4.02,3.99,3.98,145.32,578.3736,2022-05-02 16:00:00
23,1651503600,4.0,4.05,4.01,4.01,1151.0,4615.509999999999,2022-05-02 15:00:00
24,1651500000,3.91,4.01,3.96,4.0,199.18,796.72,2022-05-02 14:00:00
25,1651496400,3.87,3.97,3.9,3.96,389.1,1540.836,2022-05-02 13:00:00
26,1651492800,3.89,3.92,3.89,3.9,1096.89,4277.871,2022-05-02 12:00:00
27,1651489200,3.89,3.94,3.92,3.9,1346.31,5250.6089999999995,2022-05-02 11:00:00
28,1651485600,3.91,3.97,3.95,3.91,74.5,291.295,2022-05-02 10:00:00
29,1651482000,3.96,4.03,4.0,3.96,59.53,235.7388,2022-05-02 09:00:00
30,1651478400,4.01,4.11,4.09,4.02,75.85,304.917,2022-05-02 08:00:00
31,1651474800,4.09,4.15,4.1,4.1,226.64,929.2239999999998,2022-05-02 07:00:00
32,1651471200,4.08,4.12,4.12,4.08,98.53,402.0024,2022-05-02 06:00:00
33,1651467600,4.09,4.12,4.1,4.11,222.09,912.7899000000001,2022-05-02 05:00:00
34,1651464000,4.03,4.1,4.04,4.1,257.11,1054.151,2022-05-02 04:00:00
35,1651460400,4.04,4.08,4.06,4.04,76.51,309.10040000000004,2022-05-02 03:00:00
36,1651456800,4.04,4.08,4.07,4.05,72.27,292.6935,2022-05-02 02:00:00
37,1651453200,4.09,4.17,4.15,4.09,109.22,446.7098,2022-05-02 01:00:00
38,1651449600,4.11,4.2,4.11,4.15,149.03,618.4745,2022-05-02 00:00:00
39,1651446000,4.0,4.13,4.0,4.11,152.05,624.9255,2022-05-01 23:00:00
40,1651442400,3.98,4.06,4.02,4.01,4186.4,16787.463999999996,2022-05-01 22:00:00
41,1651438800,3.99,4.05,4.05,4.02,40.79,163.9758,2022-05-01 21:00:00
42,1651435200,3.96,4.06,3.97,4.06,201.24,817.0344,2022-05-01 20:00:00
43,1651431600,3.94,3.99,3.99,3.96,125.4,496.584,2022-05-01 19:00:00
44,1651428000,3.99,4.11,4.09,3.99,303.87,1212.4413000000002,2022-05-01 18:00:00
45,1651424400,4.09,4.22,4.22,4.1,164.33,673.753,2022-05-01 17:00:00
46,1651420800,4.13,4.26,4.14,4.21,1648.48,6940.1008,2022-05-01 16:00:00
47,1651417200,3.97,4.16,3.97,4.16,92.24,383.7184,2022-05-01 15:00:00
48,1651413600,3.94,3.99,3.99,3.97,62.16,246.7752,2022-05-01 14:00:00
49,1651410000,3.99,4.02,4.0,3.99,13.37,53.3463,2022-05-01 13:00:00
50,1651406400,3.94,4.03,4.0,4.01,63.22,253.51219999999998,2022-05-01 12:00:00
51,1651402800,3.99,4.03,4.03,4.0,923.82,3695.28,2022-05-01 11:00:00
52,1651399200,4.02,4.05,4.03,4.04,1755.64,7092.7856,2022-05-01 10:00:00
53,1651395600,4.02,4.07,4.07,4.04,30.03,121.3212,2022-05-01 09:00:00
54,1651392000,3.98,4.08,3.98,4.07,91.09,370.7363,2022-05-01 08:00:00
55,1651388400,3.97,4.01,3.98,3.98,115.44,459.4512,2022-05-01 07:00:00
56,1651384800,3.99,4.06,3.99,4.0,204.31,817.24,2022-05-01 06:00:00
57,1651381200,3.86,4.01,3.86,3.99,2568.59,10248.674100000002,2022-05-01 05:00:00
58,1651377600,3.85,3.89,3.89,3.86,108.13,417.38179999999994,2022-05-01 04:00:00
59,1651374000,3.83,3.89,3.84,3.89,821.64,3196.1796,2022-05-01 03:00:00
60,1651370400,3.83,3.88,3.85,3.83,607.73,2327.6059,2022-05-01 02:00:00
61,1651366800,3.75,3.87,3.81,3.87,1037.46,4014.9702,2022-05-01 01:00:00
62,1651363200,3.77,3.87,3.83,3.82,1831.85,6997.6669999999995,2022-05-01 00:00:00
63,1651359600,3.71,4.06,4.06,3.84,11405.1,43795.584,2022-04-30 23:00:00
64,1651356000,4.04,4.11,4.1,4.06,1088.97,4421.218199999999,2022-04-30 22:00:00
65,1651352400,4.12,4.21,4.21,4.12,244.04,1005.4448,2022-04-30 21:00:00
66,1651348800,4.17,4.21,4.21,4.2,436.6,1833.7200000000003,2022-04-30 20:00:00
67,1651345200,4.16,4.22,4.19,4.21,155.81,655.9601,2022-04-30 19:00:00
68,1651341600,4.13,4.2,4.14,4.18,620.15,2592.227,2022-04-30 18:00:00
69,1651338000,4.11,4.19,4.19,4.13,3471.5,14337.295,2022-04-30 17:00:00
70,1651334400,4.2,4.25,4.24,4.2,5102.97,21432.474000000002,2022-04-30 16:00:00
71,1651330800,4.16,4.24,4.16,4.24,347.31,1472.5944000000002,2022-04-30 15:00:00
72,1651327200,4.17,4.28,4.26,4.17,891.9,3719.223,2022-04-30 14:00:00
73,1651323600,4.25,4.34,4.31,4.26,1851.19,7886.069399999999,2022-04-30 13:00:00
74,1651320000,4.29,4.32,4.3,4.32,989.35,4273.992,2022-04-30 12:00:00
75,1651316400,4.3,4.34,4.33,4.3,1735.03,7460.629,2022-04-30 11:00:00
76,1651312800,4.28,4.35,4.31,4.34,2446.1,10616.073999999999,2022-04-30 10:00:00
77,1651309200,4.26,4.36,4.3,4.31,9282.72,40008.523199999996,2022-04-30 09:00:00
78,1651305600,4.27,4.31,4.29,4.31,220.39,949.8808999999999,2022-04-30 08:00:00
79,1651302000,4.29,4.35,4.35,4.29,38.25,164.0925,2022-04-30 07:00:00
80,1651298400,4.32,4.37,4.32,4.37,311.01,1359.1136999999999,2022-04-30 06:00:00
81,1651294800,4.32,4.36,4.32,4.34,114.38,496.40919999999994,2022-04-30 05:00:00
82,1651291200,4.27,4.3,4.29,4.3,499.24,2146.732,2022-04-30 04:00:00
83,1651287600,4.25,4.29,4.28,4.29,2601.36,11159.8344,2022-04-30 03:00:00
84,1651284000,4.29,4.35,4.33,4.29,216.98,930.8442,2022-04-30 02:00:00
85,1651280400,4.28,4.32,4.29,4.32,330.01,1425.6432,2022-04-30 01:00:00
86,1651276800,4.23,4.28,4.24,4.28,1768.88,7570.806400000001,2022-04-30 00:00:00
87,1651273200,4.2,4.25,4.21,4.24,293.21,1243.2104,2022-04-29 23:00:00
88,1651269600,4.17,4.23,4.19,4.23,67.12,283.91760000000005,2022-04-29 22:00:00
89,1651266000,4.2,4.22,4.2,4.2,43.21,181.482,2022-04-29 21:00:00
90,1651262400,4.17,4.21,4.18,4.2,284.54,1195.0680000000002,2022-04-29 20:00:00
91,1651258800,4.15,4.24,4.24,4.17,291.27,1214.5958999999998,2022-04-29 19:00:00
92,1651255200,4.21,4.3,4.29,4.25,691.61,2939.3425,2022-04-29 18:00:00
93,1651251600,4.29,4.34,4.32,4.29,480.87,2062.9323,2022-04-29 17:00:00
94,1651248000,4.31,4.39,4.38,4.35,399.99,1739.9565,2022-04-29 16:00:00
95,1651244400,4.35,4.39,4.35,4.38,112.02,490.64759999999995,2022-04-29 15:00:00
0,1651240800,4.32,4.4,4.38,4.36,7319.71,31913.9356,2022-04-29 14:00:00
1,1651237200,4.34,4.39,4.34,4.39,81.17,356.3363,2022-04-29 13:00:00
2,1651233600,4.31,4.37,4.32,4.35,131.6,572.4599999999999,2022-04-29 12:00:00
3,1651230000,4.29,4.34,4.34,4.32,119.29,515.3328,2022-04-29 11:00:00
4,1651226400,4.32,4.45,4.44,4.35,136.98,595.8629999999999,2022-04-29 10:00:00
5,1651222800,4.42,4.44,4.43,4.43,36.19,160.3217,2022-04-29 09:00:00
6,1651219200,4.45,4.55,4.54,4.45,52.15,232.0675,2022-04-29 08:00:00
7,1651215600,4.48,4.56,4.48,4.53,734.79,3328.5987,2022-04-29 07:00:00
8,1651212000,4.45,4.5,4.46,4.49,89.94,403.8306,2022-04-29 06:00:00
9,1651208400,4.44,4.49,4.44,4.46,108.53,484.0438,2022-04-29 05:00:00
10,1651204800,4.39,4.44,4.4,4.44,323.24,1435.1856000000002,2022-04-29 04:00:00
11,1651201200,4.39,4.43,4.43,4.42,83.89,370.7938,2022-04-29 03:00:00
12,1651197600,4.39,4.51,4.5,4.41,907.1,4000.311,2022-04-29 02:00:00
13,1651194000,4.49,4.51,4.5,4.49,62.85,282.1965,2022-04-29 01:00:00
14,1651190400,4.47,4.51,4.47,4.51,12.54,56.55539999999999,2022-04-29 00:00:00
15,1651186800,4.42,4.48,4.43,4.48,1018.87,4564.537600000001,2022-04-28 23:00:00
16,1651183200,4.41,4.45,4.44,4.44,102.31,454.25640000000004,2022-04-28 22:00:00
17,1651179600,4.43,4.49,4.48,4.44,322.56,1432.1664,2022-04-28 21:00:00
